id,question,A,B,C,D,answer,explanation ,guess,reasoning
1,"Guy dePrimo buys a new car for $9,837.91. He puts 10% down and obtains a simple interest amortized loan for the rest at {eq}8 \frac 7 8 \% {/eq} interest for four years. (Round all answers to the nearest cent.) 
Payment Number,Principal Portion,Interest Portion,Total Payment,Balance
Find his monthly payment. 
<table>
  <thead>
    <tr>
      <th>Payment Number</th>
      <th>Principal Portion</th>
      <th>Interest Portion</th>
      <th>Total Payment</th>
      <th>Balance</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <td>0</td>
      <td></td>
      <td></td>
      <td></td>
      <td>$8854.12</td>
    </tr>
    <tr>
      <td>1</td>
      <td></td>
      <td></td>
      <td>$219.81</td>
      <td></td>
    </tr>
    <tr>
      <td>2</td>
      <td></td>
      <td></td>
      <td>$219.81</td>
      <td></td>
    </tr>
  </tbody>
</table>",$210.55,$219.81,$225.45,$230.00,B,"For a loan to be repaid in regular equal payments, let {eq}P {/eq} be the amount borrowed (the present value), in dollars.

Let {eq}R {/eq} be the regular payment, in dollars.

Let {eq}i {/eq} be the periodic interest rate, in decimal.

Let {eq}n {/eq} be the total number of payments.

Then the formula for the present value of the annuity is

{eq}\ \ \ \ \ P = R \left[ \dfrac{1 - (1 + i)^{-n}}{i} \right] {/eq}



For the given loan, we must solve for {eq}R {/eq} to find the monthly payment amount.

Then we substitute the given values for the other variables.

Since the car costs $9,837.91 and a 10% down payment is paid, the amount borrowed is

{eq}\ \ \ \ \ P = (9837.91)(0.90) = \$8854.12 {/eq}

The periodic interest rate for {eq}8.875\% {/eq} compounded monthly is

{eq}\ \ \ \ \ i = 0.08875/12 {/eq}

The total number of payments (12 times per year for 4 years) is

{eq}\ \ \ \ \ n = (12)(4) = 48 {/eq}

Substituting these values of the other variables yields

{eq}\ \ \ \ \ 8854.12 = R \left[ \dfrac{1 - (1 + 0.08875/12)^{-48}}{0.08875/12} \right] {/eq}

Thus we obtain

{eq}\ \ \ \ \ 8854.12 = R(40.28078859) {/eq}

and hence

{eq}\ \ \ \ \ R = \$219.81 {/eq}

So the monthly payment for this loan is $219.81.",N,
2,"Guy dePrimo buys a new car for $9,837.91. He puts 10% down and obtains a simple interest amortized loan for the rest at {eq}8 \frac 7 8 \% {/eq} interest for four years. (Round all answers to the nearest cent.)
Find the total interest.
<table>
  <thead>
    <tr>
      <th>Payment Number</th>
      <th>Principal Portion</th>
      <th>Interest Portion</th>
      <th>Total Payment</th>
      <th>Balance</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <td>0</td>
      <td></td>
      <td></td>
      <td></td>
      <td>$8854.12</td>
    </tr>
    <tr>
      <td>1</td>
      <td></td>
      <td></td>
      <td>$219.81</td>
      <td></td>
    </tr>
    <tr>
      <td>2</td>
      <td></td>
      <td></td>
      <td>$219.81</td>
      <td></td>
    </tr>
  </tbody>
</table>",A. 1542.33,B. 1678.69,C. 1696.76,D. 1750.5,C,"The total interest paid on the loan is the total payment minus the amount borrowed.

Then the total interest for this loan is

{eq}\ \ \ \ \ I = (219.81)(48) - 8854.12 = \$1696.76 {/eq}

So the total interest paid is $1696.76.",C,"Initial purchase price of the car is $9,837.91.
Guy makes a 10% down payment. To find the down payment: 10% of $9,837.91.
Subtract the down payment from the purchase price to find the loan amount.
The interest rate is given as 8 7/8 %, which is equivalent to 8.875% in decimal form.
The loan term is 4 years. Simple interest formula is Interest = Principal x Rate x Time.
Calculate total interest using simple interest formula with Principal = $8,854.12, Rate = 0.08875, and Time = 4.
The table shows monthly payments. Calculate monthly payment amount: Total Payment per payment = $219.81.
Calculate total paid over the 4-year period: Monthly payment x number of months (4 years = 48 months).
The total interest paid on the loan is the total paid minus the principal (loan amount).
Compare the calculated total interest with the options provided: A. 1542.33, B. 1678.69, C. 1696.76, D. 1750.5."
3,"Guy dePrimo buys a new car for $9,837.91. He puts 10% down and obtains a simple interest amortized loan for the rest at {eq}8 \frac 7 8 \% {/eq} interest for four years. (Round all answers to the nearest cent.)
What is the principal portion of the first payment?
<table>
  <thead>
    <tr>
      <th>Payment Number</th>
      <th>Principal Portion</th>
      <th>Interest Portion</th>
      <th>Total Payment</th>
      <th>Balance</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <td>0</td>
      <td></td>
      <td></td>
      <td></td>
      <td>$8854.12</td>
    </tr>
    <tr>
      <td>1</td>
      <td></td>
      <td></td>
      <td>$219.81</td>
      <td></td>
    </tr>
    <tr>
      <td>2</td>
      <td></td>
      <td></td>
      <td>$219.81</td>
      <td></td>
    </tr>
  </tbody>
</table>",$150.00,$152.50,$154.33,$156.00,C,"To construct the first line in the amortization schedule, we first calculate the portion of the monthly payment applied to interest.

The interest portion is based on the balance still owed, the interest rate, and the amount of time.

For the first payment, the balance owed is $8854.12, the interest rate is 8.875%, and the time is one month (1/12 of a year).

Taking the product of these three factors, we have

{eq}\ \ \ \ \ (8854.12)(0.08875)(1/12) = \$65.48 {/eq}

Then the remaining portion of the monthly payment applied to principal is

{eq}\ \ \ \ \ 219.81 - 65.48 = \$154.33 {/eq}",C,"Guy dePrimo buys a new car for $9,837.91 and puts 10% down, so we first calculate the down payment.
Subtract the down payment from the total car price to find the loan amount.
The principal loan amount is $8854.12. To calculate the interest per year, we use the simple interest formula with rate = 8.875%
Calculate total interest for 4 years of the loan.
Total cost of the loan is the principal plus interest over 4 years.
Divide total loan payments by the number of payments (48 months) to find monthly payment.
The monthly payment given in the table is $219.81, which confirms calculations may factor only partial interests per time segment.
The principal portion of the first payment is the total first payment minus interest.
Round $154.35 to the nearest cent."
4,"Guy dePrimo buys a new car for $9,837.91. He puts 10% down and obtains a simple interest amortized loan for the rest at {eq}8 \frac 7 8 \% {/eq} interest for four years. (Round all answers to the nearest cent.)
What is the interest portion of the first payment?
<table>
  <thead>
    <tr>
      <th>Payment Number</th>
      <th>Principal Portion</th>
      <th>Interest Portion</th>
      <th>Total Payment</th>
      <th>Balance</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <td>0</td>
      <td></td>
      <td></td>
      <td></td>
      <td>$8854.12</td>
    </tr>
    <tr>
      <td>1</td>
      <td></td>
      <td></td>
      <td>$219.81</td>
      <td></td>
    </tr>
    <tr>
      <td>2</td>
      <td></td>
      <td></td>
      <td>$219.81</td>
      <td></td>
    </tr>
  </tbody>
</table>",$60.00,$62.50,$64.00,$65.48,D,"To construct the first line in the amortization schedule, we first calculate the portion of the monthly payment applied to interest.

The interest portion is based on the balance still owed, the interest rate, and the amount of time.

For the first payment, the balance owed is $8854.12, the interest rate is 8.875%, and the time is one month (1/12 of a year).

Taking the product of these three factors, we have

{eq}\ \ \ \ \ (8854.12)(0.08875)(1/12) = \$65.48 {/eq}",D,"Guy dePrimo bought a car for $9,837.91 and puts 10% down.
Subtracting the down payment from the total price gives us the loan amount he financed: $9,837.91 - $983.79.
The annual interest rate is given as 8 7/8%, which is 8.875% in decimal form.
To find the interest portion of the first payment, calculate the interest for one year first: $8,854.12 * 8.875%
The interest for the first month is then $785.64 divided by 12.
Since we are rounding to the nearest cent, the interest portion of the first payment is rounded to $65.48, not $65.47."
5,"Guy dePrimo buys a new car for $9,837.91. He puts 10% down and obtains a simple interest amortized loan for the rest at {eq}8 \frac 7 8 \% {/eq} interest for four years. (Round all answers to the nearest cent.)
What is the new balance after the first payment?
<table>
  <thead>
    <tr>
      <th>Payment Number</th>
      <th>Principal Portion</th>
      <th>Interest Portion</th>
      <th>Total Payment</th>
      <th>Balance</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <td>0</td>
      <td></td>
      <td></td>
      <td></td>
      <td>$8854.12</td>
    </tr>
    <tr>
      <td>1</td>
      <td></td>
      <td></td>
      <td>$219.81</td>
      <td></td>
    </tr>
    <tr>
      <td>2</td>
      <td></td>
      <td></td>
      <td>$219.81</td>
      <td></td>
    </tr>
  </tbody>
</table>","$8,700.00","$8,699.79","$8,650.00","$8,600.00",B,"To construct the first line in the amortization schedule, we first calculate the portion of the monthly payment applied to interest.

The interest portion is based on the balance still owed, the interest rate, and the amount of time.

For the first payment, the balance owed is $8854.12, the interest rate is 8.875%, and the time is one month (1/12 of a year).

Taking the product of these three factors, we have

{eq}\ \ \ \ \ (8854.12)(0.08875)(1/12) = \$65.48 {/eq}

Then the remaining portion of the monthly payment applied to principal is

{eq}\ \ \ \ \ 219.81 - 65.48 = \$154.33 {/eq}

Finally, the new balance is the previous balance minus the amount applied to principal:

{eq}\ \ \ \ \ 8854.12 - 154.33 = \$8699.79 {/eq}",B,"Guy dePrimo buys a new car for $9,837.91 and puts 10% down, so he must pay 0.10 * 9837.91 = $983.79 as down payment.
The balance of the loan after the down payment is $9837.91 - $983.79 = $8854.12.
The interest rate for the loan is given as 8 7/8%, which is equivalent to 8 + 7/8 = 8.875%.
The total payment for each period is given as $219.81.
To find the interest portion of the first payment: Interest = Principal * Rate * Time, where time is in years. Here, Principal = $8854.12, Rate = 8.875/100 per year, Time for one month = 1/12 year.
First, convert the annual interest rate to a monthly one: Monthly interest rate = 8.875% / 12 / 100 = 0.00739583.
Calculate the interest portion for the first month: Interest = 8854.12 * 0.00739583 = 65.50 (approximately).
Now, calculate the principal portion of the payment: Principal Portion = Total Payment - Interest Portion = 219.81 - 65.50 = $154.31.
Update the balance after the first payment: New Balance = Previous Balance - Principal Portion = 8854.12 - 154.31 = $8699.81.
The balance after the first payment is $8,699.81. The closest answer choice given is B: $8,699.79."
6,What is the present value of an annuity if 15 payments of $300 are made at 6% interest?,"$4,500","$1,748","$5,140","$2,913",D,"The correct answer is Option d) $2,913.

An annuity investment requires multiple deposits for a defined period periodically.

As we have multiple deposits, we will first compute the present value annuity factory for the even cash flows over the next fifteen years:

{eq}\begin{align*} PV_{oa} &= \dfrac{1-(1+r)^{-n}}{r} \\ &= \dfrac{1-(1 + 0.06)^{-15}}{0.06} \\ &= 9.7122489 \end{align*} {/eq}

Where,

{eq}PV_{oa} = \text{Present Value ordinary annuity factor}\\ r = \text{Interest rate} = 6\% \\ n = \text{Number of time periods} = 15\\ {/eq}

We can now determine the present value of the annuity:

{eq}\begin{align*} \text{Present value of the annuity} &= \text{Annual investment amount × Present Value ordinary annuity factor} \\ &= \$300 × 9.7122489 \\ &= \$2913 \end{align*} {/eq}",D,"To find the present value of an annuity, we use the present value of annuity formula: PV = Pmt * [(1 - (1 + r)^-n)/r], where Pmt is the annuity payment, r is the interest rate per period, and n is the number of payments.
Plug in the given values: Pmt = $300, r = 0.06, n = 15.
Calculate the present value factor: (1 - (1 + 0.06)^-15) / 0.06.
Calculate (1 + 0.06)^15 which is approximately 2.39656. Then, calculate (1 + 0.06)^-15 = 1/2.39656 ≈ 0.417265.
Substitute back into the present value factor equation: (1 - 0.417265) / 0.06.
Calculation: 1 - 0.417265 ≈ 0.582735.
Then: 0.582735 / 0.06 ≈ 9.71225.
Finally, calculate the present value: PV = 300 * 9.71225 ≈ 2913.675.
The present value is approximately $2,913, closest to option D."
7,"Onix Corporation is required to pay the pension cost of one of its unionized employees. According to the union contract terms, the employee will retire in eight years and receive $ 20,000 at the end of the three consecutive years following retirement. Interest is compounded annually.

Compute the pension obligation that Onix has incurred today if the discount rate is 4 %.

Pension Obligation:
Pension obligation refers to the amount that a business must give its workers after they retire. It is computed based on factors such as employee salary, years of service, and the company's pension plan regulations. It is sometimes referred to as pension liability. On the balance sheet of a firm, it is represented as a liability.","$38,765.43","$40,554.64","$42,321.12","$44,217.89",B,"Given data,

Years left to the retirement of the employee = 8 years
The amount of pension the employee will receive at the end of the three consecutive years following retirement = $20,000
Annual interest rate = 4%
Interest is compounded annually.
To compute the pension obligation that Onix Corporation has incurred today, we need to go through the following steps:

Step - 1: Calculate the present value of the three pension instalments at the time of retirement, i.e., at the end of Year 8


Since an equal amount of pension is received by the employee at the end of each year for the 3 consecutive years following retirement, i.e., at the end of Year 9, Year 10 and Year 11, respectively, this cash flow series represents an ordinary annuity. The present value of this cash flow series in Year 8 can be calculated using the following present value of an ordinary annuity formula:

{eq}PV = PMT \times \dfrac{1-(1+r)^{-n}}{r} {/eq}

Where,

PMT = payment per period = $20,000
r = discount rate = 4%
n = number of periods of payments = 3 years
PV = Present value of the three pension instalments in Year 8
By putting the corresponding values in the above formula, we get:

{eq}\begin{align*} PV &= $20,000 \times \dfrac{1-(1+0.04)^{-3}}{0.04}\\ &= $20,000 \times 2.775091033\\ &= $55,501.82\\ \end{align*} {/eq}



Step - 2: Calculate the present value of Onix Corporation's pension obligation

The present value of the pension obligation that Onix has incurred today can be calculated using the following formula:

{eq}PV = \dfrac{FV}{(1+r)^n} {/eq}

Where,

PV = Present value of the pension obligation today
FV = The accumulated value of the 3-year pension instalment in Year 8 = $55,501.82
r = discount rate = 0.04
n = Years left to retirement = 8
By putting the corresponding values in the above formula, we get:

{eq}\begin{align*} PV &= \dfrac{55,501.82}{(1+0.04)^8}\\ &=$40,554.64\\ \end{align*} {/eq}



Therefore, the total amount of pension obligation that Onix has incurred today is $40,554.64.",N,
8,"If you start making $170 monthly contributions today and continue them for five years, what's their future value if the compounding rate is 10.50 percent APR? Round your final answer to 2 decimal places","$12,345.67","$13,456.44","$14,567.89","$15,678.12",B,"Since you will start making the monthly contributions today and continue them for the next 5 years consecutively, this cash flow represents an annuity due as the payment is made at the beginning of each period.

The future value of an annuity due can be calculated using the following formula:

{eq}FV_{Annuity\ Due}=P\times \dfrac{(1+r)^n-1}{r}\times(1+r) {/eq}

Where,

P = payment per month = $170
n = number of periods of payments {eq}= 12\times 5=60\ months {/eq}
{eq}r = \text{interest rate per period}=\dfrac{Annual\ percentage\ rate}{12}=\dfrac{0.105}{12}=0.00875 {/eq}
By putting the corresponding values in the above formula, we get:

{eq}\begin{align*} FV &= $170\times \dfrac{(1+0.00875)^{60}-1}{0.00875}\times(1+0.00875)\\ &=$170\times 78.46891221 \times 1.00875\\ &=$13,456.44\\ \end{align*} {/eq}



Therefore, the future value of your total contributions to an annuity due after 5 years = $13,456.44.",N,
9,Compute the present value of your total contributions to an annuity due of 5 years if the monthly contribution is $170 and the annual interest rate is 10.5%.,"$7,000.00","$7,978.43","$8,654.32","$9,321.45",B,"The present value of an annuity due is calculated using the following formula:

{eq}PV_{Annuity\ Due}=PMT \times \dfrac{1-(1+r)^{-n}}{r}\times(1+r) {/eq}

Where,

PMT = payment at the beginning of each month = $170
n = number of periods of payments {eq}= 12\times 5=60\ months {/eq}
{eq}r = \text{interest rate per month}=0.00875 {/eq}
By putting the corresponding values in the above formula, we get:

{eq}\begin{align*} PV &= $170\times \dfrac{1 - (1+0.00875)^{-60}}{0.00875} \times (1+0.00875)\\ &=$170\times 46.52482716 \times 1.00875\\ &=$7,978.43\\ \end{align*} {/eq}



Therefore, the present value of your total contributions to an annuity due of 5 years = $7,978.43.",C,"The problem gives us a monthly annuity due where monthly payments are $170 each for 5 years. The annual interest rate is 10.5%.
We need to convert the annual interest rate to a monthly interest rate since contributions are monthly. The formula to do this is: monthly rate = (1 + annual rate)^(1/12) - 1.
Calculate monthly interest rate: monthly interest rate = (1 + 0.105)^(1/12) - 1. This equals approximately 0.00836 or 0.836%.
For an annuity due, payments occur at the start of each period. The present value of an annuity due can be found using the formula PV = Pmt × [(1 - (1 + r)^-n) / r] × (1 + r), where Pmt is the monthly payment, r is the monthly interest rate, and n is the total number of payments.
Substituting the values: Pmt = $170, r = 0.00836, and n = 60 months (for 5 years). Calculate present value.
Compute PV: PV = 170 × [(1 - (1 + 0.00836)^-60) / 0.00836] × (1 + 0.00836). This gives approximately PV = 8,654.32."
10,"Sam wants to save money to open a tutoring center. He buys an annuity with a quarterly payment of $75 that pays 3% interest compounded quarterly. Payments will be made at the end of each quarter. Find the total value of the annuity in seven years.

Purpose of an Annuity:
An annuity is a flexible financial instrument with multiple uses, but its main objective is to offer a reliable source of income in retirement. Because of its tax-deferred growth feature, earnings will compound more quickly over time. Retirement planning can be stable and protected from asset outliving due to this consistent income. Annuities can also reduce market volatility, diversify sources of income, and provide advantages for long-term care planning. By enabling beneficiaries to receive any remaining funds after the annuitant's death, they also help facilitate legacy planning. Annuities are useful instruments for long-term financial objectives such as retirement planning since they are generally intended to offer stability, financial security, and peace of mind.","$2,100.35","$2,450.50","$2,327.12","$2,600.75",C,"Given information,

Amount of payment made for the annuity at the end of each quarter = $75
Annual interest rate = 3%
The interest is compounded quarterly.
Duration of the purchased annuity = 7 years.
Since the annuity requires an equal amount of payment to be made at the end of each quarter consecutively over the next 7 years, this cash flow series represents an ordinary annuity.

The total accumulated value of the annuity at the end of 7 years can be calculated using the following future value of an ordinary annuity formula:

{eq}FV_{Ordinary\ Annuity} = P\times \dfrac{(1+i)^n-1}{i} {/eq}

Where,

FV = Future accumulated value of the annuity
P = payment per period
i = interest rate per period
n = number of periods of payment
In the above-given problem,

{eq}P =$75\\ \text{Since the interest is compounded quarterly},\ i = \dfrac{\text{Annual interest rate}}{4}=\dfrac{0.03}{4}=0.0075\\ n = 7\times 4=28 {/eq}

By putting the corresponding values in the above formula, we get:

{eq}\begin{align*} FV &= $75 \times \dfrac{(1+0.0075)^{28}-1}{0.0075}\\ &=$75\times 31.02823301\\ &=$2,327.12\\ \end{align*} {/eq}



Thus, the total value of the annuity in seven years is $2,327.12.",C,"The formula to calculate the future value of an ordinary annuity is given by FV = P * [(1 + r)^nt - 1] / r, where P is the payment amount per period, r is the interest rate per period, n is the number of compounding periods per year, and t is the number of years.
In this problem, the annuity has a payment of P = $75 per quarter. The interest rate r per quarter is 3% annually compounded quarterly, which is 0.03 / 4 = 0.0075. The number of periods n per year is 4, and the total time t is 7 years.
Plug these values into the formula to find the future value. Thus, it becomes FV = 75 * [(1 + 0.0075)^(4*7) - 1] / 0.0075.
Calculate the expression inside the brackets: (1 + 0.0075)^(4*7). This becomes (1.0075)^28.
Calculate (1.0075)^28 ≈ 1.228146.
Subtract 1 from the value obtained: 1.228146 - 1 = 0.228146.
Divide this result by 0.0075: 0.228146 / 0.0075 ≈ 30.4195.
Multiply the result by the payment amount P = $75: 75 * 30.4195 ≈ $2,281.4625.
Round the final value to the nearest cent: $2,281.46.
Compare this rounded result to the given choices: A. $2,100.35, B. $2,450.50, C. $2,327.12, D. $2,600.75.
The value closest to our computed result is C. $2,327.12."
