id,question,A,B,C,D,answer,explanation,hint
1,"A quick, rough estimate of the time required for money to double can be obtained by dividing which of the following numbers by the compound interest rate?",56,64,72,100,C,"The correct option is
(c) 72
Rule of 72,
Under compound interest, the rule of 72 helps us to determine in how much time the accumulated amount will be twice of the initial investment. It can be roughly calculated by dividing 72 by the compound interest. The answer will be the number of years in which the initial investment will be doubled.","Compound Interest: Compound interest is the interest that earns interest on itself. In financial mathematics, compound interest is used in annuities, loan schedules, time value of money, investment and insurance plans, etc."
2,"An investment of $30,000 increased to $80,000 over an 8-year period. What was the compound rate of return on the investment?",10.80%,The interest rate cannot be determined.,13.00%,9.00%,C,"The correct option is
(c.) 13.0%
Under compound interest,
{eq}\text{Accumulated Amount} = \text{Initial Amount} \times (1 + i)^{n} {/eq}
where,
i = interest rate
n = number of years
Here,
Accumulated Amount = $80,000
Initial Amount = $30,000
n = 8 years
Putting values, we can solve for i
{eq}\text{Accumulated Amount} = \text{Initial Amount} \times (1 + i)^{n}\\ \$80,000 = \$30,000 \times (1 + i)^{8}\\ (1 + i)^{8} = \dfrac{\$80,000}{\$30,000}\\ (1 + i)^{8} = 2.6667\\ \text{Taking log on both sides}\\ 8 \times log(1 + i) = log(2.6667)\\ 8 \times log(1 + i) = 0.98084\\ log(1 + i) = \dfrac{0.98084}{8}\\ log(1 + i) = 0.122605\\ \text{Taking anti-log on both sides} 1 + i = 1.1304\\ i = 0.1304\\ i = 13.04\% {/eq}
The closest option is (c.) 13%",Compound Interest: Compound Interest is the interest that earns interest on itself. The accumulation under compound interest is faster than that in simple interest because of compounding.
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
8,The compound interest method refers to:,Interest is calculated only on the original principle.,Interest is calculated on a dollar received today.,Interest is calculated on both the original principle and on all interest accumulated since the beginning of the interest period.,All of the above.,C,"The correct answer is
c. Interest is calculated on both the original principal and on all interest accumulated since the beginning of the interest period.
Interest charged on a compounded basis implies that interest is calculated on the initial principal and the interest accumulated since the beginning. So, the interest keeps increasing with each period, and the money multiplies at a faster rate when compared to simple interest. Thus, compound interest makes investments more desirable but debt riskier.
The other options are incorrect.
a.
Interest is calculated only on the original principal:
When the interest is calculated only on the original principal amount without considering the accumulated interest, it is called simple interest.
b.
Interest is calculated on a dollar received today:
The interest calculated on a dollar received today does not represent compound interest.",Interest: Interest is the cost of funds lent by the lender to the borrower. It is the compensation to the lender for providing capital and bearing the risk involved in the process. Interest is usually expressed as a percentage.
9,"Travis invested {eq}\$9,250 {/eq} in an account that pays 6 percent simple interest. How much more could he have earned over a 7-year period if the interest had compounded annually?",{eq}\$773.58 {/eq}.,{eq}\$802.16 {/eq}.,{eq}\$741.41 {/eq}.,{eq}\$833.33 {/eq}.,A,"The answer is a. $773.58.
Given information:
Initial investment = $9,250
Annual interest rate (I) = 6%
Holding period (N) = 7 years
Estimate the total interest earnings if the simple interest is applied to the case:
{eq}\text{Interest earnings}_{Simple} = \displaystyle \text{Initial investment} \times \text{I} \times \text{N} \\ \text{Interest earnings}_{Simple} = \displaystyle \$9,250 \times 6\% times 7 \\ \text{Interest earnings}_{Simple} = \$3,885 {/eq}
Estimate the total interest earnings if the compounding interest is applied to the case:
{eq}\text{Interest earnings}_{Compounding} = \displaystyle \text{Initial investment} \times (1 + \text{I})^N - \text{Initial investment} \\ \text{Interest earnings}_{Compounding} = \displaystyle $9,250 \times (1 + 6\%)^7 - $9,250 \\ \text{Interest earnings}_{Compounding} = \$4,658.58 {/eq}
Estimate the additional interest earnings generated by the compounding interest:
{eq}\text{Additional interest earnings} = \text{Interest earnings}_{Compounding} - \text{Interest earnings}_{Simple} \\ \text{Additional interest earnings} = \$4,658.58 - \$3,885 \\ \text{Additional interest earnings} = \$773.58 {/eq}","Simple Interest: The simple interest indicates that interest earnings are estimated on the investment principal and will not be reinvested in the initial investment. With that being said, simple interest produces fewer interest earnings than compounding interest."
10,"When interest is paid on both the principal amount and prior interest earned, this is called:",accounting rate of return.,the discount factor.,compound interest.,simple interest.,C,"The correct answer is option c. compound interest.
Compound interest is a type of interest that is applied not only to the principal amount of an investment or loan, but also to the interest accrued during the lifetime of that investment or loan.
For example, if a savings account earns compound interest where interest is compounded monthly, then the interest earned at the end of each compounding period, or month in this case, is added to the balance of the account, and then interest accrues on that amount as well as the principal amount invested.
The explanations for why the other answer options are incorrect are as follows:
Choice A. Accounting rate of return:
This is not a correct option, because an accounting rate of return is used to calculate the profitability of an investment as opposed to being a type of interest earned on an account.
Choice B. The discount factor:
The discount factor is not a type of interest, but rather, it is used to calculate the present value of future cash flows. Thus, this is not a correct answer option.
Choice D. Simple interest:
This option is not correct, because simple interest is a type of interest in which interest is only paid on the principal amount and not on any prior interest earned.","Principal Amount: In accounting and finance, the term 'principal amount' refers to original amount invested in an interest-bearing account or investment. In terms of loans, principal amount can also refer to the original amount borrowed from a lender."
