id,question,A,B,C,D,Answer,Explanation,Hint
1,"A 25-year bond with a par value of $1,000 sells for $990.92. The current market interest rate is 10%. How much coupon interest does the bond pay?",$119.34 ,$98.99 ,$247.45 ,$100.00 ,B,"The correct answer is Option
(B)
i.e.,
$98.99
.
Given Information
Par value, FV =$1,000
Current price, CP = $990.92
Interest rate, r = 10%
Time to maturity = 25 years
Let C be the coupon payment.
Computation of coupon interest payment
{eq}\begin{align*}

CP &= \left[ {C \times \left( {\dfrac{{1 - {{\left( {1 + r} \right)}^{ - n}}}}{r}} \right)} \right] + \dfrac{{FV}}{{{{\left( {1 + r} \right)}^n}}}\\

\$ 990.92 &= \left[ {C \times \left( {\dfrac{{1 - {{\left( {1 + 10\% } \right)}^{ - 25}}}}{{10\% }}} \right)} \right] + \dfrac{{\$ 1,000}}{{{{\left( {1 + 10\% } \right)}^{25}}}}\\

\$ 990.92 &= \left[ {C \times \dfrac{{0.9077}}{{0.10}}} \right] + \dfrac{{\$ 1,000}}{{10.8347}}\\

\$ 990.92 &= 9.077 \times C + \$ 92.30\\

C &= \dfrac{{\left( {\$ 990.92 - \$ 92.30} \right)}}{{9.077}}\\

&= \$ 98.99

\end{align*}

{/eq}
Thus, the coupon interest payment for the bond is approximately $98.99.",Coupon Rate: The coupon rate is the rate issued with steady income security. It is similar to the simple interest rate on a bank deposit. The investors get attracted to the bond having a high coupon rate.
2,"A bond with a coupon rate of 7.5% maturing in 10 years at a value of $1,000 and the current market price of $776 will have a current yield to maturity of:",11.30%,10.40%,9.70%,7.50%,C,"The correct answer is
c. 9.7%
.
In order to calculate the current yield, we need the following inputs:
Coupon amount = $75 ($1,000 × 7.5%)
Current market price = $776
The formula below explains how these inputs are arranged to arrive at the current yield:
Current yield = {eq}\dfrac{\text{Current Yield}}{\text{Current Market Price}} = \dfrac{\$75}{\$776} = 9.7\% {/eq}",Bond's Coupon: A bond's coupon rate refers to the fixed interest rate the company offers to the bond investors for the bond's life. It is a percentage applied to the bond's par value and is a necessary metric for bond valuation.
3,"If a corporate bond with a face value of $2,000 pays yearly coupon payments of $50, what is the coupon rate?",2.50%,4%,25%,40%,A,"Correct Answer:
Option a. 2.5%
.
We can determine the coupon rate using the following formula:
{eq}\text{Coupon rate} = \dfrac{\text{Coupon amount}}{\text{Bond's face value}} = \dfrac{\$50}{\$2,000} = 2.5\%

{/eq}
The coupon rate is applied to the bond's face value.","Face Value: A bond can be issued at face value, usually $1,000. It can also be issued at a value above or below the face value. Bond premium or discount should be amortized over the bond's useful life."
4,"On July 1, 2017, Jason Company purchased $60,000 of ten-year 6% bonds of Santo, Inc., for $51,850, to be held to maturity. Interest is payable semiannually on June 30 and December 31. The effective yield on the investment is 8%.","$2,400 ","$2,084.96 ","$2,063.04 ","$2,074 ",D,"The correct option is D.
The interest revenue is calculated using the cost of the bonds and their effective yield:
Cost of the bonds
$51,850
Effective yield
8%
Annual interest revenue = $51,850 × 0.08
$4,148
Interest for 6 monhts
= $4,148 × 6/12
$2,074
Jason Company will receive cash interest payment of $60,000 × 0.06 × 6/12 = $1,800. The balance of the interest revenue is the amortization of the bond discount.",Investment Revenue: Investment revenue is a non-operating revenue on the income statement of most companies. It represents the interest and dividend revenue a company recognized on its investments in the debt and equity securities of other companies.
5,"What is the total return to an investor who buys a bond for $1,060 when the bond has a 6.75% coupon rate and 3 years remaining until maturity, then sells the bond after 1 year for $1,040?",4.57%,4.48%,5.30%,6.75%,B,"The total return to an investor is 4.48% (B)
The calculation for total return is shown below.
{eq}Total \ return \ = \ \dfrac{Selling \ price \ + \ \left ( Face \ value \ \times \ Coupon \ rate \right ) \ - \ Purchase \ price}{Purchase \ price} \ \times \ 100

\\

Total \ return \ = \ \dfrac{\$1,040 \ + \ \left ( \$1,000 \ \times \ 6.75\% \right ) \ - \ \$1,060}{\$1,060} \ \times \ 100

\\

Total \ return \ = \ \dfrac{\$1,040 \ + \ \$67.50 \ - \ \$1,060}{\$1,060} \ \times \ 100

\\

Total \ return \ = \ \dfrac{\$47.5}{\$1,060} \ \times \ 100

\\

Total \ return \ = \ 4.48\%

{/eq}",Coupon Rate: A coupon rate can be defined as the interest rate that the bond issued is offering to the investors. The coupon rate is used to calculate the semi-annual or annual interest payment made to the investor.
81,A $1000 face value coupon bond with a $60 coupon payment every year has a coupon rate of,0.6 percent.,5 percent.,6 percent.,10 percent.,C,"Let us determine the annual coupon rate. The formula is:
{eq}Coupon\:rate = \dfrac{Coupon\:payment}{Face\:value}

{/eq}
Here, the face value is $1,000 and the coupon payment made every year is $60.
{eq}Coupon\:rate = \dfrac{60}{1,000} \\

Coupon\:rate = 0.06 \:or\:6\text{%}

{/eq}
The coupon rate is
C. 6 percent.","Coupon Rate: The coupon rate is the rate used to determine the actual amount paid by the issuing company to its bondholders as periodic interest. Depending on the agreement, the coupon payment can be paid monthly, quarterly or semiannually."
82,"A $2,000 face value coupon bond with a $120 coupon payment every year has a coupon rate of:",0.60%,5%,6%,10%,C,"The correct answer to the given question is option
C) 6 %
.
The coupon rate is given by:
{eq}\begin{align*}

&= \dfrac{\text{Coupon payment}}{\text{Face value}} \\[0.3 cm]

&= \dfrac{\$120}{\$2,000} \\[0.3 cm]

&= 6\%

\end{align*}

{/eq}","Bonds: In the context of economics, a bond is a credit instrument used by financial institutions, governments and corporate to borrow funds from investors. The factors which influence the price of a bond are the time remaining till maturity, the coupon rate and the relevant market interest rate."
83,"A bond pays $25 in interest every 6 months and matures in 12 years. Its par value is $1,000. The bond is currently priced at $980. What is the bond's coupon rate?",$25 ,$50 ,2.50%,5.00%,D,"d. 5.0%
Semi-annual interest = $25
n =12 years
Par value= $1,000
Price = $980
{eq}\begin{align*}

Coupon \ rate & = \dfrac{Coupon \ payment}{ Par}* 2\\

& = \dfrac{25}{ 1,000} * 2\\

& =0.05\\

& =5\%\\

\end{align*}

{/eq}","Coupon Rate: In pricing a bond, the four variables required are; face value, coupon rate, yield to maturity, and the term to maturity. The coupon rate is applied to estimate the fixed interest payments the bondholder will be earning each period. The coupon rate is expressed in percent form and is multiplied by the face value to calculate the coupon payment."
84,"A General Electric 7{eq}\frac {1}{2}

{/eq} 25 bond closed at 98. What is the current yield?",7.81%,7.65%,7.50%,7.34%,B,The current yield on this bond would be b. 7.65%.  This is calculated by taking the annual coupon payment and dividing that by the bond's present market value.  Taking the 7/25 bond would enter a 7.65% yield.,Bond Coupon: A bond coupon or coupon rate is the actual amount of interest that is paid on the bond.  This is communicated as a percentage and is usually paid on a semi-annual basis.
85,"Bryant Inc. just issued {eq}\$1,000

{/eq} par {eq}30

{/eq}-year bonds. The bonds sold for {eq}\$1,107.20

{/eq} and pay interest semiannually. Investors require a rate of {eq}7.75\%

{/eq} on the bonds. What is the bonds' coupon rate?","{eq}9.333\%

{/eq}.","{eq}7.750\%

{/eq}.","{eq}4.125\%

{/eq}.","{eq}8.675\%

{/eq}.",D,"The annual coupon rate is
8.675%
.
So, the correct answer is
option d) 8.675%
Explanation
Present value of bond = Semi-annual interest * PVIFA (semi-annual rate, period) + Maturity value * PVIF (semi-annual rate, period)
Here,
Present value of bond = $1,107.20
Semi-annual rate = 3.875% (7.75%/2)
Period = 60 semi-annual years (30 * 2)
Maturity value = $1,000
Semi-annual interest = Face value * Coupon rate
So,
$1,107.20 = Semi-annual interest * PVIFA (3.875%, 60) + $1,000 * PVIF (3.875%, 60)
$1,107.20 = Semi-annual interest * PVIFA (3.875%, 60) + $1,000 * PVIF (3.875%, 60)
$1,107.20 = $1,000 * Coupon rate * 23.169719 + $1,000 * 0.102173
$1,107.20 = Coupon rate * 23,169.72 + $102.17
Semi-coupon rate = 0.043377 or 4.3377%
Annual Coupon rate
= 2 * 4.3377% =
8.675%",Coupon Rate The coupon rate is the interest rate based on which the interest is paid to the investors. The cash paid as interest is computed as a percentage of the face value. And this percentage is called as coupon rate. If the coupon rate is more than the market rate the bond is issued at a premium and if coupon rate is lower the issue takes place at a discount
