id,question,A,B,C,D,Answer,Explanation,Hint
1,3/15 net 45 means the seller gets a 3% discount if they pay in 15 days otherwise they must pay within 60 days of the invoice.,TRUE,FALSE,,,B,"The statement is false.
The traders follow a very common tactic of providing trade credits to their customers, which helps them to maintain capital for their day-to-day productions and also helps in the expansion of their business. 3/15 net 45 is also trade credit given to the debtors. It helps the traders to get returns before the decided time from the debtors. The trade-credit given in this question has three elements which are:
1. 3 shows the discount the debtor will get if they pay the trader before the time.
2. 15 shows that the debtors are eligible for the discount only when they pay back within 15 days.
3. net 45 means that if the debtor decides not to accept this offer, they are liable to pay the amount for goods taken on credit within 45 days.
Now, this statement is wrong as the discount rate and the duration of 15 days to get the discount is right, but they are liable to pay the trader within 45 days and not 60 days which makes this statement false.",Trade Credit: When a trader passes the ownership of a product to the customer without getting instant cash but with a promise that the customer will pay back within a decided time is known as trade credit.
2,"A {eq}\$20,000 {/eq}, 90-day, {eq}8\% {/eq} note payable was issued on November 1, 2015. Which of the following would be included in the journal entry required on the note's maturity date?","A credit to note payable for {eq}\$20,400 {/eq}.","A credit to cash for {eq}\$10,000 {/eq}.",A debit to interest expense for {eq}\$133 {/eq}.,A debit to interest payable for {eq}\$133 {/eq}.,C,"To answer this problem, we must consider the date when the note was issued and the maturity date of the note.
The note was issued on November 1,2015. Since it has 90-day maturity, it is expected to be settled on January 30, 2016. Let us make the above necessary journal entries.
Date
Account Title
Debit
Credit
Nov. 1
Cash
$20,000
Notes Payable
$20,000
To record the issuance of the note.
November 30
Interest Expense
($20,000 x 8% x 1/12)
$133
Interest Payable
$133
To record interest expense for November 2015.
December 31
Interest Expense
$133
Interest Payable
$133
To record interest expense for December 2015.
January 30
Note Payable
$20,000
Interest Payable
$266
Interest Expense
(for January)
$133
Cash
$20,399
To record settlement of the note at maturity.
Therefore, at maturity, the note payable, interest payable, and interest expense are all debited while cash is credited. So,
the correct answer is option C. A debit to interest expense for $133.","Notes Payable: A note payable is considered a liability for the borrower, representing money that must be repaid to the lender. In accounting, notes payable are recorded on the borrower's balance sheet as a liability, while the lender records it as a receivable in their financial statements."
3,"A business issued a $5,000, 60-day, 12% note to the bank. The amount due at maturity is:","$4,900 ","$5,000 ","$5,100 ","$5,600 ",C,"The amount due at maturity is
c) $5,100
.
The business should start by determining the total interest on the note for 60 days using the following equation:
{eq}\text{Interest on the note} = \dfrac{\text{Face value of the note × Interest rate }}{\text{Total period}} × \text{ Interest period}= \dfrac{\$5,000 × 12\%}{360\,days} × 60\,days = \$100 {/eq}
With the interest on the note, the maturity value of the note can be computed as follows:
Note's maturity value = Face value of the note + Total interest
Note's maturity value = $5,000 + $100
Note's maturity value = $5,100
Note:
A year is assumed to have 360 days.",Notes Payable: Notes payable refer to a financial instrument representing a promise by one party (the borrower) to repay the sum borrowed from the other party (the lender) at a future date. Notes payable are used in business transactions as a source of finance.
4,"A business issued a $5,000, 60-day, 12% note to the bank. The amount due at maturity is:","$5,000.00 ","$4,900.00 ","$5,100.00 ","$5,600.00 ",C,"The correct answer is
c) $5,100
.
The interest accrued for 60 days should be calculated before proceeding with the maturity value computations. Assuming a year to have 360 days, we have accrued interest computation below:
{eq}\text{Interest on the note} = \dfrac{\text{Face value of the note × Interest rate }}{\text{Total period}} × \text{ Interest period}= \dfrac{\$5,000 × 12\%}{360} × 60 = \$100 {/eq}
With the above computation, the maturity value of the note can be computed as follows:
Note's maturity value = Face value of the note + Accrued interest
Note's maturity value = $5,000 + $100
Note's maturity value = $5,100",Accrued Interest: Accrued interest refers to the amount incurred from using the borrowed capital for a specific period but unpaid. It should be recognized as a liability until paid along with the principal repayment.
5,"A sales invoice included the following information: merchandise price, $5,000; terms 1/10, n/eom. Assuming that a credit for merchandise returned of $600 is granted prior to payment, and that the invoice is paid within the discount period, what is the amount of cash received by the seller?","$4,656 ","$4,400 ","$4,356 ","$4,950 ",C,"The correct answer is
option c. $4,356.
Given information:
Sales invoice = $5,000
Sales return = $600
Discount rate = 1%
The credit condition 1/10 indicates that if payment is made within 10 days of the date on the invoice, the company will receive a 1% discount on the total amount payable (excluding the freight amount). The term n/EOM indicates that if the business does not pay within ten days, the full amount will be owed at the end of the month.
Step 1: Determine the net sales, as given below:
{eq}\begin{aligned} \text{Net sales } &=\text{ Sales invoice }-\text{ Sales return} \\ &=\$5,000-\$600 \\ &=\$4,400 \end{aligned} {/eq}
Step 2: Determine the cash received by the seller, as given below:
The discount will also be subtracted from the net sales because the payment was received during the discount period:
{eq}\begin{aligned} \text{Cash received by seller} &=\text{ Net sales }-\left( \text{Net sales}\times \text{Discount rate} \right) \\ &=\$4,400\text{ }-\text{ }\left( \$4,400\text{ }\times \text{ }1\% \right) \\ &=4,400\text{ }-\$44 \\ &=\$4,356 \end{aligned} {/eq}
Thus, the cash received by the sellers will be $4,356.","Credit Term: In accounting, credit terms are the terms of the contract between a buyer and a seller that specify the frequency and sum of the buyer's future payments. In the market, credit terms are defined by four elements: time, interest, amount, and default terms."
6,"Alco Inc. has assets of $100,000 and multiple bonds payable. Which of the following has the senior claim to Alco Inc.s assets in the event of bankruptcy?",Preferred stockholders.,Common stockholders.,Bondholders.,Owners.,C,"The correct answer is option c. Bondholders.
As a general, the highest priority of claims in times of bankruptcy is the external creditors, then the internal one. In the event of bankruptcy, bondholders have the senior claim to a company's assets compared to stockholders (preferred and common) and owners. This is because bonds are considered debts owed by the company, and debt holders have a higher priority in the repayment hierarchy during bankruptcy proceedings. After bondholders are paid, any remaining assets can be distributed to preferred stockholders, followed by common stockholders and, finally, owners (if any assets remain).
Accordingly, when we arranged the order of priority for the claim, the following is the order.
c. Bondholders.
a. Preferred stockholders.
b. Common stockholders.
d. Owners.
Therefore,
the correct answer is option c. Bondholders.","Bankruptcy: In business and finance, bankruptcy refers to legal steps through which individuals or businesses that are unable to repay their outstanding debts can seek financial relief and protection from their creditors."
7,"Coronado Industries borrowed $410,000 on April 1. The note requires interest at 12% and principal to be paid in one year. How much interest is recognized for the period from April 1 to December 31?",$0 ,"$32,800 ","$36,900 ","$49,200 ",C,"The correct answer is
c. $36,900
.
Coronado Industries should use the following inputs to determine the interest on the note to be recognized as on December 31:
Face value of the promissory note = $410,000
Interest rate = 12%
Accrual period = 9 months (April 1 - December 31).
Upon arranging these inputs logically, we have the following number:
Interest on the note = Face value of the note × Interest rate × {eq}\dfrac{9}{12} {/eq}
Interest on the note = $410,000 × 12% × {eq}\dfrac{9}{12} {/eq}
Interest on the note = $36,900",Interest Computation: Interest should be accrued when it is not payable in the same period. The accrual should be for the time the interest is due and at the rate at which the lender charges the borrower on the loan amount.
8,"If a supplier is offering trade credit of 1/10 net 30, and a buyer chooses not to take the discount, when should they pay, assuming that they wish to stay on good terms with the supplier?",any time before day 10,on day 10,any time after day 30,on day 30,D,"The correct answer is option D), i.e., on day 30.
The trade-credit that the supplier is offering simplifies into that the customer will get a discount of 1% on payments for the goods purchased on credit if paid on or before the 10th day of the purchase; otherwise, the customer is liable to pay the full payment for the goods purchased on credit on or before 30 days. Now, it is given that the buyer chose to forgo the discount, which means that the buyer will not pay within or on the 10th day of the purchase, and therefore, now the buyer has 20 days left (30 days-10 days) to make the full payment to stay on good terms with the supplier. So, this deducts options A and B because the buyer has decided to forgo the discount as given in the question.
Option C is that the buyer will pay any time after day 30, which will defer the buyer's payment as the payment will be made after the period decided for trade credit and can form bad terms between the buyer and the supplier.
Option D, which is on day 30, if the buyer pays the amount, it will mean the trade credit terms have been followed, and the buyer has paid the supplier within time, and hence, it will form good terms between both parties.","Trade Credit: Trade credit is when the buyer and seller exchange goods where the seller shifts the ownership of the goods to the buyer, and the buyer promise to pay the amount for the goods on a future date."
9,"Madison Bank lends Neenah Paper Company $120,000 on January 1, 2017. Neenah signs a $120,000, 5%, 6-month note. The journal entry made by Neenah on January 1, 2017, will debit:","Cash for $120,000 and credit Notes Payable for $120,000.","Cash for $114,000 and credit Note Payable for $114,000.","Interest Expense for $6,000 and credit Cash for $6,000.","Interest Expense for $6,000 and credit Interest Payable for $6,000.",A,"The correct answer is
A. Cash for $120,000 and credit Notes Payable for $120,000
.
Neenah Company has borrowed funds from the bank by issuing them a note. The transaction results in an inflow of cash of $120,000 and a creation of a liability to pay the bank. The entry to record the transaction is given as follows:
Date
Account Title
Debit
Credit
January 1, 2017.
Cash
$120,000
Notes Payable
$120,000
Note:
The interest payment will be made after six months and will not impact the transaction as of January 1. Also, the transaction will be recorded at face value of the note, which is $120,000 and not $114,000.","Promissory Note: A promissory note contains, in writing, a promise made by the issuer of the note to duly pay the face value of the note, along with interest accrued on it, on a specified and agreed-upon date in the future."
10,"On June 5 Glover Co. issued a $60,000, 6%, 120-day note payable to Jones Co. How much will Glover Co. have to pay at maturity?","$63,600.00 ","$58,800.00 ","$60,000.00 ","$61,200.00 ",D,"The correct answer is
d. $61,200
.
The maturity value of the note includes the principal amount and the accrued interest.
The accrual of interest on the note is calculated using the following inputs:
Face value of the note = $60,000
Interest period = 120 days
Days in a year (Assumed) = 360
Interest rate = 6%
Upon the logical arrangement of these inputs, we have the following output:
Interest on the note = Face value of the note × Interest rate × {eq}\dfrac{120}{360} {/eq}
Interest on the note = $60,000 × 6% × {eq}\dfrac{120}{360} {/eq}
Interest on the note = $1,200
Based on this computation, we can determine the note's maturity value:
Note's maturity value = Face value of the note + Interest on the note
Note's maturity value = $60,000 + $1,200
Note's maturity value = $61,200","Interest: When a company borrows through loans or negotiable instruments, it should pay the cost of borrowing along with the principal repayment. The borrowing cost is called interest, which is tax-deductible. It is a non-operating expense found on the income statement."
