id,question,A,B,C,D,Answer,Explanation,Hint
1,Shareholders' gains come in the form of:,only dividends.,only capital gains.,dividends and capital gains.,interest payments.,C,"Correct Answer:
Option c. dividends and capital gains
.
Shareholders enjoy returns in the form of dividends and capital gains.
The dividend yield is computed as:
{eq}\text{Dividend yield} = \dfrac{\text{Annual dividend per share}}{\text{Current price of the share}}

{/eq}
The capital gains yield is computed as:
{eq}\text{Capital gains yield } = \dfrac{\text{Ending share price - Initial share price}}{\text{Initia share price}}

{/eq}
The sum of the dividend yield and capital gains yield is the required return on the stock.",Common Stock: A corporation should be able to raise capital from various sources to sustain its long-term solvency. One such source of finance is the issuance of stock to the investors by offering them a stake in the company's holdings.
2,"On December 31, 2014, Santiago's common stock sold for $34 per share, and dividends per share were 0.60.",1.80%,3.60%,1.40%,6%,A,"The correct answer is
1.8% (The answer is A)
.
Santiago's dividend yield computation requires the following inputs:
Dividends per share = $0.60
Current price of the common share = $34
When these inputs are arranged logically, we have the following output:
{eq}\text{Dividend yield for 2014} = \dfrac{\text{Dividends per share}}{\text{Current price of the common share}} = \dfrac{\$0.60}{\$34} = 1.8\% {/eq}","Dividend Yield: The dividend yield is the return earned on the stock investment in dividends. It is one-half of the required return desired on the stock investment, the other half being the capital gains yield."
3,Dividend yield is determined by:,dividing assets by liabilities.,dividing the annual cash dividend by the market price per share of the company stock.,dividing the market price per share of the company stock by the annual cash dividend.,dividing liabilities by assets.,B,"Correct Answer:
Option B) dividing the annual cash dividend by the market price per share of the company stock
.
The formula that is used to determine the dividend yield is given below:
{eq}\text{Dividend yield} = \dfrac{\text{Annual dividend per share}}{\text{Current price of the share}}

{/eq}
It measures the dividend as a percentage of the stock price. Dividend yield plus capital gains yield equal the required return.",Dividends: Dividends are cash flows to stockholders paid out of the profits generated by the company. Dividends can be paid in cash or in additional shares. Dividends should be declared to be distributed.
4,What is the yield for a stock as it is listed on the stock pages of a newspaper?,yield to maturity,capital gains yield,rate of growth,dividend yield,D,"The answer is
D) dividend yield
.
On stock pages and newspaper listings, the yield refers to the dividend yield, which is calculated by dividing the annual dividend by the current stock price. It is important to note that the dividend yield changes daily with changes in the stock price.
Explanation of the other incorrect options:
A) yield to maturity;
This is a measure of the performance of the bonds.
B) capital gains yield;
This requires a start and end date of purchase.
C) rate of growth;
The rate of growth refers to a time period.
D) total return percentage;
This requires a start and end date for purchase.","Stocks & Bonds: In general, companies can raise capital in two different ways: stocks and bonds. Issuing stock allows a company to raise large amounts of capital in exchange for ownership in the company. Bonds allow a company to raise large amounts of capital in exchange for a fee referred to as interest."
5,"You purchased 480 shares of stock at a price of $42.72 per share. Over the last year, you have received total dividend income of $555. What is the dividend yield?",15%,62.40%,,2.70%,D,"The Answer is D.
Total investment=480Shares*42.72
$20505.6 dividend=$555 hence Dividend yield=Dividend/Investment =555/20505.6 =2.7% Hence option D is correct i.e. 2.7%","Dividend Yield Dividend yield refers to the percentage yield on a share in comparison to its current price. While making investment, an investor may be willing to compare what percentage he might earn as dividend on the money he has invested to purchase the share. This percentage is referred to as dividend yield."
6,"If a stock has a dividend yield of 1.50%, and pays an annual dividend of $.80, its price is:",$53.33.,$11.25.,$21.00.,None of these choices are correct.,D,"Answer
is d. None of these choices are correct.
Dividend Yield = (Dividend per share / Market price per share) * 100
1.50 = (80 / Market price per share) * 100
80 / Market price per share = 0.015
Market price per share= $5333.33","Dividend Yield Dividend yield is the ratio of annual dividend per share to market price per share. It measures the amount of cash dividends paid out to shareholders relative to the market value per share. In other words, it represents the current cash return to shareholders."
7,Next year's annual dividend divided by the current stock price is called the:,yield to maturity.,total yield.,dividend yield.,capital gains yield.,C,"Next year's annual dividend divided by the current stock price is called the:
c. dividend yield
.
A dividend yield is the expected rate of return that an investor gets from dividend payment. Since the current stock price represents the cost of investing in the stock, the dividend yield is the expected dividend payment divided by the stock price.","Stock Valuation: When investors purchase a stock, they expect to receive cash flows in one of two ways. One is to receive dividend payments from the stock. The other one is to capture the appreciation of the stock price by selling the stock at a price higher than its purchase price."
8,You paid $865.50 for a corporate bond that has a 6.75% coupon rate. What is the bond's current yield?,8.38%,7.80%,15.00%,6.67%,B,"The bond's current yield is 7.80% (b).
The proper explanation is shown below.
Assume face value is $1,000.
{eq}Current \ yield \ = \ \dfrac{Face \ value \ \times \ Coupon \ rate}{Price \ of \ bond} \ \times \ 100

\\

Current \ yield \ = \ \dfrac{\$1,000 \ \times \ 6.75\%}{\$865.50} \ \times \ 100

\\

Current \ yield \ = \ \dfrac{\$67.50}{\$865.50} \ \times \ 100

\\

Current \ yield \ = \ 7.80\%

{/eq}",Current Yield: Current yield is the annual interest income generated from a bond and its current value. It is the return that the bond generates for the investors in comparison to its market value.
9,"If dividends are taxed more heavily than capital gains, then investors:",should be willing to pay more for stocks with low dividend yields.,should be willing to pay more for stocks with high dividend yields.,should be willing to pay the same for stocks regardless of their dividend yields.,should be willing to pay more for stocks having infrequent share repurchases.,A,"The answer is A).
If dividends are taxed more heavily than capital gains, then investors would prefer price appreciation, which yields capital gains, compared to dividend payments, all else the same. Hence, a stock with low dividend yield, which pays less dividend relative to price, is more favorable to investors. Hence, investors are willing to pay more for stocks with low dividend yields.","Capital Gains Yield: Capital gains yield is the percentage return on an investment through price appreciation. For a capital, the total rate of return is the sum of dividend yield and capital gains yield."
10,"If Night Owl Lamps pays an annual dividend of $1.54, has a PE of 13, and its last closing price was 40, then its dividend yield must be:",11.85%,3.85%,15.40%,3.25%,B,"The correct option is
B)3.85%.
Dividend yield can compute by dividing the annual dividend with closing price, which depicted below:
{eq}\frac{\$1.54}{40}\times 100=\$3.85\%

{/eq}
Given:
a.	$1.54 is the annual dividend.
b.	40 is the closing price.
The explanation for incorrect options:
Option A: 11.85% is the percentage got by dividing the annual dividend with PE.
Option C and D:Neither 15.40% nor 3.25% forms the dividend yield, but 3.85%.","Dividend The dividend is a type of return distributed to its owners or stakeholders by a corporation. It is considered as revenue by the shareholders. Those who own preferred stock may get regular dividends, which is a part of earnings set aside for shareholders."
