id,question,A,B,C,D,Answer,Explanation,Hint
1,OPEC is the:,Organization of the Petroleum Exporting Countries.,Organization of the Pre-European Commission.,Oil Producing Economies Caucus.,Organization of the Problematic Economies Committee.,A,"The correct answer is option
a. Organization of the Petroleum Exporting Countries.
The OPEC is a body consisting of various countries that are the major exporters of crude oil and petroleum products across the globe. It is a cartel consisting of 13 member countries. They usually regulate the supply and prices of crude oil across the world. Moreover, each member of the cartel supplies the crude oil at an agreed-upon price.","Competitions in a Free Market: The economic systems can be categorized into the free market economy, command economy, and mixed economy. Furthermore, the types of competition that could exist in a free market can be classified into monopoly, monopolistic competition, oligopoly, or perfect competition."
2,Which of the following is not an example of the government's role in helping create wealth?,Assessing property taxes.,Providing federal courts to adjudicate contract disputes.,Providing protection against criminals.,Recording property transactions.,A,"Which of the following is not an example of the government's role in helping create wealth?
A. Assessing property taxes.
Assessing property taxes may be necessary, but it does not assist in creating wealth. In a market economy, wealth is created by individuals who believe their rights to own and use property are protected. All of these are part of the government's role in protecting the property of individuals so that they will be confident in taking risks and using resources to improve their incomes and create wealth:
B. Providing federal courts to adjudicate contract disputes.
C. Providing protection against criminals.
D. Recording property transactions.",Market Economy: A market economy is characterized by individuals who own resources and who can use them as they see fit to earn income to provide for their needs.
3,"The most important factor that qualifies a market as a ""free market"" is:",limited barriers to entry or exit.,little or no government interference.,protection of private property rights.,no actor in the market has the ability to affect or exert any control over the market.,B,"The most important factor that qualities a market as a ""free market"" is
b. little or no government interference.
The United States is often put forward as an example of a free market, and it is a fairly free market. Singapore is an example of a smaller country with even fewer regulations than the United States. According to Adam Smith, the free market is necessary for capitalism.
These answers are incomplete or incorrect:
a. limited barriers to entry or exit.
This would be a characteristic of little or no government regulation.
c. protection of private property rights.
This would be a part of the small amount of government regulation.
d. no actor in the market has the ability to affect or exert any control over the market.
No, because monopolies may exist in the absence of regulation.","Market Economy: Adam Smith, the Father of Economics, conceived of a system where markets operated according to the laws of supply and demand, where people owned and controlled resources, and where they traded based on their self-interest."
4,The synchronized application of capital to a wide range of different industries is called _____ by its advocates.,balanced growth,capitalization,elasticity of capital,indivisibilities,A,"The correct option is
a) Balanced Growth
A balanced economy grows by allocating resources evenly across many sectors. Some people think this is the best way out of poverty. The term ""balanced growth"" is used to describe a certain kind of economic expansion that can be maintained over time. It is long-lasting due to low inflation, minimal impact on the natural environment, and a healthy distribution of economic activity between exports and consumer spending.","Capitalization: Capitalism is a kind of market in which the means of production are owned privately and run by private firms for profit. It has core features like accumulation of capital, open competition, private property, etc."
5,True or False: Swapping one good for another also called bartering.,TRUE,FALSE,,,A,"The correct answer is
True.
People exchange goods for other goods or services and participate in barter trade. A barter system is a trading activity where goods and services are exchanged for other goods and services. For example, when a farmer needs fertilizer but only has grains of maize, he will have to search for another individual that needs maize but has fertilizer to complete the barter system. The farmer and the individual who need maize grains will agree on the quantity that suits both items and carry out the exchange through a barter system. Because there is no medium of exchange such as money, goods and services are exchanged for other goods and services hence a barter system.","Benefits of Trade: Trade is an important economic activity that has several benefits to an economy. Through trade, global poverty can be eradicated. When there is free trade among countries, economies tend to grow faster because they innovate, improve economic productivity, and receive higher incomes through increased job opportunities for individuals. Activities such as open trade help lower-income households by providing goods and services at affordable prices."
6,"Milton Friedman, throughout his career, was known as a strong proponent of aggressive countercyclical monetary policy by the Federal Reserve.",TRUE,FALSE,,,B,"The statement, ""Milton Friedman, throughout his career, was known as a strong proponent of aggressive countercyclical monetary policy by the Federal Reserve,"" is
b. False.
Milton Friedman was a conservative non-activist who was the leader of a group called the Monetarists in the second half of the 20th Century. His position was that the Federal Reserve should match the growth of the money supply to the growth of the Gross Domestic Product (GDP) and do nothing else.","Countercyclical Monetary Policy: Countercyclical monetary policy means an activist monetary policy of adjusting interest rates, reserve requirements, and open market operations to ""fine tune"" or influence the level of economic activity frequently and consistently over time."
7,"If you buy equal amounts of a 1 beta stock and a 2 beta stock, your portfolio will have a 1.5 beta.",TRUE,FALSE,,,A,"The statement is
TRUE.
Weight of stock 1 = Weight of stock 2 = 50%
Beta of stock 1 = 1
Beta of stock 2 = 2
Since the two stocks are invested equally, the portfolio beta is the average beta of the two stocks.
{eq}\beta_{portfolio} = \displaystyle \frac{\beta_{stock_1} + \beta_{stock_1}}{2} \\ \beta_{portfolio} = \displaystyle \frac{1 + 2}{2} \\ \beta_{portfolio} = 1.5 {/eq}","Beta Coefficient: The systematic risk or the market risk cannot be reduced by diversification. However, an investor can minimize the systematic risk according to the measure of the volatility of the security's return, known as the beta coefficient. An investor can balance the overall risk by including negative and positive beta securities in the portfolio."
8,Which of the following are factors that affect international trade flows?,government restrictions,exchange rates,inflation,All of the above.,D,"The answer is d. All of the above.
a. government restrictions is correct. Restrictions from a government will limit imported goods and services from other countries. In this case, other countries will enter other new markets where there is fewer restrictions.
b. exchange rates is correct. The currency exchange rate will affect the price of domestic goods and foreign goods. A country will intend to import cheaper products, which affects its current account.
c. inflation is correct. Inflation affects the value of a currency. Thus, it will affect a country's imports and exports.","International Trade: International trade refers to the exchange of goods, services, and capital between countries. These exchange transactions occur because each country will not have all the needed resources for economic growth."
9,A beta coefficient of 0 represents an asset that _____.,is less responsive than the market portfolio,is unrelated to the market portfolio,is more responsive than the market portfolio,has the same response as the market portfolio,B,"The answer is
B. is unrelated to the market portfolio
A beta coefficient of 0 indicates that the stock return and the market return are not correlated. Alternatively, a change in the return of the market portfolio will not affect the stock return.",Beta Coefficient: The beta coefficient describes how volatile the stock return is against the market return. A negative beta indicates that the stock return and the market return move in opposite directions.
10,Standard deviation measures _____ risk while beta measures _____ risk.,systematic; unsystematic,unsystematic; systematic,total; unsystematic,total; systematic,D,"The correct answer is option
D. total; systematic
.
The total risk of an investment is measured by the standard deviation. On the other hand, the systematic risk or market-wide risk is measured by the beta value. The total risk can be bifurcated into systematic risk and unsystematic risk.",Risk: A portfolio's performance is usually measured by two important metrics called risk and return. The objecitve behind having a portfolio is to maximize the returns without taking incremental risk.
