id,question,A,B,C,D,Answer,Explanation,Hint
1,A loan that compounds interest monthly has an EAR of 14.40 percent. What is the APR?,13.53 percent,13.59 percent,13.96 percent,14.07 percent,A,"Given information:
EAR = 14.40%
Number of compounding periods (n) = 12
Note:
The number of compounding periods is 12 as the loan is compounding monthly, resulting in 12 months of compound interest.
The annual percentage rate (APR) can be calculated using the information of the equivalent annual rate (APR) and the number of compounding periods in the following way:
{eq}\begin{align*}{\rm{APR}} &= \left[ {\left( {{{\left( {1 + {\rm{EAR}}} \right)}^{\frac{1}{{\rm{n}}}}}} \right) - 1} \right] \times {\rm{n}}\\ &= \left[ {\left( {{{\left( {1 + 14.40\% } \right)}^{\frac{1}{{12}}}}} \right) - 1} \right] \times 12\\ &= \left( {1.01127 - 1} \right) \times 12\\ &= 0.1353\end{align*} {/eq}
Therefore, the APR of the loan is 0.1353 or 13.53%.
Hence, the correct answer is option a.",Annual Percentage Rate: The annual percentage rate showcases the yearly rate at which an individual will receive interest in case of loan is given or needs to pay it if a loan is taken. It can be used for mortgages or loans.
2,Which of the following loan terms would result in the lowest annual cost?,"4%, compounded daily.","4%, compounded monthly.","4%, compounded quarterly.","4%, compounded annually.",D,"The answer is
d. 4%, compounded annually.
If a loan is offered with the compounding interest, a borrower should determine the effective annual interest rate on the loan, in which it reflects the true financing cost to the borrower.
The more frequent interest is compounded, the higher the effective financing cost will be on a loan. Hence, the lowest annual cost should be associated with the annual compounding interest.",Effective Annual Interest Rate: The effective annual interest rate will be always higher than the annual percentage rate since it reflects the additional interest earnings on interest. That explains why investors will be more attracted to investments offered with the compounding interest.
3,What is the effective annual rate for an APR of 15.90 percent compounded monthly?,16.03%,17.11%,16.99%,16.87%,B,"The effective annual rate is 17.11% (B).
Proper explanation is shown below:
{eq}Effective \ annual \ rate \ = \ \left ( 1 \ + \ \dfrac{APR}{12} \right )^{12} \ - \ 1

\\

Effective \ annual \ rate \ = \ \left ( 1 \ + \ \dfrac{15.90\%}{12} \right )^{12} \ - \ 1

\\

Effective \ annual \ rate \ = \ \left ( 1 \ + \ 1.325\% \right )^{12} \ - \ 1

\\

Effective \ annual \ rate \ = \ 1.1711 \ - \ 1

\\

Effective \ annual \ rate \ = \ 0.1711 \ or \ 17.11\%

{/eq}",Effective Interest Rate: The effective interest rate can be defined as a total interest rate or the actual interest rate earned on an investment. The effective interest rate is calculated after considering the compounding and inflation.
4,Your credit card company charges you 1.01 percent per month. What is the annual percentage rate on your account?,12.12 percent,9.98 percent,12.76 percent,10.99 percent,A,"The correct option is
option a. 12.12 percent.
Given information:
Monthly rate = 1.01 percent
The APR (annual percentage rate) is calculated by multiplying the monthly rate by 12.
Calculation:
{eq}\begin{aligned}

\text{APR}

&=\text{Monthly}\ \text{rate}\times 12 \\

&=1.01\%\times 12 \\

&=12.12\%

\end{aligned}

{/eq}
The APR is 12.12%.","Credit Card Charges: Credit card charges refer to the costs associated with credit cards. These charges vary from one financial institution to another. Credit card charges may include different fees, like annual fees, interest charges, etc."
5,The effective annual rate of 5% compounded monthly is approximately 5.12%.,TRUE,FALSE,,,A,"Given information:
Annual rate: 5%
Compounding frequency: Monthly (12 times a year)
Determine the effective annual rate as follows:
{eq}\begin{aligned} \text{Effective annual rate} &={{\left( 1+\frac{\text{Annual rate}}{\text{Compounding frequency}} \right)}^{\text{Compounding frequency}}}-1 \\ &={{\left( 1+\frac{5\%}{12} \right)}^{12}}-1 \\ &={{\left( 1+0.004167 \right)}^{12}}-1 \\ &=\text{1}\text{.0512}-1 \\ &=0.0512 \ or \ 5.12\% \end{aligned} {/eq}
The calculated effective annual rate, as per the above formula, is approximately 5.12%, supporting the statement's accuracy. Therefore, the given statement is
A. true
.",Effective Annual Rate: The effective annual rate is a more precise measure of investment returns. It depicts that actual returns are higher than stated returns when compounding occurs more frequently.
6,Calculate the effective rate:,5.50%,,5.25%,5.05%,C,"The correct option is
option c. 5.25%
.
Calculation:
{eq}\begin{aligned}   \text{Effective}\ \text{annual}\ \text{rate}&={{\left( 1+\frac{\text{Rate}\ \text{of}\ \text{interest}}{\text{Number}\ \text{of}\ \text{days}} \right)}^{\text{Number}\ \text{of}\ \text{days}}}-1 \\   &={{\left( 1+\frac{0.0512}{365} \right)}^{365}}-1 \\   &=0.05253\ \text{or}\ 5.25\%  \end{aligned}

{/eq}","Rate Of Interest: The rate of interest means the percentage of the principal amount charged as the cost of borrowing that the borrower pays. It is a regular payment that can be due annually, monthly, semiannually, or daily."
7,"Which of the following one-year, $1000 bank loans offers the lowest effective annual rate?","A loan with an APR of 6.3%, compounded monthly.","A loan with an APR of 6.3%, compounded annually, that also has a compensating balance requirement of 10.2% (on which no interest is paid).","A loan with an APR of 6.3%, compounded annually, that has a 1.3% loan origination fee.",,A,"Option (a) A loan with an APR of 6.3% compounded monthly
is the correct answer
Calculation:
a)	Calculation for APR of 6.3% compounded monthly
{eq}\begin{align*}

{\rm\text{EAR}} &= {\left( {1 + \dfrac{{{\rm\text{APR}}}}{{{\rm\text{Time}}}}} \right)^{{\rm\text{Time}}}} - 1\\

&= {\left( {1 + \dfrac{{0.063}}{{12}}} \right)^{12}} - 1\\

&= 6.48\%

\end{align*}

{/eq}
b)	Calculation for APR of 6.3% compounded annually.
{eq}\begin{align*}

{\rm\text{EAR}} &= {\left( {1 + \dfrac{{{\rm\text{APR}}}}{{{\rm\text{Time}}}}} \right)^{{\rm\text{Time}}}} - 1\\

&= {\left( {1 + \dfrac{{0.063}}{{0.102}}} \right)^1} - 1\\

&= 61.7\%

\end{align*}

{/eq}
c)	Calculation for APR of 6.3% compounded annually.
{eq}\begin{align*}

{\rm\text{EAR}} &= {\left( {1 + \dfrac{{{\rm\text{APR}}}}{{{\rm\text{Time}}}}} \right)^{{\rm\text{Time}}}} - 1\\

&= {\left( {1 + 0.063 + 0.013} \right)^1} - 1\\

&= 7.6\%

\end{align*}

{/eq}",Effective Annual Rate: EAR or Effective Annual Rate represents an accurate interest rate on an investment which differs as per compounding factor. A loan borrower uses EAR to compares the different interest rates a financial institution offers for providing loans so that an effective decision can be made.
8,Which of the following gives the largest effective rate (APY)?,18.6% compounded weekly,18.6% compounded monthly,18.6% compounded daily,18.6% compounded yearly,C,"The answer is
c.18.6% compounded daily.
Using the same introduced interest rate, the more frequent interest is compounded, the higher effective interest rate will be. Thus, the daily compounded interest rate will generate the highest APY in this case.","Annual Percentage Yield: The annual percentage yield is an effective interest rate earned on an investment, considering the impact of the compounding interest. The annual percentage yield will be higher than the introduce interest rate."
9,"What effective annual interest rate is equal to a nominal 8% per year, compounded continuously?",8.156,8.2281,8.3287,8.5644,C,"The correct answer is option
c. 8.3287%
.
The effective annual interest rate (EAR) for continuous compounding is given by:
= {eq}e ^ {\text{APR}}   - 1

{/eq}
where
e = Mathematical constant = 2.718
APR = Annual percentage rate = 8%
{eq}= e ^ {8\%} -1

{/eq}
{eq}= (2.718) ^ {0.08} - 1

{/eq}
{eq}= 1.08328 - 1

{/eq}
{eq}= 0.08328

{/eq}
{eq}= 8.328\%

{/eq}",Effective Annual Rate: The effective annual rate (EAR) on a financial asset represents the interest rate derived after considering the compounding intervals. The EAR value increases with an increase in the frequency of compounding.
10,Another name for the effective interest rate is the market interest rate.,TRUE,FALSE,,,A,"The given statement is
true.
The effective interest rate (EIR) is the rate of interest or usage that is payable by a borrower on the amount borrowed. It is calculated after considering the effect of compounding, its frequency, additional fees, and the actual repayment and interest paid. In common terminology, the EIR is also known as the market rate or yield to maturity. The other rate is the nominal rate, or quoted rate, for the loan. This is the rate of interest that is usually stated explicitly in the borrowing agreements. However, when other factors are taken into account, the nominal rate and EIR differ. The investor can compare the EIR or market rate with the quoted rate to make informed decisions.
For example, suppose the borrower is quoted a 10% p.a. rate but the interest is compounded twice a year. The EIR will be 10.25%.
Suppose:
Number of periods: 2
Nominal rate: 10%
EIR is calculated as follows:
{eq}\begin{aligned} \text{EIR} &={{\left( 1+\frac{\text{Nominal Rate}}{\text{Number of periods}} \right)}^{\text{Number of periods}}}-1 \\ &={{\left( 1+\frac{10\%}{2} \right)}^{2}}-1 \\ &=10.25\% \end{aligned} {/eq}",Interest: Interest is the additional amount that is payable or receivable on a sum of money. It is the way to compensate the lenders for the risk they are taking by lending money and the savers for deferring compensation on their money.
