id,question,A,B,C,D,Answer,Explanation,Hint
,,,,,,,,
,,,,,,,,
3,The failure of an individual to have a will can result in which of the following?,I only,II only,Both I and II,Neither I nor II,C,"The correct choice is option c. Both I and II.
When a person declares legally that he or she intends to get his or her assets distributed in a certain way or wishes something to happen in a certain way after his or her death, it is known as a ""will."" It can be canceled or changed only when the person is alive.
A will specifies the people who can get a share of their inheritance.
I. Favorite relatives who are supposed to be included in the will by the testator cannot get an inheritance as they are not legally bound to receive an inheritance in the case of no will.
II. A testamentary gift is a gift given by a person to charity after his or her death. In the case of no will, these gifts cannot become effective.
Therefore, both statements I and II are true.","Estate planning (EP) An EP is the procedure in which the assets of a person are managed and distributed after the occurrence of death or incapacitation of the person. The assets should be preserved before they are distributed. As part of planning, the EP has certain tasks to perform, such as making a will as per the preferences of the person."
4,Estates:,seldom have Second Tier beneficiaries.,"unlike trusts, are not subject to the Tier System.",nearly always have First and Second Tier beneficiaries.,nearly always have Second Tier beneficiaries.,C,"Option (c) is correct.
Estates have First and Second Tier beneficiaries is the correct answer.
First-tier beneficiaries: It involves those beneficiaries to whom income is to be distributed at present.
Second-tier beneficiaries: Those beneficiaries who are not included in the first-tier beneficiaries are included in second-tier beneficiaries.
Therefore, option C is correct.","Estate Planning: The planning and distribution of the tasks, income (or losses) and property to its legal heirs after the death of an individual is known as estate planning."
5,Indicate whether the statement is true or false. ,TRUE,FALSE,,,B,"The answer is ""false"", not nearly all business owners think that their heirs will need to sell part or all of the business to satisfy estate taxes. Business owners that do not own estates do not often need to worry about this, nor do business owners with enough extra capital to spend on estate taxes if they do become an issue in the future.","Estate Tax: Estate taxes are applied on an individual's property when they pass away and the property is given to heirs of the individual, usually to a loved one or another family member."
6,Which of the following is NOT correct pertaining to state QTIP planning?,It requires all property passing under a decedent's estate to be treated as marital property.,It allows estate tax to be deferred until the second spouse's death.,It allows an executor to make a QTIP election for state purposes only.,It is applicable to the extent the state and federal estate tax exemptions differ.,A,"The correct answer is a.
The marital property means the property acquired during the marriage. The QTIP planning does not require that property in this trust should be treated as marital property, as this trust can include the property acquired by the grantor during the previous marriage. This trust is used for providing income to the living spouse.
The explanation for incorrect answers:
Option b is incorrect as this trust allows for marital deductions and the taxes levied after the second spouse's death.
Option c is incorrect as the executor can make QTIP elections related to the estate only.
Option d is incorrect as the QTIP planning allows the grantor to make an exemption trust between the state tax and federal tax exemption amount.",QTIP: QTIP is an acronym for qualified terminal interest property trust. An individual uses this trust to give assets to the surviving spouse and define how the assets will be distributed upon the spouse's death. This trust provides income to the spouse.
7,The gift tax is imposed on the fair market value of items transferred upon death.,TRUE,FALSE,,,B,"The above statement is false.
Reason: The above statement is false because gift tax is implied on the value of the property transferred by one person to another as gift and the items transferred upon death is subjected to tax under inheritance tax.",Inheritance tax: Inheritance tax is a tax paid by the person who gets the property of a deceased person as inherited property. Inheritance tax is different from estate tax because it is charged on the property received by the estate beneficiary.
,,,,,,,,
9,Identify which of the following statements is false?,The lifetime exemption applies only to gifts given.,Casualty or theft losses incurred during the administration of the estate are deductible on the estate tax return.,"The estate tax return is due, ignoring extensions, 9 months after the decedent's date of death.",,A,"Let us discuss each alternative:
A. The lifetime exemption applies only to gifts given.
This is the correct option because the statement is FALSE. The lifetime exemption applies to gifts given, but also to estate tax. This means that if a taxpayer has used $500,000 of their lifetime exemption, its estate tax exemption decreases by $500,000.
B. Casualty or theft losses incurred during the administration of the estate are deductible on the estate tax return.
This statement is true. Estates can generally deduct the same expenses and qualify for the same deductions as an individual taxpayer.
C. The estate tax return is due, ignoring extensions, 9 months after the decedent's date of death.
This statement is also true. The executor of an estate worth more than $11.7 million is required to file a Form 706 within 9 months of the decedent's date of death.",Deceased Estates: Deceased estates are subject to federal income tax for the period the estate is being administrated. Deceased estates are also subject to estate tax if the assets of the estate exceed the annual exclusion amount.
10,Which of the following statements is true concerning jointly owned property under Section 2040?,"When joint owners are spouses, only half of the property is included in the gross estate.","When joint owners are spouses, no portion of the property is included in the gross estate.","If a decedent held property as a joint tenant with rights of survivorship, no portion of the property is included in the gross estate.","If a decedent held property as a joint tenant with rights of survivorship, only half of the property is included in the gross estate.",A,"The correct option is
a. When joint owners are spouses, only half of the property is included in the gross estate.
For federal estate tax purposes, the value of jointly owned property is included in the deceased person's gross estate under Section 2040. The treatment varies depending on the type of joint ownership (e.g., with a spouse or non-spouse) and the percentage of the decedent's contribution to the purchase of the property.
(a)
When joint owners are spouses, only half of the property is included in the gross estate.
Only half of the value of property owned jointly by spouses as a qualified joint interest is included in the gross estate of the first spouse to pass away.
As long as they were married and held the property as joint tenants with rights of survivorship or tenants by the entirety, this law still applies even if one spouse paid the entire amount to purchase it.
This method complies with IRS regulations regarding spousal joint ownership and streamlines the inheritance tax computation for married couples.
(b)
When joint owners are spouses, no portion of the property is included in the gross estate
.
The gross estate of the first deceased spouse includes at least half of the property's value.
Even if surviving spouses make use of the unlimited marital deduction, which postpones estate taxes until the second spouse's death, the IRS still demands inclusion to guarantee correct value for estate tax purposes.
Since 50% ownership must be reflected in the gross estate, saying ""no portion"" is incorrect.
(c)
If a decedent held property as a joint tenant with rights of survivorship, no portion of the property is included in the gross estate
.
A share of the property is included in the gross estate based on the decedent's contribution to the acquisition of the property when they hold it as a joint tenant with rights of survivorship (non-spousal ownership).
For instance, 70% of the value of the jointly owned property would be included in the decedent's gross estate if they had paid 70% of the purchase price.
The IRS regulations that attribute inclusion based on contributions for non-spousal joint ownership are disregarded when ""no portion"" is stated.
(d)
If a decedent held property as a joint tenant with rights of survivorship, only half of the property is included in the gross estate
.
This statement is only true for spousal joint ownership, where 50% of the property is included regardless of contribution.
For non-spousal joint tenants with rights of survivorship, inclusion is determined by the percentage of the decedent's financial contribution to the property.
For instance, if two non-spouses co-own property and one contributed 80% of the funds, then 80% of the property would be included in that person's gross estate upon their death.
Conclusion
:
From the above discussions, it can be concluded that option (a) is the correct answer because it accurately describes the IRS rules for spousal joint ownership under Section 2040.
Other options misrepresent the inclusion rules for spousal or non-spousal joint ownership and are therefore incorrect.","Jointly Owned Property: According to IRS regulations, property held by two or more people, such as joint tenants or tenants by the entirety, is referred to as jointly owned property. The kind of ownership and contribution to the purchase of the property determines the value included in the decedent's gross estate for estate tax purposes."
