id,question,A,B,C,D,Answer,Explanation,Hint
1,Investment bankers who join together to share the financial risk associated with buying an entire issue of new securities and reselling them to the public is called a(n),primary market group,tombstone group,underwriting syndicate,selling group,C,"The correct answer is (C). selling group
The underwriters' syndicate refers to the investment bankers and brokers that come together to help a new company sell its shares. They come together to share the risk in case the shares subscribed are less or not subscribed at all and they will be required to subscribe to the leftover shares.
The explanations for incorrect options:
Option A. It is incorrect as the primary market group is formed to sell the shares in the primary market.
Option B. It is incorrect as the tombstone group means the public advertisement given by the investment bankers' group that they are underwriting an issue.
Option D. It is incorrect as the selling group is concerned with marketing and selling the shares of a company.","Financial Risk: The financial risk refers to the probability that the investor may incur losses from the venture. This risk can lead to loss of capital for the investor. This risk can be categorized as credit risk, currency risk, equity risk, and liquidity risk."
2,"Over the past 70 years, which of the following investments has provided the smallest average return?",small company stocks,common stocks,treasury bills,treasury bonds,C,"The correct option is (c) i.e. Treasury bills.
Treasury bills have been short-term instruments backed by the government, so there is no risk or reward. Thus, its return has always been low and consistent. T-bills are short-term securities that mature in one year or less from their issue date.
Treasury bills investment provides the smallest average return. The treasury bill's rate of return is very low compared to other stocks and is also considered less risky among other investments.
Incorrect Options:
a.	Small company stocks carry a high-risk premium because the risk associated with the stocks is generally high.
b.	Common stock is an incorrect option because common stock of any size carries a higher risk on the investment premium.
d.	Treasury bond is an incorrect option as bonds are the safest place to invest and it provides regular income. There are different types of risk involved in bonds that are, including inflation risk, default risk, and whatnot.
e.	Corporate bonds are an incorrect option as bonds may be a reliable investment tool but it carries their own risk there are interest rate risk, reinvestment risk, and call risk.",Investment: Investment refers to the way of investing money with an intention to earn profit. Acquirement of the asset or any other item with a motive of income generation is known as investment.
3,"At age 5, how much would you have to save per month to have $1 million in your account at age 65, if your investment rate was 10% per year? Assume no taxes and compounding on a monthly basis:",$213.30,$21.23,$274.60,can't be done with these assumptions.,B,"The correct answer is
B. $21.23
.
We are given:
The future value (FV) is $1,000,000.
The number of years (n) is 60. (65-5)
The number of compounding periods (c) is 12.
The investment rate (i) is 10%.
Calculation of the monthly payment (PMT) using the future value of an ordinary annuity formula:
{eq}\begin{align*}

{\rm\text{PMT}} &= \dfrac{{{\rm\text{FV}} \times \dfrac{{\rm\text{i}}}{{\rm\text{c}}}}}{{\left( {1 + \dfrac{{\rm\text{i}}}{{\rm\text{c}}}} \right)_{}^{{\rm\text{n}} \times {\rm\text{c}}} - 1}}\\

&= \dfrac{{\$ 1,000,000 \times \dfrac{{0.10}}{{12}}}}{{\left( {1 + \dfrac{{0.10}}{{12}}} \right)_{}^{60 \times 12} - 1}}\\

&= \dfrac{{\$ 1,000,000 \times 0.0083333}}{{392.522412959}}\\

&= \$ 21.23

\end{align*}

{/eq}
One needs to save
$21.23
per month to earn $1 million in 60 years.","Investment Rate: Companies use the investment rate to determine the expected return from the potential investments. Investors use investment rate, duration, and target amount to compute the periodic investment payment."
4,Which of the following was NOT a major supplier of funds to credit markets in 2008?,Households,Government-sponsored agencies,Mutual funds and ETFs,All of the options were major suppliers of funds,A,"The answer is A.
Explanation:
The major funds suppliers during 2008 were Mutual Funds, Efts, and government-sponsored agencies. After the collapse, when wall street was recovering, the financial markets like the mutuals funds took a sudden turn and started to grow as investors started to invest in those government bonds in 2008 where something which came to highlight. And the credit market started making progress in these areas. A household was not the key supplier because of the recession",Credit Market: The credit market is where the investors invest in credit-related securities such as bonds to earn profits. The credit market is also called as debt market. It provides a huge amount of capital to the government and even organizations.
5,Which of the following would an economist consider to be an investment?,Boeing Corp. building a new factory,Oprah buying a $10 million home from a fellow celebrity,"A stockbroker buying 10,000 shares of Starbucks stock",All of the above,A,"The correct answer is option a- Boeing corp. Building a new factory
a.
The option is true as an investment is defined as an asset that has the potential of generating income from it. Therefore, building a new factory will generate income from it, and hence it is considered as an investment.
b.
The option is not true as purchasing a home cannot be considered as an investment rather it is considered as an asset. An asset is defined as a resource that contains a high economic value and can be used for future use.
c.
The option is not true as purchasing a stock of Starbucks is considered as an investment if purchased by the first party. However, it cannot be considered as an investment solely as a stockbroker does not purchase stocks for himself rather he purchases them for a third party.
d.
The option is not true as purchasing a factory is considered an investment.",Stock Stock refers to the part of ownership that is a part of a big organization. The owners of the stock become a part of the organization and have a part in the profits of the organization. The purchase and sale of stocks in a financial market are known as the stock market.
6,Which of the following costs is typically considered to be associated with an individual's educational investment?,expenditures for tuitions and books,earnings forgone while in school,the effort expended attending class and studying,all of the above,D,"The correct option is
d. All of the above
.
When a person starts investing in his/her education, there exist various direct expenses that include tuition fees and books. The person also spends experiences psychic losses in terms of loss of effort while attending classes and studying. Besides this, there exists a cost of foregone earning while the person is attending school.","Investment: In economics, the term investment is the sum of money that a person or firm utilizes in the current period to earn a positive benefit in the future. Usually, the level of investment rises by there is a decline in the cost of borrowings."
7,"True or false? As you allocate more of your investment portfolio to bonds, you reduce your exposure to interest rate risk but increase your exposure to market risk.",True,False,,,B,"Correct Answer: False
When asset allocation results in higher bond investments, investors face different risks associated with bonds. The exposure of investors towards interest rate risk also increases in this strategy. The exposure arises due to the fixed return presence. The investor has to bear market risk. So, the exposure to interest rate risk increases instead of decreasing.","Market Risk: A risk that even an effective asset allocation strategy cannot reduce is called market risk. Because of this type of risk in the financial market, a portfolio manager does not get zero value for the overall portfolio risk."
8,Which of the following increases financial risk?,The substitution of short-term debt for long-term debt.,The substitution of long-term debt for short-term debt.,The substitution of equity for short-term debt.,The reduction of cash and marketable securities.,C,"The correct answer is
c. The substitution of equity for short-term debt.
The financial risk is expected to rise in option c as the equity level decreases and the debt level increases. This increases the chance of financial distress in the company due to increased debt repayment and interest payment. Therefore, the financial risk enhances. Hence, the correct answer is c.
Incorrect options:
a. and b.
In both cases, the category of debt is only interchanged. This will not vary the overall debt value since the amount of debt will remain constant in both cases. Hence, option a and b are incorrect.
d.
reduction of cash and marketable security will affect the liquidity and liquidity risk of the company. Financial risk will not be impacted. Hence, option d is incorrect.","Financial Risk: Uncertainties associated with default in debt repayment and interest payment are termed as financial risks. The financial risk is influenced by the company's earnings, value, and existing debt level."
9,"When a general business partnership fails, the partners:",lose only their investment.,may be required to pay partnership debts from personal assets.,can waive their limited liability.,are liable for losses equivalent to their own individual contributions.,D,"Option 'b' is the correct answer.
Partners' liability in a general partnership is uncapped. It implies that in the event of a loss, the partners will be required to cover it even out of their own private or personal assets. So perhaps they must use personal assets to pay off partnership obligations.","General Business: The General Business specialization is intended for students who want to learn about business foundations in-depth. With this specialization, students can earn a business degree without choosing a specific area of study."
10,Someone who can tolerate a risky investment would:,wake up in the middle of the night worrying about the investment,be very concerned that a downturn would wipe out the long-term gains,understand that an investment that fell when the entire market fell was not necessarily a bad investment,keep all money in a savings account at a bank for long-term growth,C,"A person who can tolerate risk would not be concerned with short-term losses in their investments, knowing that they inevitably will happen from time to time.   Often, such downturns are the result of macroeconomic factors, such as higher interest rates or inflation, rather than specific issues associated with the investments themselves.
Therefore, the answer is:
c. understand that an investment that fell when the entire market fell was not necessarily a bad investment
The other answers are incorrect for the following reasons:
a. wake up in the middle of the night worrying about the investment
- someone who can tolerate risk would not be losing sleep over his or her investments.
b. be very concerned that a downturn would wipe out the long-term gains
- again, a risk tolerant person would not be concerned with short-term downturns.
d. keep all money in a savings account at a bank for long-term growth
- since a savings account is a low risk investment, a risk tolerant person would be likely to invest at least some of his or her money in more risky investments that have the potential for higher returns.",Investment Risk An investment whose value can rise or fall is risky by nature due to the possibility that the investor could lose some or all of his or her money.   Many investors use strategies to try to minimize risk including diversifying their portfolios and investing for the long term.
