id,question,A,B,C,D,Answer,Explanation,Hint
1,The forward rate differs from the unbiased expected rate due to the :,default risk premium,term premium,local sales tax,risk-free rate,A,"The correct answer is
a.  default risk premium
.
The unbiased expected rate does not include a default premium risk for changing market conditions meaning no basis exists when anticipating a future price.  A default risk premium serves as protection for risks assumed when entering a long-term agreement.  Unbiased means that no assumptions are being made on potential variances between the predicted and actual outcomes when considering potential future values (e.g., commodity prices, interest rates, etc.).
The unbiased expected rate is based on a predictor that assumes spot prices at a future point  in time will be equal to current forward prices.  Spot prices represent the current cost for product, service, or commodity if purchased or obtained today.  The forward rate is the spot rate adjusted based on a future financial obligation or other cost adjustments.  The forward rate considers risk, and an offsetting premium or interest rate for risks assumed including the potential for default when entering into a long-term (i.e., greater than six months) contractual agreement.
Answer b, c, and d are incorrect.","Expectations Theory: The concept of expectations theory is the prediction of future values based on current information.  More specifically, the expectations theory represents an attempt to forecast long-term values based on short-term information.  For example, investors may use short-term interest rates to predict future rates when evaluating investment options."
2,Which of the following scenarios would cause a speculator to buy low and sell high?,Farmers expect to have a bumper harvest of corn next year.,Imports of corn begin to flood the country.,The government is expected to pass legislation making it mandatory for all vehicles to use corn-based fuels within one year.,The government is expected to subsidize corn production for farmers.,C,"The correct option is c. The government is expected to pass legislation making it mandatory for all vehicles to use corn-based fuels within one year.
When the government passes the legislation making corn-based fuels mandatory for vehicles, the demand for corn-based fuels will increase, increasing the demand for corn. As the demand for corn increases, the price of corn will increase.
Thus, the speculator could buy the corns at a low price today and sell them at the increased price due to the government`s legislation, making profits.
Reasons for incorrect options:
Option a. is incorrect because if farmers have expectations of a bumper harvest of corn in the next year, then the price of corn will not increase next year, making it impossible to sell high.
Option b. is incorrect because if the imports of corn increase, the price decreases, and the corn cannot be sold at a higher price.
Option d. is incorrect because if the corn production is expected to be subsidized, the corn price will not increase, making it impossible for the speculator to sell the corn at high prices.",Speculation The formation of a theory or concept without having any empirical evidence or proof. Speculation in sales and purchase is the expectation-based purchase of a good in the hope that its price will increase in the future.
3,Forward rates are:,quoted in both direct and indirect form.,quoted at a premium or discount.,beneficial to risk-reduction.,all of the above,B,"b. quoted at a premium or discount.
The forward rates are quoted at a premium or discount to the spot rate, points are added or subtracted to the spot rate to arrive at a forward rate. The forward rate is affected by the  prevailing interest rates in the two currencies. It is a rate that will be applied to future transactions when they mature or get to expiration.","Currency Forward A currency forward, is a  forward contract or  an agreement between the buyer and the seller, that allows the buyer to lock in an exchange rate for a transaction that will be executed in the future. This is an over the counter financial instrument."
4,Under which scenario is basis risk likely to exist?,A hedge (which was initially matched to the maturity of the underlying) is lifted before expiration.,The correlation of the underlying and the hedge vehicle is less than one and their volatilities are unequal.,The underlying instrument and the hedge vehicle are dissimilar.,All of the above are correct.,D,"Correct Option:
D .
Explanation for the correct answer:
All the options have the possibilities to create the basis risk as it includes the dissimilar assets, not having perfectly co-related attributes and hedging due to volatility in prices.
Explanations:
Option: A - Because hedging is lifted before the expiration of the maturity period, attached with the security.
Option: B- This options possible as the asset are not identical & not even completely co-related.
Option: C- Basis risk definitely arises when there is hedging between mismatched securities.
Hence, All of the above options are correct.",Basis risk: It is a risk arises when the assets or the instruments under hedging are of not the similar attributes and hence it is imperfectly compared which cannot offset the losses that arises out of such hedging. Potential risk under such hedging increases.
5,Fine Goods Company and Global Sales Corporation enter into a contract that does not specify the payment terms. Payment may be made in:,cash or check only,cash only,cash or any commercially acceptable substitute,none of the above,C,"The correct answer is
c.
If any two parties enter into a contract with each other, and do not specify the terms if ayement, the payment can be made using cash or any other acceptable substitute. The payment shall be made on time and the acceptable means shall be used for it.
The analysis of the incorrect options.
a) There are various other means of making payment instead of just cash and check only. Such measures should be legally and commercially acceptable. The options of payment are not just restricted to cash and check now.
So, it is an incorrect option.
b) if the legally accepted mode of payment is cash only, it really limits the options of the person or party making the payment. It may also cause delay in the payment. So, only cash is not the only means of payment that can be used by ether of the parties of the contract.
So, it is an incorrect answer.
d) The correct answer of the above question is option c, so none of the above cannot be the correct option.
So, it is an incorrect choice.","Contract Contract is an agreement between two or more than two parties which is enforced by the law. All the mentioned parties  have to fulfill the terms mentioned in the contract. If any of the parties fails to fulfill the terms, the other party can file a suit against them."
6,The price of a forward contract on a foreign currency is nondecreasing in its maturity date.,True,False,,,A,"The correct option is a
. Always true.
The price of a forward contract on a foreign currency is determined by the difference between the current spot exchange rate and the forward exchange rate, which is the rate agreed upon for future delivery.
Assuming all else constant, the longer the contract's maturity date, the greater the uncertainty and risk associated with the future exchange rate. Therefore, the higher the forward exchange rate will be to compensate for this risk.","Forward contract: A forward contract is not standardized since it can vary among various trades. This indicates that it can be altered to reflect the traded item, expiration date, and trading volume."
7,"IMXP Corp. enters into a 30-day forward exchange contract to buy 113,540,000 yen for $100,000. Which of the following statements is true concerning this transaction?","IMXP will pay $100,000 today and receive 113,540,000 yen 30 days from now.",The spot exchange rate in 30 days will be 113.54 yen per dollar.,"IMXP will receive 113,540,000 yen today and pay $100,000 30 days from now.","IMXP will pay $100,000 and receive 113,540,000 yen 30 days from now.",D,"Correct optin is""d. IMXP will pay $100,000 and receive 113,540,000 yen 30 days from now.""
Reason- a forward contract is an agreement to buy or sell an asset on a specified future date for a specified price","Forward Contract: A Forward contract is a one-to-one, bipartite/tripartite contract, which is to be performed mutually by the contracting parties, in future, at the terms decided upon, on the contract date. In other words, a forward contract is an agreement to buy or sell an asset on a specified future date for a specified price. One of the parties to the contract assumes a long position, i.e. agrees to buy the underlying asset while the other assumes a short position, i.e. agrees to sell the asset."
8,Most forward contracts are closed by:,delivery.,offset.,exercise.,default.,D,"Option A is correct
A forward contract can be settled by delivery or cash payment. When the parties enter into a forward contract, both sell or buy assets. The contract can be closed when the contract ends by delivering the asset to the buyer and paying the seller.
Explanations for other options
Option B is wrong because offset means to cancel the liabilities. A forward contract cannot be closed by offsetting the position.
Option C is wrong because exercise means the first step in a contract. It involves the right to buy or sell the asset.
Option D is wrong because, by default, forward contracts cannot be closed. Default means the cancelation of the contract.",Forward contract: Forward contracts are custom-made; the parties in the agreement can make changes as per their needs. Forward contracts are used for speculations and are exchanged through the Over The Counter platform. These types of arrangements help to eliminate risk.
9,a. Why is the value of a futures or forward contract at the time it is purchased equal to zero?,,Contrast this with the value of the corresponding spot commodity?,,,A,"a. The value of a forward contract is equal to zero since no money is paid between parties to the contract. The entire value of a forward contract is paid on the expiry of a contract. Only a valid contract is entered into by parties at the time of purchase.
b. Spot price is used as a basis to decide the future contract price. Parties to the contract take reference from the real world market to determine the price at which parties agree to buy or sell in the future. Hence, the future price is determined using spot price and carrying cost.",Forward contract: A forward contract refers to a contract between two parties where one agrees to buy or sell a commodity or stock on a future date at a price agreed between them. It is a private contract between two parties and terms and conditions are as per the agreement and not governed by any stock exchange.
10,A lawn mower costs $500 in the US and 5188 Mexican Pesos in Mexico. The current exchange rate is 1 USD = 12.97 MXN. At this rate:,The good costs more in the US.,The good costs more in Mexico.,The good costs the same across the two countries.,None of the above.,A,"The correct answer is option
a. The good costs more in the US.
The value of the lawn mower in terms of Mexican Pesos if bought in the US is given by:
{eq}\begin{align*}

&= \text{Value of 1 USD as per the exchange rate} \times \text{Cost of the lawn mower in US dollars} \\[0.3 cm]

&= 12.97 MXN \times $500 \\[0.3 cm]

&= 6,485 MXN

\end{align*}

{/eq}
From the above calculations, it is clear that the cost of the lawn mower is more in the US (
6,485 Mexican Pesos
) than that in Mexico (
5,188 Mexican Pesos
).","Foreign Exchange: In the context of economics, the currencies of different countries are usually traded in the foreign exchange market. The cross-rate between any two currencies is usually derived by considering their standard exchange rate quoted against US dollars."
11,"Find the price bounds for the five-month forward price for Boring Unreliable Gadgets, when:","BUG's stock price, S, is $50 today","a trader can borrow money, at 5%, and lend money at 4%, where the interest rates are annual simple interest rates","a brokerage commission, of 0.5% of the stock price, is charged today, but your broker waives transaction costs on the maturity date",,C,"Given the above information, we can determine the following answer.
{eq}R_c = mln(1+R_m/m)

\\

R_c = 1*ln(1+0.05/1)

\\

R_c = 0.0488

{/eq}
A 4% lending rate can be converted into a continuously compounding rate of 3.92%.
{eq}R_c = mln(1+R_m/m)

\\

R_c = 1*ln(1+0.04/1)

\\

R_c = 0.0392

{/eq}
{eq}C (commission) = S_0*0.005 = $50*0.005 = $0.25

{/eq}
The five-month forward price bounds are determined below:
{eq}F_0 = (S_0-C)e^{rT}

\\

At \ r = 0.0488

\\

F_0 = ($50-$0.25)e^{0.0488*5/12}

\\

F_0 = $50.77

\\

At \ r = 0.0392

\\

F_0 = ($50-$0.25)e^{0.0392*5/12}

\\

F_0 = $50.57

{/eq}
The price bounds are between $50.57 and $50.77.","Forward Price A forward contract lays out the price, maturity, underlying, risk-free rate, and other terms and conditions of the contract that both parties need to abide by. The contract is traded over the counter market or customized in nature."
12,The demand curve for foreign currency slopes downward because as the exchange rate _____ the quantity demanded _____.,"Increases; decreases,","Increases; increases,","Decreases; decreases,",Decreases; stays fixed.,A,"The correct option is
a. Increases; decreases.
Explanation:
Demand for a currency and its exchange rate experience inverse relation that can be defined by the downward sloping curve. Foreign currency curve explains that when exchange rate for a currency increases, it implies that the currency appreciates and its value increases in the market. Due to increase in the value, people from different countries discourage to demand this currency as they have to pay higher money to purchase that currency due to which demand for this currency decreases in the foreign market.","Foreign Exchange Market: A market where people from different nations interact to exchange their currencies to make economic, business, and personal transactions. This market is known as the foreign exchange market and it helps to make economic relations with the rest of the world."
13,Which of the following would tend to shift the supply of Singaporean dollars in the market for the foreign-currency exchange of the open-economy macroeconomic model to the left?,The exchange rate rises.,The exchange rate falls.,The expected rate of return on Singaporean assets rises.,The expected rate of return on Singaporean assets falls.,D,"The correct answer is
D) The expected rate of return on Singaporean assets falls
.
In the market for foreign currency exchange, a leftward shift in the supply curve of Singaporean dollars would mean that fewer Singaporean dollars are supplied at each exchange rate. This could occur if the expected rate of return on Singaporean assets falls.
When the expected rate of return on Singaporean assets falls, investors will be less likely to invest in Singapore, as they can get higher returns on investments in other countries. As a result, there will be less demand for Singaporean dollars, leading to a leftward shift in the supply curve of Singaporean dollars in the market for foreign currency exchange.
Conversely, a rise in the expected rate of return on Singaporean assets would make Singapore more attractive to investors, leading to an increase in demand for Singaporean dollars and a rightward shift in the supply curve.
Changes in the exchange rate (options A and B) do not directly affect the supply of Singaporean dollars, but rather the demand. A rise in the exchange rate would decrease the quantity of Singaporean dollars demanded (shift demand left) while a fall in the exchange rate would increase the quantity of Singaporean dollars demanded (shift demand right).","Supply Curve: In economics, the supply curve is a graphical representation of the relationship between the price of a good or service and the quantity of that good or service that producers are willing and able to supply to the market. The supply curve is typically depicted as a line on a graph, with the price of the good or service on the vertical axis and the quantity supplied on the horizontal axis."
14,A long forward contract and a long futures contract have the same cash flow.,True,False,,,B,"The correct answer is
b. False
Long futures contracts and long forward contracts do not have similar cash flows. In the case of forward contracts, payment is made once at the end of the contract period. On the other hand, forward contracts are settled daily; the losses or profits from a position are computed and settled daily at the close of trading in a stock exchange market.",Forward Contracts and Futures Contracts: Forward contracts are customizable agreements where two parties agree to trade in an asset at a particular future date and price. A long futures contract is a standardized contract involving the trade of an asset at a future date for a set price; these contracts are traded in stock exchanges.
15,Which one of the following is not associated with forward contracts?,The contract may require a future purchase or sale.,The contract provides for using the at the date the contract is fulfilled.,The contract may permit a future purchase or sale.,The contract specifies the subject matter of the exchange.,B,"The correct answer is option (b).
The date set by the parties to begin the period of performance under the contract is referred to as the ""contract effective date."" The effective date may never be earlier than the day the contracting officer or other specified higher approval authority signs it.
The explanation for the wrong options.
Option A: A futures contract is a formal agreement to buy or sell a certain commodity asset, investment, or other financial instruments at a defined price at a predetermined point in the future.
Option C: In the future contract both parties are liable to buy and sell future.
Option D: In the future contract the subject matter of exchange clearly mentioned.",Forward Contracts A legally enforceable agreement between two parties that calls for the sale of a good or service at a price decided upon today in the future is known as a forward contract.
16,A lender who is worried that its cost of funds might rise during the term of a loan it has made can hedge against this rise by,buying call options on Treasury bills.,selling futures contracts on Treasury bills.,buying futures contracts on Treasury bills.,increasing the amount of money which it lends.,B,"The correct answer is
B. selling futures contracts on Treasury bills.
This is because the futures contract would have an opposite effect on the portfolio as a whole than the loaned funds. If the cost of the loaned funds rises, then the futures contracts sold will yield more profit in order to offset the cost increase.",Hedging: One of the most popular techniques used by investment managers to reduce or eliminate a certain risk is Hedging. Hedging refers to the purchase of a financial instrument that is aimed to mitigate the potential losses in another security owned.
17,Colleen has decided to purchase a T-bill futures contract. Colleen is expecting interest rates and T-bill prices to do what in the next several months?,Interest rates will increase and T-bill prices will fall.,Neither is expected to change.,Both will change in the same direction and by about the same magnitude.,Interest rates will decrease and T-bill prices will rise.,D,"Colleen has decided to purchase a T-bill futures contract. Colleen is expecting interest rates and T-bill prices to do what in the next several months?
d. Interest rates will decrease and T-bill prices will rise.
A contract would be bought when there is an expectation of an increase in the price of the asset and one can purchase it at a lower contracted price. T-Bills or other bonds would rise in price when the rates fall.
Let's analyze other options too:
a. Interest rates will increase and T-bill prices will fall. - This would have lead to the selling of contracts.
b. Neither is expected to change. - Then there is no need to buy any contract as it may result in transaction charges.
c. Both will change in the same direction and by about the same magnitude. - Interest rates and prices will always change in opposite directions.",Futures Contract: The futures contract enables the sale and purchase of a given asset at a specified time in the future at a contracted price. There are both buyers and sellers to the contract that take opposite positions.
18,Which of the following is NOT true regarding non-deliverable forward (NDF) contracts?,NDFs are used primarily for emerging market currencies.,NDFs can only be traded by central banks.,Pricing of NDFs reflects basic interest rate differentials plus an additional premium charged for dollar settlement.,All of the above are true.,A,"In the table below each statement will be answered by true or false:
Statement
True or False
a. NDFs are used primarily for emerging market currencies.
False
NDFs are commonly used for illiquid or untraded currency
b. NDFs can only be traded by central banks.
False
NDFs are available to all interested parties who has access to over-the-counter trading
c. Pricing of NDFs reflects basic interest rate differentials plus an additional premium charged for dollar settlement.
False
Pricing of NDFs are based on agreed upon rates against the spot rate at the time of settlement.
d. All of the above are true.
False
All of the above statements are false
The answer to the question is
d. All of the above are true.",Forward Contract Non-deliverable forward (NDF) contracts are traded over-the-counter (OTC) and have been widely used for two-party currency contracts to exchange cashflows. There are two types of parties in a forward contract. A hedger is someone who wants to lessen the risk and a speculator is someone who wants to make a profit from taking a risk.
19,The forward rate differs from the unbiased expected rate due to the :,default risk premium,term premium,local sales tax,risk-free rate,A,"The correct answer is
a.  default risk premium
.
The unbiased expected rate does not include a default premium risk for changing market conditions meaning no basis exists when anticipating a future price.  A default risk premium serves as protection for risks assumed when entering a long-term agreement.  Unbiased means that no assumptions are being made on potential variances between the predicted and actual outcomes when considering potential future values (e.g., commodity prices, interest rates, etc.).
The unbiased expected rate is based on a predictor that assumes spot prices at a future point  in time will be equal to current forward prices.  Spot prices represent the current cost for product, service, or commodity if purchased or obtained today.  The forward rate is the spot rate adjusted based on a future financial obligation or other cost adjustments.  The forward rate considers risk, and an offsetting premium or interest rate for risks assumed including the potential for default when entering into a long-term (i.e., greater than six months) contractual agreement.
Answer b, c, and d are incorrect.","Expectations Theory: The concept of expectations theory is the prediction of future values based on current information.  More specifically, the expectations theory represents an attempt to forecast long-term values based on short-term information.  For example, investors may use short-term interest rates to predict future rates when evaluating investment options."
20,Which of the following scenarios would cause a speculator to buy low and sell high?,Farmers expect to have a bumper harvest of corn next year.,Imports of corn begin to flood the country.,The government is expected to pass legislation making it mandatory for all vehicles to use corn-based fuels within one year.,The government is expected to subsidize corn production for farmers.,C,"The correct option is c. The government is expected to pass legislation making it mandatory for all vehicles to use corn-based fuels within one year.
When the government passes the legislation making corn-based fuels mandatory for vehicles, the demand for corn-based fuels will increase, increasing the demand for corn. As the demand for corn increases, the price of corn will increase.
Thus, the speculator could buy the corns at a low price today and sell them at the increased price due to the government`s legislation, making profits.
Reasons for incorrect options:
Option a. is incorrect because if farmers have expectations of a bumper harvest of corn in the next year, then the price of corn will not increase next year, making it impossible to sell high.
Option b. is incorrect because if the imports of corn increase, the price decreases, and the corn cannot be sold at a higher price.
Option d. is incorrect because if the corn production is expected to be subsidized, the corn price will not increase, making it impossible for the speculator to sell the corn at high prices.",Speculation The formation of a theory or concept without having any empirical evidence or proof. Speculation in sales and purchase is the expectation-based purchase of a good in the hope that its price will increase in the future.
