id,question,A,B,C,D,Answer,Explanation,Hint
1,"An investment will pay $100 at the end of each of the next 3 years, $200 at the end of Year 4, $300 at the end of Year 5, and $600 at the end of Year 6.","If other investments of equal risk earn 6% annually, what is their present value?","If other investments of equal risk earn 6% annually, what is their future value?",,,A,"Given information:
Cash flow in year 1 (CF1) = $100
Cash flow in year 2 (CF2) = $100
Cash flow in year 3 (CF3) = $100
Cash flow in year 4 (CF4) = $200
Cash flow in year 5 (CF5) = $300
Cash flow in year 6 (CF6) = $600
Rate of return (I) = 6%
a. Estimate the investment's present value:
{eq}\text{Present Value} = \displaystyle \frac{CF1}{1 + I} + \frac{CF2}{(1 + I)^2} + \frac{CF3}{(1 + I)^3}+\frac{CF4}{(1 + I)^4} + \frac{CF5}{( + I)^5} + \frac{CF6}{(1 + I)^6} \\ \text{Present Value} = \displaystyle \frac{\$100}{1 + 6\%} + \frac{\$100}{(1 + 6\%)^2} + \frac{\$100}{(1 + 6\%)^3}+\frac{\$200}{(1 + 6\%)^4} + \frac{\$300}{( + 6\%)^5} + \frac{\$600}{(1 + 6\%)^6} \\ \text{Present Value} = \displaystyle $94.34 + $90 + $83.96 + $158.42 + $224.18 + $422.98 \\ \text{Present Value} = \$1,073.88 {/eq}
The present value of the investment is $1,073.88.
b. Estimate the investment's future value:
{eq}\text{Future value} = \displaystyle \text{Present value} \times (1 + I)^N \\ \text{Future value} = \displaystyle \$1,073.88 \times (1 + 6\%)^6 \\ \text{Future value} = \displaystyle \$1,073.88 \times 1.41852 \\ \text{Future value} = \displaystyle $1,523.32 {/eq}
The future value of the investment is $1,523.32.","Present Value: An investment's present value (PV) can be considered its maximum price for a purchase transaction today. This present value is affected by an investor's expected return on the investment. Particularly, if an investor raises the expected return, the investment's present value will reduce, and vice versa."
2,"What is the future value of a series of $5,000 end-of-the-year cash flows to be received forever if the required rate of return is 6.00% per year and the first cash flow is one year from today?","$8,333,333.33","$83,333.33","$83,333,333.33",This question cannot be solved for a future value.,D,"The correct answer is
D. This question cannot be solved for a future value
.
Perpetuity refers to a series of cash flows for an infinite period. So, we cannot determine the future value (of $5,000 end-of-the-year cash flow) because it is a perpetuity, and the period is indefinite. However, we can evaluate the perpetuity's cost or its present value.
As per the data, we have the following inputs:
Annual cash flows = $5,000
Time period = Infinite
Required return = 6%
In order to determine the cost of this perpetuity, we will use the following formula:
{eq}\text{Cost of a perpetuity} = \dfrac{\text{Annual cash flows}}{\text{Required Return}} = \dfrac{\$5,000}{6\%} = \$83,333.33 {/eq}
As we cannot determine the future value of a perpetuity, option D) is correct
.",Future Value: Future value represents the amount that will be received at the time of the investment's maturity. The amount will differ from the initial amount invested because of the money's potential to earn interest.
3,A deposit of $390 earns interest rates of 7.9 percent in the first year and 10.9 percent in the second year. What would be the second year's future value?,$853.32,$463.32,$466.68,$834.56,C,"The answer is
C. $466.68.
Given information:
I1 = 7.9%
I2 = 10.9%
Initial deposit = $390
Estimate the future value of the initial deposit after 2 years:
{eq}\text{Future value} = \displaystyle \text{Initial deposit} \times (1 + I1) \times (1 + I2) \\ \text{Future value} = \displaystyle \$390 \times (1 + 7.9\%) \times (1 + 10.9\%) \\ \text{Future value} = \displaystyle $466.68 {/eq}","Future Value: The future value of an investment will be usually determined to ensure that an investor can achieve an expected financial goal. Otherwise, the current investment should be replaced by another one."
4,"Today, Thomas deposited $150,000 in a 4-year, 12% CD that compounds quarterly. What is the maturity value of the CD?","$336,989","$240,706","$168,000","$300,724",B,"The correct answer is
b. $240,706
.
Given information:
Present Value = $150,000
Period = 4-years adjusted for quarterly compounding = 4*4=16
Interest rate = 12% adjusted for quarterly compounding = 0.12/4=0.03
{eq}\begin{aligned} \text{Future}\ \text{value} &=\text{Present}\ \text{value}\times {{\left( 1+\text{Interest}\ \text{rate} \right)}^{\text{Period}}} \\ &=\$150,000\times {{\left( 1+0.03 \right)}^{16}} \\ &=\$240,705.97\ \text{or}\ \$240,706 \end{aligned} {/eq}
The maturity value of the CD is
$240,706","Future Value: In analyzing an investment such as a certificate deposit (CD), the investor may desire to determine its future value which is computed by recognizing the time value of the money principle. The future value is the monetary value of a current deposit at a future date after it has been compounded. To estimate the future value of we multiply the present value of the deposit by the future value factor. The future value factor is determined by the time period of the deposit and the interest rate applied."
5,"You bought a painting 10 years ago for {eq}\$100,000 {/eq}. If you sold it for {eq}\$310,600 {/eq}, what was your annual return on investment?",{eq}8\% {/eq}.,{eq}10\% {/eq}.,{eq}12\% {/eq}.,{eq}14\% {/eq}.,C,"The correct answer is
option C. 12%.
Given information:
Original cost (PV) = $100,000
Future value (FV) = $310,600
Number of years= 10 years
Determine the annual return by applying the financial formula of present value calculation:
{eq}\begin{aligned} \text{Present}\ \text{value} &=\frac{\text{Future}\ \text{value}}{{{(1+\text{Rate})}^{\text{n}}}} \\ \$100,000 &=\frac{\$310,600}{{{(1+\text{Rate})}^{\text{n}}}} \\ {{(1+\text{Rate})}^{10}} &=\frac{\$310,600}{\$100,000} \\ \text{Rate} &={{\left( \frac{\$310,600}{\$100,000} \right)}^{\frac{1}{10}}}-1 \\ &=1.1200-1 \\ &=0.1200 \\ &=12\% \end{aligned} {/eq}
Thus, the annual rate is 12%.","Interest Rate: An interest rate is defined as the borrowing cost for the borrower and the earnings for the lender. It is affected by several factors, such as inflation, monetary policy, and the supply and demand of money."
6,"On an investment of $2,000, you'll earn 10 percent interest per year, compounded semiannually. What is the future value of this investment after one year?","$2,205","$2,420","$2,100","$4,500",A,"The calculated future value of the investment after 1 year is {eq}a. $2,205

{/eq}.
The number of semi-annual periods for the investment is given by:
{eq}\begin{align*}

&= \text{Number of years  * Number of semi-annual periods in a year} \\[0.3 cm]

&= 1 * 2 \\[0.3 cm]

&= 2 \\[0.3 cm]

\end{align*}

{/eq}
The semi-annual interest rate is given by:
{eq}\begin{align*}

&= \dfrac{\text{Annual interest rate}}{\text{Number of semi-annual periods in a year}} \\[0.3 cm]

&= \dfrac{10\%}{2} \\[0.3 cm]

&= 5\% \\[0.3 cm]

\end{align*}

{/eq}
The value of the investment after 1 year is given by:
{eq}\begin{align*}

&=  \text{Amount invested today * (1 + semi-annual interest rate)} ^ {\text{Number of semi-annual periods}} \\[0.3 cm]

&= $2,000 * (1 + 5\%)^{2} \\[0.3 cm]

&= $2,000 * (1.05)^{2} \\[0.3 cm]

&= $2,000 * 1.1025 \\[0.3 cm]

&= $2,205

\end{align*}

{/eq}","Future Value: The future value of an investment made today represents the equivalent worth at maturity. It takes into consideration factors such as the applicable interest rate, compounding interval, investment amount, and time till maturity."
7,Discounting is:,Converting present value into its future value.,Value today of a payment to be received.,Calculating the future value using a formula.,Converting future cash flows in the their present value.,D,"The correct answer is
d. Converting future cash flows in the their present value
Under discounting, future cash flows are multiplied by a discounting factor. The resulting value is called the present value of future cash flow. This technique is commonly used to judge the future viability of a project.
The other options are incorrect.
a.
Converting present value into its future value:
The process of converting a present cash flow into its future value is called compounding.
b.
Value today of a payment to be received:
The current value of a cash flow to be received in the future is called its present value.
c.
Calculating the future value using a formula:
The process of calculating the future value of a cash flow is called compounding.",Time Value of Money: The time value of money is a core concept of finance that states that a certain sum of money in one's hands is worth more than the same amount to be received in the future. This concept provides guidance for making investment decisions.
8,"What is the future value of $2,968 invested for 9 years at 4.9 percent compounded annually?","$3,680.90","$4,565.03","$3,690.38.","$7,021.38",B,"The correct answer is
b. $4,565.03.
Given information:
Initial investment = $2,968
Annual interest rate (I) = 4.9%
Holding periods (N) = 9 years
Estimate the future value of the initial investment after 9 years:
{eq}\text{Future value} = \displaystyle \text{Initial investment} \times (1 + I)^N \\ \text{Future value} = \displaystyle \$2,968 \times (1 + 4.9\%)^9 \\ \text{Future value} = \displaystyle \$4,565.03 {/eq}",Future Value: The future value of a lump sum indicates how much the lump sum will be worth in future dollars after a given term. Investors should pay attention to the relationship between the market interest rates and the future value since an increase in the compounding rate will increase the investment's future value.
9,"Calculate the future value of $1,660 invested at 7.3% for four years.","2,420","1,540","2,200","1,760",C,"The correct answer is option
c. {eq}$2,200.43

{/eq}.
The future value after four years is computed as:
{eq}\begin{align*}

&=  \text{Amount invested today * (1 + annual interest rate)} ^ {\text{Number of years}} \\[0.3 cm]

&= \$1,660 * (1 + 7.3\%)^{4} \\[0.3 cm]

&= \$1,660 * (1.073)^{4} \\[0.3 cm]

&= $1,660 * 1.32556 \\[0.3 cm]

&= $2,200.43

\end{align*}

{/eq}",Future Value: The future value of an investment made today represents the equivalent future worth at a certain point in time in the future. The future value is directly related to the relevant interest rate.
10,"Assume that one year from now, you will deposit $1000 into a savings account that pays 8 percent.","If the bank compounds interest annually, how much will you have in your account four years from now?",What would your balanced four years from now be if the bank used quarterly compounding rather than annual compounding?,,,A,"Given Information:
Principal amount is $1,000
Rate of Interest is 8%
A)
Calculation of the amount in the account after 4 years:
{eq}\begin{align*}{\rm{Future \;Value}} &= {\rm{Principal}}{\left( {1 + {\rm{r}}} \right)^{\rm{n}}}\\ &= \$ 1,000{\left( {1 + \frac{8}{{100}}} \right)^3}\\ &= \$ 1,000 \times 1.25\\ &= \$ 1,250\end{align*}

{/eq}
Here, r is the interest rate, n is the number of years, and n is the time period.
Time-period is valued as 3 here because, in the question, it is given one year from now; therefore, the number of years the amount deposited will be 3.
Therefore, $1,250 will get collected from the account four years from now.
B)
Calculation of balance if bank compound quarterly:
{eq}\begin{align*}{\rm{Future \;Value}} &= {\rm{Principal}}{\left( {1 + \frac{r}{4}} \right)^{{\rm{4n}}}}\\ &= \$ 1,000{\left( {1 + \frac{8}{{100 \times 4}}} \right)^{4 \times 3}}\\ &= \$ 1,000 \times 1.26\\ &= \$ 1,260\end{align*}

{/eq}
Here, r is the interest rate, and n is the years.
When the bank compound quarterly,  the rate will get divided by 4 (as there are 4 quarters in the year), and time will be multiplied by 4.
Therefore, the balance will be collected after 4 years if the bank compounds quarterly are $1,260","Future Value: When an amount is deposited at a predicted rate, the future value tells its value on a certain date. It helps in decision-making for the investor as it depicts the future value of the project they might invest."
