id,question,A,B,C,D,Answer,Explanation,Hint
1,Assume that USA interest rate is 6%; Mexico interest rate is 2%; spot rate now is $0.50/Peso; spot rate one year later is $0.51/Peso. Find the uncovered return from the USA point of view.,5.12%,3.71%,8.16%,4.04%,C,"The closest answer is c. 8.16%.  Support is below.
The peso is expected to appreciate relative to the dollar.  Specifically, it is expected to gain 2.00% ($.51 / $.50 = .02).  This equates to a loss of 1.96% for USD investors ((1/.51)/(1/.50) -1 = .0196)
So, for a U.S. investor borrowing in pesos and investing in USD, he can expect to pay interest of 2% on the peso, earn interest of 6.00% on the USD, and gain 2.00% of value on the exchange rate.  Specifically, the uncovered return is as follows:
Uncovered Return = .06 - .02 - .02 = .08","Uncovered Return: When dealing with international investments and foreign currency exchange, an uncovered return is that which is attainable without any hedging maneuvers to mitigate exchange rate fluctuations."
2,The holding period return on a stock is equal to __________.,the capital gain yield over the period plus the inflation rate.,the capital gain yield over the period plus the dividend yield.,the current yield plus the dividend yield.,the dividend yield plus the risk premium.,B,"Correct answer is Option b.
The Holding period return gives the entire return that is earned on an investment from the beginning till the time it is sold. Thus, it includes both the dividends received and the gain on sale of stock.
Thus, HPR is equal to the capital gain yield over the period plus the dividend yield.
Explanation for incorrect answers:
a. It is incorrect because HPR does not take inflation into account.
c. It is incorrect because current yield is equal to the dividend yield itself and the capital gains yield is not included in this case.
d. It is incorrect because risk premium is already a part of the required return on stock and capital gains yield is not included in this case as well.",Capital gains yield: Capital gains yield refers to the return that is earned as result of sale of an asset. It is expressed in percentage. It arises only when the value of asset at the time of sale is greater than the value of asset at the time of its purchase.
3,"A stock has had returns of 5.05%, 12.11%, 5.83%, 6.14%, and -13.19% over the past five years. What was the holding period return for the stock?",) 14.84%,) 114.84%,) 83.49%,,A,"The correct answer is
Option A.
{eq}\begin{align*}

{\rm\text{HPR}} &= \;\left[ {\left( {1 + r_1} \right) \times \left( {1 + r_2} \right) \times \left( {1 + r_3} \right) \times \left( {1 + r_4} \right) \times \left( {1 + r_5} \right)} \right] - 1\\

&= \left[ {\left( {1 + 0.0505} \right) \times \left( {1 + 0.1211} \right) \times \left( {1 + 0.0583} \right) \times \left( {1 + 0.0614} \right) \times \left( {1 - 0.1319} \right)} \right] - 1\\

&= \left[ {\left( {1.0505} \right) \times \left( {1.1211} \right) \times \left( {1.0583} \right) \times \left( {1.0614} \right) \times \left( {0.8681} \right)} \right] - 1\\

&= 0.1484\\

&= 14.84\%

\end{align*}

{/eq}
Where:
HPR = Holding Period Return
r1 = Return in Year 1
r2 = Return in Year 2
r3 = Return in Year 3
r4 = Return in Year 4
r5 = Return in Year 5
Therefore, the Holding Period Return is 14.84%.",Holding Period Return: The total amount of return earned or lost on an investment during a specific time is the holding period return. It is the total income earned due to the fluctuations in its value over the short term or long term.
4,8. You purchased a share of stock for $20. Two years later you received SI as dividend and sold the share for $29. What was your holding period return?,stop-buy order,stop-loss order,limit-buy order,limit-sell order,D,"Question 8:
Calculate the holding period return:
{eq}\begin{align*}

HPR&=\dfrac{Selling~Price+Dividend}{Purchase~Price}-1\\

&=\dfrac{29+1}{20}-1\\

&=1.50-1\\

&=.50

\end{align*}

{/eq}
The holding period return of the stock investment is D. 50%
Question 9:
Calculate the effective interest rates:
{eq}EAR=(1+r)^{\dfrac{1}{n}}-1\\

where:\\

r=holding~period~return\\

n=number~of~periods\\

{/eq}
In this case the number of periods would be 2 years, while the holding period return is 50%
{eq}\begin{align*}

EAR&=(1+.50)^{\dfrac{1}{2}}-1\\

&=1.2247-1\\

&=.2247

\end{align*}

{/eq}
The effective interest rates of the 22.47% or A. 22.5%
Question 10:
B. Stop Loss Order
Putting a stop loss order at the price of $60, protect the investment from further decline lower than the purchase price, but also captures the opportunity for future upward potential.","Holding Period Return: Holding period return refers to the total return of the investment from the day of purchase until it was sold. Unlike with effective annual interest rates which calculate the annualized return of the investment, the holding period return doesn't consider the number of periods but instead only calculates the total return of the investment."
5,"What is the holding period return on an investment over 3 years, if in the first year the return was 5.2%, the second year it was -10% and in the third year the return was 76.7%?",167.30 percent.,67.30 percent.,-104.48 percent.,157.30 percent.,B,"Option (b) is correct.
Calculation of holding period return
Let the investment be x
{eq}\begin{align*}

{\rm\text{Value of Investment After 3 Year}} &= \$ 100\left( {1 + 0.052} \right)\left( {1 - 0.10} \right)\left( {1 + 0.767} \right)\\

&= \$ 167.30

\end{align*}

{/eq}
{eq}\begin{align*}

{\rm\text{Holding Period Return}} &= \frac{{{\rm\text{Value of Investment}}}}{{100}} - 1\\

&= \frac{{\$ 167.30}}{{100}} - 1\\

&= 67.30\%

\end{align*}

{/eq}","Holding period return Holding period return refers to net profit or loss percentage earned by the investor because of holding the investment over the period. It indicates the return for the total period, not the annual return, to calculate the holding annual return holding return is required to divide by the number of holding years."
6,Suppose you bought a bond with an annual coupon rate of 7.2% one year ago for $895. The bond sells for $922 today.,"Assuming a $1,000 face value, what was your total dollar return on this investment over the past year? (Do not round intermediate calculations and round your answer to the nearest whole number, e.g., 32.)","What was your total nominal rate of return on this investment over the past year? (Do not round intermediate calculations and enter your answer as a percent rounded to 2 decimal places, e.g., 32.16.)","If the inflation rate last year was 4.2%, what was your total real rate of return on this investment? (Do not round intermediate calculations and enter your answer as a percent rounded to 2 decimal places, e.g., 32.16.)",,A,"a. Total dollar return is $99.
Total dollar return is the sum of interest payment and capital gain. Given 1000 face value and 7.2% annual coupon, since the bond is held for one year, you would have received only one coupon payment = 1000 * 7.2% = 72. When the bond is sold, the capital gain = sale price - purchase price = 922 - 895 = 27.
Hence, total dollar return = 72 + 27 = 99.
b. Nominal rate of return = total dollar return / purchase price = 99 / 895 = 11.06%.
c. Real rate of return = nominal rate of return - inflation rate = 11.06% - 4.2% = 6.86%.","Holding Period Return: The holding period is the period between when an asset is purchased and when the asset is sold. During the holding period, total dollar return is the sum of asset yields such as interest and dividend payments, and capital gains when the asset is sold."
7,"You purchased a share of stock for $20. Two years later, you received $1 as dividend and sold the share for $29. What was your holding period return?",stop-buy order,stop-loss order,limit-buy order,limit-sell order,D,"1)
The answer is D.
The total dollar return is the sum of dividend, which is $1, and capital gains, which is 29 - 20 = $9. That is, total dollar return = 9 + 1 = 10. The holding period return is the ratio of total dollar return to initial investment, i.e.,
{eq}\displaystyle \ \frac{10}{20} \ = \ 50\%.

{/eq}
2)
The answer is B.
We can use the following formula to derive effective annual rate over a number of years.
{eq}\displaystyle \left \{ \left ( \frac{Future \ Value}{Beginning} \right )^{\frac{1}{n}} \right \} \ - \ 1

{/eq}
Where future value = Future value of the stock
Present value = beginning value of the stock
n = number of periods
Here in this case Future value can be assumed to be $30 as $29 is ending amount plus $1 gain of dividend.
{eq}\text{effective annual rate} = \displaystyle \ \left \{ \left ( \frac{30}{20} \right )^{\frac{1}{2}} \right \} \ - \ 1

\\

= \ 1.224744 \ - \ 1

\\

= \ 0.2247

\\

= \ 22.47\%

{/eq}
3)
The answer is D.
With a limit sell order, a security will be sold only if the price is at least as high as the specified price. In this case, if you execute a limit sell order with a target price of $90, then the stock will only be sold if the price is $90 or higher.","Holding Period Return: Holding period return is the rate of return during the period when an investor possesses an asset. During this period, the total dollar return is the sum of the asset yield and the capital gain from the appreciation of asset value."
8,"Five years ago, Shirley Harper bought a 10-year bond that pays 8 percent semiannually for $981.10. Today, she sold it for $1, 067.22. What is the realized yield on her investment?",10%b. 7%c. 8%d. 11%,,,,A,"The (closest) answer is
(a.) 10%.
The realized return on the bond is the same as the internal rate of return on the bond given its initial cost and cash flows received. In this question, the bond costs $981.10 and over the 5 years holding period, the  bond generates a semiannual coupon payment equal to $1,000 * 8% / 2 times a year = $40 per semiannual payment. Because Shirley has owned it for five years and the payments are semiannual, there were 10 payments in total. The bond is then sold for $1067.22. Denoting the realized return on the bond
y
, we have:
{eq}\displaystyle \sum_{t=1}^{10}{\frac{40}{(1 + y/2)^t}} + \frac{1067.22}{(1 + y/2)^{10}} = $981.10 {/eq}, which yields:
{eq}y = 9.56\%{/eq}","Holding Period Return: If you purchased a bond and sold it before it matures, the realized return on the investment is known as the holding period return. This return is the sum of two components: the periodic interest yield on the bond and the capital gain (or loss) on the bond when it is sold."
9,"Baker Baseball Cards, Inc. originally purchased the rookie card of Hammerin' Hank Aaron for $35.00. After holding the card for 4 years, Baker Baseball Cards auctioned the card for $140.00.",What are the holding period return and the simple annual return on this investment?,What is the holding period return of the baseball card?,,,A,"a.	Calculation of Holding period return on Investment:
{eq}\begin{align*}

{\rm\text{Holding period return }} &= {\rm\text { }}\frac{{{\rm\text {Sale Price}} - {\rm\text {Purchase Price}}}}{{{\rm\text {Purchase Price}}}} \times 100\\

&= \frac{{\$ 140 - \$ 35}}{{\$ 35}} \times 100\\

&= \frac{{\$ 105}}{{\$ 35}} \times 100\\

&= 300\%

\end{align*}

{/eq}
{eq}\begin{align*}

{\rm\text{Simple Annual Return }} &= {\rm\text { }}\frac{{{\rm\text {Holding period Return}}}}{{{\rm\text {Period of holding}}}}\\

&= \frac{{300\% }}{4}\\

&= 75\%

\end{align*}

{/eq}
b.	Calculation of the Holding period return on the Baseball Card:
{eq}\begin{align*}

{\rm\text{Holding period return }} &= {\rm\text { }}\frac{{{\rm\text {Sale Price}} - {\rm\text {Purchase Price}}}}{{{\rm\text {Purchase Price}}}} \times 100\\

&= \frac{{\$ 140 - \$ 35}}{{\$ 35}} \times 100\\

&= \frac{{\$ 105}}{{\$ 35}} \times 100\\

&= 300\%

\end{align*}

{/eq}",Holding Period Return. Holding period Return can be defined as the total returns earned in the form of periodic payments or capital appreciation from the time the asset was purchased till the time it is sold. It is one of the important forms of calculation of returns made on assets held for a long duration of time.
10,"The realized rate of return, or holding period return, is equal to the holding period dollar gain divided by the price at the beginning of the period.",True,False,,,A,"The provided description is
true
.
Concerning the meaning of holding a period return or realized return, it specifies the total return an investor earns from their investment portfolio within a specified period of holding those investments or assets.
Computing the realized return with a percentage approach, the realized return is first analyzed by evaluating the difference between the ending value and the beginning value of investments. Afterwards, the amount realized is divided by the initial investment value and multiplied by 100. Thus, the provided statement is appropriate and true.","Investment Income: Investment income is the revenue or profit derived from financial accounts or assets. There are three main forms capital gains, interest, and dividends. The income involves the levying of tax at a special rate, a lower rate, or no tax at all, just as income tax depends upon the amount earned."
