id,question,A,B,C,D,Answer,Explanation,Hint
1,"""When people must pay higher taxes on their wage earnings, it reduces their incentive to work"" is a positive statement.",True,False,,,A,"The provided statement is
true
.
A positive statement is defined as one that possesses empirical evidence. This statement is regarded as positive when the established hypothesis can be changed, tested, or replaced.
The provided statement on taxes and earnings will involve analyzing the relationship study between them. This statement relies on relevant facts, associated figures, and data analysis.
Thus, the provided statement is a positive statement as it will establish cause-and-effect relationships among earnings, taxes, and incentives. Hence, it is true.","Taxable Income: Taxable income denotes the individual's gross income less certain exemptions or deductions, on which the tax rate is applied to compute income payable to tax authorities. It involves salaries, bonuses, tips, and unearned income."
2,Earned Income Tax Credits:,decrease tax liability and are phased out,increase tax liability and are phased out,decrease tax liability and are not phased out,increase tax liability and are not phased out,A,"Earned Income Tax Credits
a. decrease tax liability and are phased out
Earned Income Tax Credits (EITC) are credits for low-income individuals and families. They are adjusted or phased out as income increases. They never increase a taxpayer's liability and are permanently phased out as income rises. The difference between a tax credit and a tax deduction is that a tax credit is subtracted from the bottom line of what the taxpayer owes, while a deduction offsets the taxpayer's gross income.",Earned Income Tax Credit: The Earned Income Tax Credit (EITC) is for those working and earning a low to moderate income. It is a credit rather than a deduction or exemption.
3,"Assume that the government imposes a 30% tax on your income and deducts $8,000 from the result. Under a negative income tax scheme, if you earn $30,000 a year, you will:","receive a tax credit of $1,000","receive a tax credit of $8,000","have a tax liability of $1,000","have a tax liability of $8,000",C,"In the given case, the tax imposed is
30%
. For income of
$30,000
, the expected tax level is as follows
$$\begin{align}

\text{Expected Tax} = 30\% * $30,000

\end{align}

$$
$$\begin{align}

\text{Expected Tax} = $9,000

\end{align}

$$
However, the government deducted $8,000 from the income. This means that the tax payer is in tax arrears of {eq}$9,000 - $8,000 = $1,000 {/eq}.  The expectations are that the tax payer will submit
$1,000
to the state.
Correct Answer: c. have a tax liability of $1,000","Negative Income Tax Scheme Under the negative income tax scheme, an income threshold that earners are expected to pay tax is set such that earners whose income is above that level are expected to pay some money to the state. Those who earn an income below the set threshold will receive some money from the state."
4,"At the end of the year, employees are given Form 1099-Misc for the total amount of gross wages earned for the year.",True,False,,,B,"The statement is FALSE.
At the end of the year, employees are given
Form W-2, Wage and Tax Statement
for the total amount of gross wages earned for the year. The form also has details of all federal, state, and FICA taxes withheld and the employee's filing status and number of dependants.
Form 1099-Misc is issued to independent contractors and it contains information about amounts paid to them during a tax year or expenses like rent, royalties, and legal services.","Personal Income Tax: The income tax payable by an individual taxpayer is based on their gross income minus deductions. Information about salaries received is provided by the employers directly to the IRS and employees, and this information is used to complete the individual income tax return."
5,The effective federal unemployment tax rate is usually:,6.2%,0.8%,5.4%,8.0%,B,"The correct answer is option b. 0.8%.
The effective federal unemployment tax rate is usually 0.8%. We know that the Federal Unemployment Tax Act (FUTA) imposes a statutory tax rate of 6.0% on the first $7,000 of each employee's wages. However, employers can claim a credit of up to 5.2% for their contributions to state unemployment insurance (UI) programs, thus reducing the effective FUTA tax rate to 0.8% (6.0% - 5.2%).
It is important to note that this rate may change if the employer is in a state with a credit reduction, which occurs when a state has outstanding federal loans for their unemployment insurance programs. In such cases, employers in that state may face a higher effective FUTA tax rate due to a reduced credit offset.
Therefore, the correct answer is option
b. 0.8%.","Income Taxation: Income tax serves as a significant source of revenue for the government, helping to fund essential public services and programs such as healthcare, education, infrastructure, defense, and social welfare programs."
6,"By January 31, following the end of a calendar year, an employer is required to provide each employee with a(n):",State unemployment tax form.,Federal unemployment tax form 940.,Wage and tax statement form W-2.,"Employee's withholding allowance certificate, form W-4.",C,"The correct answer is
option C:
Employers must provide the wage and tax statement form W-2 to their employees.
The IRS Form W-2, ""Wages and Tax Statement"" shows an employee's income for the previous year, the amount of tax the employer withheld, and other information.
Additional Information
Option A: The State Unemployment Charge Act, known as SUTA, is a payroll tax employers are required to pay to the state to finance unemployment insurance, which administers unemployment compensation endeavors designed to offer financial help to the unemployed.
Option B: The FUTA tax is a payroll tax employers are required to pay at the federal level to finance unemployment insurance, which administers unemployment compensation endeavors designed to offer financial help to the unemployed.
Option D: Form W4, ""Employee Withholding Certificate,"" is completed by a worker to notify the employee of the amount that should be withheld from the paycheck.",Withholding Tax: A withholding tax is a fixed income tax that an employer deducts from a employee's wages and pays the government directly on behalf of the worker.
7,All of the following types of income will be reported on Schedule C except :,Prizes or awards received in connection with the business.,Recapture of excess depreciation or $179 deductions claimed when the use of listed property drops to 50% or less.,Federal or state fuel tax credits or refunds.,Passive rental income from a single-family home.,D,"The correct answer is option d. Passive rental income from a single-family home.
The IRS Schedule C form reports a business's income, expenses, and profit or loss for each tax year. This information can be used to calculate the business's tax liability. It is essential to ensure that all income and expenses are accurately reported on the form, as this affects the amount of taxes that need to be paid.
The IRS Schedule C form requires reporting income, expenses, and profit or loss for each tax year. The types of items reported on Schedule C include:
Gross receipts or sales: Amounts received from customers in the course of business, including cash, checks, and payment by credit card.
Cost of goods sold: The amount paid for goods you used to produce the goods or services sold.
Expenses: All ordinary and necessary business expenses related to the operation of the business. Examples include advertising, rent, equipment rental, supplies, utilities, and wages.
Other income: Income from activities not directly related to the business, such as interest, dividends, and capital gains.
Net profit or loss: The gross receipts minus the cost of goods sold, expenses, and other income. This is the amount that will be reported on your tax return.
Accordingly,  Options A, B, and C are all reported in the Schedule C.
Option D is the correct answer
. This type of income does not need to be reported on Schedule C as it is considered passive income, which is reported on a different form. This form is called Schedule E.","Income Tax: Income tax is the government's primary means of collecting money from the public in order to fund public services, such as social security, roads, and infrastructure. The amount of income tax that an individual is required to pay is based on their total taxable income, which is all forms of income, such as wages, salaries, self-employment income, investments, and pensions."
8,Investors who wish to minimize the effect of taxes on their investment returns should try to avoid:,dividend-paying stocks.,short-term capital gains.,long-term capital gains.,municipal bonds.,B,"The answer is
B. short-term capital gains.
A. Incorrect. By investing in dividend-paying stocks, an investor will receive dividend income annually. The stock's dividend is taxed as an ordinary income. However, the amount of income tax charged on the dividend income is not significant since the dividend income consumes a small proportion of the total ordinary income.
B. Correct. Short-term capital gains are taxed as ordinary income, which generates a significant amount of tax liability since the amount of a capital gain is usually higher than interest income or dividend income. With that being said, the short-term capital gain raises the tax charges during the year.
C. Incorrect. A long-term capital gain is taxed at a lower rate (0%, 15%, or 20%), which allows a taxpayer to obtain tax savings during the year.
D. Incorrect. Interest income from municipal bonds is usually tax-free, which can help investors to reduce their total income tax liability.","Individual Income Tax: The individual income tax law is imposed on the taxpayer's annual income, which the annual income can be drawn from different sources of income such as employment income, investment income, rental income, etc. Depending on the source of income, each type of income can be taxed as an ordinary income or a special income."
9,All of the following taxpayers file Schedule C except _____.,An independent contractor.,A sole proprietor running a boutique.,A sole proprietor running a farm.,A statutory employee.,D,"The correct answer is option D. A statutory employee.
The correct answer is D. A statutory employee. Schedule C or Form 1040 is a tax form used by individuals who perform services primarily for profits, like sole proprietors, independent contractors, and other self-employed individuals, to report their business income and expenses. A statutory employee is treated as an employee for tax purposes but not for other purposes such as employment law or Social Security. Statutory employees do not file Schedule C but report their income and expenses on Schedule SE.
Accordingly,
the correct answer is option D. A statutory employee.","Tax Forms: Tax forms are an essential part of the tax system and are used to accurately report one's income, deductions, and other information related to taxes. Tax forms are used to calculate a person's tax liability and are used to ensure that everyone is paying their fair share of taxes."
10,The rules for determining income tax nexus are the same as those for determining sales and use tax nexus.,True,False,,,A,"The given statement is
True
.
The Wayfair decision overturned a long-standing physical presence criterion, allowing states to mandate that distant vendors collect and return sales tax. Since Wayfair, most states have passed new regulations defining what constitutes nexus or what triggers a sales and use tax liability.
According to the Wayfair decision, the guidelines for finding income tax nexus are the same as those for determining sales and using tax nexus.
Thus, the answer to the question's supplied statement is True.","Income tax rules: Income tax rules are the guidelines or rules the Internal Revenue Service (IRS) sets for how individuals, businesses, and companies must compute and pay their income taxes liabilities."
11,"For married taxpayers filing a joint return in 2023, at what AGI level does the phase-out limit for contributions to Qualified Tuition Programs (Section 529 plans) start?","$190,500","$220,000","$400,000",There is no phase-out limit on Qualified Tuition Program contributions.,D,"For the tax year 2023, there is no phase-out limit on contributions to Qualified Tuition Programs (Section 529 plans). So married taxpayers filing a joint return in 2023 can contribute to these accounts regardless of their adjusted gross income (AGI) without worrying about a phase-out limit affecting their contributions.
So the correct answer is
d. There is no phase-out limit on Qualified Tuition Program contributions.","Income Tax: Income tax is the most common direct tax that governments levy. Usually, people must file a return of income showing how much they earned during the year, how much taxes they paid, etc. to the authorities."
12,Which of the following does NOT qualify for combat pay exclusion?,Active duty in a combat zone.,Reenlistment bonus while in a combat zone.,Student loan repayment in a combat zone.,Retirement pay and pensions.,D,"The correct answer is
d. Retirement pay and pensions.
According to the Internal Revenue Service (IRS), the tax exclusion for combat services is granted to those individuals who serve in a combat zone.
The following events qualify for combat pay exclusion.
Basic pay given every month for active duty in a combat zone.
Contnuation bonuses or commonly called reenlistment bonuses.
School loan repayment (only for the months the individual is present in the combat zone).
Hostile fire pay.
Imminent danger pay.
Leave benefits.
Awards and other financial incentives.
Retirement pay and pensions are not included in combat pay exclusion.","Tax Liability: In tax accounting, the amount of the income tax liability depends on the net income earned by the taxpayer. Net income is calculated based on the difference between gross income and allowable deductions."
13,"""Effective income tax rates"":",cannot be accurately determined.,are seldom considered by economists.,have no legal meaning.,refers to the average percentages of taxable income actually paid in taxes.,D,"The correct option is
d. refers to the average percentages of taxable income actually paid in taxes
.
The effective income tax rate is a more accurate representation of the tax burden than the marginal tax rate, which only reflects the tax rate applied to the last dollar of income earned because it takes into account all of the taxes paid rather than just the ones on the last dollar.
Reasons why other options are incorrect:
a. cannot be accurately determined.
Some economies effectively develop tax systems and policies that help them in the short run and long run.
b. are seldom considered by economists:
Effective income tax rates are always considered by economists.
c. have no legal meaning:
The tax rates are legally binding and have legal meaning.","Income Tax: The term ""income tax"" refers to the tax imposed on individuals based on their earnings. The income tax rule is created by the government, and hence the rate of the income tax can be changed by the government, and rates totally depend on the government."
14,Income received by a taxpayer's agent is taxable to the taxpayer.,True,False,,,A,"The statement stated above is true.
The owner of property income must pay tax on this income. The term ""assessee"" includes persons valued based on their income, the taxable income of others, or the profits and losses incurred. A person may be held liable for tax payments by a judicial authority, and these persons are called deemed assessees. Therefore, any income received from the taxpayer's agent is considered a deemed taxpayer and therefore taxable to the taxpayer.","Assessee: He is an individual who is obligated to pay taxes to the government on income or losses earned in a certain assessment year. They can be categorized into normal, deemed or representative, and default."
15,"In cash basis accounting, for tax purposes:",The cash basis is not allowed for businesses reported on Schedule,Income is recognized when it is earned regardless of when received and expenses are recognized when they are actually or constructively incurred.,"Income is recognized when it is actually or constructively received and expenses are recognized when they are actually or constructively incurred, regardless of when paid.",Income is generally recognized when it is actually or constructively received and expenses are generally recognized when they are paid.,D,"The correct choice is;
D.
The choice (D) is correct because cash basis taxpayer,
income is recognized when received and expenses are recognized when paid
.
The choice (A) is incorrect because businesses that give reports on schedules may be allowed on a cash basis if the schedules are based on income and service delivery.
The choice (B) is incorrect because, on a cash basis, income is not reported when earned but reported when received, while expenses are deducted when paid, not when incurred.
The choice (C) is not the correct answer because cash-basis taxpayers deduct expenses when they are paid, not when they are incurred.","CASH BASIS ACCOUNTING Cash basis is the method of accounting that recognizes income and taxes in the year cash is received or paid off. On a Cash basis taxpayer expenses are deducted in the year they are paid out, not necessarily the incurred year."
