id,question,A,B,C,D,Answer,Explanation,Hint
1,Which of the following is important when evaluating long-term investments?,Investments must earn a reasonable rate of return.,Employees are able to determine and propose capital equipment for their divisions or departments.,Proposals should match long-term goals.,All of the above.,D,"Explanation:
Correct Answer: d. All of the above.
As long-term investments are opted by the management to earn profits and income in long run, they generate higher returns associated with high risk. These investments include investments in assets that are used by the company in the long term. Hence, management also recommends investing in capital assets. As the main goal of long-term investments is to choose those that have a longer life, the proposals chosen should be matched with long-term goals.",Investments: When a person uses the money to invest in some kind of asset or other sources with an expectation of generating profit or income is referred to as an investment. Most of the investments are purchased for long-term use to capitalize on long-term profits.
2,"The APR factors in the effects of all of the following expenses, except:",Hazard insurance premium,Processing fee,Origination fee,Mortgage insurance premium,A,"The correct answers are as follows:
A. Hazard insurance premium
D. Mortgage insurance premium
Neither of these insurance costs pertain to the financing cost of a loan.",APR: APR is short for annual percentage rate.  It is an annualized cost of financing that reflects the actual interest rate on a loan plus any related processing or loan handling fees.
3,"Find the interest paid on a loan of $47, 970 at 10% annual simple interest for 1.3 years.","$3,282.16","$6,236.10","$5,756.40","$11,033.10",B,"The correct answer is
b. $6,236.10
.
Simple interest computation is straight, as there is no interest on interest calculation. We have the following data to determine the total interest on the investment:
Loan amount, P = $47,970
Time, T = 1.3 Years
Interest rate, R = 10% per annum
Let's use the formula below by substituting the components above:
{eq}\text{Simple interest} = \dfrac{\text{P × R × T}}{100} = \dfrac{\$47,970 × 10 × 1.3 }{100} = \$6,236.10 {/eq}",Interest Computation: The interest rate is usually an annualized percentage charged on the face value. Interest can be in the form of simple or compound interest based on the nature of the investment and other factors. Simple interest is easy to calculate compared to compound interest.
4,Gerold invested {eq}\$119 {/eq} in an account that pays 6 percent simple interest. How much money will he have at the end of 4 years?,{eq}\$147.56 {/eq}.,{eq}\$153.46 {/eq}.,{eq}\$136.85 {/eq}.,{eq}\$140.42 {/eq}.,A,"The correct option is
option a. $147.56.
Simple interest:
Simple interest can be calculated by multiplying the principal amount, rate of return, and number of years.
Given information:
Principal amount = $119
Rate of return = 6%
Investment horizon = 4 years
Step 1. Calculation of the interest amount on investment:
{eq}\begin{aligned} \text{Amount of interest } &=\text{ Prinicipal}\times \text{Rate}\times \text{ Number of years} \\ &=\$119\times 6\%\times 4 \\ &=\$28.56 \end{aligned} {/eq}
Step2. Calculation of the future value of investment after 4 years:
{eq}\begin{aligned} \text{Future value of investment}&=\text{ Principal amount}+\text{Interest amount} \\ &=\text{ }\!\!\$\!\!\text{ 119+28}\text{.56} \\ &=\text{ }\!\!\$\!\!\text{ 147}\text{.56} \end{aligned} {/eq}
Hence, the future value of the investment after 4 years will be $147.56.","Required Rate: Required rate can be defined as the rate at which an individual would like to borrow and lend money after adjusting for inflation, risk-free rate, and credit risk. It is the minimum rate of return that investors are willing to accept. If the rate goes below this value, an investor should reject the investment."
5,"The interest charged by the bank, at the rate of 9%, on a 90-day, discounted note payable for $100,000 is:","$9,000","$2,250",$750,"$1,000",B,"The correct answer is option
b) $2,250.
To answer this problem, we must use the concept of computing interest. Interest is computed based in the following formula:
Based on the above problem, the following are the significant details.
Interest Rate = 9%;
Principal = $100,000;
Time = 90/360;
Interest = Principal x Interest Rate x Time
Interest = $100,000 x 9% x  90/360
Interest = $2,250","Simple Interest: In business and finance, the simple interest is the most basic way of calculating interest income/expense. It is the very general way of charging interest. Accordingly, simple interest is related to the cost of borrowing money."
6,"Mike Brown borrowed $20,000 at an annual interest rate of 7% and paid off the loan, principal and interest after several years with a $30,000 check. The number of years he has had the money is _____.",4.27B) 5.99C) 6.51D) 7.04,,,,D,"Given Data
The principal amount is {eq}p = \$ 20,000

{/eq}, rate {eq}r = 7\%

{/eq}, and simple interest
{eq}\begin{align*}

S.I &= \$ 30,000 - \$ 20,000\\

&= \$ 10,000

\end{align*}

{/eq}
Use the formula of the simple interest as given below,
{eq}\begin{align*}

S.I &= p \times r \times t\\

10,000 &= \dfrac{{20,000 \times 7 \times t}}{{100}}\\

t &= \dfrac{{10,000}}{{1400}}\\

t &= \dfrac{{100}}{{14}}\\

t &= 7.14\;{\rm{years}}

\end{align*}

{/eq}
Thus, option
(D)
is correct.","Simple Interest: In mathematics, simple interest is the method to calculate the interest on the principal amount. The interest may be levied annually, half-yearly or quarterly. In simple words, we give some more money which we borrowed, that money is called interest. The formula of calculating the simple interest is given below, {eq}S.I = p \times r \times t

{/eq} where, p=principal amount r=rate of the interest t=time"
7,"If 100 treated patients live 0.2 years longer than 100 untreated patients, this represents",0.2 life years.,2 life years.,20 life years.,500 life years.,C,"Option c. 20 life years is correct
Life years = Treated patients * Extra life years
Life years = 100 * 0.2
Life years = 20","Compound interest: Compound interest and simple interest have a positive relationship. It means as simple interest rises, the compound interest rises and as simple interest falls, the compound interest falls."
8,The market interest rate is _____ than the _____ rate when the bond price is _____ its face value.,greater; discount; above,greater; coupon; below,greater; coupon; above,greater; perpetuity; above,B,"The correct answer is (b) - Greater; Coupon; below.
The sequence of Greater, Coupon and below between the interest rates and bonds is due to the following reasons. Firstly, the market rate is greater than prices attached to bonds since as the interest rate decreases, the bonds' prices also decrease. Secondly, the bonds' price is at par value when market interest rates equal the bond's coupon rate. As a result, if the rate of the coupon is below the rates of the market interest, it implies that the prices will be below the par value.","Market Interest: Market Interest refers to the dominant rate of interest that are accessible on cash deposits. Various factors that affect market interest includes inflow and outflow of funds in an economy, deposit sizes, and the duration of deposits. On the other hand, bonds refer to an instrument of a fixed income representing a loan given to a borrower from an investor (usually government or corporate)."
9,"What is the future value of $10,000 on deposit for 5 years at 6% simple interest?","$7,472.58","$10,303.62","$13,000.00","$13,382.26",C,"Correct Answer: Option c. $13,000.00
Explanation:
The first step is to determine the simple interest for 5 years:
Simple interest for 5 years = Principal amount × Time × Interest rate
Simple interest for 5 years = $10,000 × 5 × 6%
Simple interest for 5 years = $3,000
The second step is to determine the future value:
Future value = Principal amount + Simple interest for 5 years
Future value = $10,000 + $3,000
Future value = $13,000","Simple Interest: Investment interest can be provided in two ways: simple interest and compound interest. Simple interest is easy to calculate as it does not use compounding, and the interest is the same for each period."
10,"An investment of $100,000 five years ago has accumulated to $200,000 now. The simple interest earned on the investment is equal to:",20.0%,13.8%,14.4%,8.0%,A,"The correct option is option A. 20%
To solve the problem posed, we will make use of the following simple interest formula:
$$A = P(1+rt) $$
In this formula,
P
is the initial amount invested in an account,
A
is the account balance after
t
years, and
r
is the simple interest rate in decimal form.
The information provided in the problem helps us to define the variables in this formula as follows:
Initial amount invested (
P
)= $100,000
Time (
t
) = 5 years
Account balance after 5 years (
A
) = $200,000
Interest rate in decimal form (
r
) = ?
Plugging these values into our simple interest formula, we have:
$$\$200,000 = \$100,000(1+5r) $$
We can solve this equation for
r
in order to find the interest rate in decimal form. This goes as follows:
$$\begin{align} \$200,000 &= \$100,000(1+5r)\\[0.3cm] \dfrac{\$200,000}{\$100,000} &= \dfrac{ \$100,000(1+5r)}{\$100,000} &\left[\text{Divide both sides by } \$100,000\right]\\[0.3cm] 2 &= 1 + 5r &\left[\text{Simplify}\right]\\[0.3cm] 2 - 1 &= 1 + 5r - 1 &\left[\text{Subtract }1 \text{ from both sides}\right]\\[0.3cm] 1 & = 5r &\left[\text{Simplify}\right]\\[0.3cm] \dfrac{1}{5} &= \dfrac{5r}{5} &\left[\text{Divide both sides by }5\right]\\[0.3cm] 0.2&=r &\left[\text{Simplify}\right] \end{align} $$
We get
r
= 0.2, so this is our interest rate in decimal form. Converting this to percentage form by multiplying it by 100% gives:
0.2 × 100% = 20%
Thus,
the correct interest rate is option A. 20%
.","Simple Interest: Simple interest is a type of interest that is very simple to calculate, because the interest amount is calculated only on the invested amount and remains the same throughout the investment period. This makes this type of interest relatively simple compared to other types of interest, such as compound interest or variable rate interest."
11,Thomas invests $121 in an account that pays 6 percent simple interest. How much money will Thomas have at the end of 4 years?,$144.11,$150.04,$157.30,$142.78,B,"Correct Answer:
Option b. $150.04.
We should first determine the simple interest for 4 years:
Simple interest for 4 years = Investment amount × Interest rate × Number of years
Simple interest for 4 years = $121 × 6% × 4 years
Simple interest for 4 years = $29.04
The next step is to determine the amount Thomas will have at the end of 4 years:
Amount at the end of 4 years = Investment amount + Simple interest for 4 years
Amount at the end of 4 years = $121 + $29.04
Amount at the end of 4 years = $150.04","Simple Interest: To determine the simple interest, we should compute the product of the principal amount, interest rate, and period. An investment with simple interest means that interest is calculated on the principal amount each year, and no interest is computed on the accumulated interest."
12,An investment earning simple interest is preferred over an investment earning compound interest because the simplicity adds value.,True,False,,,B,"The correct option is false.
An investment earning simple interest is not preferred over an investment earning compound interest. Compound interest over simple interest is preferable because it allows funds to grow faster than the simple interest rate. Interest earned in the compound interest formula is more because the interest is calculated at a larger amount than simple interest. In compound interest, the interest is calculated on the principal plus interest amount.",Simple interest: Simple interest is the compensation paid to the investor by the borrower on the borrowed money. It is calculated by multiplying the product with the interest rate and the time money is borrowed.
13,"If the interest rate increases, which of the following will occur?",The investment function will shift rightward.,The investment function will shift leftward.,The quantity of planned investment will decrease.,The quantity of planned investment will increase.,C,"The correct option is
C. The quantity of planned investment will decrease
.
From the given graph, it can be depicted that there is an inverse relationship between the interest rate and the planned investment level. So, as the interest rate increases, the quantity of planned investment will decline.",Interest Rate: The term interest rate in economics refers to the rate that a lender will charge from the borrower over the principal sum of the loan taken. It acts as a reward for lenders to give money or asset to the borrower.
14,Your credit card company charges you 1.17 percent per month. What is the annual percentage rate on your account?,10.83 percent,9.89 percent,14.04 percent,9.66 percent,C,"The answer is
c. 14.04%
Given information:
Monthly interest rate = 1.17%
Annual percentage rate = APR
The annual percentage rate will not account the effect of the compounding interest, which is calculated as below:
APR = Monthly interest rate x Number of months in a year
APR = 1.17% x 12
APR = 14.04%","Annual Percentage Rate: The annual percentage rate refers to the overall financing costs regarding a borrowing within a year. Alternatively, this is the introduced interest rate or the nominal interest rate for that loan."
