id,question,A,B,C,D,Answer,Explanation,Hint
1,"On January 1, 2010, AT&T issued a 3-year bond with a face value of $6,000,000 and a stated interest rate of 5%, the bond makes payments semi-annually.",Identify the relevant variables:,"If the going rate of interest is 5%, how much cash will AT&T receive when they issue the bond.","Given the information in part b, create an amortization schedule for the first two years. How much interest expense would AT&T recognize on the income statement in the first year? Is this the same or different than the promised annual cash payments? Explain.",,A,"a. Identify the relevant variables:
Face Value
FV = $6,000,000
Stated Rate
SR = 5% / 2 = 2.5%
Interest Payment
PMT = $6,000,000 x 2.5% = $150,000
Number of Periods
N = 3 years x 2 = 6 periods
b. If the going rate of interest is 5%, how much cash will AT&T receive when they issue the bond.
If stated rate and the market rate is the same, the bond will be issued at its face value. Bonds are issued at a discount when market rate is higher than the stated rate and bonds are issued at a premium when stated rate is higher than the market rate. Therefore, at a 5% going rate, AT&T will receive $6,000,000 cash.
c. Given the information in part b, create an amortization schedule for the first two years. How much interest expense would AT&T recognize on the income statement in the first year? Is this the same or different than the promised annual cash payments? Explain.
Amortization Schedule
Date
PMT
Interest Expense
Carrying Amount
January 1, 2010
-
-
$6,000,000
June 30, 2010
$150,000
$150,000
$6,000,000
December 31, 2010
150,000
150,000
$6,000,000
June 30, 2011
150,000
150,000
$6,000,000
December 31, 2011
150,000
150,000
$6,000,000
AT&T will recognize a total interest expense of $300,000 in the first year. As you can see, the interest expense and the interest payment is the same since the stated rate and going rate of the bond is the same. Expense and payment will only differ when stated rate and market rate also differ.","Interest Expense and Interest Payment Interest expense recognized and interest payment made is not always the same. Interest payment is based on the stated rate of the bond. It is the actual cash disbursed to pay off the interest. On the other hand, interest expense is based on the market rates and is the accurate measure of interest incurred from the issuance of the bond."
2,"Note Payable of $6,000 represents a loan that was taken on June 1, 2019 at a yearly interest rate of 10%. The adjusting entry required on Aug 318, 2019 will be:","Cash $200, credit Note Payable $200","Debit Interest Payable $100, credit Interest Expense $100","Debit interest expense $150, credit Interest Payable $150","Debit cash $100, credit Interest Payable $100",C,"The correct option is
(c) Debit interest expense $150, credit Interest Payable $150
As the loan was taken on June 1, 2019, at an interest rate of 10%. On Aug 31, 2019, we should book interest expenses for three months.
{eq}\begin{align}

\text{Interest Expense} &= \text{Loan Amount} \times \text{Interest Rate} \times \dfrac{\text{Number of months}}{12}\\

&= \$6,000 \times 0.10 \times \dfrac{3}{12}\\

&= \$600 \times \dfrac{1}{4}\\

&= \$150\\

\end{align}

{/eq}
So we will debit the interest expenses and credit the interest payable by $150.
So the journal entry would be -
Date
Debit
Credit
Aug 31, 2018
Interest Expense ----- Dr.
$150
Interest Payable ----- Cr.
$150
Explanation for incorrect answers
The cash account will not be involved in the adjusting entry, hence options (a) and (d) are incorrect.
The interest payable account would be credited, hence option (b) is incorrect.",Interest Expense: The interest expense is the cost of funds for loans and borrowings. The interest rate is decided upfront between the lender and the borrower. Payment of interest is a cash outflow under financing activities.
3,"The interest on a $6,000, 6%, 60-day note receivable is:",$60.,$240.,$40.,$80.,A,"Answer: a. $60.
Explanation:
The interest on a $6,000, 6%, 60-day note receivable can be computed by using the following formula:
Interest = P X R X T
P = Principal amount = $6,000
R = Annual interest rate = 6%
T = Period of time in years = 60 days / 360 days
Interest = $6,000 * 6% * 60 days / 360 days
Interest =
$60","Interest Interest on a note is computed using the formula; Interest = P X R X T. ""P"" is the principal amount of the note, ""R"" is the annual interest on the note and ""T"" is the period of time expressed in terms of years."
4,"If Jackson sells $100,000 8% bonds when the market is 5%. The bonds will mature in 10 years. Interest is paid semi-annually. The bond interest payments will be?",$8000,$4000,none of the above,,B,"The bond interest payments will be
b. $4,000
The cash bond interest payment is calculated using the face value of the bond and the coupon interest rate. The interest is paid semi-annually so we must adjust it for 6 out of 12 months:
Face value of the bonds
$100,000
Coupon interest rate
8%
Semi-annual interest payment
= Face value × Coupon interest rate × 6/12
= $100,000 × 0.08 × 6/12
= $4,000","Bond Interest Payment: The bond interest payment is the cash paid to bondholders periodically. The interest rate and payment terms stated on the bond's issue documents are used to calculate the interest payment. When bonds are issued at a discount or a premium, the interest payment is not the same as the interest expense."
5,What does the term structure of interest rates refer to?,The fact that long-term interest rates are always higher than short-term interest rates,The relationship between bond maturities and interest rates,Why the expectations theory and liquidity preference theory are contradictory,None of the above,B,"The term structure of interest rates, also known as the yield curve, refers to
b. The relationship between bond maturities and interest rates
. In general, the yields or interest rates will increase as the maturities increase. This relationship exists due to increased risk over time. Conversely, yields or interest rates will decrease as the maturities decrease. This normal relationship exists when the economy is in an expansionary stage. If this slope of relationship reverses, the economy is in or heading into a recessive stage.","Interest: Interest refers to an amount paid to a lender in exchange for their capital. Interest is expressed as a percentage, and the interest to be paid is calculated by multiplying the principal amount by the stated interest rate for the applicable period. Interest rates have a positive correlation to risk, meaning that as risk increases so do interest rates, and vice-versa."
6,Accrued interest on a note is recorded by a debit to Interest Expense on the maker's books and a credit to Interest Revenue on the payee's books.,True,False,,,A,"The answer is
TRUE
Accrued Interest affects 2 parties, the debtor and the creditor.
For the debtors book, the journal entry is:
Accounts
Debit
Credit
Interest Expense
xxx
Accrued Interest
xxx
- these proves that on the maker's book, interest expense is debited.
For the creditors book, the journal entry is:
Accounts
Debit
Credit
Interest Receivable
xxx
Interest Revenue
xxx
- these proves that on the payee's book, interest revenue is credited.",Accrued Interest: Accrued Interest is one of the adjusting entry made at the end of the accounting period. These is to recognized the interest incurred by the company but are not yet paid during the period.
7,Soiling the bonds at a premium has the effect of:,raising the effective interest rate above the stated interest rate.,attracting Investors that are willing to pay a lower rate of interest than on similar bonds.,causing the interest expense to be higher than the bond interest paid.,causing the interest expense to be lower than the bond interest paid.,D,"Option 'd' is the correct answer.
If the bonds are issued at a discount, the amortized discount on the bonds payable is added to the bond interest paid. If the bonds are issued at a premium, the amortized premium on the bonds payable is subtracted from the bond interest paid.
If the bonds are sold at a premium, the interest expense would be less than the bond interest paid since the amortized premium would be subtracted from the bond interest paid for calculating interest expense.","Interest expense: A company's borrowed cash charge is called an interest expense. A non-operating item that appears on the income statement is interest expense. The interest must be paid on all borrowings, including bonds, loans, convertible debt, and credit lines."
8,"The interest on a $10,000, 6%, 60-day note receivable is",$680,$100,$300,$200,B,"The answer is
b. $100.
In this problem, the note's principal amount is $10,000, its interest rate is 6%, and the time is 60 days.
So, the interest is:
{eq}\begin{align}

\text{Interest} &= \text{Principal x Rate x Time in days over number of days in a year} \\

&=\$10,000 \times 6\% \times \frac{60}{360}\\

&=\$100

\end{align}

{/eq}","Interest Expense: Interest expense records when the company has issued promissory notes or bonds or borrowed money from creditors or lenders, like banks or financial institutions."
9,"Interest on a $5,000, 15% promissory note for six months is:",$3.75.,$375.,"$3,750.",$37.50.,B,"The correct answer is
b. $375
.
The interest rate on a promissory note always implies an annual rate. In the given case:
Face value of the note = $5,000
Annual interest rate = 15%
Interest period = 6 months
We need to compute the interest applicable for six months, not one year. The following formula will help arrive at the same:
{eq}\text{Interest for six months} = \text{Face value of the note × Interest rate} × \dfrac{6}{12} = {\$5,000 × 15\%} × \dfrac{6}{12} = \$375 {/eq}",Interest: Interest is a cost when the business borrows money and income when it lends money. Interest computations help determine the expense for the period a company must pay its creditors or accrue the same to pay on maturity.
10,"To charge customers interest on overdue accounts, you need to:",enter the interest rate charges in the customer's ledger record and Sage 50 Accounting will automatically create an invoice for the interest charge when the account is overdue.,"enter the interest rate charges as ledger settings, print statements and create invoices for the interest amounts on the statements.",calculate the amount of interest owed and create an invoice for this amount.,print and send out customer statements and enter the receipts when the customers pay the interest charges.,B,"The correct answer is option
b. enter the interest rate charges as ledger settings, print statements and create invoices for the interest amounts on the statements
Explanation
To charge customers interest on overdue accounts, following steps are followed:
Turn on the Sage 50 Accounting setting that charges interest on late payments. Invoices will only become overdue from the time you enable this feature.
Generate customer statements for those customers with overdue payments. The interest on the overdue balances for each customer are printed on their statements.
Create a new sales invoice for the interest amount owing.
When payment is received for the interest owed, enter the payment against the interest invoice. Sage 50 Accounting will continue to calculate interest on the original overdue invoice until payment is received for it.","Overdue Interest Sometimes the interest is charged on the overdue amount payable by the customer because of the delay in payment by such customers. To charge interest in Sage 50 Accounting, first of all the interest on overdue account should be entered in the ledger and then the statements on for each customer is printed and a new invoice for the interest amount is generated."
