id,question,A,B,C,D,Answer,Explanation,Hint
1,What would we expect an increase in the average population age to do to the equilibrium interest rate?,Increase the interest rate.,Decrease the interest rate.,,,D,"The interest rate will decrease with an increase in the average population age.
Population comprises of all age groups. With an increase in population number of old and middle-aged people also increases.
Old and middle age people are the savers. More amount would be saved by the old and middle age group than invested or borrowed.
In order to increase the borrowing for the young population, the interest rate would decline
Therefore, to attract borrowing and investment interest rate would decline.",Equilibrium Interest Rate The rate of interest which is determined by equalizing the quantity of money demanded by the population and the supply of money is known as the equilibrium interest rate.
2,Your bank is offering you an account that will pay 17% interest in total for a two-year deposit.,six months.,one year.,one month.,,A,"The equivalent discount rate (EDR) is calculated using the following formula:
{eq}EDR=(1+r)^{n}-1\\

where:\\

r=interest~rate\\

n=number~of~periods\\

{/eq}
Using this formula, we'll solve for the provided time periods.
a. Six Months
Note that r will equal 17% while n will equal (6 months / 24 months total).
{eq}\begin{align*}

EDR&=(1+.17)^{1/4}-1\\

&=(1.17)^{.25}-1\\

&=1.04-1\\

&=.04

\end{align*}

{/eq}
The equivalent semi annual rate of the loan is 4%
b. One Year
Note that r will equal 17% while n will equal 1/2 (1 year / 2 years total).
{eq}\begin{align*}

EDR&=(1+.17)^{1/2}-1\\

&=(1.17)^{.50}-1\\

&=1.0817-1\\

&=.0817

\end{align*}

{/eq}
The equivalent annual rate of the loan is 8.17%
c. One Month
Note that r will equal 17% while n will equal 1/24 (1 month / 24 months total).
{eq}\begin{align*}

EDR&=(1+.17)^{1/24}-1\\

&=(1.17)^{.04167}-1\\

&=1.00656-1\\

&=.00656

\end{align*}

{/eq}
The equivalent month;y rate of the loan is 0.656%","Interest: Interest refers to payment or series of payments received by a lender from a borrower. Interest is expressed as a percentage to be paid on the principal value of the loan. Higher interest rates are desirable to investors; however, a higher interest rate also signals that the investment is possibly riskier."
3,"If a central bank is following a policy of fixing an interest rate at a constant value, then, if the economy expands, the bank will respond by:",shifting the demand for money to the left.,shifting the demand for money to the right.,shifting the supply of money to the left.,shifting the supply of money to the right.,D,"The correct option is d. shifting the supply of money to the right
Explanation:
To match expansion consumers and production borrow more money. Producers borrow to increase outfit level and expansion of industries and consumers for consumption. So that supply of money is increase and this will also lead to shift in supply curve rightwards.",Interest Rate The interest rate is the rate which is imposed by the authority of the country to the taxable income of the corporations and individuals. Interest rates can not be the same for all; it is vary according to the income of the individuals.
4,Financial institutions lend money to each other on a daily basis at the rate called the _____.,prime rate,target rate,overnight rate,bank rate.,C,"Correct option: c. Overnight rate
.
The rate that a bank or a financial institution charges for providing loans to another financial institution, with a promise of repayment overnight or daily, is known as the overnight rate. These loans are helpful for institutions that need quick money and do not have time to complete formality for borrowing from the central bank.
The explanation for the incorrect options:
Option a: It is an incorrect option because the prime rate is the lowest commercial rate for borrowing money from the market.
Option b: It is incorrect because the central bank uses the target rate for monetary policies.
Option d: It is an incorrect option because the bank rate is the rate banks pay to the central bank on borrowings.",Financial Institutions: Any institution involved in the business of lending and borrowing money is termed a financial institution; these institutions earn income in the form of interest they received from the money they landed in the market in a particular period.
5,Which of the following is less sensitive to interest rate changes?,The residential housing market.,Retail markets.,Utility industries.,State and local finances.,D,The interest rate sensitivity refers to the measures the how much the price of fixed income assets will shift as a consequence of differences in the interest rate environment. The more sensitive securities have a higher variation in price than those with less sensitivity. The variety of sensitivity must be brought into record when choosing a fixed-income implement the investor may trade in the secondary market. It is recognized as the term of the asset. Hence the correct option is d. State and local finances,Interest Rate: The amount of interest lent for a certain period as a proportion of the amount invested or received recognized as the interest rate. The proportion of the amount lent that a lender charges as interest to the borrower that is annually represented as an annual percentage.
6,Effective Interest (as opposed to Simple Interest) is not useful over more than one compounding period because it doesn't incorporate the idea of Time Value of Money.,True,False,,,B,"The statement mentioned above is
false
Explanation:
The number of time the compounding period increases the amount of return and the value for money increases. Understanding, if an amount is compounded annually i.e. once in a year @10% the interest will increase up to 10% only. But if we increase the number of period it is compounded say for quarterly the interest rate 10% will be treated 4 times which ultimately will increase the annual returns more rapidly.
Therefore, the more will be the compounding period the higher the effective interest rate will be reflected on time value.",Interest Rate: An interest rate is a percentage of amounts which an investor receives on the amount it has invested in an investment. It changes according to different investments. There are two types of interest rates calculation method as simple and compound interest rate.
7,Three factors explain the risk structure of interest rates:,"liquidity, default risk, and the income tax treatment of a security.","maturity, default risk, and the income tax treatment of a security.","maturity, liquidity, and the income tax treatment of a security.","maturity, default risk, and the liquidity of a security.",D,"The answer is
D) maturity, default risk, and the liquidity of a security.
The interest rate on an investment can be considered a trade-off for an investor by accepting all potential risks on the investment. Thus, the interest rate can be estimated approximately by adding up all risk premiums.
Interest rate = Real risk-free rate + Inflation premium + Liquidity risk premium + Maturity risk premium + Default risk premium
The income tax treatment affects the investor's net proceeds from the investment. It should not be a component of the interest rate structure.","Interest Rate: The interest rate refers to an annual return on an interest-bearing investment such as Treasury bonds, corporate bonds, and certificates of deposit (CD). If the interest rate changes, it affects the value of interest-bearing assets."
8,Overnight loans from one bank to another for reserve purposes entail an interest rate called the:,prime rate,discounted rate,federal funds rate,treasury bill rate,A,"The correct answer is A) Prime rate
In the above-given statement, the prime rate entails an interest rate on overnight loans in different banks. The prime rate is most creditworthy for the corporate-related consumers of the commercial banks. The overnight loans will be based on the prime rates from the starting point to the ending point. The federal reserve determines the overnight rate for the lending charges, primarily based on the prime rate. It includes personal loans, mortgages, and small business loans. The prime rate is the specific component for the changes in the ultimate rate.
The explanation for incorrect answers
Option B) is incorrect because discounted rate determines the future cash flows with the present value. It is only useful for monetary policy in the country.
Option C) is incorrect because the federal funds rate is the lending reserve balances on an uncollateralized basis to maintain reserve requirements.
Option D) is incorrect because the treasury bill rate will impose on the borrowed money payable by the United States government.","Interest rate: Interest rate is the proportion of the lending charges expressed annually for the principal sum and the compounding frequency of the annual percentage. It includes the collateral amount, reserve requirements, and investment maturity."
9,"If an institutional investor wants to borrow money for 30 days to finance a bond purchase, which of these is most likely to be the lowest loan rate available?",Term repo rate.,Call money rate.,Broker loan rate.,,A,"The correct answer is A. Term repo rate.
The term repo rate refers to the repo rate for long-term periods and proves more beneficial for the investor than the repo rate for investment. This rate is also lower than using other bank financing rates.
The explanation for incorrect answers:
Option B is incorrect as this is a costly loan rate as the borrowers have to pay a service fee and the interest along with the principal amount.
Option C is incorrect as the broker loans carry a high interest rate compared to other short-term loan rates.",Lending Rate: Lending rate means the rate charged by the loan provider on the amount of loan from the borrower. This rate is charged till the borrower discharges the borrowed money. This can be calculated using a simple or compounded method.
10,"If the rate of interest increases, then the future value of any given future cash flow stream will:",increase,decrease,not be affected,,B,"The correct answer is
b. decrease.
Interest rates can be perceived as the cost of borrowing and varies with changes in the amount and payment duration. Interest rates affect several economic factors such as money supply, spending and consumption. An increase in interest rates reduces the money supply, consumption and spending. It also reduces the total disposable income within a specified period. When money supply and disposable income decrease, the cash flow system in the long run and short run durations is interrupted because cash flow reduces. This is both for individuals and businesses. When the money supply is low, most businesses and people spend less and save more as emergency funds. The level of investments is also interrupted when there is a change in money supply and interest rates within a given duration.",Significance of Interest Rates: Interest rates are used to help regulate and control the level of borrowing in a country within a specified period. The central bank is the main determinant of the level of interest rates to be set within a specified period. It mainly controls interest rates by controlling the interest rate paid by commercial banks on borrowed loans from the central banks.
