id,question,A,B,C,D,Answer,Explanation,Hint
1,Which of the following statements is false?,"U.S. Treasuries are never subject to interest rate risk unless we select a maturity equal to our investment horizon.B. Many practitioners analyze other financial characteristics of a firm, when they forecast betas.C. When using historical returns to forecast future betas, we must be mindful of changes in the environment that might cause the future to differ from the past.D. If a firm were to change industries, using its historical beta would be inferior to using the beta of other firms in the new industry.",,,,A,"The FALSE statement is
(A.) U.S. Treasuries are never subject to interest rate risk unless we select a maturity equal to our investment horizon.
All bonds are subject to interest rate risk including U.S. Treasury bonds. U.S. Treasury bonds are considered to be long-term bonds that mature over 10-30 years. Long-term bonds, specifically, have a higher interest rate risk. Therefore, Option (A) is a false statement.
Option B is incorrect because it is true that many practitioners analyze other financial characteristics of a firm when they forecast betas. When practitioners forecast betas, they analyze many financial characteristics that may have an effect on the beta measurement such as market changes related to inflation, consumer spending, increased competition, etc.
Option C is incorrect because it is true that changes in the environment may cause the future to be different from the past and we must be mindful of those changes when using historical returns to forecast future betas. For example, inflation or consumer spending may be higher in the future compared to the past. These factors will have an effect on forecasted future betas
Option D is incorrect because it is true if a firm were to change industries, it would be inferior to use its historical beta rather than using the beta of other firms in the new industry. If a company uses its historical beta upon changing to a new industry, this beta would be an inefficient measure as the historical beta would only measure the company's volatility within the previous industry, not in the new one. It would be more effective to use the beta of other firms in the new industry because this beta would measure the risk that is relevant within the new industry.","Interest Rate Risk: Interest rate risk is related to all bonds in the market. The risk refers to the change in interest rates which may lower the value of the bond. As a result, the bond's price will change as a result of changes to the interest rates."
2,Which of the following are accurate statements about interest rate risk?,It arises when the banking system was heavily regulated.,Banks must manage interest rate risk because it affects banks' expenses.,Changes in interest rates affect bank liabilities.,"Although interest rate risk does not affect banks' interest income, it affects their interest expenses.",C,"The correct answer is C. Changes in interest rates affect bank liabilities.
A fluctuation in interest charges directly affects the value of a bank's statements, especially the balance sheet on assets and liabilities within the given period. When interest rates rise, causing the value of assets to increase and the value of the liabilities to be retained, this will reduce the net worth of the company. This change affects the bank's overall value and the income received within that given period. Interest rates often change when a country is aiming at regulating the amount of money in circulation in the economy. It can also rise to reduce the rate of borrowing hence reducing the rate of income received by the banks and other financial institutions within that period.",Interest Rates Risk: Interest rate risk can be defined as the possibility of investment to undergo a loss due to changes that may occur on interest rates. The loss may occur when interest rates decline or incline within a given period affecting some of the most significant financial assets like an increase in interest rates may cause a fall in the value of the bond.
3,Which one of the following bonds would be likely to exhibit a greater degree of interest rate risk?,A zero-coupon bond with 20 years until maturity,A coupon-paying bond with 20 years until maturity,A floating-rate bond with 20 years until maturity,A zero-coupon bond with 30 years until maturity,D,"Option d. is the correct answer.
The bond's interest rate is directly influenced by the coupon rate on the bonds and the bond term. There is a direct impact of the time on the interest rates. When the period is more, the security is exposed to probability for a more extended period, resulting in a higher interest rate. So in the case of 30 years to maturity is highest than all other cases, so the interest rate will be highest.
In the case of coupon rates, there is opposite relation; when the coupon rate is lower, the bonds have more interest rates, so in the case of zero-coupon bonds, the coupon rate is most lacking, so the interest rate is most will be highest.
Incorrect options:
Option a, b and c are incorrect as all these have higher coupons than zero-coupon bonds and the term period is lesser than 30 years, which is the longest term in this case.","Interest rate risk: The risk that the investment and security have to face is due to fluctuation in the interest over a period. The interest rate varies due to several market factors, which can reduce the asset's actual value and cause losses to the firm."
4,Which of the following bonds has the greatest interest rate risk?,"a 5 year, 10% coupon bond","a 10 year, 10% coupon bond","a 5 year, 5% coupon bond","a 10 year, 5% coupon bond",D,"The correct answer is
d. a 10 year, 5% coupon bond
.
The longer the maturity of a bond, the higher its interest rate risk. The bond with the longest maturity and lowest coupon rate has the highest interest rate risk. The other options are incorrect because bond c. has a shorter maturity, bond b. has a higher coupon rate, and bond a. has both.
To see this, let us use an exaggerated example. Consider two bonds. Bond A matures today. Bond B matures in 5 years.  Both bonds have no coupons. Suppose interest rates increase from 0% to 1%. The price of bond A will remain unchanged because it matures today and the rate at which its payment is discounted does not matter. Bond B, on the other hand, will fall in price because its payment will be discounted for 5 years at the higher interest rate. Thus, the price of the longer maturity bond is more sensitive to interest rate changes.
Similarly, the smaller the coupon rate, the higher the interest rate risk. Consider another extreme example. Bond A pays a coupon of $999 today and repays $1 next year, while bond B pays $1,000 next year. Any increase in the interest rate will affect the price of bond B much more than the price of A because most of the value of bond B comes from the future and the discount rate affects the present value of future payments.",Interest Rate Risk: This is the risk that the bond's price will change as a result of changing interest rates. This risk can be measured using the modified duration formula. This formula provides the percentage change in the bond price for a one percent increase in interest rates.
5,Which of the following bonds has the greatest interest rate price risk?,"A 10-year, $1,000 face value, zero-coupon bondb. A 10-year, $1,000 face value, 10% coupon bond with annual interest paymentsc. All 10-year bonds have the same price risk since they have the same maturityd. A 10-year, $1,000 face value, 10% coupon bond with semiannual interest payments",,,,A,"(a.) A 10-year, $1,000 face value, zero-coupon bond
has the greatest interest rate price risk.
A bond's interest rate risk depends mainly on two factors: the period to maturity and coupon payments. All the bonds have the same period to maturity (10 years), however, they differ in terms of coupon payments. Two bonds have regular (annual or semiannual) interest payments while the zero-coupon bond has no interest payments. In the case of a zero-coupon bond, all the income resulting from the discount comes at maturity and due to this reason, such a bond is subject to a greater interest rate risk than bonds with the same maturity but generating coupon payments.","Interest Rate Risk: The interest rate risk is the probability of incurring a loss or generating an extra income as a result of a change in interest rate. Market rates of interest influence the prices of some financial instruments, mainly bonds."
6,"A ""liquidity trap"" is",what always happens after a stock-market crash.,effectively modelled by assuming an horizontal LM curve.,the result of the central bank rigidly controlling interest rates.,all of the above.,D,"Part a
A crash of the securities market generally results in lower interest rates. At such a lower rate of interest and uncertainty accompanied by securities, people will want to hold onto the liquid form of money rather than invest in any type of security. This implies signs of LT.
Part b
In the case of LT, the money demand is considered infinite for the given interest rate. It is because at a lower interest rate, people will want to reserve liquid money rather than invest in bonds and no monetary policy has any alteration effect in such a market situation. This results in a horizontal LM curve.
Part c
The CB (central bank) tends to reduce the interest rate to zero to stimulate borrowing and increase the MS (money supply) in the economy. The higher the MS, the higher are the chances of investments, production activities, and aggregate demand. Although after a certain point in time, this policy tends to fail as people start reserving money to counter expected crises rather than investing it for fostering economic activities. This eventually lowers economic productivity and the economy moves toward recession, implying the LT situation.
Part d
All the mentioned points fulfill the requirements of being the related factors to LT.",Liquidity trap: The liquidity trap (LT) is a market scenario wherein people tend to hold onto money at a determined market rate of interest and are not ready to invest in bonds after a certain decline in the interest rate. This is because the people are uncertain about the expected crisis and want to hold onto money rather than bonds because the former has an exchange value even if the interest rates reduce to zero.
7,"Given relatively stable financial market conditions, determine which one of the following bonds would exhibit the least price volatility. Briefly, explain why.","15-year, 15% coupon bond","5-year, 10% coupon bond","15-year, 10% coupon bond","5-year, 15% coupon bond",D,"The answer is d).
A bond with a shorter duration will have a smaller volatility in price with respect to changes in interest rate. We can apply the following facts about duration:
1) All else the same, duration increases with time to maturity
2) All else the same, duration declines with coupon rate
Applying 2) we know that:
duration of 15-year, 15% bond < duration of 15-year, 10% bond
duration of 5-year, 15% bond < duration of 5-year, 10% bond
Applying 1), we know:
duration of 5-year, 15% bond < duration of 15-year, 15% bond
Thus, the duration of the 5-year, 15% bond is the shortest, and thus has the lowest volatility in price.","Duration and Interest Rate Risk: The duration of a cash flow is the present value of the the cash flows' maturity. When applied to a bond, the duration of a bond is a useful measure of its interest rate risk, i.e., how sensitive bond price is with respect to changes in interest rate."
8,Which one of the following bonds has the longest duration (and thus the highest interest rate risk and the lowest investment risk)?,"zero coupon, 10 year maturity","zero coupon, 13 year maturity","8% coupon, 10 year maturity",8% coupon. 13 year maturity,B,"The bond with the highest duration is:
B. zero coupon, 13 year maturity
A zero-coupon bond has the highest duration among the bonds of the same maturity. The higher the maturity the higher is the duration of the bond. The given bond has no coupons and has the highest maturity and hence has the highest duration. The reinvestment risk is least as it is a zero-coupon bond.",Duration: Duration is the change in the price of the bond as a result of a change in the interest rates. It is a measure of the interest rate sensitivity or risk of the bond.
9,Which one of the following bonds has the shortest duration?,"zero coupon, 10-year maturity","zero coupon, 13-year maturity","8% coupon, 10-year maturity","8% coupon, 13-year maturity",C,"The bond with the shortest duration is
c. 8% coupon, 10-year maturity
The bond has the shortest duration as it has the least maturity and highest coupon. Duration is directly related to maturity and indirectly related to coupons.
The duration of other the bonds can be approximately calculated as:
a. zero coupon, 10-year maturity will have a lower duration than b. zero coupon, 13-year maturity.
d. 8% coupon, 13-year maturity will have a higher duration than c. 8% coupon, 10-year maturity.
a. zero coupon, 10-year maturity will have a higher duration than c. 8% coupon, 10-year maturity.","Duration: The duration is the sensitivity of the change in the price of the bond to the change in the interest rates. The duration assumes a parallel shift in rates, i.e., equal changes in rates across all maturities."
10,"You read in The Wall Street Journal that 30-day T-bills are currently yielding 8%. If the inflation rate is 5%, the real risk-free rate of return is:",4%,2%,0%,3%,D,"The correct answer is:
d. 3%
According to the Fisher equation, the risk-free rate of return is given by:
{eq}\text{Risk-free rate of return}=\text{Yield - Current inflation rate}

{/eq}
If T-bills currently sell at 8% and the inflation rate is 5%, then the risk-free rate is equal to:
{eq}\text{Risk-free rate of return}=8\%-5\%\\[0.3cm]

\text{Risk-free rate of return}=\boxed{\color{blue}{3\%}}

{/eq}",Fisher Equation: The risk-free rate of return is the investment that an investor expects to earn from an investment that has a zero risk factor. An investment's risk-free rate can be calculated using the Fisher equation.
11,Which one of the following bonds has the shortest duration?,"zero coupon, 10-year maturity","zero coupon, 13-year maturity","8% coupon, 10-year maturity","8% coupon, 13-year maturity",C,"The bond with the shortest duration is
c. 8% coupon, 10-year maturity
The bond has the shortest duration as it has the least maturity and highest coupon. Duration is directly related to maturity and indirectly related to coupons.
The duration of other the bonds can be approximately calculated as:
a. zero coupon, 10-year maturity will have a lower duration than b. zero coupon, 13-year maturity.
d. 8% coupon, 13-year maturity will have a higher duration than c. 8% coupon, 10-year maturity.
a. zero coupon, 10-year maturity will have a higher duration than c. 8% coupon, 10-year maturity.","Duration: The duration is the sensitivity of the change in the price of the bond to the change in the interest rates. The duration assumes a parallel shift in rates, i.e., equal changes in rates across all maturities."
