id,question,A,B,C,D,Answer,Explanation,Hint
1,"If a foreign county experiences a hyperinflation, _____.",its currency will depreciate against stable currencies.,its currency may appreciate against stable currencies.,its currency may be unaffected it's difficult to say.,none of the above,A,"The correct answer is
A. its currency will depreciate against stable currencies
.
Inflation directly affects currency exchange rates.  Higher inflation reduces the value of the home currency.  This relationship is known as the International Fisher Effect.  If it did not exist, countries could print as much money of the local currency as they wish and then exchange it, for example, for dollars or euros.
B is incorrect.  Hyperinflation is an extremely high form of inflation, and it considerably reduces the value of the local currency.
C is incorrect. The only scenario in which the currency will be unaffected is global hyperinflation that affects all countries.  The question, however, specifies that other currencies are stable.
D is incorrect because of A.",Hyperinflation: Most governments in the world aim at maintaining certain small inflation in their economy.  Hyperinflation occurs when inflation spirals out of control.  This can have devastating consequences on the economy.
2,"As the interest rate rises, debt service:",decreases.,does not change but debt increases.,increases.,does not change and neither does the debt.,A,"The correct answer is A.
As the interest rate rises, debt service
decreases.
High interest rates tend to increase borrowing costs, making it tedious for investors and individuals to borrow money. Therefore, when borrowers cannot borrow money, spending lessens hence low tax revenues and fewer job opportunities due to a decline in investments. Eventually, a rise in interest rates does not stimulate the economy due to low revenues hence a downswing in debt service.
In contrast, low interest rates make it easy for borrowers to borrow funds from lenders due to low borrowing costs. Therefore, through the access to funds via loans, individuals can invest and aid in the stimulation of the economy hence increased debt service.","Interest Rates: Interest rate describes the extra amount that a borrower adds on top of the principal amount they borrow. Interest is paid periodically over an agreed timeframe and is determined by a percentage of the overall principal amount. Additionally, interest can also define the amount a depositor earns upon depositing funds in a financial institution."
3,The interest parity condition is the proposition that,investors' expectations of future changes in exchange rates reflect differences in interest rate policies pursued by the central banks in different countries.,differences in interest rates on similar bonds in different countries reflect investors' expectations of future movements in relative price levels.,differences in interest rates on similar bonds in different countries reflect investors' expectations of future changes in exchange rates.,differences in interest rates on different bonds within a country reflect investors' expectations of future changes in the tax treatment of interest earnings.,A,"The answer is A).
First of all, interest rate parity is based on risk-free rates, which are set by central banks in different countries. Second, the parity argues that expected return from investing in risk-free rates should be the same across countries, when expressing in a common currency. Specifically,
1 + domestic interest rate = (1 + foreign interest rate )  * spot exchange rate / expected forward exchange rate
The above equation could be written as
change in forward exchange rate - change in spot exchange rate = foreign exchange rate - domestic interest rate
Thus, changes in exchange rates reflect different in interest rates.","Interest Rate Parity: In the long run, exchange rate is determined by the forces of demand and supply for currencies for international trade. In the short-run, interest rate parity is one of the models for exchange rate determination."
4,"Assume that interest rate parity holds and that 90-day risk-free securities yield 5 percent in the United States and 5.3 percent in Germany. In the spot market, 1 euro equals $0.80 dollar.",Is the 90-day forward rate trading at a premium or discount relative to the spot rate?,What is the 90-day forward rate?,,,A,"Given information:
Euro spot rate S = $0.8/ Euro
Germany interest rate {eq}R_{EUR}

{/eq}= 5.3% (assumed annual interest rate)
U.S. interest rate  {eq}R_{USD}

{/eq}= 5% (assumed annual interest rate)
Time to maturity = 90 days = 90/360 year = 0.25 year
Solution:
Let u s calculate the theoretical forward rate using the following formula:.
Forward rate F = S* {eq}\displaystyle e^{(R_{USD} - R_{EUR})*t}

{/eq}
Substitute the given values:
Forward rate F = 0.8* {eq}\displaystyle e^{(5\% - 5.3\%)*0.25} = $0.7994/Euro

{/eq}
Sub part a: Is the 90-day forward rate trading at a premium or discount relative to the spot rate?
Since the 90-day forward rate is not provided we cannot compare it with the theoretical forward rate calculated above.
Sub part b: What is the 90-day forward rate?
The 90-day forward rate is $0.7994/Euro",Forward Exchange Rates: Forward exchange contracts are an obligation to exchange one currency into another at a fixed rate within a fixed period. The forward exchange rate is a function of interest rates of the two countries involved to maintain the interest rate parity.
5,"When Interest Rate Parity (IRP) does not hold, _____.",there is usually a high degree of inflation in at least one country.,the financial markets are in equilibrium.,there are opportunities for covered interest arbitrage.,both b) and c),A,"A. is incorrect.  Interest rate parity (IRP) does not require the existence or lack of inflation in any country.
B. is incorrect.  If markets are in equilibrium, IRP will hold and there will be no arbitrage opportunities.
C. is correct.
If IRP does not hold, an investor can earn a higher return by investing in a foreign country and converting the proceeds back to his/her home currency.  This investor can borrow funds at home and invest abroad, thus earning a risk-free profit.
D. is incorrect because of B.","Covered Interest Arbitrage: Covered Interest Arbitrage is an investment activity, in which investors borrow funds in one country to invest in another country.  The arbitrage also involves fixing the future exchange rate by entering into a forward contract."
6,Calculate the real interest rate if the nominal rate is 9.5% and the inflation rate is 3.9%. Hint: Base your answer on the Fisher Effect.,5.51%,5.89%,5.39%,,C,"The real rate of return based on the Fisher Effect is c. 5.39%
The Fisher relationship can be represented as:
(1 + Nominal Rate) = (1 + Real Rate) * (1 + Inflation)
Given in the question:
Nominal Rate
= 9.50% or 0.095
Inflation
= 3.9% or 0.039
Substituting the values in the formula, we get
(1 + 0.095) = (1 + Real Rate) * (1.039)
(1 + Real Rate) = (1 + 0.095) / (1.039)
(1 + Real Rate) = 1.05389797883
Real Rate = 0.05389797883","Fisher Effect: The Fisher effect provides the relationship between the real rates, nominal rates, and inflation in the economy. The real rate is, theoretically, equal across the globe but the inflation differs."
7,The 1-year risk-free interest rate in Mexico is 10%. The 1-year risk-free interest rate in the USA is 2%. Assume that interest rate parity exists. The spot rate of the Mexican peso is $0.14.,What is the forward rate premium?,What is the 1-year forward rate for the peso?,,,A,"Given information:
Annual US interest rate = {eq}R_{USD}{/eq}= 2%
Annual Mexican  interest rate = {eq}R_{Peso}{/eq}= 10%
Time to maturity = 1 year
Solution:
Sub part a:
Forward price formula:
Forward price F= {eq}\displaystyle S* e^{( R_{USD} - R_{Peso}  ) *t}

{/eq}
Forward premium/discount is equal to F/S -1 and is given by the formula:
Forward premium/discount = {eq}\displaystyle  \frac {F}{S} -1  = e^{( R_{USD} - R_{Peso}  ) *t} - 1

{/eq}
Substitute the given values :
Forward premium/discount = {eq}\displaystyle  e^{( 2\% - 10\%  ) * 1} - 1

{/eq} = -0.076883654= -7.6884%
Since the value is negative, forward rate is trading at a discount.
Answer: The forward rate discount of the Peso is  7.6884% (since we used the word discount we removed the negative sign)
Sub part b:
We will use the forward price formula to calculate the forward price.
Forward price F= {eq}\displaystyle S* e^{( R_{USD} - R_{Peso}  ) *t}

{/eq}
Substitue S = $0.14/Peso in the formula:
Forward price F= {eq}\displaystyle 0.14* e^{( 2\%- 10\%  ) *1} = $0.1292/ Peso

{/eq}
Answer: The the one-year forward rate for the Peso is $0.1292/ Peso",Forward Exchange Rates: Forward exchange rates are predetermined rates after a predetermined period in the future. These rates are dependent upon the current spot rates and the interest rates between the two countries.
8,An increase in the interest rate in the United States but not in the European Monetary Union (EMU) will lead to:,a dollar depreciation,a dollar appreciation,the dollar/euro exchange rate to remain unchanged,any of the above,A,"The answer is  A).
According to the interest rate parity, a country with an increase in interest rate will see its currency depreciate. Thus, if interest rate in the United States increases, U.S. dollars will depreciate against the Euro.",Interest Rate Parity: Interest rate parity is an equilibrium condition for exchange rates between two currencies. The two versions of interest rate parity are covered interest rate parity and uncovered interest rate parity.
9,Assume that the one-year U.S. Treasury bond rate is 3% and the similar European government bond rate is 5%.,"Comparing these inflation rates, could it be expected that the dollar will appreciate or depreciate against the euro over the next year? Explain.","In addition, if the spot rate is 1.50 dollars per euro, what would be the forward rate?",,,A,"a) The dollar is expected to appreciate against the euro next year. According to the interest rate parity, a country with a lower interest rate is expected to see its currency appreciate. Interest rate is lower in the U.S. compared to Europe, so dollars are expected to appreciate.
b) According to the interest rate parity, we have:
(1 + 5%) * 1.5  / forward rate = (1 + 3%)
forward rate = 1.53
That is, the forward rate will be 1 euro = $1.53","Interest Rate Parity: Interest rate parity is an equilibrium condition for the international money market. Depending on whether forward contracts are involved, the parity could be covered or uncovered."
10,"Assuming covered interest parity holds, if {eq}i=5

{/eq}%, {eq}i^*=7

{/eq}%, {eq}f=2.40

{/eq}, then the current spot exchange rate equals _____.",3.55,2.40,2.70,2.45,D,"The correct answer is d, 2.45.
The formula for calculating spot exchange rate is given below, along with the necessary calculation to find the current spot exchange rate as required:-
{eq}\begin{align*}

S &= F\dfrac{{\left( {1 + {i^*}} \right)}}{{\left( {1 + i} \right)}}\\

&= 2.40\dfrac{{\left( {1 + 0.07} \right)}}{{\left( {1 + 0.05} \right)}}\\

&= 2.40\dfrac{{\left( {1.07} \right)}}{{\left( {1.05} \right)}}\\

&= 2.45

\end{align*}

{/eq}","Covered Interest Rate Parity: The covered interest rate parity explains how the spot and forward contracts can yield the same returns, and there is no probability of gaining from arbitrage. This requires a perfect flow of capital and substitutability."
