id,question,A,B,C,D,Answer,Explanation,Hint
1,"If goods are sold on terms free on board FOB shipping point, the:",seller normally pays the transportation costs.,buyer normally pays the transportation costs.,buyer and the seller split the transportation costs.,shipping company bears the transportation cost.,B,"The correct answer is option b. buyer normally pays the transportation costs.
As a general rule, the following basic concept must be noted when accounting for inventory freight.
If the goods are sold at FOB Shipping Point, the buyer is responsible for paying the freight.
If the goods are sold at FOB Destination, the seller is responsible for paying the freight.
When goods are sold on FOB (Free On Board) shipping point terms, the responsibility for transportation costs and risks associated with the shipment transfers from the seller to the buyer once the goods have been loaded onto the shipping vehicle at the seller's location. In this case, the buyer is responsible for paying the transportation costs and bears the risk of damage or loss during transit.
Therefore, the correct answer is option
b. buyer normally pays the transportation costs.","Inventory: In accounting, inventory is a current asset that refers to the raw materials, work-in-progress goods, and finished products that a business holds for resale, production, or service delivery."
2,Which of the following would probably not cause inventory shrinkage?,Spoilage of items,Employee theft,Spills of items,Correct counting of all inventory,D,"The answer is
D. Correct counting of all inventory
Within a business, inventory shrinkage can occur due to the following facts:
Employee thefts.
Clerical errors.
Being damaged during the delivery.
Being spoiled by an improper warehouse storage process.",Inventory Shrinkage: Inventory shrinkage refers to a difference between the actual inventory and the reported inventory in the system. An increase in inventory shrinkage is a burden to operations.
3,"Louise Manufacturing uses 2,600 switch assemblies per week and then reorders another 2,600. The relevant carrying cost per switch assembly is {eq}\$10.50 {/eq}, and the fixed order cost is {eq}\$1,300 {/eq}.",What are the current carrying costs? (Do not round intermediate calculations.),What are the order costs? (Do not round intermediate calculations.),"Calculate the economic order quantity. (Do not round intermediate calculations and round your final answer to 2 decimal places, e.g., 32.16.)",,A,"a. Calculation of the current carrying cost:
{eq}\begin{align*}{\rm{Current}}\,{\rm{carrying}}\,{\rm{cost}} &= {\rm{Average}}\,{\rm{inventory}} \times {\rm{Carrying}}\,{\rm{cost}}\,{\rm{per}}\,{\rm{unit}}\\ &= \left( {\frac{{2,600}}{2}} \right) \times \$ 10.50\\ &= 1,300 \times \$ 10.50\\ &= \$ 13,650\end{align*} {/eq}
Hence, the current carrying cost is
$13,650.
b. Calculation of the order costs:
As given in the question, orders are made weekly, meaning that the total number of orders made in the year will be 52, assuming there are 52 weeks in a year.
{eq}\begin{align*}{\rm{Order}}\,{\rm{costs}} &= {\rm{Total}}\,{\rm{number}}\,{\rm{of}}\,{\rm{orders}}\,{\rm{in}}\,{\rm{a}}\,{\rm{year}} \times {\rm{Fixed}}\,{\rm{order}}\,{\rm{cost}}\\ &= 52 \times \$ 1,300\\ &= \$ 67,600\end{align*} {/eq}
Thus, the order cost is
$67,600.
c. Calculation of the economic order quantity (EOQ):
Note:
The annual demand is calculated by taking the demand per week and multiplying it by the number of weeks in a year; the same is shown in the calculation below.
{eq}\begin{align*}{\rm{EOQ}} &= \sqrt {\frac{{2 \times {\rm{Annual}}\,{\rm{demand}} \times {\rm{Ordering}}\,{\rm{cost}}}}{{{\rm{Carrying}}\,{\rm{cost}}}}} \\ &= \sqrt {\frac{{2 \times \left( {2,600 \times 52} \right) \times \$ 1,300}}{{\$ 10.50}}} \\ &= \sqrt {\frac{{2 \times 135,200 \times \$ 1,300}}{{\$ 10.50}}} \\ &= \sqrt {\frac{{\$ 351,520,000}}{{\$ 10.50}}} \end{align*} {/eq}
Solving further,
{eq}\begin{align*} &= \sqrt {33,478,095.238} \\ &= 5,786.02\end{align*} {/eq}
Therefore, the economic order quantity is
5,786.02.","Carrying Cost: The trader bears some expenditure for keeping the inventory, defined as the carrying cost, also comprehended as the possession or holding cost. Maintaining the supply chain can lower this cost."
4,The merchandise inventory account is a long-term fixed asset that will be sold for a long period of time.,True,False,,,B,"The given statement is
(b.) False.
The merchandise inventory account is a current asset as the business sells inventory within its operating cycle. The amount invested in inventory is funded by the working capital of the business and not the long-term capital.
Long-term fixed assets are those asset that remain with the business for a period of more than a year.","Inventory: Inventories are goods that are regularly sold and purchased by the business. In the balance sheet inventory is classified into three categories viz. raw materials, finished goods inventory, and work-in-process inventory."
5,Which of the following is not recorded in a modern perpetual inventory system?,Units purchased and cost amount.,Units sold and sales and cost amounts.,Customer account numbers and balances owed from the sale of merchandise inventory.,The quantity of merchandise inventory on hand and its cost.,C,"The correct option is
C. Customer account numbers and balances owed from the sale of merchandise inventory.
A modern perpetual inventory system does not keep track of individual customers' account information or of any outstanding payments due to unpaid merchandise balances. The goal of a perpetual inventory system is to provide accurate and timely data on the quantity and value of goods on hand in real-time. The system's primary function is to keep track of all transactions involving the purchase and sale of inventory. With this system in place, businesses can keep a running tally of their stock, which aids in keeping tabs on supplies, determining the true cost of goods sold, and facilitating overall inventory management.
Reasons why other options are incorrect:
A. Units purchased and cost amount.
To keep track of the stock purchased and its associated cost, this data is entered into a perpetual inventory system.
B. Units sold and sales and cost amounts.
To assess sales profitability and compute COGS, a perpetual inventory system keeps track of sold units alongside their respective sales and cost amounts.
D. The quantity of merchandise inventory on hand and its cost.
If you want to keep track of your stock and know exactly how much it costs, a perpetual inventory system will do that for you automatically.","Perpetual Inventory System: The term perpetual inventory system refers to the inventory management system where the system tracks and records stock levels. When the sale or return occurs, the system automatically adjusts the stock level."
6,The balance of the Merchandise Inventory account that appears in the Trial Balance section of the worksheet represents the stock of goods on hand at the beginning of the current period.,True,False,,,A,"The answer is
A) True.
If the Merchandise Inventory balance is on the Trial Balance column of the worksheet, that amount is the beginning of the account at the current reporting period. At the end of that period, the company adjusts that account to recognize the ending balance, which would appear in the Adjusted Trial Balance column. Thus, the statement is true.","Merchandise Inventory: The merchandise inventory account always appears on the firm's journal entries if they are using the perpetual inventory system. All the purchases and adjustments related to the goods are recorded on this account by debiting or crediting it. Otherwise, the company applies the periodic inventory method when it appears only at the end of the reporting period."
7,A characteristic of purchases is:,it has a debit normal balance.,it reduces net income.,that it is used to record the purchase of merchandise to be resold.,All of the above.,D,"The correct answer is
d. All of the above
.
Options
Analysis
a. it has a debit normal balance.
The normal balance of the purchase account is a debit balance, representing an expense for the business.
b. it reduces net income.
Expenses reduce the net income, and so make the purchases.
c. that it is used to record the purchase of merchandise to be resold.
Purchase account represents the merchandise that should be resold to the customers.
d. All of the above.
As all the other options define purchases, this option becomes correct.","Nominal Accounts: All the nominal account balances can be seen on the income statement. These accounts should be zeroed out each period for the new balances to flow in. Nominal accounts include revenue, expenses, profits, and losses."
8,"Waterway Company recently made a $10,600 purchase from a major supplier. Shipping costs were $210, terms FOB shipping point. To record this purchase, Waterway Company will need to debit the:","Merchandise Inventory account for $10,600.","Merchandise Inventory account for $10,810.",Cost of Goods Sold account for $210.,"Cost of Goods Sold account for $10,810.",B,"The correct option is b. Merchandise Inventory account for $10,810.
Waterway must add the cost of the inventory purchased ($10,600)
and the freight-in cost
to its inventory asset because when goods are shipped FOB shipping point, it means that the title for the goods passes to the buyer at the shipping point, and the buyer is responsible for the shipping costs.
The freight-in is however not allocated to the cost of goods sold expense until the related goods are sold, and neither is the total purchase cost.","Recording Inventory Purchases: When inventory purchases are accounted for using the perpetual method, the total cost of inventory purchased is added to the inventory asset account, and then only transferred to the cost of goods sold expense when the goods are sold."
9,"Assuming the use of special journals, the sale of merchandise to Jerri Blackwell on account would be recorded in the:",sales journal.,accounts receivable journal.,cash receipts journal.,general journal.,A,"The correct answer is
a. sales journal
.
Except for the general journal, all journals, such as cash receipts, cash payments, purchase, and sales journals, are special journals. When the company uses special journals, the sale of goods on account is recorded in the sales journal. Therefore, the sale of merchandise to Jerri Blackwell on account would be recorded in the
sales journal
.
The other answer options are incorrect.
b. accounts receivable journal. There is no such thing as an accounts receivable journal.
c. cash receipts journal. A cash receipts journal records the cash sales, not credit sales.
d. general journal. A general journal is used when special journals are not in use.","Journal Entries: Journal entries impact the business and the financial information that help build the financial statements. Entries should follow the double-entry system, which requires debits to have equal and opposite credits."
10,Which of the following is an incorrect statement if ending inventory is overstated?,Net income is overstated.,Gross profit is overstated.,Cost of goods sold is overstated.,Income tax is overstated.,C,"The correct answer is
C. cost of goods sold is overstated
.
The cost of goods sold during a given period is inversely related to the ending inventory for a given beginning inventory and purchase amount. Thus, if the ending inventory is overstated, the cost of goods sold will be understated.
The net income and gross profit are inversely related to the cost of goods sold because the cost of goods is deducted from the net sales to derive gross profit and all the other expenses are subtracted from the gross profit to derive the net income. Thus, an understated cost of goods sold will lead to overstated gross profit and net income.
The income tax is directly related to the net income and hence, overstated net income will lead to overstated income tax.","Inventory Management: The inventory and cost of goods sold for a firm can be valued by using methods like FIFO (FIrst-In-First-Out) method, LIFO (Last-In-First-Out) method, weighted average method, or specific identification method. Furthermore, a perpetual or periodic inventory system may be assumed for the valuation."
