id,question,A,B,C,D,Answer,Explanation,Hint
1,A high inventory turnover ratio indicates all of following except:,there are no inventory shortages,inventory is selling quickly,less cash is tied up in inventory,the risk is outdated inventory is lower,B,"Correct answer:
Option b) inventory is selling quickly.
Explanation:
A high inventory turnover indicates that there are no inventory shortages, less cash is tied up in inventory as the higher the turnover, the lesser will be the inventory holding period. It also indicates that the risk of inventory being outdated is also minimum with a high turnover.",Inventory Turnover: Inventory turnover indicates the number of times a company replaces its inventory for meeting the needs of the sales. Inventory represents the unsold stock that remains in the warehouse at the end of the period either in the form of raw materials or work-in-progress or finished goods.
2,"The TBI Company has a number of days of inventory of 50. Therefore, the TBI Company's inventory turnover is closest to:",4.8 times,7.3 times,8.4 times,9.6 times,B,"The correct answer is
b. 7.3 times
Using the formula derived from days' inventory outstanding, we will compute for the total inventory turnover.
{eq}Inventory~Turnover~=~\displaystyle \frac{365~days}{DIO}\\

where:\\

DIO~=~Days~Inventory~Outstanding

{/eq}
{eq}Inventory~Turnover~=~\displaystyle \frac{365~days}{50} = 7.3

{/eq}
The TBI Company's inventory turnover is
7.3 times",Inventory Turnover: The inventory turnover is one of the most commonly used financial ratios that serves as a gauge for the company on how fast it can convert its stack of inventories into sales and also use as a basis for effective sales and marketing plan for its products.
3,"Firms that successfully increase their rates of inventory turnover will, among other things,",be able to reduce their borrowing needs.,be able to reduce their dividend payments to stockholders.,find it more difficult to be given credit by their resource suppliers.,have a greater need for high balances in their cash accounts.,A,"Correct answer:
Option A) be able to reduce their borrowing needs.
Explanation:
Inventory turnover is the ratio of the cost of goods sold and the average inventory and it indicates the number of times a company replaces its inventory in order to meet the needs of the sales. A high inventory turnover indicates high sales while a lowe inventory turnover indicates low sales. And when the sales are high, the profits will also increase and so will the retained earnings, provided the dividend payout ratio is constant among other things. As retained earnings will be high, the need for borrowings will reduce as they have their own source of internal finance in the form of retained earnings.",Inventory: One of the current assets of the company that is excluded from being considered as a quick asset is the inventory. The current period inventory is the beginning inventory of the next period. Ending inventory represents the unsold units of finished goods at the end of the fiscal year and is valued at cost or market value whichever is lower.
4,"Delmar Company had beginning inventory of $90,000, ending inventory of $110,000, cost of goods sold of $600,000, and sales of $960,000. Delmar's days in inventory is:",38.0 days,54.3 days,60.8 days,67.5 days,C,"Correct answer: Option C) 60.8 days.
Explanation:
Step 1:
Average inventory = (Beginning inventory + Ending inventory) / 2
Average inventory = ($90,000 + $110,000) / 2
Average inventory = $100,000
Step 2:
Days'sales in inventory = (365 days * Average inventory) / Cost of goods sold
Days'sales in inventory = (365 days * $100,000) / $600,000
Days'sales in inventory = 60.83 days","Inventory Holding Period: To compute the inventory holding period, 365 days should be divided by the inventory turnover, where inventory turnover is the ratio of cost of goods sold relative to average inventory. The inventory holding period is used in determining the operating cycle and cash cycle."
5,An above-average inventory turnover indicates that the business:,has an illiquid inventory.,"is healthy, with a salable inventory.",needs to review its pricing policies.,has below-average performance and is facing bankruptcy if not corrected quickly.,B,"Correct Answer: B) is healthy, with a salable inventory.
An above-average inventory turnover indicates that the business is healthy with a salable inventory. A higher inventory ratio means inventory is converted into sales fastly, which means higher sales and considerable demand for the company's product. It also indicates good management of inventory.
In above-average turnover, the sale is high so there will not be illiquid inventory and fear of bankruptcy.",Inventory turnover: Inventory turnover ratio is the cost of goods sold divided by average inventory. Inventory turnover indicates the number of times the company sells its inventory during the period. Inventory Turnover ratio =Cost of good sold/Average inventory
6,Which of the following is the correct formula to calculate inventory turnover?,Inventory turnover = Cost of goods sold / Average merchandise inventory.,Inventory turnover = Cost of goods sold * Average merchandise inventory.,Inventory turnover = Cost of goods sold + Average merchandise inventory.,Inventory turnover = Cost of goods sold - Average merchandise inventory.,A,"The correct answer is
A. Inventory turnover = Cost of goods sold / Average merchandise inventory.
The inventory turnover is computed by dividing the cost of goods sold by the average inventory. It shows how many times of the average inventory the business sold during the period.
{eq}\text{Inventory Turnover} = \dfrac{\text{Cost of Goods Sold}}{\text{Average Inventory}} {/eq}",Inventory Turnover: The inventory turnover shows how efficiently the business is using its investment in inventory. High inventory turnover indicates that the business is quickly selling its inventory.
7,The inventory turnover is computed by dividing cost of goods sold by:,beginning inventory.,ending inventory.,average inventory.,365 days.,C,"Correct Answer: C) average inventory.
Explanation:
The inventory turnover is computed by dividing cost of goods sold by the average inventory with formula as follows:
Inventory Turnover = Cost of Goods Sold / Average Inventory
The average inventory is the average of the beginning and ending inventory for the period and can be computed as follows:
Average Inventory = (Beginning Inventory + Ending Inventory) / 2
The number of days in a year (365 days) is not required in computing the inventory turnover but is necessary in computing the days sales in inventory.",Inventory Turnover Inventory Turnover is a measure of the number of times that the company has sold its inventories or convert its physical goods available for sale into cost of goods sold.
8,The number of days' sales in inventory:,"measures the length of time it takes to acquire, sell, and replace the inventory.",is computed by dividing the cost of merchandise sold by 365.,measures the length of time it takes to sell the merchandise on credit and collect the account receivable.,is about the same for all industries.,A,"Correct option is Option A
Explanation for correct option: Number of days' sale in inventory is the measure of the length of time taken by the company in the acquisition of inventory to sell or replicate the merchandise. It is the measurement of the length of time the company holds the inventory.
Explanation for incorrect options:
Option B: Calculation of number of days' sales in inventory also includes the average inventory along with the cost of goods sold and 365 days.
Option C: The number of days sale also includes the cash sale of the inventory with the credit sale of the inventory.
Option D: The number of days' sales in inventory is not same for all industries.",Inventory Turnover Ratio: Inventory Turnover Ratio is the financial ratio that determines the number of times the company converts their raw material into the finished goods in the company's manufacturing process in a given accounting period or reporting period.
9,Dividing the cost of goods sold by average inventory gives the _____.,Average-Payable-Period,Average-Collection-Period Ratio,Average-Inventory-Turnover Ratio,,C,"Correct Answer:
Option c. Average-Inventory-Turnover Ratio
.
The inventory turnover ratio determines the times a company converts its inventory into sales during a year. The formula to determine the inventory turnover is given as follows:
Inventory turnover = {eq}\dfrac{\text{Cost of Goods Sold}}{\text{Average Inventory}}

{/eq}
Where,
Average inventory = {eq}\dfrac{\text{Beginning inventory + Ending inventory}}{\text{2}}

{/eq}
Other options:
a. Average-Payable-Period:
The formula to determine the average payables period is given as follows:
Average Payables Period = {eq}\dfrac{\text{365 days}}{\text{Average Payables Turnover}}

{/eq}
b. Average-Collection-Period Ratio
The formula to determine the average collection period is given as follows:
Average Collection Period = {eq}\dfrac{\text{365 days}}{\text{Average Receivables Turnover}}

{/eq}","Turnover Ratios: Turnover ratios help a company analyze its inventory, receivables, and payables management. These ratios mainly include inventory turnover, receivables turnover, and payables turnover."
10,Days' inventory on hand equals 365 divided by:,cost of goods sold,goods available for sale,average inventory,inventory turnover,D,"Correct answer:
Option d) inventory turnover.
Explanation:
To compute the days' sales in inventory we use the following formula:
Days sales' in inventory = 365 days / Inventory turnover",Ending Inventory: Ending inventory is the current asset of the company that remains in the warehouse and in the books of accounts at the end of the fiscal period. Ending inventory is reported in the balance sheet under current assets and is also reduced from the cost of goods available for sale to determine the cost of goods sold.
