id,question,A,B,C,D,Answer,Explanation,Hint
1,Which of the following is considered an investment?,Maina purchases a new car because she likes its design.,Jane purchases a new car for commuting to and from school.,Johnny buys a new car for his wife as an anniversary gift.,James purchases a new car to replace an old car in his cab business.,D,"The correct answer is d.
Which of the following is considered an investment?
a. Maina purchases a new car because she likes its design.
No, this is in the Consumption category of GDP because it is for personal use.
b. Jane purchases a new car for commuting to and from school.
No, this is in the Consumption category of GDP because it is for personal use.
c. Johnny buys a new car for his wife as an anniversary gift.
No, this is in the Consumption category of GDP because it is for personal use.
d. James purchases a new car to replace an old car in his cab business.
Yes, it is considered an investment because it is for business use.","Gross Domestic Product (GDP): Gross Domestic Product (GDP) measures the output of a country's economy over a time frame, usually a year. The formula is Consumption by households + Investment by Business + Government spending + Exports - Imports."
2,Which of the following is the best example of economic investment?,Apple builds a new plant to manufacture iPads.,Your college purchases a 5-year old building in order to offer more classes.,A retiree purchases U.S. government bonds.,A company like Bank of America acquires another company like Merrill Lynch.,A,"The correct answer is
a: Apple builds a new plant to manufacture iPads
.
When Apple decides to establish a new plant that specializes in iPad production is an example of economic investment because it creates more job opportunities and provides valuable returns to investors. Economic investments are essential because they enhance the stability of business processes since organizations gain a stable financial base. In addition, the stability of the financial base of an entity influences the advancement of its processes because it has enough funds required to fund its development projects.","Characteristics of an economist: An economist is characterized by curiosity and understanding of complex systems. Besides, increased knowledge and understanding of complex systems enables economists to gather information from diverse fields and sources to analyze market processes and produce appropriate studies of various economic activities' future and current performance."
3,Which of the following is a reason a shareholder may buy more shares in a company?,The shareholder believes the company is a good investment.,To prevent the shareholder's percentage of ownership in the company from being diluted.,The shareholder wishes to maintain his ownership position in the company.,All of these answers.,D,"The answer is
option D.
All the answers are reasons for shareholders to buy more shares in the company.
A. When investors believe that the company is worth investing in, they will buy more shares to increase their percentage of ownership and earn more from that.
B. One of the reasons is to increase the shareholder's percentage of ownership so that it will not decrease.
C. Another reason is to maintain the percentage of ownership, primarily if he significantly influences the company.",Shareholders: The corporation's shareholders are its true owners. They invest money in the business in exchange for shares and later earn dividends from those investments.
4,Savings are planned investments by the consumer. True or false?,True,False,,,B,"The given statement 'savings are planned investments by the consumer' is false.
This is because savings refer to the money left over after a consumer spends and settles other obligations which are subtracted from their income. It is the cash that is idle and not put in risky behaviors such as consumption or investment. The essence of saving includes setting aside money for retirement, vacations, school fees, and other aims. Some people can save for emergencies that can occur in life, like a sickness. Individuals who do not save are said to be living paycheck to paycheck as they cannot cater for their emergencies. Savings is a contrast of investments as it aims at increasing wealth through risking money. Hence, the given statement is false.","Investment: Investment refers to assets bought with the main aim of income generation or appreciation of value in the future. It is usually a matter of time, effort, or cash in the hope of future appreciation in future. Types of investments include bonds, real estate, stock, ventures, and others that generate income in the future. All investments have their associated risks as more profitable ventures have more risk while less profitable ones have a small risk."
5,Net investment is,"the total amount of private investment purchases, whether new or previously minus existing.",what is left over from total new private investment after depreciation.,the total amount of new private investment purchases.,gross investment plus depreciation.,B,"A net investment is
B. what is leftover from a total new private investment after depreciation.
Net investment measures the total investment made by the firm excluding the depreciation of the assets. Depreciation reduces the useful life of an asset and therefore it is excluded from the private investment to arrive at net investment.
Analysis of incorrect options:
A. the total amount of private investment purchases, whether new or previously minus existing, as a private investment only includes gross investment.
C. the total amount of new private investment purchases is incorrect, as it defines only the gross amount invested.
D. gross investment plus depreciation is incorrect, as net investment excludes depreciation instead of including it.",Depreciation: Depreciation refers to the wear or tear of assets or resources of a firm and business over long periods of time. Depreciation can be either caused due to natural causes or due to the usage of old and outdated technology of production. Depreciation reduces the life an asset has.
6,You are considering buying a store. The store owner gives you an estimate of the net profits of the store on a typical day. The owner has most likely given you the figures for:,The best-case scenario.,The worst-case scenario.,Any typical day.,Any typical year.,A,"The most likely answer is ""a. The best-case scenario.""
If store owners are likely to present their stores in the best fashion possible to potential investors, it is possible that the figures given to you represent the best-case scenario or an overly optimistic estimate of the store's net profits. It would be advisable to carefully consider the basis of the estimates provided and to try to obtain as much information as possible about the store's financial performance and potential profitability. This might include reviewing the store's financial records, speaking with the store's employees and customers, and seeking the advice of an experienced business analyst or financial advisor.
It is difficult to determine exactly what the store owner has given you without more context. However, it is also possible that the store owner has given you the figures for any typical day or for any typical year, as these would likely be the most accurate and realistic estimates of the net profits of the store.","Business Investments: There are many different types of investments in businesses, including stocks, bonds, mutual funds, and private equity. These investments can provide a source of income through dividends, interest payments, or capital appreciation (increase in value), but they also carry risks, such as the risk of losing some or all of the initial investment if the business performs poorly or goes bankrupt."
7,Changes in the value of available-for-sale securities:,are reported as part of stockholders' equity,are recognized on the income statement,are not recognized,are recognized on the income statement and as part of stockholders' equity,A,"The correct answer is
option A.
The change in the value of the investment classified as available-for-sale is reported on the balance sheet as one of the items under equity's accumulated other comprehensive income.
B. It is incorrect. The investment classified as trading securities changes reports on the income statement.
C. It is recognized under the equity section of the balance sheet.
D. The statement is false. It is recognized on equity only.","Investments: As an asset, investment is classified into:"
8,Which one of the following represents investment expenditure?,A firm spends £7m on new computer software.,A government spends £10m more on nurses' wages.,A household puts £10 000 into an interest-paying account.,An individual spends £28 000 buying company shares.,A,"The correct choice is
option A. A firm spends £7m on new computer software.
Investment expenditures are expenses that a person or a firm incurs in the present with the hope of earning greater returns in future. A firm spending 7 million Euros on new computer software is an investment, primarily because the entity hopes to benefit from efficient, transparent, and streamlined processes that will then help the company generate greater returns in future.
Additional Information.
Gross Domestic Product = Government spending+ investment + household consumption + net exports.
Wages paid to nurses by the government form a part of government spending expenditure.
A household putting £10,000 into an interest-paying account forms part of private household consumption expenditure.
An individual spending £28,000 buying company shares falls under private household consumption expenditure.
It is imperative to note that investment does not include the purchase of shares and bonds because they are not produced products.","Investment: An investment is an asset that a person, firm, or even a government purchases with the hope that the seed capital risked will grow with time. It is one of the components used when calculating GDP."
9,"Other things equal, a decrease in the real interest rate will:",shift the investment demand curve to the right.,move the economy downward along its existing investment demand curve.,shift the investment demand curve to the left.,move the economy upward along its existing investment demand curve.,B,"Other things equal, a decrease in the real interest rate will:
B) move the economy downward along its existing investment demand curve.
The investment demand curve depicts the association between investments made in the economy and real interest rates affecting the investments. The relationship between these two factors is inverse. Thus, a decrease in the real interest rates will move the economy downwards along the existing investment demand curve because the fall in the real interest rates will show higher investments on a negatively sloped investment demand curve.
This is the opposite of moving the economy upward along its existing investment demand curve. The curve also cannot shift to the right or the left in this situation.",Investments: Investments refer to money invested in certain activities or things that generate some return. Investments are essential for the economy because they increase aggregate demand and ultimately push the economic growth and development of a country.
10,Identify each of the following investments as either an economic investment or a financial investment.,A man buys a newly built home in the city.,A company buys an old factory.,,,A,"a)
A man buying a newly built home in the city is an example of financial investment because financial investment or what we generally call an investment is made with the expectations of some return, the house purchased can be resold and there will be gain to the buyer.
b)
A company buying an old factory can be an example of economic investment because it is done with the motive of augmenting the production process, i.e., for economic gain. If the company uses the old factory for the process of production we will call this investment an economic investment but if the company purchases the factory as a capital asset for reselling it we will call it a financial investment.
Economic investment is also considered to be a part of financial investment but the motive is the main distinction between the two.",Investment Investment is the purchasing of goods that help produce other goods or provide some benefit in return and can be considered as an additional source of income.
