id,question,A,B,C,D,Answer,Explanation,Hint
2,Unsecured debt issued by bank holding companies is a form of equity capital.,True,False,,,A,"The above statement is True.
Funds invested in a company by investors in return for ordinary or preferred shares are known as equity capital. This is the foundational investment for a firm to which debt financing could be added.
In addition to receiving the principal amount, debt capital's lender also receives interest income. Those who own shares receive dividends or profits. Debt financing can be secured (against the surety of an asset) or unsecured. Since shareholders receive ownership rights, equity capital is insecure.
Similar to equity capital holders, these bank-holding corporations own a share of the commercial bank's voting stock, which enables them to vote on issues about the development of the bank's corporate policies. They exercise control over the bank but do not participate in its daily operations. Like equity shareholders, they make loans.","Unsecured Debt: Unsecured debt is any debt or general obligation not collateralized by a claim on particular assets of the borrower in the event of bankruptcy, liquidation, or inability to satisfy the terms of repayment. It is sometimes referred to as uninsured debt."
3,"A lender requires 2 points on a $250,000 loan with a 7% rate amortization over a 25 year-term, payable monthly. What is the effective yield to the lender if the loan runs full term?",9.0%,6.8%,7.2%,6.0%,C,"The answer is
C) 7.2%.
Given information:
Initial principal = $250,000
Number of payments (N) = 25 x 12 = 300
Annual percentage rate (I) = 7%
Initial point = 2%
Estimate the required monthly payment (PMT):
{eq}\text{Initial principal} = \displaystyle \text{PMT} \times \frac{1 - (1 + \displaystyle \frac{I}{12})^{-N}}{\displaystyle \frac{I}{12}} \\ \$250,000 = \displaystyle \text{PMT} \times \frac{1 - (1 + \displaystyle \frac{7\%}{12})^{-300}}{\displaystyle \frac{7\%}{12}} \\ \$250,000 = \displaystyle \text{PMT} \times 141.48690 \\ \text{PMT} = $1,766.94804 {/eq}
Estimate the net proceeds of the loan:
{eq}\text{Net proceeds} = \displaystyle \text{Initial principal}\times (1 - \text{Percentage point}) \\ \text{Net proceeds} = \displaystyle \$250,000 \times (1 - 2\%) \\ \text{Net proceeds} = \displaystyle \$245,000 {/eq}
Estimate the effective annual interest rate on the loan (i):
{eq}\text{Net proceeds} = \displaystyle \text{PMT} \times \frac{1 - (1 + \displaystyle \frac{i}{12})^{-N}}{\displaystyle \frac{i}{12}} \\ \$245,000 = \displaystyle \$1,766.94804 \times \frac{1 - (1 + \displaystyle \frac{i}{12})^{-300}}{\displaystyle \frac{i}{12}} {/eq}
The effective annual interest rate can be determined by using the financial calculator with the following inputs:
FV = Future value of loan = 0
PMT = Annual payment = 1,766.94804
PV = - Net proceeds of the loan = - 245,000
N = Number of monthly payments = 300
CPT I = 0.60209
{eq}\text{i} = 0.60209 \times 12 = 7.2\% {/eq}","Amortization Loan: An amortization loan allows the borrower to repay the initial loan principal and interest charge by a series of monthly payments. Mortgage loans, auto loans, and purchase financing are representative of amortization loans."
4,Unsecured debt issued by bank holding companies is a form of equity capital.,True,False,,,A,"The above statement is True.
Funds invested in a company by investors in return for ordinary or preferred shares are known as equity capital. This is the foundational investment for a firm to which debt financing could be added.
In addition to receiving the principal amount, debt capital's lender also receives interest income. Those who own shares receive dividends or profits. Debt financing can be secured (against the surety of an asset) or unsecured. Since shareholders receive ownership rights, equity capital is insecure.
Similar to equity capital holders, these bank-holding corporations own a share of the commercial bank's voting stock, which enables them to vote on issues about the development of the bank's corporate policies. They exercise control over the bank but do not participate in its daily operations. Like equity shareholders, they make loans.","Unsecured Debt: Unsecured debt is any debt or general obligation not collateralized by a claim on particular assets of the borrower in the event of bankruptcy, liquidation, or inability to satisfy the terms of repayment. It is sometimes referred to as uninsured debt."
5,"You borrow $85,000. You make monthly repayments over the next three years at a monthly interest rate of 3%. What is the amount of each monthly repayment?","$30,050.08","$1,343.32","$3,893.32","$2,361.11",C,"The answer is
c. $3,893.32.
Given information:
Loan principal = $85,000
Number of monthly payments (N) = 3 x 12 = 36
Monthly interest rate (I) = 3%
Monthly repayment = PMT
Estimate the monthly repayment associated with the loan:
{eq}\text{Loan principal} = \displaystyle PMT \times \frac{1 - (1 + I)^{-N}}{I} \\ \$85,000 = \displaystyle PMT \times \frac{1 - (1 + 3\%)^{-36}}{3\%} \\ \$85,000 = \displaystyle PMT \times 21.83225 \\ PMT = \displaystyle \frac{\$85,000}{21.83225} \\ PMT = $3,893.32 {/eq}","Installment Loan: An installment loan refers to a financing option in that a borrower repays the loan regularly. Usually, a lender will require monthly payments within a fixed period that is to reduce the credit risk associated with the loan."
6,Sam received a $290 discount loan to purchase a stereo. The loan was offered at 16% for 90 days.,$279.4,$278.40,$277.40,,B,"Correct answer:
1. Option b. $11.60
2. Option b. $278.40
Given:
Loan value = $290
Annual interest rate = 16%
Loan period = 90 days
Number of days in a year = 360 days (approximately)
So, the interest would be:
1. Interest:
{eq}\begin{align*}

{\rm\text{Interest}}\, &= \,{\rm\text{Loan value}}\, \times \,{\rm\text{Interest rate}}\, \times \dfrac{{{\rm\text{Loan period in days}}}}{{{\rm\text{Number of days in a year}}}}\\

&= \$ 290\, \times \,16\% \, \times \dfrac{{90\,{\rm\text{days}}}}{{360\,{\rm\text{days}}}}\\

&= \$ 11.60

\end{align*}

{/eq}
Thus, the interest is
$11.60.
2. Proceeds:
The proceeds can be computed by reducing the interest of $11.60 from the loan value of $290.
{eq}\begin{align*}

{\rm\text{Proceeds}}\, &= \,{\rm\text{Loan value}}\, - \,{\rm\text{Interest}}\\

&= \$ 290\, - \,\$ 11.60\\

&= \$ 278.40

\end{align*}

{/eq}
Thus, the value of proceeds is
$278.40.","Discount Loan: In a few cases, the interest payable on a loan is reduced, and the remaining balance is granted a loan for the borrower. This is referred to as a discount loan. The borrower will repay only the principal value, and no further interest will be paid."
7,Refinancing a loan for more money than was originally owed is called a(n):,add-on loan.,accelerated loan.,discount loan.,garnishment.,A,"The correct answer is A.
Refinancing a loan for more money in the process of adding more loan amounts at a cheaper interest rate than the first loan amount in which the interest rate is high. So, it is an add-on loan.
Reason for incorrect option:
Option B. accelerated loan refers to the borrower having to pay his entire loan amount immediately.
Option C. In a discount, the loan borrower gets a discount on the loan amount. And not refinance it.
Option D. A garnishment is the order to seize assets.","Loan: A loan is when a person obtains finance from any friend, bank, or financial entity with the binding that it will be returned in the future along with principal and interest."
9,"A bank loans you $20,000, amortizing over five years at 12% pay yearly. How much interest will you pay in month 2 of the loan?",$179,$356,$198,$231,C,"The correct answer is:
C. $198
Before we prepare the loan amortization schedule, we will first calculate the monthly loan installments using the formula below
{eq}\rm Installment=\dfrac{\text{ Loan amount}}{\dfrac{1-(1+r)^{-n}}{r}}

{/eq}
Where
r
is the loan interest rate per period and
n
is the number of periods. Therefore
{eq}\rm Installment =\dfrac{20000}{\dfrac{1-(1+0.12/12)^{-12\times 5}}{0.12/12}}\\[0.3cm]

\rm Installment=\$444.89

{/eq}
The table below shows the loan amortization schedule
Month
Opening bal (A)
Installment (B)
Interest (C=1% of A)
Principal (D=B-C)
Closing bal (A-D)
1
20,000
444.89
200
244.89
19,755
2
19,755
444.89
197.55
247.3389
19,508
From the above table, we can see that the amount of interest paid in the second month is approximately $198.","Loan Amortization Schedule In finance, the loan amortization schedule is a schedule that tracks the progress of loan repayment. It shows the closing and opening loan balances for each period, the loan principal, and the interest paid in each period."
10,Banks calculate the monthly payment on a loan as:,an ordinary annuity with payment made one month in advance.,an annuity due with payment made one month in advance.,an ordinary annuity with payment made at the end of the month.,an annuity due with payment made at the end of the month.,C,"The answer is
c. an ordinary annuity with payment made at the end of the month.
The series of monthly payments represents an annuity. Thus, if the monthly payment is required at the beginning of each month, it is an annuity due. Otherwise, it is an ordinary annuity. In practice, most banks will not require borrowers to make a payment immediately at the loan origination.","Installment Loan: An installment loan is a financing option in which a borrower can repay the loan with monthly payments. Usually, monthly payments are constant during the entire life of the loan. Within a monthly payment, there are two components: interest payment and principal repayment."
11,A loan discount is:,a loan used to purchase a bond at a discount.,a discount market interest rate on a loan.,the same as a bond discount.,None of the above.,D,"The correct option is
option D. None of the above.
Option A: Loan Discount states the interest amount which is deducted from the loan principal value when the loan is acquired at a discount. A bond discount presents a bond type that can be purchased for less than its par or face value. Thus, loan discounts are not linked with bonds, as bonds are debt instruments traded in the money market.
Option B: A loan discount is a loan type for which interest and other charges are not required to be paid. Thus, the interest rate is not discounted in the loan.
Option C: A bond discount implies that the bond's market price is lower than its par value, whereas a loan discount means an amount that is already reduced by interest and other related charges. These two terms have different parameters.
The given statements related to loan discounts are false as a loan discount involves payment of that borrowed amount, which excludes interest and other related charges. Therefore, the correct option is
option D
.","Loan: A loan is defined as an arrangement in which a lender provides funds to another individual in exchange for future repayment, i.e., principal plus interest amount. Money can be lent from a bank, insurance company, or financial institution."
12,"Wake and Elizabeth are buying a $200,000 house and putting 10% down. The bank is offering a 30-year loan at 4.5% compounded monthly.",What is the loan amount?,What will the monthly payment be?,What is the (approximate) total amount of interest paid during the term of the loan?,,A,"Given data,
Cost of the house = $200,000
Down payment for the house = 10% of $200,000
Loan term = 30 years or, 360 months
Annual interest rate = 4.50%
The interest is compounded monthly.
(A)
{eq}\begin{align*}

Loan\ Amount &= Cost\ of\ the\ house - Down\ payment\\

&=$200,000-($200,000*0.10)\\

&=$200,000-$20,000\\

&=$180,000\\

\end{align*}

{/eq}
(B)
The monthly interest rate {eq}=0.045/12=0.00375\ Or,\ 0.375\%

{/eq}
The monthly payment required to repay the loan over 30 years is calculated using the following formula:
{eq}A=P \times \dfrac{i(1+i)^n}{(1+i)-1}

{/eq}
Where,
A = monthly payment required to repay the loan
P = Loan Principal
i = monthly interest rate
n = loan term in months
Putting the corresponding values in the above formula, we get,
{eq}\begin {align*}

A&=$180,000 \times \dfrac{0.00375(1+0.00375)^{360}}{(1+0.00375)^{360}-1}\\

&=$180,000 \times\dfrac{0.0014428867}{2.84769805}\\

&=$912\\

\end {align*}

{/eq}
Thus, the monthly payment = $912
(C)
{eq}\begin {align*}

\text {Total amount paid over 360 months} &= 360 \times \text {monthly payment}\\

&=360\times $912\\

&=$328,320\\

\end{align*}

{/eq}
Therefore,
{eq}\begin {align*}

\text {Total amount of interest paid} &= \text {Total amount paid to repay the loan} - \text {Loan Principal}\\

&=$328,320-$180,000\\

&=$148,320\\

\end{align*}

{/eq}",Home Mortgage: Most people buy homes by availing of a loan from a bank or any other financial institution. A mortgage refers to a loan taken by pledging some property. Thus most home mortgages are secured against some collateral. A mortgage loan is used either to buy or build a property or refinance a property.
