id,question,A,B,C,D,Answer,Explanation,Hint
1,Which of the following is the most liquid of a bank's assets?,short-term business loans,securities,long-term business loans,cash,A,"A.	Short-term business loans.
It refers to money given to businesses that is meant to be repaid within a short duration of less than a year. They have higher interest rates compared to short-term loans.
B.	Securities.
Securities refer to financial instruments that are negotiable and fungible that have a monetary value. They usually are tradable financial assets such as equities or fixed income instruments bought as an investment.
Securities are classified into equities and debts.
C.	Long-term business loans.
It refers to money given to businesses. The money is payable within a longer duration of time than short-term loans. The repayment duration can range from one year and above. They have lower interest rates in comparison to short-term loans.
D.	Cash.
Cash, in this case, refers to monies deposited to the bank by different individuals and businesses. The cash deposit is cashable into a personal bank account or a savings account.
Therefore, based on the above definitions and considering what a liquid asset is, the most liquid asset for a bank is its cash.",Liquidity.: Liquidity refers to the degree in which an asset can be quickly brought or sold to the market at a price that replicates its fundamental value. It equally refers to the ease with which an asset or security is converted into cash without interfering with its market price.
2,The first step in managing cash more effectively is:,having an adequate cash reserve for emergency expenditures,rapid payment of accounts payable,speeding up payment of accounts receivable,understanding the company's cash flow cycle,D,"The correct answer is
D) understanding the company's cash flow cycle.
The cash flow cycle explains where a company's money goes. It is organized by activities that bring cash in (cash inflows) and activities that send cash out (cash outflows).
Other options are incorrect because
Having an adequate cash reserve for emergency expenditures can only happen once a company has established where its money goes in the first place.
Payment of accounts payable happens towards the end of the cash flow cycle and clears all obligations/debts.
Speeding up payment of accounts receivable will ultimately increase available cash, but it is not guaranteed.","Cash Management Cash management is a company's ability to control its cash assets. Cash is considered the most liquid asset and is therefore easily spent without a management system in place. Due to its accessibility and ease of use, cash must be controlled and managed to ensure that the firm has capital for current expenses."
3,Financial intermediaries provide customers with liquidity services. Liquidity services?,make it easier for customers to conduct transactions.,allow customers to have a cup of coffee while waiting in the lobby.,are a result of the asymmetric information problem.,are another term for asset transformation.,A,"The correct answer is Option A
The liquidity services are provided by the financial intermediaries to their customers to convert their money into assets and vice versa, i.e., assets back into money based on professional advice. Also, the credit facilities provided by the financial intermediaries to facilitate the expansion of business.
The explanation of incorrect options are:
B)
The service provided to the customer to have a cup of coffee is a hospitality service provided by the hotel.
C)
The asymmetric information problem where either the borrower or the lender is vigilant and aware of the market's situation. This is mainly caused due to the curiosity of the informed party.
D)
Asset transformation is converting long-term and short-term assets into money. The converted money can be either be given as a loan or invest in some other asset as per the personal choice of the investor.",Financial Intermediaries: Financial Intermediaries like banks accept deposits in the form of investments from the investors and provide loans to the borrowers. It earns revenue by way of differential interest receipts and payments.
4,Credit cards that allow consumers to borrow up to a specified maximum amount are examples of __________.,installment credit,collateral-based credit,revolving open-end credit,non-installment credit,C,"Credit cards that allow consumers to borrow up to a specified maximum amount are examples of
C. revolving open-end credit
Revolving open-end credit is based on income and credit history. In this credit, interest will be charged each month on the remaining balance. It is the extended line of credit established in advance such as a credit card. Revolving credit has the flexibility to provide the companies to borrow and use the funds.","Credit: Credit is a promise based on a belief that debtors or borrowers will pay on demand or at some future time. The creditor exchange present goods for the right to receive payments in the future. There are three types of credit, namely installment, non-installment, and revolving open-end credit."
5,Explain the relationship between liquidity management from the financial day to day operation of :,educational institution,hospital,short-term projects of an organization,,A,"a. Liquidity management is required in educational institutions daily. It can be daily expenses like maintenance of the facilities like library, sanitation, water facilities, transportation facilities.
b. Liquidity management is required in hospitals daily. It can be daily expenses like arranging the blood groups from outside, maintain the quality of services, cleaning services requirements.
c. Liquidity management is required in short-term projects of an organization daily. It can be daily expenses like purchasing raw material, maintain the working environment by providing drinking water, sanitation facilities.",Liquidity management Liquidity management depicts converting the asset into cash at less time period. The cash helps different facilities and services to run smoothly.
6,Which of the following are not considered money market securities?,Treasury bills,Mortgage-backed securities,negotiable certificates of deposit,commercial paper,B,"The answer is
b. Mortgage-backed securities.
Marketable securities have maturity term of 1 year and less while the mortgage-back securities (MBSs) are treated as bonds with a long-term maturity. Hence, MBSs should not be classified as marketable securities.","Firm's Liquidity: Firm's liquidity is an important aspect that managers should pay more attention to control it efficiently. In practice, a business will maintain cash, cash equivalents, marketable securities and other liquid assets to support the liquidity."
7,Which of the following listed below is not a motive to save?,life cycle,independence motive,liquidity,down payment,C,"Correct answer:
Option c) Liquidity.
Explanation:
The objective of savings is not liquidity as liquidity indicates readily available cash and when the cash is readily available people tend to spend it and that is why they make savings in fixed deposits, recurring deposits so that they do not find liquid cash.
An independence motive represents the motive to save in order to enjoy a sense of independence and the power to do things not knowing as to what to do.
A downpayment motive represents the motive to save for buying houses, cars, etc.
A life cycle motive represents the motive to save for future relationships between the individual and his needs.
Hence option c) is correct.","Savings: Savings are important for every individual at present in order to be prepared for the contingencies on the way and savings also help in rotation of money which impacts the economy in a healthy way. There are various motives behind why people save income. A few of the motives include the precautionary motive, the intertemporal substitutional motive, the bequest motive, etc."
8,Which of the following assets is the most liquid?,stocks,currency,checkable bank deposits,money market mutual funds,B,"The correct option is
b. Currency
.
Liquid assets are those assets that can be easily converted into cash.  Also, a currency itself can be used as cash for buying and selling purposes.",Commercial Banks: Commercial banks can be stated as the financial institutions that keep the surplus money of the individuals as deposits with themselves and lend that money to individuals who need it to gain profit.
9,"If households convert some of their bank deposits into currency, then, other things equal, which of the following will occur?",commercial banks' reserves decline and the monetary base is unchanged,commercial banks' reserves decline and the monetary base declines,commercial banks' reserves rise and the monetary base rises,commercial banks' reserves are unchanged and the monetary base is unchanged,A,"The correct option is: a. commercial banks' reserves decline and the monetary base is unchanged.
Explanation:
If households convert some of their bank deposits into currency, then it would lead to a reduction in bank reserves as the bank will have fewer assets to lend out loans. Even though the commercial bank reserves decline, there will be no reduction in the monetary base, and it remains unchanged as the currency is still circulating in the economy. The monetary base consists of both chequable deposits and cash in hand.
Reason for other options:
Option b) is incorrect because there will be no reduction in the monetary base.
Option c) is incorrect because there will be no increase in the monetary base or commercial bank reserves.
Option d) is incorrect because there will be a reduction in commercial bank reserves.","Liquidity: Liquidity describes the flow of currency in an economy. It can be controlled by various monetary policy tools. Furthermore, the amount of liquidity determines the amount of economic activity taking place in the economy."
10,Cash management involves the determination of:,the minimal size of a firm's asset balance,the maximum amount of dividends that should be paid,the optimal size of a firm's liquid asset balance,the range of long-term financial alternatives,C,"The answer is
c. The  optimal size of a firm's liquid asset balance.
Cash management will direct firm's managers in structuring propositions of firm's assets, which will achieve profits and liquidity simultaneously. Alternatively, cash management support managers in allocating monetary resources in both long-term assets for future earnings and short-term assets for securing regular demand for cash. With that being said, the determination of the size of liquid asset balance will be executed by the cash management.","Cash Management: Cash management is a necessary process in a business, in which managers will arrange cash receipts and cash disbursements to ensure sufficient funds for the operation. Note that, the lack of money will incur the shortage costs and affect the firm's business performance."
