id,question,A,B,C,D,Answer,Explanation,Hint
1,Net present value is calculated by using the:,Accounting income.,The required rate of return.,The IRR.,The future value of cash flows.,D,"The correct option is
Option d: The future value of cash flows
Option a: In the calculation of NPV, it requires the present value of future cash flow, which is compared with the initial cash flow. On the other hand, the accounting income represents the profit after deducting taxes from the entire sales revenue. So, this is the wrong option.
Option b: In the calculation of NPV, WACC is considered as the discount rate as it is used by the company to judge if the project is profitable to invest in, whereas the required rate of return is used by investors to determine the minimum expected return they can earn from invested stock. Therefore the option is not correct.
Option c: The internal rate of return is used to derive the annual rate of growth that is expected to be generated from the project. This is also one of the methods used in capital budgeting. This is the wrong option.
Option d: The future value of the cash flows is used to calculate NPV based on the comparison of their present worth against the initial cash flow.
Formula
{eq}\text{NPV}=\sum\limits_{\text{n}=1}^{\text{n}}{\frac{\text{Cash flow in period n}}{{{\left( 1+\text{Discount Rate} \right)}^{n}}}-\text{Initial investment}}

{/eq}
Therefore, Option d is the correct answer.",Capital Budgeting: Capital budgeting is a process used by businesses to determine the risk and anticipated long-term return of the projects in which they wish to invest. One of the methods that fall under capital budgeting is the Net Present Value.
2,"In order to calculate the net present value (NPV) of a capital investment, you must know:",the net accounting income generated from the investment,the initial outlay and the incremental cash flow,the rate of return generated on similar investments,None of the above.,B,"Correct Answer:
Option b. the initial outlay and the incremental cash flow
.
The net present value formula can be expressed as:
Net present value = Investment outlay - Present value of annual cash flows
Options
Analysis
a. the net accounting income generated from the investment
Net income is not relevant in calculating NPV as it uses the time value of money.
b. the initial outlay and the incremental cash flow
The initial outlay should be known, but the incremental cash flows needn't be.
c. the rate of return generated on similar investments
The rate of return on similar investments should be known along with the investment period, investment cost, and annual cash flows.",Net Present Value: The net present value technique is one of the most famous capital budgeting tools that help businesses with investment decisions. The method uses the time value of money in its calculations.
3,"If the present value of a cash flow generated by an initial investment of $200,000 is $250,000, what is the NPV of the project?","$250,000","$50,000","$200,000",None of the above,B,"The correct answer is option b.
Given information:
The present value cash inflow is $250,000.
The present value of cash outflow or the initial investment is $200,000.
Calculation of net present value:
{eq}\begin{align*}{\rm\text{Net}}\,{\rm\text{present}}\,{\rm\text{value}} &= {\rm\text{Present}}\,{\rm\text{value}}\;{\rm\text{of}}\;{\rm\text{cash}}\,{\rm\text{inflow}} - {\rm\text{Present}}\;{\rm\text{value}}\;{\rm\text{of}}\;{\rm\text{cash}}\;{\rm\text{outflow}}\\ &= \$ 250,000 - \$ 200,000\\ &= \$ 50,000\end{align*}

{/eq}
Therefore the NPV of the project is $50,000.",Net Present Value: The net present value of a project serves as a measure of the company's expansion. The company always picks positive valued net present value. Because it boosts the company's value.
4,What is the present value of a $690 payment in five years when the discount rate is 5 percent?,$540.63,$690.00,$724.50,$655.50,A,"The correct answer is
option a. $540.63
.
Calculation of present value:
{eq}\begin{align*}

{\rm{Present}}\;{\rm{value}} &= \frac{1}{{{{\left( {1 + {\rm{r}}} \right)}^{\rm{n}}}}} \times {\rm{Future}}\;{\rm{value}}\\

&= \frac{1}{{{{\left( {1 + 0.05} \right)}^5}}} \times \$ 690\\

&= 0.7835262 \times \$ 690\\

&= \$ 540.63

\end{align*}

{/eq}
The present value is
$540.63
.",Present Value: The present value is today's monetary value of a cash flow that will occur on a future date. It is determined by discounting using a discount rate per the prevailing market conditions.
5,"At the termination of the project, which of the following needs to be considered relating to project assets?",Salvage value.,Book value.,Intrinsic value.,Fair value.,A,"The answer is
a. Salvage value.
a. Correct. Salvage value presents the value received by selling the asset at the end of the project, which is an additional cash inflow to the terminal cash flow. Hence, it should be included in an Net Present Value (NPV) analysis, which is a capital budgeting technique.
b. Incorrect. The book value of an asset indicates the remaining accounting value after all associated depreciation. It does not reflect the true value of the asset.
c. Incorrect. The asset's intrinsic value represents how much the asset is worth today. Thus, the intrinsic value should not be included in the terminal cash flow.
d. Incorrect. The fair value also represents the present value of the asset. So, it should not be included in the terminal cash flow.","Capital Budgeting: The capital budgeting process is necessary in a business for selecting profitable projects or investments. For instance, a firm can analyze a fixed asset purchase by comparing its expected cash inflows and initial costs."
6,"What is the present worth of a future cost of $182,000 to Corning, Inc., 6 years from now at a compound interest rate of 12% per year?","$82,069","$102,092","$359,232","$92,201",D,"The correct answer is
d) $92,201
.
The present worth of the future cost can be computed using the following formula (used when a single cash flow is discounted):
{eq}PV=P×\frac{1}{(1+r)^{n}}\\ PV=$182,000 ×\frac{1}{(1+0.12)^{6}}\\ PV=$182,000 ×0.5066\\ PV=\,$92,201 {/eq}
Where,
{eq}PV = \text{Present Value of a single payment} = $92,201\\ P = \text{Amount of payment} = $182,000 \\ r = \text{interest rate} = 12\%\\ n = \text{number of time periods} = 6 \\ {/eq}","Single Cash Flow: An investment can offer a single cash flow or multiple cash flows annually, depending on the type chosen. The formula for determining the present worth of a single cash flow differs from the formula for determining the present worth of multiple cash flows."
7,"Using net present value, a project is rejected if it is:",Equal to zero.,Positive.,Negative.,Less than the hurdle rate.,C,"The answer is
c. Negative.
Net present value:
Net present value = Present value of expected cash inflows - Present value of all cash outlays
A positive NPV indicates that the expected earnings are sufficient to recoup all required investments.
A negative NPV will reject the project since there is a loss, in this case, considering the time value of money.
A zero NPV makes the firm indifferent in selecting or rejecting a project as the project breaks even in this case.
It is irrelevant to compare the NPV with the hurdle rate, or the cost of captain since the NPV represents the actual dollar value while these two rates are measured in term of percentage.","Net Present Value (NPV): The net present value approach is a common capital budgeting that guides a firm's managers in analyzing and selecting profitable projects from a pool of available projects. Compared to other available methods, the net present value is the most reliable approach for a capital budgeting decision."
8,The NPV profile is a graphical representation of the change in net present value relative to a change in the:,prime rate.,internal rate of return.,payback period.,discount rate.,D,"The answer is
D. discount rate.
The NPV profile describes the relationship between the discount rate and the net present value, in which an increase in the discount rate results in a lower net present value, and vice versa. Alternatively, the NPV profile is a line that connects all NPVs with corresponding discount rates.
A. Incorrect. The prime rate is an interest rate used by a bank for lending.
B. Incorrect. Internal rate of return (IRR) is a capital budgeting method to assess a project.
C. Incorrect. The payback period is also a capital budgeting technique for a screening test.
D. Correct.","Net Present Value: The net present value represents the difference between the present value of cash inflows and the initial investment. In practice, a single estimate of the net present value for a project will not provide an overall examination of the investment. Instead, a scenario analysis for the investment's NPV should be conducted to assess how the investment's NPV reacts to changes in other factors."
9,A property can be bought today for $2.0 million and sold in 4 years for $3.0 million. (No rental income is earned on the property.),"If the interest rate is 12%, what is the present value of the sales price? (Do not round intermediate calculations. Enter the answer in millions rounded to 3 decimal places.)",Is the property investment attractive?,,,A,"Answer (a)
We know that -
{eq}\text{Present Value} = \text{Future Value}{(1 + i)^{n}} {/eq}
where,
i = interest rate
n = number of years
Here,
Future Value = $3.0 million
i = 12%
n = 4 years
Putting values, we get -
{eq}\begin{align} \text{Present Value} &= \dfrac{\text{Future Value}}{(1 + i)^{n}}\\ &= \dfrac{\text{\$3.0 million}}{(1 + 0.12)^{4}}\\ &= \dfrac{\text{\$3.0 million}}{1.57352}\\ &= \text{\$1.907 million} \end{align} {/eq}
If the interest rate is 12%, the present value of the sales price will be $1.907 million.
Answer (b)
No, the property is not attractive as the present value of the sales price is less than the cost of the property today.
Answer (c-1)
We will use the present value factors to compute the present value of future cash flows.
The present value factors can be computed by the formula below -
{eq}PVF = \dfrac{1}{(1 + i)^{n}} {/eq}
i = interest rate
n = number of years
Year
PVF @ 12% (A)
Amount (in millions) (B)
Present Value (in millions) (A X B)
1
0.89300
$0.10
$0.089
2
0.79700
$0.10
$0.080
3
0.71200
$0.10
$0.071
4
0.63600
$0.10
$0.064
4
0.63552
$3.00
$1.907
Present Value of future cashflows
$2.211
Answer (c-2)
Yes, the property investment is attractive now as the present value of future cash flows is higher than the cost of the property.",Present Value: The present value of future cash flows shows their current worth by discounting them with the required rate of return. The present value can be calculated by the formula - {eq}\text{Present Value} = \text{Future Value}{(1 + i)^{n}} {/eq}
10,A decrease in the discount rate _____.,will increase present values of future cash flows,is one way to compensate for greater risk in a project,will reduce present values of future cash flows,,A,"The answer is
a. will increase present values of future cash flows
Present Value Formula:
{eq}Present\:Value = \displaystyle \frac{Future\:Value}{(1 + Discount\:rat)^{Number\:of\:periods}} {/eq}
Obviously, the discount rate and the present value have an inverse relationship. Thus, a decrease in the discount rate will increase the present value of cash flows.
In practice, an analyst will raise the discount rate to compensate for a greater risk.",Discount Rate: A discount rate is a factor to convert a future cash flow to a cash flow today. It is an important measure in a financial analysis since it allows an analyst to carry all cash flow to a single point in time for a consistent analysis.
