id,question,A,B,C,D,Answer,Explanation,Hint
1,Selling options on stock you already own:,is illegal under federal law.,cannot benefit you financially.,is called a covered call strategy.,is not a very good idea.,C,"Correct Answer: c
A call option writer can write the option in two conditions: firstly, when the writer owns the stock and secondly, when the writer does not own the stock. Here, the first strategy depicts the covered strategy. Such a strategy is appreciable for the options because it reduces the risk associated with the transaction. A holder can take a short position for the stock they already own in this strategy.
An explanation for incorrect options:
Option a: Writing such types of options is not illegal.
Option b: The financial benefit of these options depend on specific terms of contracts.
Option d: It depends on the contract terms and price situation.","Regulator: In the options market, a body that oversees the legal validity of different projects and frames rules for their identification. It is called the regulator. New financial innovations have increased the complexity of the regulators' role."
2,A straddle is a combination of a put and call on _____.,"the same stock, with the same strike price and expiration date.","different stocks, with the same strike price and expiration date.","different stocks, with different strike price and expiration dates.","the same stock, with the same strike price and different expiration dates.",A,"A straddle is a combination of a put and call on
a. the same stock, with the same strike price and expiration date.
Purchasing a call and a put option on the same stock with the same strike price and expiration allows the investor to benefit from both an increase in the stock price (by exercising the call) and a decrease in the stock price (by exercising the put).  This strategy is called a straddle.  The higher the price change, the higher its payoff.  The cost of the strategy is equal to the premium paid for the two options.
b., c. and d. are incorrect.  Purchasing options on different stocks or the same stock with different expiration dates is not known as any type of option strategy.",Options Strategies: Combinations that involve buying and selling options are called options strategies.  The goal of these strategies is to create a specific payoff profile that is desirable to the investor.
3,"A put option has an exercise price of {eq}\$40

{/eq} and the call premium is {eq}\$5

{/eq}. The current market price of the underlying stock is {eq}\$38

{/eq}.",Is the option in the money or out of the money?,What is the intrinsic value of the option? The time value?,What is the break-even stock price on the option's expiration date?,"If you purchase this option, what is your maximum possible gain?",A,"Part A.
The option is currently in-the-money, because its exercise price is higher than the underlying stock price ($40 vs. $38).
Part B.
The intrinsic value of the option is $2, the difference between its exercise price and the underlying stock price ($40 - $38 = $2).
The time value of the option is $3, the difference between its premium and the intrinsic value ($5 - $2 = $3).
Part C.
The break-even stock price is $35.  At this point, the potential payoff of $5 ($40 - $35 = $5) just equals the cost of the option of $5.
Part D.
The maximum possible gain is as follows:
Max Gain = Strike Price - $0 - $Put Premium
Max Gain = $40 - $0 - $5 = $35","Put Premium: A put premium is the cost of buying a put option, which is the right, but not the obligation, to sell an underlying asset at a specified strike price for a period of time.  The buyer must pay the premium to the seller of the option."
4,Which of the following is a characteristic of put and call options?,They are contracts to buy or sell 100 shares of common stock.,There is always a specified price.,There is always a specified time period to exercise options.,All of the above,D,"The correct answer is d. All of the above
A call option is a contract that allows the investor to buy a specific asset at a predetermined price at some point in the future.  A put option is similar, except that it allows the sale of a particular asset in the future.  Call and put options can be written on both real assets (like crude oil) and financial assets (like stocks).
a. is correct.  When the underlying asset is the stock of a company, a call or a put option gives the investor the right to buy or sell 100 shares of that stock.
b. is correct.  The option price is also called the exercise price because this is the price, at which the option can be exercised.  The exercise price is always included in the option contract.
c. is correct.  The option contract also specifies the time period, in which the option can be exercised.  The vast majority of stock options are American-style options.  That means that they can be exercised on the expiration date as well as at any time prior to the expiration date.","Options vs Futures: Options and futures are both legally enforceable contracts.  Unlike futures contracts, in which both parties are bound by their contractual obligations, options contracts are mandatory only for the issuer.  The buyer has the option to back out of the contract."
5,"Although the payouts on a long position in an options contract are never negative, the profit from purchasing and holding it could be negative.",True,False,,,A,"The answer is a. True.  The payoff on a long option contract is associated with the difference between the underlying asset price and the strike price.  If the underlying asset price does not move into a position that warrants a payoff, one will not occur.  However, the profit from purchasing and holding an option could be negative, because a long position entrails a cost, the premium.","Option Premium: An option premium is cost of obtaining an option.  For a long option holder, it entails an expenditure.  For a short option seller, it entails an inflow of income."
6,An American call option gives the owner:,the right but not the obligation to sell the stock at the strike price on or before the expiration date.,the right to buy or sell the stock at the strike price on or before the expiration date.,the right and the obligation to buy the stock at the strike price on or before the expiration date.,the right but not the obligation to buy the stock at the strike price on or before the expiration date.,D,"A) Incorrect. A call option refers to the right to buy underlying securities in the future. Note that, it is not an obligation to exercise the option.
B) Incorrect. See the explanation in part A.
C) Incorrect. See explanation in part A.
D) Correct. Apart from European options, American options allow the purchasers to exercise their rights at anytime.",Option: An option is a derivative that helps investors to protect their capital against the unfavorable movement of the market conditions. There are two types of option: call option and put option.
7,A major disadvantage of using call options to hedge a short position is that _____.,hedging increases the risk of loss on the short sale.,the option premium and commission reduce profit potential.,the price of the stock may go up.,None of the above,B,"A major disadvantage of using call options to hedge a short position is that
b. the option premium and commission reduce profit potential.
A short position loses money if the asset sold increases in price.  To counter this, an investor may purchase a call option on the same asset.  The call option becomes more valuable as the asset price goes up.  To purchase an option, however, the investor must pay an upfront premium, which reduces the profit potential from the short position.  This is the main disadvantage of using options to hedge investment risk.
a. is incorrect because hedging reduces the risk.
c. is incorrect because if the price goes up, the call option will be an advantage, not a disadvantage.
d. is incorrect because of b.","Option Hedging: Option hedging typically involves purchasing options that have the opposite payoff profile from the profile of the asset that the investor is trying to hedge.  For example, if a person owns a stock and is worried about the stock price going down, the person might purchases a put option on the stock.  The value of this option increases as the stock price decreases."
8,"The higher the call option premium, other things being equal, __________ the maturity of the option.",shorter,longer,no impact,,B,"The higher the call option premium, other things being equal, the
b. longer
the maturity of the option.
The option premium (or price) depends on (1) the exercise price, (2) the current asset price, (3) the time to maturity, and (4) the volatility of the asset.  The question specifies that everything else is the same, and only the time to maturity is allowed to change.  Since the option premium is higher, and (1), (2), and (4) are the same, the time to maturity must be higher.  A longer time to maturity increases the call option value because there is more time for the asset price to increase above the strike price.","Maturity: The time to maturity of an option is the time to expiration.  European options can be exercised at maturity only, while American options can be exercised both at maturity and at any time prior to that."
9,Which of the following is a characteristic of put and call options?,They are contracts to buy or sell 100 shares of common stock.,There is always a specified price.,There is always a specified time period to exercise options.,All of the above,A,"a. is true.  One option contract is for the purchase or sale of 100 shares.  Thus, the underlying asset is 100 shares.
b. is true. The specified price in the option contract is called the strike price or the exercise price.  Most stock options are American type options.  They can be exercised by purchasing or selling shares at the specified price at any time before maturity.
c. is true.  The specified time period is the time until the option can be exercised. Every option quote includes the expiration date and exercise price of the option.
The correct answer is d. All of the above","Option Exchanges: Like stocks, most stock options are traded on exchanges.  The first exchange, on which stock options began trading in 1973 was the Chicago Board Option Exchange.(CBOE).  Today stock options are traded on numerous exchanges worldwide."
10,"A put option has an exercise price of {eq}\$40

{/eq} and the put premium is {eq}\$5

{/eq}. The current market price of the underlying stock is {eq}\$38

{/eq}.",Is the option in the money or out of the money?,What is the intrinsic value of the option? The time value?,What is the break-even stock price on the option's expiration date?,"If you purchase this option, what is your maximum possible gain?",A,"The exercise price of the put option is $40 with a put premium of $5. The current market price is $38.
A.
Presently, the option is in the money as the strike price of the put option is greater than the underlying stock price.
B.
The intrinsic value of the option is
= Stock price - Exercise price
= $40 - $38
= $2
The time value represents the volatility of the stock price till the option expires. Here, the information regarding expiration time is not given. So, the time value is zero.
C.
The break-even stock price on the option's expiration date is the expiration price = $40
D.
The maximum possible gain for purchasing this option is
= Stock price - Exercise price
= $40 - $38
= $2
But since the put premium is $5, the holder will incur a loss as the net payoff amounts to $2 - $5 = -$3",Net Pay-off: The net pay-off in options represents the net gain realized from exercising the option. Often a holder realizes that an in-the-money option results in a loss upon exercising because the gain is offset by the amount of premium paid.
