id,question,A,B,C,D,Answer,Explanation,Hint
1,Which of the following statements indicates a disadvantage of using the discounted payback period for capital budgeting decisions?,The discounted payback period does not take the project's entire life into account.,The discounted payback period is calculated using net income instead of cash flows.,The discounted payback period does not take the time value of money into account.,,A,"a. Correct. The discounted payback period ignores cash flows after the payback, in which there might be large cash inflows after the payback.
b. Incorrect. The discounted payback period uses the project's cash flows.
c. Incorrect. The time value of money is included in the discounted payback period, in which each cash flow is measured in today's dollars.","Discounted Payback Period: The discounted payback period is a common budgeting method that describes the length of time to recover a project's initial investment. The discounted payback period includes the effects of the time value of money in its calculation, which is more relevant than the regular payback period."
2,"If a payback period for a project is greater than its expected useful life, the:",project will always be profitable,entire initial investment will not be recovered,project would only be acceptable if the company's cost of capital was low,project's return will always exceed the company's cost of capital,B,"The correct answer is
B. entire initial investment will not be recovered
.
A project's payback determines the company's years to recover the initial investment. If the project's payback period is greater than its useful life, it means that the project cannot recover the investment cost in its lifetime.
Other options are incorrect:
Options
Analysis
A. project will always be profitable
A project cannot be profitable if it cannot recover its investment cost.
C. project would only be acceptable if the company's cost of capital was low
Cost of capital is not relevant for the payback period.
D. project's return will always exceed the company's cost of capital
Cost of capital is not relevant for the payback period.",Time Value of Money: All capital budgeting techniques do not use the time value of money except for a few. These techniques that don't use the time value are the payback period and accounting rate of return.
3,"Given the following cash flows for project A: C0 = -1,000, C1 = +600, C2 = +400, and C3 = +1,500, calculate the payback period.",one year.,two years.,three years.,cannot be determined,B,"Answer:
B. two years.
The payback period for  a project with uneven cashflows is computed as follows:
{eq}\text{Payback period= Year before payback}+\dfrac{\text{Cash to pay back}}{\text{Follwing years' cashflow}}

{/eq}
Step 1: Calculate the cumulative cash flow:
Year
Cashflow
Cummulative cash flows
1
600
600
2
400
1,000
3
1,500
2,500
Step 2: Compute the payback period.
{eq}\text{Payback period}= 1+\dfrac{1000-600}{400}

{/eq}
{eq}\text{Payback period}= 2\text{Years}

{/eq}","Payback Period: The payback period criterion of capital budgeting is one of the techniques used when analyzing a project. However, this method has some limitations in that it may not consider the time value of money. To overcome this limitation, a technique known as discounted payback period was developed."
4,Compute the payback period for a project with the following cash flows received uniformly within each year:,2.17 years.,3 years.,4 years.,3.17 years.,A,"The correct answer is option
a. 2.17 years
.
The total cash flows for the first 2 years are computed as:
= Cash flow for Year 1 + Cash flow for Year 2
= $40 + $50
= $90
The time period in which the balance amount of $10 (i.e. initial cost of $100 - $90) can be paid back is given by:
= Balance amount / Cash flow for Year 3
{eq}= \dfrac{\$10}{\$60}

{/eq}
= 0.166 years
The project's payback period is given by:
= Time period in which $90 is paid back + Time period in which the balance amount of $10 is paid back
= 2 years + 0.166 years
= 2.17 years",Payback Analysis: The payback period represents the time horizon over which the investment in a project can be recouped. The shortcoming of the technique is that it does not take into account the time value of money or discount rate.
5,True or False: A disadvantage of the payback method is that it does not consider which investment is the most profitable.,True,False,,,A,"The provided statement is
true
.
The payback period only accounts for the length of time required to recover the initial outlay of investment.
It doesn't consider the time value of money. It also does not consider what happens to cash inflows after the payback period is over. Thus, it disregards the overall profitability of an investment.","Capital Budgeting: Capital budgeting is an approach that identifies whether long-term projects or purchases of fixed assets must be initiated or not. It includes methods like payback period, net present value, and internal rate of return."
6,An advantage of the break-even time (BET) method over the payback period method is that it recognizes the time value of money.,True,False,,,B,"The statement is
Option b) False
.
Statement
True/False
An advantage of the break-even time (BET) method over the payback period method is that it recognizes the time value of money.
The statement is false because both the break-even point and payback period don't use the time value of money. The payback period is a capital budgeting technique that determines the time investment needs to recover its cost. The break-even point determines the sales level at which a company makes no profits or losses.",Time Value of Money: The time value of money concept provides that money has potential earning capacity due to which its value in the future is far more than its current value. Most capital budgeting techniques use the concept to determine an investment's efficiency and profitability.
7,The cash flows for a project are:,"If our company uses a 15% required return, what is the NPV of the project?",What is the IRR of the project?,What is the payback period?,,A,"Summary:
CF0 = -$10,000
CF5 = $20,000 - $2,000 = $18,000
Required rate of return (I) = 15%
a. Determine the project's NPV:
{eq}NPV = \displaystyle \frac{CF5}{(1 + I)^5 }- CF0 \\

NPV = \displaystyle \frac{\$18,000}{(1 + 15%)^5} - \$10,000 \\

NPV = \displaystyle -1,050.82 {/eq}
b. Determine the project's IRR:
{eq}IRR = \displaystyle \sqrt[N]{\displaystyle \frac{CF5}{CF0}} -  1 \\

IRR = \displaystyle \sqrt[5]{\displaystyle \frac{\$18,000}{\$10,000}} -  1 \\

IRR = \displaystyle 12.47\% {/eq}
c. Determine the payback period:
In this case, there is only net cash inflow in year 5, which is greater than the initial investment. Hence, the payback period is 5 years.
Year
CF
Accumulated CF
0
-$10,000
-$10,000
1
-$10,000
2
-$10,000
3
-$10,000
4
-$10,000
5
$18,000
$8,000",Payback Period: The payback period is a capital budgeting metric to evaluate the length of time that a project recovers its initial investment costs. This metric should be implemented for a screening test rather than making a final decision since it ignores all cash flows after the cutoff and the time value of money.
8,"Determine whether the following statement is true or false: When computing payback period, the year in which a capital investment is made is year 1.",True,False,,,B,"The statement is
False.
Statement
True/False
When computing payback period, the year in which a capital investment is made is year 1.
The statement is false because the initial investment is made in the year 0, using which the project generates cash flows annually. This is why the present value of investment cost is always the same as the cost itself. The present value factor at any discount rate for year 0 is 1.",Payback Period: A capital budgeting technique that determines how long an investment takes to recover its initial cost is known as the payback period. It can be computed using two formulas depending on the nature of annual cash flows.
9,"For a project with a negative net present value, NPV, its discounted payback is _____.",determinate with a positive number,"indeterminate, i.e., it will never pay back",determinate with a negative number,none of the above,B,"The correct answer is
B. indeterminate, i.e., it will never pay back.
The net present value represents an actual cash value added to a project.
The discounted payback period measures the length of time to recover the project's cash outlays with the consideration of the time value of money.
A negative net present value indicates that the sum of present value of all cash flows is less than the initial costs. In this case, the discounted payback period cannot be determined.",Net Present Value (NPV): Net present value (NPV) is a capital budgeting technique to estimate the difference between the project's present value and its cash outlays. A project should be rejected if its NPV is negative.
10,The Silverside Company is considering investing in two alternative projects:,3.85 years.,15.63 years.,8.55 years.,4.67 years.,A,"The correct option is
A. 3.85 years.
We can calculate the cash payback period by dividing the initial investment by the annual net cash inflows.
Given that -
Initial Investment = $500,000
Annual net cash inflows = $130,000
We know that -
{eq}\text{Cash payback period} = \dfrac{\text{Initial Investment}}{\text{Annual net cash inflows}} {/eq}
Putting values, we get -
{eq}\begin{align} \text{Cash payback period} &= \dfrac{\text{Initial Investment}}{\text{Annual net cash inflows}}\\ &= \dfrac{\$500,000}{\$130,000}\\ &= \text{3.85 years} \end{align} {/eq}",Cash Payback Period: The cash payback period is useful for those industries which require quick recovery of the investments made. They can compare the cash payback period of different alternatives and select the alternative with the shortest cash payback period.
