id,question,A,B,C,D,Answer,Explanation,Hint
1,"According to a summary of the payroll of Matrix Publishing Co., $380,000 was subject to the 7.5% FICA tax. Also, $16,000 was subject to state and federal unemployment taxes.","Calculate the employer's payroll taxes, using the following rates: State unemployment 5.4%, Federal unemployment 0.8%.",Journalize the entry to record the accrual of payroll taxes.,,,A,"a.
The employer is liable for FICA and unemployment payroll taxes:
FICA payroll tax = $380,000 x 0.075
$28,500
State unemployment tax = $16,000 x 0.054
864
Federal unemployment tax = $16,000 x 0.008
128
Total employer payroll tax
$29,492
b.
The journal entry is:
Description
Debit
Credit
DR Employer Payroll Taxes Expense
$29,492
CR FICA Payable
$28,50
CR SUTA Payable
$864
CR FUTA Payable
$128
To record employer payroll taxes","Employer's Payroll Taxes Employer's payroll taxes refers to the taxes that employers must pay that are based on the net earnings of their employees. Employers must pay these taxes, together with the taxes withheld from employees, over to the tax authorities."
2,Which of the following procedures would be most useful in determining the effectiveness of a company's internal controls regarding the existence or occurrence of payroll transactions?,Observe the segregation of duties concerning personnel responsibilities and payroll disbursement.,Inspect evidence of accounting for pre-numbered payroll checks.,Recompute the payroll deductions for employee fringe benefits.,Verify the preparation of the monthly payroll account bank reconciliation.,A,"The correct Option is
A
The duties relating to roles & responsibilities of employees and the distribution of remuneration to them should be divided which makes the payroll transactions of a company done in a more efficient and effective manner as well as in the specified time frame.
The explanation for incorrect options is as follows:
Option B. of inspecting evidence and payroll checks are concerned with the assertion and the payroll completeness, which is the least appropriate option to the Question
Option C.Of recomputing the payroll is concerned with checking the accuracy, again least important to the question asked
Option D.verfiying the payroll account is concerned with the independent checking of the account, before auditing.","Payroll Account Payroll account record and maintain all the salary, commission related information or data of all the employees working in an organization along with the leaves and their bonuses respectively. The payroll department works and is responsible for the credit of the salary and perks to employees on time."
3,Determine the type of audit of the following engagement: Evaluate a company's payroll processing for economy.,Financial Statement,Compliance,Operational,,C,"The correct choice is
option c. Operational.
Payroll processing of any enterprise is the task of internal management and it is a part of the operational process. This process or activity is called ""supporting activities"" and is performed to assist in managing the payments and records of the employees.
A financial statement(FS) audit is performed to detect any fraud or misstatement made at the managerial level or at the employee level of an organization, as well as to determine whether the FS represents sufficient and appropriate financial information.
A Compliance audit engagement is a process to identify any flaws or negligence in the adherence to the applicable local laws and regulations.","Payroll Payroll is the process of compensating employees for the time they spend providing valuable services to the organization. This process is handled by the human resources (HR) department. The details such as time spent or attendance, mode of payment, and rate of compensation are being undertaken in the payroll process."
4,Most employers are levied a payroll tax for:,only state and federal unemployment taxes.,"FICA taxes, federal and state unemployment taxes.",state and federal income taxes.,only FICA taxes.,B,"Answer choice:
B.  FICA taxes, federal and state unemployment taxes.
Explanation:
Employers are responsible for half of the FICA taxes.  They are also liable for federal and state unemployment taxes which is generally levied on a certain wage base of each employee.",Payroll Taxes: It is important to understand the payroll taxes are the responsibility of both the employee and employer.  Each company is required by law to  deduct income taxes from employee checks.
5,"Julie Norman earns $20 per hour for a 40-hour work week and $30 per hour for overtime work. If Julie works 44 hours, her gross earnings are:",$880.,$920.,"$1,045.","$1,320.",B,"Given information:
Normal rate = $20 per hour
Working hours in a week = 40
Overtime rate = $30 per hour
Julie's working = 44 hours
Gross earnings are the sum of normal and overtime pay earned by the employee. It is before-tax income, and taxes are deducted from gross earnings to compute net earnings.
{eq}\begin{aligned} \text{Gross}\ \text{earnings} &=\left( \text{Normal}\ \text{rate}\times \text{Normal}\ \text{working}\ \text{hours}\ \text{in}\ \text{a}\ \text{week} \right)+\left( \text{Overtime}\ \text{rate}\times \text{Overtime}\ \text{worked} \right) \\ &=\left( \$20\times 40 \right)+\left( \$30\times \left( 44-40 \right) \right) \\ &=\$800+\left( \$30\times 4 \right) \\ &=\$800+\$120 \\ &=\$920 \end{aligned} {/eq}
Thus, Julie's gross earnings are
$920
, and the correct answer is
option b.","Gross Earnings: Gross earnings refer to the amount earned by the individual before any deductions like taxes, a pension contribution plan, etc. Gross earnings are not the actual amount paid to the employees."
6,"Kenneth Johanson worked 49 hours during the week for Luben Company at two different jobs. His pay rate was $15.00 for the first 40 hours, and his pay rate was $13.10 for the other 9 hours.",Determine his gross pay for that week if the company uses the one-half average rate method.,"If prior agreement existed that overtime would be paid at the rate for the job performed after the 40th hour, the gross pay would be __________.",,,A,"a. Kenneth's gross pay for that week if the company uses the one-half average rate method is $802.50.
Gross pay = Regular pay + Overtime pay
Gross pay = (49 hours * $15) + (9 hours * ($15/2))
Gross pay = $802.50
b. Kenneth's gross pay, if prior agreement existed that overtime would be paid at the rate for the job performed after the 40th hour is $717.90.
Gross pay = Regular pay + Overtime pay
Gross pay = (40 hours * $15) + (9 hours * $13.10)
Gross pay = $717.90",Gross Pay: This refers to all the wages that an employee earns before accounting for taxes. It includes both regular pay and overtime pay. It is subject to various deductions and exemptions.
7,Which of the following is required to be withheld from an employee's gross pay?,both federal and state unemployment compensation taxes,only federal unemployment compensation tax,only federal income tax,only state unemployment compensation tax,C,"c) Only federal income tax
is required to be witheld from an employee's gross pay.
Employee's are required to fill out a W-4 in order to work and this form is what determines the amount deducted from pay. Along with income tax, FICA, state taxes, and employee contributions may be withheld from gross pay.
Analysis of Alternatives
Both federal and state unemployment taxes are payroll expenses that are only paid by the employer.","Payroll: The payroll process involves determining the amount owed to employee, the amount withheld from their paychecks, and the cost paid by the employer for employing them. The last expense is known as the payroll expense."
8,Which of the following is a form prepared by the employer listing the wages paid and the federal income and FICA taxes owed for that quarter?,Form 940,Form 941,Form 1099,Form 8109,B,"b. Form 941
Federal income and FICA taxes owed for the quarter are reported on
Form 941
. This form is submitted each quarter with the withholdings to the government and is also summarized in part on the employee's W-2.","Payroll: Payroll is a specialty in accounting that focuses on costs associated with employment as well as managing employee deductions. Under various laws, employers are responsible for calculating employee obligations for taxes and remitting them to the government."
9,Which of the following is NOT a component of a payroll system?,Payroll sinking fund,Employee earnings record,Payroll bank account,Payroll record,A,"The correct answer is
a.	Payroll sinking fund .
Payroll sinking fund is not a component of the company's payroll system because it is not required to be put up by the companies in its payroll. The components are: employee earnings record, payroll bank account, and payroll record.",Payroll: Payroll is the total compensation of a business that should be paid to its employees for a specific period of time. This is managed by the human resources department or the accounting department.
10,The journal entry to record the payment of salaries should include:,a debit to Cash and a credit to Salaries Expense.,a debit to Salaries Expense and a credit to Accounts Payable.,a debit to Stock and a credit to Cash.,a debit to Salaries Expense and a credit to Cash.,D,"Answer choice:
D.  a debit to Salaries Expense and a credit to Cash.
Explanation:
The journal entry to record the payment of salaries when salaries are not accrued include an increase and debit to salaries expense and a decrease and credit to cash.  This affects both the income statement through recording salaries expense as well as the balance sheet through crediting cash.",Recording Payroll: Recording payroll often involves a large amount of data entry that should be reviewed by multiple individuals to ensure accuracy.  There are many journal entries that are automatically produced by the accounting system as well as manual entries that must be prepared and posted to the general ledger.
