id,question,A,B,C,D,Answer,Explanation,Hint
1,"If the employee has $300 withheld from her check for FICA-OASDI, what is the amount that the employer would need to pay?",300,100,0,400,A,"The correct option is A. 300.
The employer must pay FICA taxes that are exactly the same as the amount that it deducts from the wages of its employees. The same rate and wage basis applies when calculating the employee's withholding tax and employer tax. This means that if an employee must pay $300, the employer must also pay $300 and the total amount of $600 must be paid over to the revenue authorities.",Employer Payroll Tax: Employer payroll tax refers to an additional cost of employment that an employer incurs that is separate from the gross wages it pays to its employees. Employer payroll taxes comprise of FICA and unemployment tax in the USA.
2,"During 2010, Lakeview Company completed the following two transactions. The annual accounting period ends December 31.","On December 31, 2010, calculated the payroll, which indicates gross earnings for wages ($80,000), payroll deductions for income tax ($8,000), payroll deductions for FICA ($6,000), payroll deductions for American Cancer Society ($2,000), employer contributions for FICA (matching), state unemployment taxes ($500), and federal unemployment taxes ($100). Employees were paid in cash, but these payments and the corresponding payroll deductions and employer taxes have not yet been recorded.","Collected rent revenue of $3,000 on December 10, 2010, for office space that Lakeview rented to another business. The rent collected was for 30 days from December 11, 2010, to January 10, 2011, and was credited in full to Unearned Rent Revenue.",,,A,"Account   description
Debit
Credit
A)
Wages
$80,000
To   income tax
$8,000
To   contribution in cancer society
$6,000
To   FICA tax
$2,000
To   cash
$64,000
(Being   the amount of payroll is recorded)
B)
Payroll   tax expenses
$6,600
To   FICA payable
$6,000
To   unemployment tax (state)
$500
To   unemployment tax (federal)
$100
(Being   record the payroll tax expenses)",Payroll deductions: The amount deducted from an employee's remuneration for each remuneration period is defined as payroll deductions. The amount of an employee's salary differs from the amount received to him/her due to deductions. There are both compulsory and voluntary deductions.
3,The employer is responsible for which of the following payroll taxes?,6.2% Social Security,1.45% Medicare tax,Federal and state unemployment taxes,All of the above,D,"Answer choice:
d.  All of the above
Explanation:
The employer is responsible for half of the social security taxes (6.2%) and half of the medicare taxes (1.45%).  The other half is paid by the employee.  Also, federal and state unemployment taxes are the responsibility of the employer but the employer only pays these taxes up to the wage base.",Payroll Taxes: When companies hire individuals as employees they must withhold certain payroll taxes from the employees checks and they must pay some of the payroll taxes for their employees.  The reason that these are referred to as payroll taxes is because they are associated with the payroll of an employee.
4,"Although most of the burden of social security payroll tax is paid by both employers and employees, most of the burden would actually fall on employees.",True,False,,,A,"True.
It is true that although most of the burden of the social security payroll tax is paid by both employers and employees, a larger chunk of the burden is borne by employees. This is because of the influence of tax incidence by markets, not by the law. Therefore, as changes occur in the market, employees tend to carry more tax burden because the person required to pay a tax may be different from the bearer of the tax burden, owing to the market system. Due to the market's control of the tax burden, employers lower their burden by reducing workers' wages so that they do not feel the burden of paying the taxes but instead pay them by reducing employees' wages. Even after the workers' wages are reduced, their share of the payroll tax is deducted from their already-low wages. Therefore, more payroll tax burden is borne by employees.",Taxation: Taxation refers to the imposition of mandatory levies on citizens of a country by its government. Failing to pay taxes as required by the government is known as tax evasion and is punishable by law. The government receives tax payments from taxpayers to raise revenue for use in state and community projects.
5,"In 2015, Lew earned wages of $384,828.",What is the amount of Social Security tax withheld from his salary?,What is the amount of Medicare tax withheld from his salary?,,,A,"Requirement a.
To determine the Social Security tax in 2015, consider the tax rate, which is 6.2%, and the wage base limit of $118,500. Since Lew had earned more than that, the Social Security tax would equal the wage base limit times the tax rate.
{eq}\begin{align}

\text{Social Security tax} &= \text{Wage base limit x Tax rate} \\

&=\$118,500 \times 6.2\%\\

&=\$7,347

\end{align}

{/eq}
Requirement b.
The Medicare tax is 1.45% of all wages of Lew.
{eq}\begin{align}

\text{Medicare tax} &= \text{Wages x Tax rate} \\

&=\$384,828 \times 1.45\%\\

&=\$5,580.01

\end{align}

{/eq}
The Social Security tax is $7,347, and Medicare tax is $5,580.01.","Payroll Taxes: The employees' payroll taxes are the Federal income tax and FICA taxes, such as Social Security and Medicare taxes. These are deducted from the employee's gross pay."
6,For which of the following taxes is there no ceiling on the amount of employee annual earnings subject to the tax?,Only federal withholding tax,Only Social Security tax,Only unemployment compensation tax,None of the above,A,"Answer choice:
a. Only federal withholding tax
Explanation:
There is no ceiling on the amount of employee annual earnings subject to federal income tax. That means regardless of how much an employee earns it is subject to federal income tax. In contrast, wages of up to $137,700 are taxed for social security taxes. The ceiling for earnings subject to unemployment tax is dependent upon the state.",Payroll Tax: During the payroll process there are different taxes that are withheld from employees checks and there are taxes that the employer has to pay. Some taxes have a ceiling meaning that there is a limit to how many wages are subject to the tax but some taxes have no ceiling.
7,Federal law requires that the employer withhold __________ from the employee's pay.,"federal income tax, social security tax, medicare tax, and FUTA.","federal income tax, social security tax, and medicare tax.","federal income tax, social security tax, medicare tax, and state and local taxes.","federal and state income tax, social security tax, medicare tax, and FUTA.",A,"The correct answer is:
A. federal income tax, social security tax, medicare tax, and FUTA
Federal Income Taxes are determined by one's income. Depending on how much money is earned, the employee will fall into a certain tax bracket.
Social Security Tax is 6.2% of an employee's income. This is used for paying benefits of social security.
Medicare Tax is 1.45% of an employee's income. This is used for funding the Medicare health system in the United States for senior citizens and individuals with disabilities.
FUTA is the Federal Unemployment Tax Act. This is used for unemployment payments and other work-related funds.
State and local taxes are not required by the federal law. Their amounts and usage are determined by each state and municipality. Although the federal government can enact laws that impact state and local taxes, it is mainly controlled by states and municipalities.","Federal Taxes: Federal taxes are taken out of one's income to be used to fund government projects. Some things that federal taxes are used for are military, national debt, education, and scientific research, among many other operations. Penalties and compound interest on unpaid amounts will be charged for any outstanding balances for federal tax payments."
8,"Employees claim withholding allowances on form W-4. For each withholding allowance claimed, their withholding base is reduced by what amount for calendar year 2011?","3,550","3,600","3,650","3,700",D,"The correct answer is d. 3,700.
Explanation:
A withholding allowance is about how much income tax should be deducted by an employer from an employee's payroll. To claim that allowance form w-4 is used. There is an inverse relationship between withholding allowance and salary. Higher is the allowance, the lesser is the salary paid. According to the Internal Revenue Service (IRS) withholding allowance amount in the year 2011 is 3,700 annually.","Allowance: According to tax laws, allowance refers to an amount that is given by the employer to the employee to fulfill additional expenditures. It is an additional amount paid above the salary of an employee. Some allowances are fully taxable and some of them are partially taxable."
9,Which of the following is not an additional company expense?,Charitable contribution from employees.,Pension benefit costs.,Employer FICA.,Unemployment tax.,A,"The correct answer is
a. Charitable contribution from employees.
We are asked to identify the item that is NOT an additional company expense. The table below analyzes the options.
a. Charitable contribution from employees.
This is the correct alternative because charitable contributions from employees are simply deducted from their earnings and paid to the charity instead of to the employee. The company does not incur any additional expenses.
b. Pension benefit costs.
Pensions offered as a fringe benefit to employees are an additional cost on top of the gross earnings for employees.
c. Employer FICA.
This is another additional expense because employers must pay additional FICA taxes equal to the amounts paid by employees.
d. Unemployment tax.
Unemployment tax is also an additional expense for the company because it is an employer payroll tax.","Payroll Expenses: The largest payroll expense is the gross earnings of employees. However, employers incur various additional payroll-related expenses because of benefits offered to employees and employer payroll taxes imposed on them."
10,A payroll voucher:,authorizes an employee paycheck to be written.,authorizes the transfer of cash from a main operating account to a payroll account.,authorizes the transfer of cash from a payroll account to a main operating account.,authorizes the paymaster to distribute paychecks.,B,"The correct option is b. authorizes the transfer of cash from a main operating account to a payroll account
Reason: Payroll voucher records all the transactions that are related to the payroll of the business entity and therefore provide as base that authorize the business entity to transfer the amount of money relating to payroll from the checking account to the payroll account.
Explanation for incorrect options: All other options are incorrect because the payroll voucher does not authorize about the pay check, distribution of pay check and also does not authorize the transfer of fund from the payroll account to main operating account.",Payroll: The process which is adopted by each and every company for the purpose of providing the reward or compensation to the employees for their services in the organization is known as payroll. It records all the information of the employees to whom payment is to be made.
11,What type of account is the payroll tax withholding account?,liability,asset,revenue,xp,A,"The correct answer is option a) liability.
The payroll tax withholding account is a liability account. This account represents the payroll taxes (such as income tax, Social Security, and Medicare) that have been withheld from employees' wages but have not yet been remitted to the appropriate government authorities. Once withheld, the payroll tax is recorded as follows.
Date
Account Title
Debit
Credit
xx
Wages/Salary Expense
xx
Payroll Tax Payable
xx
Please be aware that according to the Internal Revenue Service (IRS), employers must withhold payroll taxes and keep them in a separate account until they are due to be paid to the appropriate tax agencies. These withheld amounts are considered a company's financial responsibility to the government and are classified as a current liability.",Payroll Accounting: Accurate payroll accounting is vital for avoiding penalties and legal consequences related to non-compliance with tax laws. It is why companies must invest in technology and human resources to ensure accuracy and efficiency.
12,"Ben Lieber is a waiter at Harbor House, where he receives a weekly wage of $81.20 plus tips for a 40-hour work week. Lieber's weekly tips usually range from $275 to $390.","Under the Fair Labor Standards Act, what is the minimum amount of wages that Lieber must receive for a 40-hour workweek?",,,,A,"As per the provision of the Fair Labor Standards Act (FLSA), the minimum wage per hour is $2.13, and the minimum tip credit per hour is $5.12.
a)	Computation of Minimum Amount of Wages
Particular
Amount
Number of hours
40
Wage Rate
$2.13
Minimum amount of wages
$85.20
Therefore, as per FLSA, Ben is not receiving the minimum amount of wages, and Harbor House is in violation of the FLSA.",Payroll: Payroll refers to the process by which the employees of an organization are paid for the work done by them. Employees are paid at a rate that is agreed upon mutually. Payroll is prepared for gross monthly emolument.
13,Employers who do not deduct statutory withholdings from employee payments have nothing to worry about.,True,False,,,B,"The above-stated statement is false.
Explanation:
There are two types of deductions:
1) compulsory deductions and
2) voluntary deductions.
Voluntary deductions can be deducted from an employee's salary only if the deduction is approved by the employee or is optional. Various penalties apply depending on national regulations if a compulsory deduction must be made and the employer fails to make the deduction. In the united states,
the trust fund recovery penalty may apply if federal income, social security, or Medicare taxes are required to be withheld or aren't deposited or paid to the U.S. Treasury.
The penalty is 100% of the unpaid trust fund tax. If these due taxes can't be immediately collected from the employer or business, then the trust fund recovery penalty may be imposed on all persons who the IRS determines is to be responsible for collecting, accounting for, or paying over these taxes,
The penalty is a non-tax deductible expense that will reduce the net income by that much amount.","Deduction: It is an expense deductible from taxable income to reduce the amount payable and is different from a tax credit, which is deducted from the amount of tax payable rather than from your reported income."
14,Employers withhold which of the following from employees' paychecks?,LFRA,FICA,Unemployment Tax,All of the Above,B,"The correct option is
b) FICA.
Explanation:
The employers are required to deduct the amount from the payroll of the employees, which is to be contributed for social security and medicare programs under the Federal Insurance Contributions Act. It is applied only to the earned income. Currently, the FICA tax rate is 7.65% (comprises of 6.20% allocated to social security and 1.45% allocated to Medicare), in which the employer and employee equally contribute.
Explanation for the incorrect options:
Option a. It is incorrect because LFRA is not deducted from the employee's salary.
Option c. It is incorrect because employers cannot withhold the amount for unemployment taxes.","Employers: Employers are those individuals who recruit different individuals and assign the work as per their skills and talents. In return for their work, the employers provide them compensation and other perquisites as per their work profile."
