id,question,A,B,C,D,Answer,Explanation,Hint
1,The main purpose of a budget is to:,develop goals.,develop a financial plan.,give feedback to the plan.,monitor and control financial outcomes.,D,"The correct answer is
d. monitor and control financial outcomes.
A budget's main purpose is to monitor and control financial outcomes because planning and tracking help improve financial situations. It is re-evaluated periodically and helps to monitor the estimation of revenue and expense. It tracks the savings and sets a framework for policy formulation.",Budget A budget is a detailed plan expressed in quantitative terms or the mechanism for translating fiscal objectives into projected monthly spending patterns. A budget helps to meet personal goals with a system of saving and wise spending.
2,A limitation of budgeting is that it _____.,fixes control yardstick,gives management by expectation,does not ensure results,sets a plan of policies,C,"The answer is
C. does not ensure results.
A limitation of budgeting is that it
does not ensure results.
A budget provides funding for a project and essentially places a cap on resources project managers will have available. Teams will need to properly distribute funds and resources to ensure tasks can adequately be completed. Establishing a budget does not ensure results will be attained. Inadequate funding may result in an incomplete project or lower quality than necessary. Simply setting a budget does not ensure a team will be able to accomplish its task.
The other three options are all benefits of budgeting, not limitations. Budgeting does set a yardstick on funding that will be available for a project. Teams may finish the project under budget and return funds. Alternatively, the team may need to request more funds. Establishing a budget sets a good yardstick or goalpost for the team to plan around with respect to funding. Budgeting does set expectations for management regarding how much money they should plan to spend. Budgeting will also set policy on funding and often will include rules on how money can be spent. All three of these items guide a team in its decision-making process.",Budgeting: Budgeting is the process of setting aside funding for a specific task or project. Budgets may be firm or modifiable depending upon the resources available. Budgets limited by resources will require efficiency by the team to meet goals and expectations. Budgets may be limited arbitrarily to preserve resources for alternative projects. Exceeding a budget may result in cost overruns or termination of the project at a total loss depending upon the circumstances of funding.
3,Which of the following is not an objective of the budgeting process?,To communicate management's plans throughout the entire organization.,To provide a means of allocating resources to those parts of the organization where they can be used most effectively.,To ensure that the company continues to grow.,To uncover potential bottlenecks before they occur.,c,"To determine the answer, let us discuss each alternative.
Option
Explanation
a. To communicate management's plans throughout the entire organization.
This description is an objective of budgeting. Budgeting helps in solidifying the goals of an organization by informing all of the members on the allocation of their funds for an accounting period.
b. To provide a means of allocating resources to those parts of the organization where they can be used most effectively.
This is an objective of budgeting. In relation to item a, if the sales budget is the largest in one area of the organization it is likely they will need more employees to work with customers and to produce those specific products.
c. To ensure that the company continues to grow.
The budgeting process is a prediction of what will happen financially in the future. Budgeting's objective is not to ensure the growth of a company but to assist in achieving its continuous growth through proper fund allocation.
d. To uncover potential bottlenecks before they occur.
The budget helps ensure there is adequate production and staffing for the expected sales revenue. Hence, it is an objective of budgeting.
Therefore, the correct answer is
c.  To ensure that the company continues to grow.",Budgeting Budgeting is a very advantageous financial process for a company to focus on preparing their fund allocation that are as accurate as possible. These budgets are often compared to the actual results that occur to determine what went wrong in the budget process.
4,"Smith Corp has a $6,000 favorable flexible budget variance for January. If January's flexible budget net income was $100,000, which of the following statements is true?","Smith's static budget must have shown a net income of $106,000.","Smith's static budget must have shown a net income of $84,000.","Smith's actual net income must have been $106,000.","Smith's actual net income must have been $94,000.",A,"The correct answer is A.
Calculation of flexible net income
Particulars
Amount
Flexible budget net income
$100,000
Add: Favorable variance
$6,000
Flexible actual net income
$106,000
Therefore, the flexible actual net income is $106,000.","Flexible Budget: A flexible or variable budget is a financial strategy that bases profit and cost forecasts on the product produced. In other words, it uses the current output's earnings and expenses."
5,Rolling budgets help management to,better review the past calendar year,deal with a 5-year time frame,focus on the upcoming budget period,rigidly administer the budget,C,"The correct option is
c. focus on the upcoming budget period
Reason: Rolling budget changes continuously during the year and it adds up new budget period as the recent period comes to and end therefore, it focuses on the upcoming period of the budget.
Explanation:
a.	Better view of past calendar year:
Reason: Budgets are future based and therefore does not provide view of past calendar year. Therefore, it is incorrect option.
b.	Deal with 5-year time frame:
Reason: Rolling budget deals with upcoming budgeted period rather than dealing with 5-year time frame. Therefore, it is incorrect option.
d.	rigidly administer the budget:
Reason: Budgets are administered by the management of the company on the basis of master budget. Therefore, this option is incorrect.","Rolling budget: Rolling budget can be defined as the continuous budget that changes continuously during the year. It contains information regarding the revenue, expenses and profit of the company. It helps management in controlling and planning more efficiently."
6,Budgets are the quantitative expression of management's plans.,True,False,,,A,"The correct option is
Option a. True
.
Option a: The management of an organization prepares a budget that includes quantitative expressions such as costs, assets, cash flows, revenues, the volume of sales, the activities of a business, etc. So it is a calculation plan on the basis of which business activities are done. The budget is prepared by the management for a particular time period and includes various quantitative expressions that help the organization in planning, directing, and controlling business activities. Hence, this is the correct option.
Option b: As the given statement cannot be false, this is an incorrect option.","Budget: A budget is an estimated plan that is prepared by the organization based on its expenses and income. The budget helps in the identification of estimated costs, available capital, and accordingly, revenue. This helps in decision-making efficiently and serves as a yardstick in setting up desires."
7,Which of the following is a benefit of budgeting?,Reduces the need for tracking actual cost activity.,Sets benchmarks.,Does not uncover potential bottlenecks.,Discourages planning.,B,"The answer is
option B.
One benefit of budgeting is that it sets benchmarks, which are used for evaluating the company's performance during the period. The actual and budget are compared to control and identify what cost needs improvement.
Analysis of other options
A. Budgeting does not reduce tracking of actual costs because it needs to be tracked and compared with the budget.
C. Budgeting does uncover potential bottlenecks when the company identifies the expenses that have a problem and need improvement.
D. Budgeting encourages planning because the company needs to estimate or anticipate the costs to be incurred in the future.
E. Only B is correct.","Master Budget: The master budget includes a series of budgets that need to be prepared in sequence since the data to be input in the budget depends on the information from other budgets. The start is the sales budget, and the end is the budgeted balance sheet."
8,"If initial budgets prove unacceptable, planners achieve the MOST benefit from:",repeating the budgeting cycle with a new set of decisions.,accepting an unbalanced budget.,deciding not to budget this year.,using last year's budget.,A,"The correct answer is A. repeating the budgeting cycle with a new set of decisions.
The planner should design and implement the new budget decisions if the previous budget was not acceptable. This will ensure better planning and management.
The explanation for incorrect answers is:
B. accepting an unbalanced budget.
The management should not implement an unbalanced budget. This will hamper the planning process and management of resources.
C. deciding not to budget this year.
The management should prepare the budgets to provide a direction to the organization for achieving the desired objectives.
D. using last year's budget.
The budget should be adjusted as per the prevailing conditions as the previous year's budget will not be feasible.",Initial Budget: The initial budget refers to the forecast of cash receipts and expenditures. The initial budget is prepared from the end of the accounting period till the 13th week. This budget forecasts the weekly cash inflows and outflows.
9,A budget aids in __________.,communication.,motivation.,coordination.,all of the above.,D,"Option d, is the correct answer.
Budget helps the department in making a communication between the departments of the organization, motivation among employees od the department or organization and providing a source for coordination for every department that can work accordingly.
Explanation for incorrect options:
Option (a): It is incorrect option because, not only communication but budgets helps and act as source for motivation, coordination, etc.
Option (b): It is incorrect option because, not only motivation but budgets helps and act as source for communication, coordination, etc.
Option (c): It is incorrect option because, not only coordination but budgets helps and act as source for motivation, communication, etc.","Budget Budget is the estimation done by the entity or department for a specific time period that carries estimate cost, revenues, expenses, etc. It is also termed as the financial plan of the operations done by the entity."
10,Which of the following is not a benefit derived from budgeting?,The budget fund provides assurance that cash will be available to meet budgeted expenditures.,The budget may provide advance warning of future economic problems.,The budget provides a yardstick for evaluation of managerial performance.,Management is made more aware of the economic environment of the business.,A,"Correct Answer: A
A budget is a document that lists the expenses and income of a company. It helps make decisions regarding spending on various things such as marketing, advertising, recruiting, etc. It does not guarantee that cash will be available to meet these budgeted expenditures. Budgets help in evaluating the financial status of the business. So, option A is correct.
Explanation for wrong options:
Option B- Budget can provide a warning in case an economic problem arises. It helps to ascertain the sources of income and expenditure in the following year.
Option C-Budgeting helps set standards against which the company's performance will be measured. So, it helps in evaluating managerial performance.
Option D- Management knows about the upcoming expenditures and can plan accordingly. This helps in knowing the economic environment of the business.",Budgeting: Budgeting is the process of planning and controlling your finances to get the most value for money. It is a key part of financial management and can help you avoid overspending unnecessarily.
11,"JJ White planned to use $82 of material per unit but actually used $80 of material per unit, and planned to make 1,200 units but actually made 1,000 units.","$80,000","$82,000","$96,000","$98,400",B,"Flexible-Budget Amount = Planned Material Per Unit Cost x Actual Output
Flexible-Budget Amount = $82 x 1,000
Flexible-Budget Amount =
$82,000.
Hence, the correct option is b.",Flexible Budget: It is the budget that is based on the actual output of the manufacturing company. The standard unit cost is multiplied by the actual output to know the flexible budget.
12,Which of the following is an example of the benchmarking function of the budgeting process?,A budget demands integrated input from different business units and functions.,Budgeting requires close cooperation between accountants and operational personnel.,Budget figures are used to evaluate the performance of managers.,The budget outlines a specific course of action for the coming period.,C,"The answer is
option C.
The benchmarking function of the budget process pertains to how the budget is used for evaluating the managers' performances during the period. The budgets prepared by the managers in their assigned units or departments are compared to the actual results. Based on that, they are evaluated. If they performed well in that period and if the actuals are within the expected one or beyond that. So, option C is correct. The other answers are on the planning and execution function, not benchmarking.",Master Budget: A master budget is prepared sequentially since all the budget needs data from the previous budgets that the firm prepared. The first budget is sales.
