id,question,A,B,C,D,Answer,Explanation,Hint
1,"What annual payment must you receive in order to earn a 6.5% rate of return on a perpetuity that has a cost of $1,250?",$77.19,$81.25,$85.31,$89.58,B,"The present value of a perpetuity is
{eq}\rm PV = \displaystyle \dfrac{Cash~flow}{Rate~of~return}\\ \rm \$1,250 = \displaystyle \dfrac{Cash~flow}{0.065}\\ \rm Cash~flow = \$81.25 {/eq}
Hence, the correct answer is
b. $81.25
.","Present Value of a Perpetuity: In finance, perpetuity refers to a security with infinite annual cash flows. Perpetuities can be either with stable cash flows or growing cash flows. The practical aspect of perpetuities is very limited but it is an important concept to master the understanding of the time value of money on which, business finance is based."
2,Which securities has the pattern of cash flows of perpetuities?,Common shares.,Preferred shares.,Corporate bonds.,Government bonds.,B,"The answer is
b) Preferred shares
.
The pattern of cash flows of perpetuity is cash inflows would last forever.
The preferred stockholders would receive the annual dividend as long as they keep the ownership of these shares. Thus, it represents the pattern of perpetuity if the preferred shares are held forever.
Common stock might not pay out the dividends if there are some upcoming plans that require a large volume of capital. The firm would retain the net income to support those projects.
Both corporate and government bonds would pay the interest payments until the maturity. There would be no subsequent cash flows after the maturity date.",Perpetuity: A perpetuity is a fixed-income security that investors would be able to gain an infinite stream of payments. The value of a perpetuity is subjective to the changes in the market interest rates.
3,"What is the value today of $700 paid every six months forever, with the first $700 payment occuring five years from today? Interest rates are 8% p.a. compounded half-yearly.","$12,295.27","$17,500.00","$4,377.18","$11,822.37",A,"The answer is
a. $12,295.27.
Given information:
Semiannual payment (PMT) = $700
Waiting periods (N) = 9 semiannual periods
Semiannual interest rate (I) = 8% x 0.5 = 4%
Step 1: Estimate the value of all semiannual payments one period before the first payment (9 periods from now):
{eq}\text{Value}_9 = \displaystyle \frac{\text{PMT}}{\text{I}} \\ \text{Value}_9 = \displaystyle \frac{\$700}{4\%} \\ \text{Value}_9 = \displaystyle $17,500 {/eq}
Step 2: Estimate the current value of the perpetuity:
{eq}\text{Current value} = \displaystyle \frac{\text{Value}_9}{(1 + I)^N} \\ \text{Current value} = \displaystyle \frac{\$17,500}{(1 + 4\%)^9} \\ \text{Current value} = \displaystyle \$12,295.27 {/eq}","Perpetuity: Apart from an annuity, a perpetuity will contribute periodic payments forever. Due to a stable stream of payments forever, perpetuity should be considered for a retirement portfolio."
4,TRUE or FALSE: An increase in the interest rate (assuming positive interest rates) will always cause the present value of a perpetuity (with annual cash flows greater than 0) to decrease.,True,False,,,A,"An increase in the interest rate (assuming positive interest rates) will always cause the present value of a perpetuity (with annual cash flows greater than 0) to decrease.
True
The evaluation of the value of a property is done by the capitalization of net income by dividing periodic payment by desired return or interest rates. With higher interest rates, the value for upcoming payments starts falling. This lowers the value of the perpetuity.",Perpetuity: Perpetuity is an annual payment that has no maturity as there is no finite period of time for the payments. The most appropriate example for perpetuity is a payment of dividends on equity shares that are continuously paid until the winding up of the firm.
5,Perpetuity can be described as:,an annuity that lasts longer than 25 years,an amount of interest that is annually adjusted up or down and is paid forever,an annuity that goes on forever,principal that is repaid after 100 years,C,"The answer is
c. an annuity that goes on forever
A perpetuity will have an infinite series of cash flows, in which it could be described as an annuity with unlimited number of interest payments.","Perpetuity: A perpetuity is a fixed income, which should be selected as a component for a low-risk investment portfolio. The cash flows generated from a perpetuity can secure investor's financial health."
6,"a. Your grandfather wants to establish a scholarship in his father's name at a local university and has stipulated that you will administer it. As you've committed to fund a $20,000 scholarship every year beginning one year from tomorrow, you'll want to set aside the money for the scholarship immediately. At tomorrow's meeting with your grandfather and the bank's representative, you will need to deposit _____ so that you can fund the scholarship forever, assuming that the account will earn 5.50% per annum every year.",,Oops! The bank representative just reported that he misquoted the available interest rate on the scholarship's account. Your account should earn 3.50%. The amount of your required deposit should be revised to _____.,This suggests there is (a direct/an inverse) relationship between the interest rate earned on the account and the present value of the perpetuity.,,A,"Perpetuity formula:
{eq}Value_{perpetuity} = \displaystyle \frac{PMT}{I} {/eq}
a.
{eq}Value_{perpetuity} = \displaystyle \frac{\$20,000}{5.5\%} = $363,636.36 {/eq}
b.
{eq}Value_{perpetuity} = \displaystyle \frac{\$20,000}{3.5\%} = $571,428.57{/eq}
c.
There is an inverse relationship between interest rate and the value of a perpetuity. An increase in interest rate will decrease the initial required deposit.","Perpetuity: A perpetuity is a fixed-income security that investors will gain an infinite series of cash inflows in the future. With that being said, it is also known as an annuity with unlimited payments."
7,Preferred stock valuation usually treats the preferred stock as a:,capital asset.,perpetuity.,common stock.,long-term bond.,B,"The answer is
b. perpetuity.
A preferred stock will make its dividends indefinitely as long as the business is operated. With that being said, the series of dividends can be treated as perpetuity. Hence, the value of a preferred stock can be estimated by using the present value formula for perpetuity.","Preferred Stocks: Preferred stocks are also the firm's shares issued to raise additional equity capital. Compared to common stocks, preferred stocks offer a higher dividend payout ratio. In addition, dividends from preferred stocks are senior to common stocks' dividends."
8,"Perpetuity pays  {eq}\$500

{/eq} each and every year forever. The duration of this perpetuity will be  {eq}\_\_\_\_

{/eq} if its yield is  {eq}\$10 \ \%.

{/eq}","{eq}7

{/eq}","{eq}9

{/eq}","{eq}11

{/eq}","{eq}12

{/eq}.",C,"The correct answer: Option C.
The duration of perpetuity will be 11.
Workings:
Yield (r) = 10%
{eq}\begin{align*}

{\rm\text{Duration of Perpetuity  }}&=\frac{{1 + r}}{r}\\

&= \frac{{1 + 0.10}}{{0.10}}\\

&= 11

\end{align*}

{/eq}",Perpetuity: Perpetuity is a concept in which identical cash flows are to be received or paid for an infinite period. There are two concepts related to perpetuity one is constant and another one is growing perpetuity.
9,What's the present value of a perpetuity that pays $100 per year if the appropriate interest rate is 6%?,"$2,854.13","$1,324.89","$1,011.87","$1,666.67",D,"The correct option is
option D. $1,666.67
.
Given information:
Identical cash flows = $100
Interest rate = 6%
The present value of perpetuity can be computed by dividing the identical cash flows by the interest rate.
{eq}\begin{aligned} \text{Present}\ \text{value}\ \text{of}\ \text{perpetuity} &=\frac{\text{Identical}\ \text{cash}\ \text{flows}}{\text{Interest}\ \text{rate}} \\ &=\frac{\$100}{6\%} \\ &=\$1,666.67 \end{aligned} {/eq}",Perpetuity: A perpetuity is a type of security that pays a constant amount over infinite periods. It is like an annuity with no end. The present value of perpetuity can be calculated using the interest rate and a constant amount.
10,"Life Insurance Co. is selling a perpetuity contract that pays $1,050 monthly. The contract currently sells for $75,000.",What is the monthly return on this investment vehicle?,What is the APR?,What is the effective annual return?,,A,"Summary:
Monthly payment = $1,050
Current price = $75,000
a. Determine the monthly return on the investment:
{eq}Monthly\:rate\:of\:return = \displaystyle \frac{Monthly\:payment}{Current\:price} {/eq}
{eq}Monthly\:rate\:of\:return = \displaystyle \frac{\$1,050}{\$75,000} {/eq}
{eq}Monthly\:rate\:of\:return = 1.4\% {/eq}
b. Determine the annual percentage return (APR):
APR = Monthly rate of return x Number of months per year
APR = 1.4% x 12
APR = 16.8%
c. Determine the effective annual return, assuming monthly compounding interest:
{eq}Effective\:annual\:return = \displaystyle (1 + Monthly\:rate\:of\:return)^{Months\:per\:year} - 1 {/eq}
{eq}Effective\:annual\:return = \displaystyle (1 + 1.4\%)^{12} - 1 {/eq}
{eq}Effective\:annual\:return = 18.16\% {/eq}","Perpetuity: A perpetuity is a fixed-income investment that contributes a series of indefinite cash inflows. With that being said, a perpetuity is recommended for people's retirement investment."
