id,question,A,B,C,D,Answer,Explanation,Hint
1,The due date of a promissory note is known as the:,maturity date.,issue date.,discount date.,interest note.,A,"The correct answer is
a. maturity date.
The date when a payment is made by a drawer to a drawee is called the maturity date or the due date. This date is decided when the contract is initiated.
The other options are incorrect.
b.
issue date:
It is the date on which a promissory note is created or issued.
c.
discount date:
It does not reflect the due date of a promissory note.
d.
interest note:
This term is not used to refer to the due date of a promissory note.",Promissory Note: A promissory note is a written document wherein one party promises to pay a specified amount to another party on a specified date. A company can issue a secured or unsecured promissory note.
2,The parties involved in a draft or a check have particular names. The person who receives the money is called the:,payee,drawer,holder,payer,A,"The correct answer is option a. payee.
The person who receives the money from a draft or a check is referred to as the ""payee.""
The party who writes the check and provides the funds is referred to as the ""maker"" or ""drawer"" of the check. Additionally, the party who is responsible for the amount of money written on the check is referred to as the ""drawee."" It is important to note that the ""drawee"" is not necessarily the same as the ""maker"" or ""drawer"" of the check; the ""drawee"" is the party that is obligated to pay the ""payee"" the amount of money written on the check.
Therefore,
the correct answer is option a. payee.","Promissory Note: A promissory note is a written negotiable document that pledges the payment of a specified amount of money from the borrower to the lender. It is used to secure a loan or credit transaction, and it outlines the terms and conditions of the loan."
3,"In the 5 Cs of credit, what does capacity measure?",The company's profitability and cash flow to manage operations and growth.,The financial structure and overall financial strength of a company.,The management's attitude towards risk and growth,The assets are available to secure the debt in the event of a default.,A,"The correct answer is option
a. The company's profitability and cash flow to manage operations and growth.
The 5Cs of credit are significant in deciding whether to grant a debtor's loan application or not. These 5Cs are the following.
Character - referring to the credit history of the borrower.
Conditions -  referring to the amount of principal or interest rate
Capacity - refers to the buyer's ability to pay its obligation. It also assesses the debt-to-income ratio of the borrower, thus, it uses the data of how profitable the business is and does it have a good cash flow.
Capital - refers to the borrower's level of seriousness.
Collateral - refers to the assurance lending company can get in times the borrower will not able to pay the amount owed.
Accordingly, capacity measures the borrower's profitability and cash flow to manage operations and growth.","Credit Rating: In business and finance, the individual credit rating is significant when applying for a loan or other related transactions. A good credit rating can give a low cost of borrowing, improves credit standing, etc."
4,In which of the following situations may taxpayers file as married filing jointly?,Taxpayers who were married but lived apart during the year.,Taxpayers who were married but lived under a legal separation agreement at the end of the year.,Taxpayers who were divorced during the year.,Taxpayers who were legally separated but lived together for the entire year.,A,"The answer is a. Taxpayers who were married but lived apart during the year.
The general rule is that individuals who were married on the last day of the year can file jointly.  There is no requirement that they live together.  However, if they were legally separated, they cannot file jointly.
b. is incorrect because legally separated individuals cannot file jointly.
c. is incorrect because divorced individuals cannot file jointly.
d. is incorrect because legally separated individuals cannot file jointly.",Advantages of Filing Jointly: Married couples filing joint tax returns get significant advantages.  Filing jointly increases the non-taxable income thresholds and allows couples to take advantage of certain tax breaks that are not available to individual filers.
5,Amy makes the following gifts in the year 2016:,"$15,000 is taxable as the Denver Rescue Mission is not a charity.","$15,000 is non-taxable as the Denver Rescue Mission is a charity.","The $15,000 donation will be limited to 30% of AGI.","The $15,000 is a FOR AGI deduction.",B,"The correct answer is
B. $15,000 is non-taxable as the Denver Rescue Mission is a charity.
According to the official website of the Denver Rescue Mission, the organization is a registered charitable organization under section 501(c)3 of the internal revenue code (Identification number: 84-6038762). As a result, it is a registered charity and the $15,000 is
non-taxable
.",Charitable Organization: A Charitable Organization is one of the types of organizations that qualify for tax treatment under section 501 (c) 3 of the Internal Revenue Code. A Charitable Organization is one that is non-profit and essentially raises and distributes resources.
6,Which of the following statements regarding the child tax credit is false?,The child for whom the credit is claimed must be under the age of 15 at the end of the year.,The credit is subject to phase-out based on the taxpayer's AGI.,"The full credit for a child who qualifies is $1,000.",The child for whom the credit is claimed must meet the definition of a qualifying child.,A,"The correct answer is
A. Child under 15
.
Any child needs to meet certain conditions to qualify for the CTC: age, relationship, assistance, dependent, nationality, and residency. The child should be under 17, genetically related to and declared completely dependent by the taxpayer wanting to apply for such a  credit, provide upwards of half of their monetary assistance, be a U.S. citizen, or U.S. resident alien, and have lived with the assesses for at least 50% of the prior calendar year.
Hence, out of all the statements, A. is false.","Child Tax Credit The child tax credit (CTC) in the states is a partially refundable benefit that allows low and moderate-income families to reduce their tax burden dollar for dollar with each qualified child, capped at $2,000 per child. For single and joint filers, this goes off based on MAGI amounts."
7,Which of the following options is correct?,surplus.,deficit.,budget reduction.,contribution to net worth.,A,"The correct answer is
a. surplus.
A surplus is an positive amount that is leftover or unaccounted for in the budget. The surplus is $22 since the allocated food budget was $370 and only $348 was spent. A deficit is when the budget is overspent and funds are depleted, leaving a negative balance.","Personal Finance: Personal finance includes creating budgets for living expenses within a timeframe, i.e. annually, quarterly, and monthly.  A monthly budget may categorize fixed expense like mortgage/rent payments and insurance premiums and estimate for variable expenses like utilities and groceries."
8,"Sandra is single and her son Julius is 12 years old. If her AGI is $79,000, what amount of child tax credit can Sandra claim?",$0.,$500.,$800.,"$1,000.",D,"The correct answer is
d. $1,000.
A child tax credit is a tax benefit given to any individual with dependent children. It reduces the taxes owed. As per the latest child tax credit, the child tax credit offers up to $3,000 for any single individual per dependent child who is less than 17 years of age. Since Julius is 12 years old, she can claim $3,000.",Adjusted Gross Income Adjusted gross income (AGI) is used by the Internal Revenue Service (IRS) for tax liability calculation. It requires deducting certain expenditures mandated by the authorities from the gross income to determine income tax liability.
9,A stock has a beta of 1.14 and an expected return of 10.5 percent. A risk-free asset currently early is 2.4 percent.,What is the expected return on a portfolio that is equally invested in the two assets?,"If a portfolio of the two assets has a beta of 0.92, what are the portfolio weights?",,,A,"a.
E(rp) = E(r) x stock weight + E(r) x Risk-free asset weight
E(rp) = 10.5% x 0.50 + 2.4% x 0.50
E(rp) = 5.25% + 1.2%
E(rp) = 6.45%
b.
Let the portfolio weight of the stock be x and the risk-free asset be (1-x).
Beta (Asset) = Stock beta x Stock weight + Beta x Risk-free asset weight
0.92 = 1.14 x X + 0 x (1-X)
0.92 = 1.14X + 0
X = 0.92/1.14
X = 0.8070
Therefore, the portfolio weights are
80.7%
and 0.193(1-0.8070), or
19.3%
.",Portfolio Weights: The portfolio weights of the stock are assigned systematically by the portfolio manager to minimize the portfolio risk. Higher-risk assets are given a low weightage while low to medium-risk assets have a high weightage in the portfolio.
10,The measure of risk for a security held in a diversified portfolio is:,Specific risk,Standard deviation of returns,Reinvestment risk,Covariance,D,"The correct answer is option d.
Covariance
A security with a high positive covariance with the portfolio is riskier in a portfolio context because its returns are more closely tied to the portfolio's overall performance. Conversely, a security with a low or negative covariance with the portfolio is not as risky in a portfolio context because its returns are less affected by the portfolio's overall performance.
Reasons for incorrect options:
a
: The specific risk is the risk that is unique to a particular security and cannot be diversified away in a portfolio and is not a way to assess the risk related to the fund held in a diversified portfolio.
b
: It calculates a security's overall risk but ignores the impact of diversification on a portfolio. Therefore, it may overstate a security risk held in a diversified portfolio.
c
: This is the risk that the future earnings from an investment may not be invested again at the identical profit level as the initial amount invested. Hence it is not a measure of the risk of a security held in a portfolio.","Diversified Portfolio: The term diversified portfolio is a group of investments developed to lessen risk and increase revenues by allocating distinct holdings across several asset categories, including shares and obligations."
11,"When making a budget, your goals should be prioritized and ranked.",True,False,,,A,"Part of our personal finances is to know what are our needs and wants, and out of those pre-determined needs and wants are the rankings of our priorities. We do this because there is scarcity - budget constraints. So, it is true that when making a budget, your goals should be prioritized and ranked accordingly.","Personal Finance: The concept of personal finance is very significant, especially for today's generation, where everything we need is available. It is a particular topic that the young generation must appreciate as it is very applicable to our day-to-day living."
