id,question,A,B,C,D,Answer,Explanation,Hint
1,An effective process of capital allocation promotes productivity and provides an efficient market for buying and selling securities and obtaining and granting credit.,True,False,,,A,"The given statement is true.
The management can invest in other companies, buy back its shares, or issue dividends. These will lead to better position in the securities market. The organization will increase its profit and wealth by effective allocation.",Capital Allocation: Capital allocation is the investment of financial resources of an organization in the most efficient manner. It is done to increase to increase the shareholder's wealth. It is an important decision and all the options should be evaluated.
2,Many current and retired Enron Corp. employees had their 401k retirement accounts wiped out when Enron collapsed because:,they had to pay huge fines for obstruction of justice,their 401k accounts were held outside the company,their 401k accounts were not well diversified,None of the above,C,"The answer is
C. their 401k accounts were not well diversified
Their retirement account was invested heavily on Enron stock. That explained why their money was wiped out when the stock price dropped down significantly.",Retirement Plan: A retirement plan is a financial plan that generates income and protection to a person after his retirement. A well-constructed plan will secure that person's living standards and stabilize his wealth.
3,"During the financial crisis in 2008-2009, investors who were diversified across industries:",experienced no losses.,experienced large gains.,experienced significant losses because most industries were suffering from weak economic conditions.,experienced losses in financial services companies but not in other industries.,C,"The correct answer is
C. Experienced significant losses because most industries were suffering from weak economic conditions
.
Investors who had only invested across industry sectors suffered huge losses during the financial crisis because most businesses in these industries were impacted by the prevailing economic conditions. Diversifying one's portfolio across industries does fully hedge against possible risks because it is highly likely that the companies in the industries would be affected by the same risks during a crisis. Thousands of industries were profoundly affected by the financial crisis, which took a heavy toll on both people and organizations.","Portfolio Diversification: There are different ways of diversifying one's portfolio, which can be achieved by investing in a variety of businesses and industries. As an investor, one does not have to possess a large number of stocks from just one firm. They may acquire from firms in the same industry or purchase other forms of investment. An individual's whole investment portfolio is at risk of losing value if they have all of their money on one investment vehicle."
4,A stock has a beta of 1.14 and an expected return of 10.5 percent. A risk-free asset currently early is 2.4 percent.,What is the expected return on a portfolio that is equally invested in the two assets?,"If a portfolio of the two assets has a beta of 0.92, what are the portfolio weights?",,,A,"a.
E(rp) = E(r) x stock weight + E(r) x Risk-free asset weight
E(rp) = 10.5% x 0.50 + 2.4% x 0.50
E(rp) = 5.25% + 1.2%
E(rp) = 6.45%
b.
Let the portfolio weight of the stock be x and the risk-free asset be (1-x).
Beta (Asset) = Stock beta x Stock weight + Beta x Risk-free asset weight
0.92 = 1.14 x X + 0 x (1-X)
0.92 = 1.14X + 0
X = 0.92/1.14
X = 0.8070
Therefore, the portfolio weights are
80.7%
and 0.193(1-0.8070), or
19.3%
.",Portfolio Weights: The portfolio weights of the stock are assigned systematically by the portfolio manager to minimize the portfolio risk. Higher-risk assets are given a low weightage while low to medium-risk assets have a high weightage in the portfolio.
5,The measure of risk for a security held in a diversified portfolio is:,Specific risk,Standard deviation of returns,Reinvestment risk,Covariance,D,"The correct answer is option d.
Covariance
A security with a high positive covariance with the portfolio is riskier in a portfolio context because its returns are more closely tied to the portfolio's overall performance. Conversely, a security with a low or negative covariance with the portfolio is not as risky in a portfolio context because its returns are less affected by the portfolio's overall performance.
Reasons for incorrect options:
a
: The specific risk is the risk that is unique to a particular security and cannot be diversified away in a portfolio and is not a way to assess the risk related to the fund held in a diversified portfolio.
b
: It calculates a security's overall risk but ignores the impact of diversification on a portfolio. Therefore, it may overstate a security risk held in a diversified portfolio.
c
: This is the risk that the future earnings from an investment may not be invested again at the identical profit level as the initial amount invested. Hence it is not a measure of the risk of a security held in a portfolio.","Diversified Portfolio: The term diversified portfolio is a group of investments developed to lessen risk and increase revenues by allocating distinct holdings across several asset categories, including shares and obligations."
6,Combining negatively correlated assets having the same expected return results in a portfolio with _____ level of expected return and _____ level of risk.,the same; a higher,the same; a lower,a higher; a lower,a lower; a higher,B,"The correct answer is Option B.
Option B is correct as combining the negatively correlated assets will not affect the expected returns as the individual investments have the same expected return. And the expected risk will be lower as the risk is segregated and divided, which reduces the total risk; e.g., if any of the stocks will be facing bad or low returns, then the other good-performing fund will help the portfolio
.","Portfolio: A portfolio is the troupes of the various investments in a single Demat account, such as Shares, bonds, funds and commodities. It reduces the level of risk by organizing & highlighting the price fluctuations."
7,Proper asset allocation can:,increase your wealth.,decrease your assets.,increase your dividend income and decrease your interest income.,increase your expenses.,A,"Option a) Increase your wealth
is the correct answer.
Reason:
A proper allocation and utilization of an organization's total assets can eventually increase the firm's wealth since the assets are items that provide future benefits to the firm. If a partnership firm liquidates in nature, the organization's total assets are distributed amongst the partners after paying off the firm's liabilities. When analyzing the firm's value according to the market, a model known as the Book value determines the value or worth of the firm with its total assets. Therefore, assets benefit the organization in cash and increase wealth.
Reason for incorrect options:
Option b is incorrect because assets will decrease when sold.
Option c is incorrect because these are related to the shareholder's equity of the firm.
Option d is incorrect because increasing expenses will lead to a decrease in the firm's profit.",Allocation: It is a term used when an organization decides to allocate its funds into different investment assets in the market. Allocation is done after the financing activity where the owners have arranged the funds.
9,"At December 31, 2013, the available-for-sale equity portfolio for Steffi Graf, Inc. is as follows.","Prepare the adjusting entry at December 31, 2013, to report the portfolio at fair value.","Show the balance sheet presentation of the investment-related accounts at December 31, 2013.",Prepare the journal entry for the 2014 sale of security A.,,A,"A.
Date
Particulars
Debit
Credit
Dec 31, 2013
Securities fair value adjustment A/c (Debit)
$1,729
To Unrealized holding gain A/c
$ 1,729
B.
Assets
Amount
Available for sale securities
$72,485
Liabilities
Amount
Accumulated other comprehensive income
$1,995
C.
Date
Particulars
Debit
Credit
2014
Cash A/c (Debit)
$20,349
Loss on sale of securities A/c (Debit)
$2,926
To Available for sale securities A/c
$23,275",Equity Portfolio: An equity portfolio contains investments made by an investor in the stock market. This type of portfolio aims to provide liquidity to the investor. The investor usually bifurcates this equity portfolio based on economic activity.
10,"Use a z-table to solve the following. A portfolio has an ECR of $10,000 and a Sigma Cash Return of $5,500. What is the probability that next year's cash return will be less than $0?",55%,3.44%,0.00%,96.56%,B,"The correct option is _B)_3.44%_
{eq}\begin{align*}z &= \frac{{{\rm\text{Cash Return}} - {\rm\text{ECR of Portfolio}}}}{{{\rm\text{Sigma Cash Return}}}}\\ &= \frac{{\$ 0 - \$ 10,000}}{{\$ 5,500}}\\ &=  - 1.82\end{align*}

{/eq}
{eq}\begin{align*}{\rm\text{Probability of Cash Return of Less Than }}\$ 0 &= {\rm\text{P}}\left( {z <  - 1.{\rm\text{82}}} \right)\\ &= 1 - {\rm\text{P}}\left( {z < 1.82} \right)\\ &= 1 - 0.9656\\ &= 3.44\% \end{align*}

{/eq}","Portfolio Investment: Portfolio investment is the investment in a specific group of financial securities in place of investing in individual securities. The financial securities may include stocks, bonds, mutual funds, derivative instruments etc."
11,A stock has a beta of 1.35 and an expected return of 16 percent. A risk-free asset currently earns 4.8 percent.,What is the expected return on a portfolio that is equally invested in the two assets?,"If a portfolio of the two assets has a beta of 0.95, what are the portfolio weights?","If a portfolio of the two assets has an expected return of 8 percent, what is its beta?","If a portfolio of the two assets has a beta of 2.70, what are the portfolio weights? How do you interpret the weights for the two assets in this case?",A,"a.
The expected return on the portfolio equally invested in the two assets should be = 0.5 x R1 + 0.5 x R2
Expected return of the stock, R1 = 16%
Expected return of the risk-free asset = 4.8%
Therefore, the portfolio return is = 0.5 x 16% + 0.5 x 4.8%
= 8% + 2.4%
=
10.4%
b.
The stock beta is 1.35 while the portfolio has a beta of 0.95. The risk-free asset's beta is zero.
Therefore, Portfolio beta is = W(s) x B(s) + W(r) x 0
Or, 0.95 = W(s) x 1.35
Or W(s) = 0.7037 or 70.37%
Therefore, the weight of the stock in the portfolio is
70.37%
and the weight of the risk-free assets is = 1 - 0.7037
= 0.2963 or
29.63%
c.
Let the weights in the portfolio be X for the stock and 1 - X for the risk-free asset respectively
The expected return of the portfolio, P(r) is = R1 x X + R2 x (1-X)
Or, 8% = 16X% + 4.8% - 4.8X%
Or, 3.2% = 11.2X%
Or, X = 0.2857
1 - X = 1 - 0.2857 = 0.7143
Therefore, the stock's weight is 28.57% while the risk-free asset's weight is 71.43%. We, now calculate the portfolio beta with the given weights as follows:
Pb = Beta of stock x weight of stock + Beta of risk-free asset x weight of risk-free asset
= 1.35 x 0.2857 + 0
=
0.39
d.
The stock beta is 1.35 while the portfolio has a beta of 2.7. The risk-free asset's beta is zero.
Therefore, Portfolio beta is = W(s) x B(s) + W(r) x 0
Or, 2.7 = W(s) x 1.35
Or W(s) = 2 or 200%
Therefore,
200%
of the portfolio's weight(i.e. the stock's weight) has to be invested in the stock to result in this beta. There will be no investment in the risk-free asset in this case as it will not be possible in this situation.",Managing Risky Investments: Managing risky investments effectively in a portfolio of assets is the key to its best performance. A portfolio comprising of risky and less risky investments is a balanced portfolio and the best investment option for small and medium risk takers.
12,"You own $22,500 of City Steel stock that has a beta of 3.33. You also own $39,000 of Rent-N-Co (beta = 1.78) and $20,800 of Lincoln Corporation (beta = -.82). What is the beta of your portfolio?",4.86,1.55,4.29,1.00,B,"Correct option:
Option B
Computation of portfolio beta:
(A) Stocks owned by companies
(B) Value of stocks
(C) Stock Weights
(D) Given beta factor
Weighted beta (C X D)
Company C
$22,500
0.273 ($22,500/ $82,300)
3.33
0.90
Company R
$39,000
0.473 ($39,000/ $82,300)
1.78
0.84
Company L
$20,800
0.252 ($20,800/ $82,300)
(0.82)
(0.20)
Total values
$82,300
1.54
Hence, the beta of portfolio is 1.54, and the nearest factor among the options is 1.55.","Portfolio Investment: Making investments in a variety of financial securities to earn returns in future periods is called portfolio investment. The portfolio encompasses many securities like stock, mutual funds, real estate assets, etc. It enables an investor to safeguard their funds in the form of diversified investments."
13,The benefit from diversification is far greater when diversification occurs across asset types.,True,False,,,A,"The correct option is
a. True
.
A successful diversification should be based on selecting a mix of asset classes, for instance, holding bonds, stocks, ETFs, futures contracts, precious metals, etc. If an investor holds only one class of asset, the full benefits from diversification cannot be achieved. This is because different types of assets may react in a different way to the same macroeconomic change, which reduces the risk of an investment portfolio.",Diversification: Diversification is a portfolio management strategy that is focused on minimizing the risk of the investment. This strategy helps in mitigating losses through a proper allocation of funds.
14,Decreasing the number of stocks in a portfolio from 50 to 10 would likely:,Increase the systematic risk of the portfolio,Increase the unsystematic risk of the portfolio,Increase the return of the portfolio,Decrease the variation in returns the investor faces in any one year,B,"The answer is
b. Increase the unsystematic risk of the portfolio
When the number of investing securities reduces, the entire portfolio will be less diversified, which means it will be exposed to higher unsystematic risk.","Portfolio: An investment portfolio consists of several securities, in which it will reduce the portfolio's risk. The portfolio can achieve a lower unsystematic risk if subsequent securities have inverse relationship with each other."
15,Investment levels depend mainly on:,high levels of consumption in the economy.,the rate of return on capital.,tax incentives.,strong government demand.,B,"The correct answer is choice
b.
Investment involves the spending made on capital goods to produce services and commodities in the economy. It is mainly determined by the ROR on the capital, which is the benefits expected from the investment. Investment will be high when the ROR on capital is high. Contrarily, investment will be low when the rate of return on capital is low. The ROR on capital shows how effectively a firm is turning the capital into profits.","Investment: Investment is the equipment, plants, and other capital goods needed to offer services or build commodities.  Investments may be planned and implemented by an organization to ensure future growth. In other words, investments are made to generate more revenue, capture a larger market share, and increase operational capacity."
16,Portfolio risk encompasses:,1 and 2,1 and 3,2 and 3,All of these choices.,D,"The answer is
D. All of these choices.
Generally, an investment portfolio is exposed to systematic risk and unsystematic risk. In this case, the unsystematic risk is attributed to the firm's financing decisions while the systematic risk includes the interest rate risk and the loss of purchasing power (inflation risk premium).","Portfolio: An investment portfolio includes different types of assets and security, in which an investor can receive earnings from different sources of income. In addition, an investment portfolio can reduce the overall unsystematic risk on the invested capital."
17,Portfolio investment means buying:,livestock.,less than 10 percent ownership in a foreign company.,a life insurance policy when traveling abroad.,more than 50 percent ownership in a foreign company.,B,"The best possible answer choice is b. less than 10 percent ownership in a foreign company.  However, a portfolio investment could also include less than 10 percent ownership in a domestic company.  Moreover, a portfolio investment could include a collection of different types of asset classes.","Investment Portfolio: An investment portfolio is a collection of assets held to achieve specified investment objectives.  Ideally, the portfolio will reflect a high degree of diversification and be structured in a way that reflects the time horizon on the investor."
