id,question,A,B,C,D,Answer,Explanation,Hint
1,"Today, you deposit $6,000 into an account that pays 10 percent annually. In one year, you willl deposit another $4,000 in the account. How much will you have in the account after two years?","$10,600","$10,000","$11,660","$11,000",C,"The answer is
c. $11,660.
Summary:
CF0 = $6,000
CF1 = $4,000
Annual interest rate (I) = 10%
Determine the the account balance after 2 years:
{eq}Value_2 = \displaystyle CF0\times (1 + I)^2 + CF1\times (1 + I) {/eq}
{eq}Value_2 = \displaystyle $6,000\times (1 + 10\%)^2 + \$4,000\times (1 + 10\%) {/eq}
{eq}Value_2 = \displaystyle $6,000 times 1.21 + $4,000\times 1.1 {/eq}
{eq}Value_2 = \displaystyle $7,260 + $4,400 {/eq}
{eq}Value_2 = \displaystyle $11,660 {/eq}
The value of the account after 2 years is $11,660.","Future Value: The future value of an investment indicates how much cash flows generated by the investment will be worth on a future date. The future value and the investor's required rate of return have a direct relationship, and an increase in the expected return will raise the future value."
2,"The present value of $3,000 to be received in 5 years at a 10% discount rate is $2,000.",True,False,,,B,"The correct answer is
B. False.
Given information:
Future value: $3,000
Years: 5
Discount rate: 10%
Determine the present value, as shown below:
{eq}\begin{aligned} \text{Present value} &=\frac{\text{Future value}}{{{\left( 1+\text{Discount rate} \right)}^{\text{Years}}}} \\ &=\frac{\$3,000}{{{\left( 1+10\% \right)}^{5}}} \\ &=\$1,862.76 \end{aligned} {/eq}
The calculated present value, based on the provided discount rate for 5 years, is approximately $1,862.76. However, the given present value in the statement is $2,000. Therefore, the given statement is false.","Discount Rate: The discount rate is a percentage used to convert the future value of a sum into its present value. It can represent various quantities, such as the return rate required by an investor, the minimum risk-free rate, the saving deposit rate, the market rate for similar investments, or any other appropriate rate determined by an entity."
3,"What is the present value of this stream of future cash flows if the discount rate is 11%, Year 1: $14,000; Year 2: $16,540; Year 3: $19,889. Round to the nearest dollar.","$35,847","$54,140","$43,512","$40,580",D,"The correct option is
D. $40,580
The present value of the stream of cash flows can be computed by multiplying the future cash flows by their present value factors and adding them together.
The present value factor can be computed by the formula -
Computation of present value
Year
PVF @ 11% (A)
Amount (B)
Present Value (A   X B)
1
0.9009
$14,000.00
$12,613.00
2
0.8116
$16,540.00
$13,424.00
3
0.7312
$19,889.00
$14,543.00
Tota Present Value
$40,580.00",Present Value: The present value indicates the current worth of expected future cash flows. Present value is used in decision-making as it assists in comparing future cash flows at different points in time.
4,"Dunston Company will receive $500,000 in a future year. If the future receipt is discounted at an interest rate of 10%, its present value is $256,580, in how many years is the $500,000 received?",6 years,5 years,7 years,8 years,C,"C. 7 years
is the right option.
Explanation
Determination of time period to receive $500,000 in future:
{eq}\begin{aligned}   \text{Present Value}&=\frac{\text{Future Value}}{{{(1+\text{interest rate)}}^{\text{time period}}}} \\   {{(1+\text{interest rate)}}^{\text{time period}}}&=\frac{\text{Future Value}}{\text{Present Value}} \\   {{(1+10\%)}^{\text{time period}}}&=\frac{\$500,000}{\$256,580} \\   {{(1+10\%)}^{\text{time period}}}&=1.9487 \\   \text{time period}\times \log (1.1)&=\log (1.9487) \\   \text{time period}&=\frac{0.28974}{0.04139} \\   &=7\,\text{years}  \end{aligned}

{/eq}",Present Value The present value (PV) of a project or asset is the amount of money that a person can pay right now to acquire it. It considers current and future money flows as well as the discount rate to calculate the PV of any project or asset.
5,If a company can give up one unit of future consumption and as a result increase current consumption by 0.88 units. its real interest rate must be:,1.36%,12%,13.6%,16.3%,C,"The correct answer to the given question is option
C. 13.6%
The real interest rate (
i%
) is given by:
{eq}\begin{align*}

&= \dfrac{\text{Future consumption in units}}{\text{Current consumption in units}} - 1 \\[0.3 cm]

&= \dfrac{1}{0.88} - 1 \\[0.3 cm]

&= 1.1363 - 1 \\[0.3 cm]

&= 13.63\%

\end{align*}

{/eq}","Time Value of Money: In the context of economics, the concept of time value of money is useful in determining the equivalent present value of certain expected future cash flow or consumption. Similarly, the time value of money may be used to determine the future value or the equivalent annuity of certain present consumption."
6,An initial $400 compounded annually for 1 year at 3% would be:,$412,$560,$620,,A,"The correct answer is
option A. $412 .
Given information:
Cash flow: $400
Rate= 3%
Number of years(n) = 1 year
The future value (FV) formula is a financial concept that aids in determining the worth of cash flow compared to the initial payment at a future date.
Determine the amount after 1 year by multiplying the cash flow by the sum of one and interest raised to the power of the number of years:
{eq}\begin{aligned} \text{Future value} &=\text{Cash flow}\times {{(1+\text{Rate})}^{\text{n}}} \\ &=\$400\times {{(1+3\%)}^{1}} \\ &=\$412 \end{aligned} {/eq}
Thus, the future value after 1 year is $412.","Present Value: The present value (PV) is the current value of money that will be received in the future in the form of one or more payments and which has been discounted at a market interest rate. PV is frequently used in finance for financial modeling, bond pricing, and stock valuation."
7,"What is the future value of $17,750 invested for 28 years at 8.5% compounded annually?","$174,274","$539,245","$355,000","$254,750",A,"The correct answer is:
A. $174,274
The future value formula is stated as:
{eq}FV=PV\left(1+\dfrac{r}{n}\right)^{nt}

{/eq}
Where:
{eq}FV

{/eq} is the future value,
{eq}PV

{/eq} is the present value,
{eq}r

{/eq} is the interest rate per annum,
{eq}t

{/eq} is the time in years and,
{eq}n

{/eq} is the number of compounding times in a year.
In our question, we have:
{eq}FV=?\\[0.3cm]

PV=\$17,750\\[0.3cm]

r=0.085\\[0.3cm]

n=1\\[0.3cm]

t=28

{/eq}
Therefore:
{eq}FV=17750\left(1+\dfrac{0.085}{1}\right)^{1\times 28}\\[0.3cm]

FV\approx \boxed{\color{blue}{\$174,274}}

{/eq}","The Future Value of an Investment: When you make an investment that pays a certain rate of return, you may want to determine the value of the investment after several years or after a given period of time. The value of an investment calculated at a given date in the future is its future value."
8,Consider the following alternatives:,Rank the alternatives from most valuable to least valuable if the interest rate is 9% per year.,What is your ranking if the interest rate is 1% per year?,What is your ranking if the interest rate is 16% per year?,,A,"Part a.
At a 9% discount rate, the ordering of the alternatives is as follows:
Option III = $310/1.09^10 = $130.95
Option II = $200/1.09^5 = $129.99
Option I = $130/1.09 = $119.27
Part b.
At a 1% discount rate, the ordering of the alternatives is as follows:
Option III = $310/1.01^10 = $280.64
Option II = $200/1.01^5 = $190.29
Option I = $130/1.01 = $128.71
Part c.
At a 16% discount rate, the ordering of the alternatives is as follows:
Option I = $130/1.16 = $112.07
Option II = $200/1.16^5 = $95.22
Option III = $310/1.16^10 = $70.27","Time Value of Money: The time value of money is a concept that holds the value of a monetary sum is greater today than tomorrow, because of its ability to earn interest and grow over time.  This relationship is amplified as the discount rate associated with a time value computation increases."
9,The idea that a specific amount of money is more valuable to a person the sooner it is obtained is known as:,the time-value of money.,the interest effect of money.,the present value of money.,the immediate value of money.,A,"The correct answer is option A: the time-value of money.
A
.Option A is correct because the time value of money suggests that the money that is presently available is more valuable than it will be in the future. This is because inflation reduces the quantity of a good that can   be purchased using the same amount of money over time. Even if the money is deposited in a bank where it can earn interest, it will be worth more the sooner it is withdrawn. This can be seen by considering the following formula: {eq}\text{FV}=\text{I}\times {{\left( 1+\text{R} \right)}^{\text{t}}}

{/eq}
B
.Option B is incorrect because ""the interest rate effect of money"" creates an impact on the 'borrowing and spending' of an individual. At a lower interest rate, individuals and businesses tend to borrow money, which increases the money supply in the economy. At a higher interest rate, there is less money in the hands of the individuals and businesses, so the money supply decreases.
C.
Option C is incorrect because the ""present value of money"" is the current worth of a future amount of money at a given rate of return. Its value helps an individual decide whether to accept or reject an offer. It can be calculated using the formula: {eq}\text{PV}=\frac{\text{FV}}{{{\left( 1+\text{r} \right)}^{\text{t}}}}

{/eq}
D
.D.Option D is incorrect because the immediate value of money refers to the payment of equal amount received at an equal time interval.","Value of monet The value of money refers to the purchasing capacity of an individual. It determines the quantity of a commodity that an individual can purchase using a single unit of money. An increase in the price of a commodity is known as inflation, which can reduce the value of money over time."
10,"If the interest rate is 10 percent, then what is the future value in 2 years of $100 today?",$80,$83,$120,$121,D,"The future value will be:
$$\begin{align}

FV&=A(1+i)^{t}\\

PV&=100(1+0.10)^{2}\\

&\approx \$121

\end{align}

$$
Thus, the correct option is
d. $121
.","Future Value: The future value of an investment is its value after a certain number of years, given the prevailing interest rate. In such calculations, we assume a compounding interest environment."
