id,question,A,B,C,D,Answer,Explanation,Hint
1,Budgets that are periodically revised and have new periods added to replace those that have lapsed are called:,Production budgets.,Sales budgets.,Cash budgets.,Rolling budgets.,D,"Option d): the rolling budget is the correct alternative.
Explanation:
Option a) Production budget: this is an estimate of the quantity of product needed for the production of an entity.
Option b) Sales budget: it is the estimation of sales revenue, selling expenses, and, consequently, the profit contribution made by the sales function for a future financial period.
Option c) Cash budget: it is the estimation of an entity's future cash flow over a time interval to determine an individual's or entity's cash position.
Option d) A rolling budget is classified as a budget that is prepared on a continuous basis. It involves continuous updates by summing up an additional accounting period when the previous accounting period has expired. It gives management a chance to revise their plan for the betterment of the business.",Budget A budget is defined as the estimation of the expenditure and revenues of an entity for a certain time period. It can be prepared for any individual or entity. It can be prepared for the effective utilization of the funds.
2,Budgeted production is calculated by:,"adding budgeted unit sales to budgeted ending work in process inventory, and subtracting budgeted beginning work in process inventory","adding budgeted unit sales to budgeted ending finished goods inventory, and subtracting budgeted beginning finished goods inventory","adding budgeted unit sales to budgeted beginning work in process inventory, and subtracting budgeted ending work in process inventory","adding budgeted unit sales to budgeted beginning finished goods inventory, and subtracting budgeted ending finished goods inventory",B,"The correct option is B. adding budgeted unit sales to budgeted ending finished goods inventory, and subtracting budgeted beginning finished goods inventory.
We do not use work-in-process to prepare the production budget. One of the underlying assumptions of the master budget process is that there are no work-in-process units.
We need to add the ending finished goods units to the sales units because these units must all be produced in the period. We then deduct the beginning finished goods units, because these units are already on hand.
A production budget can therefore look like this:
Production Budget
Budgeted sales units
40,000
Ending finished goods inventory
6,000
Total units required
46,000
Units in beginning inventory
-4,000
Estimated Production Units
42,000",Budgeted Production: Budgeted production is used in the master budget process to determine the raw materials purchases and the number of direct labor hours the company will need for each production period. It also affects the budgeted balance sheet because it is used to calculate the budgeted ending inventory asset.
3,All of the following are categories sometimes used in budgets except:,Sunk costs.,Fixed costs.,Semi-variable costs.,Variable costs.,A,"The correct answer is
a. Sunk costs.
Budgeting is a forward-looking process. Therefore, only those costs that are yet to be incurred are considered when making budgetary decisions. Also, sunk costs have already been incurred and cannot be recovered, irrespective of the actions taken. As a result, these costs are not used in the budgeting process.
The other options are incorrect.
b.
Fixed costs:
Costs like rent, property tax, insurance premium, etc. that need to be incurred irrespective of the units sold are called fixed costs. These costs are yet to be incurred and hence are an integral input of the budgeting process.
c.
Semi-variable costs:
The costs that remain fixed up to a certain level of activity, but increase if this level is breached are called semi-variable costs. Expenses like lighting, overtime, etc. fall into this category. Since a business incurs these costs to achieve the budgeted performance, these costs are included in the budgeting process.
d.
Variable costs:
The costs that vary with the level of production are called variable costs. It includes the cost of raw materials, shipping charges, sales commissions, etc. These costs are included in the budgeting process because they are yet to be incurred.","Budget: A budget is a quantitative plan for a specific period, defining the revenue and expenses a company expects to earn and make during the specific period. In addition, it also judiciously allocates scarce resources to different business processes and units."
4,"In a production budget, total required production units are the budgeted sales units plus:",beginning finished goods units.,desired ending finished goods units.,desired ending finished goods units plus beginning finished goods units.,desired ending finished goods units minus beginning finished goods units.,D,"The correct answer is the d. desired ending finished goods units minus beginning finished goods units.
The required production units are calculated by determining the estimated sales and the finished goods inventory in hand. The difference in the number of units is the required number of units to be produced.
The explanation for incorrect answers:
Option A is incorrect as using only beginning finished goods inventory is incomplete.
Option B is incorrect as using only ending finished goods will not calculate the correct number of production units required.
Option C is incorrect as the ending and beginning inventory is subtracted to calculate the required inventory in the period.",Production Budget: The production budget is designed by the management to estimate the number of products to be manufactured. It is designed based on the sales forecast and the budgeted amount of finished inventory. This budget only estimates the units to be produced and not the number of units.
5,Which of the following is an element of a master budget?,An employee turnover budget.,A waste and spoilage budget.,A production schedule.,A labor efficiency budget.,C,"The correct option is c) A production schedule.
The production schedule or production budget is prepared after the sales budget has been completed. It uses the estimated sales units and the desired Finished Goods inventory levels to determine how many units must be produced in each budget period. This information is then used to calculate direct materials, direct labor, and manufacturing overhead costs for each period.
The employee turnover budget, waste and spoilage budget, and labor efficiency budget are not budgets that are included in the master budget.","Elements of the Master Budget: A company's master budget is a collection of budgets that are used to plan and control its operations. The budgets are prepared in a logical sequence starting with the sales budget, because information from one budget is used to prepare the next."
6,Required production during a planning period will depend on the:,beginning inventory of products.,sales during the period.,desired level of ending inventory.,All of the above.,D,"Correct answer:
Option D) Al of the above.
Explanation:
The formula we use to determine the required production is given below:
Required production = Sales during the period + Desired level of ending inventory - Beginning inventory of products.",Required Production: A production budget is dependent on the sales budget in order to determine the required production needed during a planning period. Required production needs enable a company to prepare beforehand to arrange the cash to meet the costs of production.
7,The production budget determines the number of units to be produced during the period.,True,False,,,A,"The correct choice is
a.True
The statement ""the production budget determines the number of units produced during the period"" is true.
The production budget is one of the operating budgets that manufacturing companies prepare to indicate the units to be manufactured. Other operating budgets are the sales budget, direct materials budget, direct labor budget, and the overhead budget. In the budgeting process, the first step is to estimate the expected sales and then prepare a sales budget. After having the sales budget we prepare the production budget. Other than having the sales estimates we must also consider the required ending inventory to determine the number of units to produce. The reason we consider ending inventory needed is to reduce the possibility of a stock out.","Production Budget: The budgeting process is very important for planning purposes because it allows management to estimate and allocate resources. Budgets of various types are prepared and combined to form the master budget. Sales budget, production budget, capital expenditure budget, and financial budget are among the budgets an organization prepares. The budget compares needs to resources and indicates whether it will be in deficit or surplus."
8,Total output is maximized when:,marginal product equals zero.,average product equals zero.,marginal product is maximized.,average product is maximized.,A,"The correct option is
a. Marginal product equals zero
.
According to the law of variable proportion, the total output is maximized in stage 2. In this stage, the marginal product becomes zero as producing one more unit of output, keeps the additional cost the same. Furthermore, the average product declines as it is the ratio of total product and output produced.","Total Cost: In the production theory, the total cost is depicted as the sum of the fixed cost and variable cost. The fixed cost is the cost that does not depends on the production level whereas, the variable cost is directly related to the production cost."
9,Which of the following describes the production budget?,It aids in planning to ensure the company has adequate inventory and cash on hand.,It gives the quantity of finished goods to be manufactured during a budget period.,It depicts the breakdown of sales on the basis of terms and conditions of collection of sales revenue.,It helps in planning to ensure the business has adequate cash.,B,"The statement that describes the production budget correctly is option B.
The production budget's bottom line is the budgeted units of finished products for production, which is calculated as:
{eq}\begin{align}

\text{Budgeted production} &= \text{Budgeted sales + Desired ending inventory - Beginning inventory} \\

\end{align}

{/eq}
Analysis of other options
Option A.
Cash on hand makes the statement incorrect since the data for that does not appear on the production budget but on the cash budget.
Option C.
The collections of sales revenue data report on the cash budget, not the production budget.
Option D.
The budget that helps ensure adequate cash is the cash budget, which shows all cash receipts and cash disbursements.","Production Budget: Production budget shows the budgeted sales units, the firm's desired ending finished goods inventory units, the beginning finished goods inventory units, and the budgeted number of units to produce during the period."
10,Production estimates for August are as follows:,"$1,170,000 for A; $702,000 for B","$1,125,000 for A; $675,000 for B","$1,080,000 for A; $648,000 for B","$1,080,000 for A; $1,296,000 for B",C,"Let us first calculate the quantity to be manufactured as below:
Production quantity = Sales + Ending inventory - Beginning inventory
Production quantity = 75,000 units + 9,000 units - 12,000 units
Production quantity = 72,000 units
Let us now calculate the total direct material to be purchased as below:
Particulars
Direct Material A
Direct Material B
Production quantity
72,000 units
72,000 units
Direct material required per unit
3 lbs
0.5lbs
Direct material units required
216,000 units
36,000 units
Direct material cost per unit
$5
$18
Direct material to be purchased
$1,080,000
$648,000
As per the above calculation the correct option is C.",Production budget: A production budget is knowing the quantity to be manufactured so that the requirement of sales and ending inventory is met by the company. The purpose of preparing the production budget is that the company can prepare in advance for the cost that will be incurred to manufacture the estimated quantity of product.
