id,question,A,B,C,D,Answer,Explanation,Hint
1,A tax on buyers will cause the _____ schedule to shift _____.,demand; down,demand; up,supply; down,"supply, up",A,"The correct option is a.) demand; down
.
A tax on buyers signifies that a sum of money is collected from the consumers while purchasing certain goods through increased price. An increase in the price of these goods reduces the incentives of the consumers to purchase or consume these goods, which results in a fall in demand for goods. Thus, it will eventually cause a left and downward shift in the demand curve. Further, it will cause the equilibrium price and quantity to fall. However, the incidence of the supply and the demand curve would determine the percentage of the burden borne by the entities.
Reasons for incorrect options:
Option b.)
The option is partially correct as a tax on buyers would shift the demand schedule downward, not upward.
Option c.)
The tax on buyers would affect the demand curve and cause a left shift first, not the supply curve.
Option d.)
A tax on the buyers would induce the consumers to demand less, causing a left shift in the demand curve.","Taxation: In economic terms, taxation refers to a certain sum of money collected by the government from either the sellers or buyers on purchasing or producing goods and services. Taxation decreases the incentives of the entities."
2,The income tax base for an individual tax return is:,Adjusted gross income.,Gross income.,Adjusted gross income minus AGI deductions.,Realized income from whatever source derived.,C,"The correct option is
c. Adjusted gross income minus AGI deductions.
The income tax base for an individual tax return is calculated based on the adjusted gross income (AGI) minus AGI deductions. Adjusted gross income is the amount left over after tax-deductible expenses and other deductions have been subtracted from gross income. Interest on loans, money put away for retirement, and self-employment taxes are all eligible for this category of deductions. The income tax base, which is determined by subtracting an individual's AGI deductions, is the sum that is used to compute their income tax liability.
Explanation for other options:
a. Adjusted gross income: Income tax bases are determined in large part by deductions, which are ignored by calculating adjusted gross income alone.
b. Gross income: Income tax bases are incorrectly estimated when using gross income because it does not take into account any adjustments or deductions.
d. Realized income from whatever source derived: The phrase ""realized income from whatever source derived"" is too general and does not include all of the necessary deductions and adjustments for computing an individual's taxable income.","Tax Structure: The government needs the money to run the country. So there is a mechanism in the country that issues, implements,  and controls tax laws. The purpose is to get the maximum amount to be spent on expenditures."
3,Property taxes on the CEO's office is categorized as:,Direct material cost.,Direct labor cost.,Manufacturing overhead cost.,general and administrative costs.,D,"The correct option is
d. general and administrative costs.
The CEO's office property taxes are a non-production and non-sales related expense and as such fall under the category of general and administrative costs. Management and general administration of the business necessitate these expenditures. Rent, utilities, office supplies, insurance, administrative staff salaries, and property tax are all examples of general and administrative costs.
Reasons why other options are incorrect:
a.
Direct material cost:
This option is not correct because the CEO's office is not directly related to the raw materials used in production, this is the wrong choice.
b.
Direct labor cost:
The CEO's office is not part of the direct labor used in production, so this option is incorrect.
c.
Manufacturing overhead cost:
The CEO's office property taxes are unrelated to the cost of production overhead, so this choice is incorrect.
d.
selling and marketing cost:
The CEO's office is not part of the company's sales and marketing department, so this choice is incorrect.",Tax: Tax refers to the amount of money that the government collects from the people and the revenue based on their earnings. The government makes a budget every year where they define the tax rate and charge the taxes accordingly.
4,No tax system is perfect and hence a state of balance has to be maintained in designing any tax system. True or false?,True,False,,,A,"The given statement is
true
.
Trade-offs and considerations are always necessary when designing a tax system. This includes balancing factors such as equity, efficiency, simplicity, and administrative feasibility. Tax systems are designed to balance various goals, such as raising revenue, promoting fairness, and stimulating economic growth. These goals can often conflict with each other, making it difficult to find a perfect balance. Moreover, different individuals and groups have different views on what constitutes a fair and efficient tax system. So, no tax system is perfect, and finding a balance between competing goals is essential during the design process.","Tax: Tax is a mandatory financial charge or levy imposed by a government on individuals, businesses, or other entities to fund public expenditures and government activities. Taxes may be imposed on income, profits, property, transactions, goods and services, imports and exports, wealth, or various other activities or assets."
5,"""We should lower taxes to encourage more work"" is a positive statement.",True,False,,,B,"False
A positive statement is a statement that expresses the truth. It's not an opinion but a fact. Such statements are based on facts and figures. The given statement is not a positive statement. There are no facts to back this, as this is one writer's opinion. This statement expresses what one should do and is not a factual statement. Lowering taxes may or may not encourage more work as it can depend on various factors like what kind of tax system a country follows.","Tax: Tax is the mandatory amount that you have to pay to the government to provide you with the economic system to make income. It can be regressive, progressive, or proportionate to income."
6,Tax avoidance can lead to fines and jail.,True,False,,,B,"The statement is
False
Tax evasion is an activity of the people or the company to willfully defraud the government, and hence the punishment could be jail time or a fine. Tax avoidance comes from tax planning, and the government supports this activity to save taxes for the people.",Tax: Tax is the amount of money charged by the government based on the earnings of the citizen and the company in a financial year. The money is used for various welfare and socioeconomic activities.
7,"As a result of an increase in the personal income tax rate, consumers are likely to:",spend less,spend more,earn more money,save more,A,"The correct option is A.
Consumers are likely to spend less due to increased personal income tax rates.
An increase in the income tax rate would leave the consumers will lesser disposable income. Due to this reduction, the consumers will not be able to buy the same quantities of items and services as before the increase in the tax rate. Moreover, they would have to prioritize their needs and spend accordingly. This situation will lead to a decrease in aggregate demand or aggregate expenditure. Hence, an increase in the income tax rate would leave the consumers will less purchasing power and make them lessen their spending.
Reasons for incorrect options are
Option B.
A reduction in the income tax rate would increase spending, not an increase in the income tax rate.
Option C.
An increase in tax rate discourages hard work as the authorities take most of the income. So they will not be motivated to earn more money.
Option D.
An increase in rate of interest would encourage individual to save more, not an increase in tax rates.","Personal Income Tax: Personal income tax is also called individual income tax and is one of the direct taxes. It is levied on the earnings of a person, like interest, salaries, as well as other income sources. It is one of the major sources of tax revenue for the government in a country."
8,"Mr. and Mrs. Jones, both over age 65, elect joint return status. They must file a return for 2019 if their combined gross income equals or exceeds:",$1,"$24,400","$25,700","$27,000",D,"Option
B
is the correct answer.
The age, income, and status of the income earners will all affect whether a return is filed, but the amount of taxable income also matters a lot.
The tax rates are established based on the tax slabs, and a standard deduction may be claimed. The standard deduction for married couples filing jointly and surviving spouses in 2019 is $24,400.","Return Status It is now being evaluated and processed by the IRS. The Return Received status may last longer than anticipated. If a couple is married, they may decide to submit a joint tax return and check their Return's status."
9,The federal tax deduction for mortgage interest and local property taxes is referred to as a _____.,grant,luxury tax,tax expenditure,revenue,C,"The correct solution to this problem is provided by
choice C: tax expenditure
.
The solution suggested above is based on the definition of the term ""tax expenditure"" provided by the United States Treasury. It is defined as the losses of revenue due to tax deductions, exemptions, and exclusions. Below are reasons why the other choices are incorrect.
Choice A is incorrect since a grant refers to money given to an individual or an organization for a specific purpose (e.g., for conducting scientific research).
Choice B is incorrect since it refers to a type of tax, not a tax deduction.
Choice D is incorrect since tax deduction means a loss of revenue for the government.","Taxes: Taxes are among the main sources of income for a government. It can be defined as a mandatory payment that has to be completed by individuals or organizations that can be based on several things (e.g., income and value of goods)."
10,Tax avoidance is illegal.,True,False,,,B,"It is
b. False
to say that tax avoidance is illegal. Tax avoidance is a legal process of reducing taxpayers' portion of tax responsibilities in an economy. It is the process of lowering the amount of tax owed based on the deductions available to taxpayers, such as an individual taxpayer's tax burden being reduced by deductions and tax credits. The purpose of implementing these strategies is to encourage individuals to save money in various ways. Some examples may include:
A homeowner claiming the mortgage interest deduction.
A parent claiming credit for childcare expenses.
An individual maxing out annual contributions in retirement investment.",Tax: A tax is a portion of an individual or company's taxable income imposed by the governments of many countries. It is used for infrastructure development and other services provided by the government.
