id,question,A,B,C,D,Answer,Explanation,Hint
1,"Dothan Inc.'s stock has a 25% chance of producing a 17% return, a 50% chance of producing a 12% return, and a 25% chance of producing a -18% return. What is the firm's expected rate of return?",5.81%,5.75%,6.27%,4.43%,B,"The firm's expected rate of return is
5.75%
. Thus, option b is correct.
Calculation:
Probability (A)
Return(B)
Expected return (A*B)
25%
17%
4.25%
50%
12%
6.00%
25%
-18%
-4.50%
Total
5.75%","Investment Return: The return on investment is the proportion of annual income earned on the investment. Returns are affected by many factors, like risk, policies, market conditions, etc. Investors have to analyze all these factors before making any investment decision."
2,Paper dollars:,are fiat money and gold coins are commodity money.,are commodity money and gold coins are fiat money.,and gold coins are both fiat monies.,and gold coins are both commodity monies.,A,"The correct answer is Option A) are fiat money and gold coins are commodity money.
Fait money is the currency which is issued by the government which cannot be backed with the help of physical commodity like silver and gold but with the help of the government which issued that currency. The value of that money is measured by the relationship between the demand and supply and the stability of the issuing government instead of the worth commodity which is used for backing and the gold coins are considered as the commodity money.","Dollars: Dollars are the currency which is used in the countries like U.S, Canada, Australia and other countries that belong from the Caribbean, SE Asia, Pacific, and Africa. It is used as the measure of exchange."
3,The total rate of return is equal to the?,sum of the coupon rate and the current yield.,yield to maturity.,sum of the current yield and the actual rate of capital gain or loss.,sum of the current yield and the expected rate of inflation.,B,"The correct option is
B. Yield to maturity
.
The term YTD or Yield to Maturity can be defined as the total rate of return that person or investor earns from trading in bonds when all the interest payments and the original principal amount are being repaid.",Bonds Market: The bonds market can be defined as a financial market wherein potential market participants trade in the exchange of the debt securities that can be issued by either government or corporations.
4,"The past five monthly returns for PG Company are 1.75 percent, -2.5 percent, 4.75 percent, 4.2 percent, and 2.5 percent. What is the average monthly return?",15.73%,10.73%,3.15%,2.15%,D,"The average monthly return will be the simple average of the five monthly returns. Therefore,
Average monthly return
= {eq}\displaystyle \frac{1.75 -2.5 + 4.75 + 4.2 + 2.5}{5} {/eq}
= 2.14
The correct answer is
d. 2.15%",Trend Analysis: Trend analysis is a very popular stock performance observation and analysis tool used by valuation analysts for valuing a stock accurately. The simple average of return percentages from past periods is the initial calculation done to gain insight into a company's performance over the past periods.
5,"Tammy can buy an asset this year for $1,000. She is expecting to sell it next year for $1,050. What is the asset's anticipated percentage rate of return?",0 percent.,5 percent.,10 percent.,15 percent.,B,"The correct option is
b. 5 percent
.
Mathematically, the anticipated rate of return can be estimated as:
The anticipated rate of return = Value of asset (Next year) - Value of asset (This year) / Value of asset (This year) * 100
The anticipated rate of return = ($1050-$1000)/$1000 * 100
The anticipated rate of return = 50/1000 * 100
The anticipated rate of return = 5%","Interest Rate: In macroeconomics, the interest rate is the rate charged by the lender while lending money or any productive resource in the economy. It is charged above the principal value of money lent."
7,"Suppose you deposit $2,000 today and your account will accumulate to $4,000 in 10 years. What is the rate of interest?",7.12%,7.15%,7.18%,7.21%,C,"Option C. 7.18% is the correct answer.
Calculation of rate of return using present value formula:
Present Value (PV) = $2,000
Future Value (FV) = $4,000
Period = 10 years
Rate of return =?
{eq}\begin{align*}

FV &= PV{\left( {1 + r} \right)^n}\\

\$ 4,000 &= \$ 2,000{\left( {1 + r} \right)^{10}}\\

\$ 2 &= {\left( {1 + r} \right)^{10}}\\

r &= 7.18\%

\end{align*}

{/eq}",Return on investment Return on investment can be defined as a metric used to gauge the performance of an investment or a business during a specific period of time generally a reporting period. This metric is used by investors to gauge their returns made from investments made in financial securities.
8,You pay $20 to get $28 one year from today. What is your return on investment?,40%,108%,140%,80%,A,"The answer is
a. 40%
Given information:
Initial outlay = $20
Future value = $28
Estimate the return on the investment:
{eq}ROI = \displaystyle\frac{Future\:value - Initial\:outlay}{Initial\:outlay} {/eq}
{eq}ROI = \displaystyle\frac{\$28 - \$20}{\$20} {/eq}
{eq}ROI = 40\% {/eq}",Return On Investment (ROI): ROI is a financial ratio to measure how profitable an investment will be based on its expected return. It is estimated by the expected return divided by the initial cash outlays.
10,"The S&P 500 index delivered a return of 15%, -5%, 25%, and 10% over four successive years. What is the arithmetic average annual return per year?",13.50%,16.88%,11.25%,12.38%,C,"The correct answer is
C. 11.25%.
Given information:
Rate of return in year 1 (r1) = 15%
Rate of return in year 2 (r2) = -5%
Rate of return in year 3 (r3) = 25%
Rate of return in year 4 (r4) = 10%
Estimate the arithmetic average rate of return, given information:
{eq}\text{Arithmetic average return} = \displaystyle \frac{r1 + r2 + r3 + r4}{4} \\ \text{Arithmetic average return} = \displaystyle \frac{15\% - 5\% + 25\% + 10\%}{4} \\ \text{Arithmetic average return} = \displaystyle 11.25\% {/eq}",Arithmetic Average Return: The arithmetic average return is a common metric to evaluate an investment within a specific study period. This average return is estimated by the sum of the annual rate of return by the number of years in the study period.
11,"An investment center generated a contribution margin of $200,000, fixed costs of $100,000. The center's average operating assets were $500,000. How much is the return on investment?",20%,60%,40%,140%,A,"The correct option is
(A) 20%
Computation of net income
Amount
Contribution Margin
$200,000
Less: Fixed Costs
$100,000
Net Income
$100,000
{eq}\text{Return on investment} = \dfrac{\text{Net Income}}{\text{Average operating assets}} * 100

{/eq}
{eq}\text{Return on investment} = \dfrac{\$100,000}{\$500,000} * 100

{/eq}
{eq}\text{Return on investment} = 0.20 * 100

{/eq}
{eq}\text{Return on investment} = 20\%

{/eq}",Return On Investment: The return on investment helps us to compare different investment alternatives. It shows the net income from investment as a percentage of the average investment. Business select investment with a high return.
12,Which of the following statements is(are) true?,"The shorter the span of a moving average, the smoother the forecast.","To seasonalize a number, simply multiply that number by the appropriate seasonal index.",A major drawback of simple exponential smoothing is that a large amount of historical data must be stored.,,C,"The correct answer is below.
c.	A major drawback of simple exponential smoothing is that a large amount of historical data must be stored.
The other answers are incorrect due to the following reasons:
a. The shorter the span of a moving average, the more erratic the forecast.
b. Seasonalizing a number can be done in a number of ways, but the process is more complicated than simply multiplying a number by a seasonal index.  At a minimum, work must be done to continually maintain an appropriate index.","Arithmetic average: An arithmetic average is a sum of occurrences divided by the number of occurrences in the data set.  The formula is commonly used to measure financial performance, economic prices, and the sizes and weights of different things."
