id,question,A,B,C,D,Answer,Explanation,Hint
1,"The table below contains data for the country of Batterland, which produces only waffles and pancakes. The base year is 2013.","$ 320,",$440,$760,$770,C,"The correct answer is
Option C) $760
.
Real GDP indicates the total value created during a year through producing and providing goods and services, particularly at constant prices.
In the given scenario, 2013 is the base year. Therefore, we will use the prices of 2013 for the quantities generated in 2011 to determine the real GDP in 2011.
{eq}\begin{align*} \text{Real GDP in 2011} &= \text{(Quantity of Waffles in 2011 × Price of Waffles in 2013) + (Quantity of Pancakes in 2011 × Price of Pancakes in 2013)} \\ &= \rm {(100\,units × \$4) + (120\,units × \$3)} \\ &= \$400 + \$360\\ &= \$760 \end{align*} {/eq}","Factors Contributing to GDP: Factors contributing to GDP include government spending, consumer spending, business investment, and net exports. When these factors increase, GDP tends to grow as well. Per Capita GDP is calculated using the GDP and a country's total population, and it is a measure of the average economic output per person."
2,"If a man marries his hired housekeeper, the value of GDP:",rises,"falls, but the value of national income rises","rises, but the value of national income falls",falls,D,"The correct option is
d. Falls
.
We know that the GDP measures the monetary worth of all the furnished services and products that a country produces in a given period. In this case, the man marries the hired housekeeper, the housekeeper now becomes his wife; therefore, he will not pay her now for the domestic services done by her. So the value of GDP declines.","Income: In economics, income is the sum of money that a person can earn by supplying his/her labor services at a given period. There are other sources of income like interest rate, rent received, et cetera."
3,Household production and the underground economy:,Is irrelevant because it constitutes only a very small fraction of GDP for  most countries,Are important but unaccounted for in the commerce Department's estimate of GDP,Are not considered formal production of goods and services therefore are not included in GDP accounting,Are fully accounted for in GDP figures gathered by the commerce department,B,"The correct option is
B. Are important but unaccounted for in the Commerce Department's estimate of GDP
.
The production made by households for mutual help and the unaccounted/illegal production of services are products are not included while estimating the GDP as the data is not available regarding these services. Furthermore, these services and products are hidden to be estimated.  Hence, both the household production and underground economy are crucial but unaccounted for by the Commerce Department while estimating the GDP of a nation.","Household: The household is considered as one of the production factors that helps a nation to produce its final services and products by rendering its labor services at an existing wage rate. Thus, the household comprises labor services in an economy."
4,"Suppose that a country's GDP rises from $5000 to $8000 and over the same period, prices have risen by 50%. In this case, real GDP has",risen.,fallen.,stayed the same.,"risen, then fallen over the period.",B,"The correct answer choice is
B. fallen
Determine the percentage change in the country's GDP as below:
{eq}\begin{aligned}   \%\text{ change in GDP}&=\frac{\text{Initial GDP}-\text{New GDP}}{\text{Initial GDP}}\times 100 \\   &=\frac{\$8,000-\$5,000}{\$8,000}\times 100 \\   &=37.5  \end{aligned}

{/eq}
The increase in nominal GPP is 37.5% while the price by 50%. Since the real GDP equals the nominal GDP divided by the price level, a higher increase in prices relative to the nominal GDP implies a fall in the real GDP.
Additional information:
A. The real GDP will decrease and not increase. As such, the option is incorrect.
C. Since the percentage change in nominal GDP and the price level are not the same, the real GDP will change rather than stay the same. As such, the option is incorrect.
D. The real GDP will not rise since the prices increase more than the nominal GDP. This makes the option choice incorrect.","Real GDP vs Nominal GDP: The GDP or the gross domestic product can be defined as the money value of all the final goods and services that are produced domestically by a country during a given fiscal year. When one talks about the nominal GDP of a particular year, it implies the value of all final goods and services produced during that year measured at the price level of that year only. On the other hand, the real GDP  for a given year is estimated by measuring the value of that year's products based on the price level in the base year."
5,"If spending exceeds output, real GDP will decline as firms cut back on production.",True,False,,,B,"In Economics, spending is another term for Consumption, and it is one of the major components of GDP. Effectively spending is the product of output (quantity) and its prices, and this is called Nominal GDP.  So, when spending exceeds output, it means spending (Nominal GDP) increases due to an increase in prices. Higher prices will encourage firms to produce more since at higher prices they are more likely to make profits. Thus, the given statement is
b.false.","Real GDP Real GDP refers to the market value of domestically produced goods and services after controlling for the changes in prices. Mathematically, Real GDP is given as: {eq}Real \ GDP = Quantity \ in \ the \ current  \ year \times Prices \ in \ the \ base \ year (price  \  held \ constant)

{/eq}"
6,"If the money supply is $100, the velocity of money is 4, and the price level is 2.5, find real GDP.",10,62.5,101.5,160,A,"The real GDP will be computed using the following formula:
{eq}\text{Money supply} \times \text{Velocity of money = Price level} \times \text{Real GDP}

{/eq}
Therefore, substituting the information given to our formula, we get:
{eq}\$100 \times 4 = 2.5 \times \text{Real GDP}

{/eq}
{eq}\$400  = 2.5 \times \text{Real GDP}

{/eq}
{eq}\text{Real GDP}=\dfrac{ \$400}{2.5}

{/eq}
{eq}\text{Real GDP}=\$160

{/eq}","Money Features: There are various forms of money. One of them is paper money, commonly known as fiat money. Some of the features of money include:"
7,Which of the following accurately characterizes the distribution of real GDP per capita internationally?,Real GDP per capita is relatively uniform across countries.,Real GDP per capita varies greatly across countries.,The disparity between wealthy countries and poor countries in real GDP per person has become smaller over the last 1000 years.,Why some countries develop more quickly than others is a complete mystery.,B,"The correct option is
B) The real GDP per capita varies greatly across countries.
Every country has different resources, supply, demand, and economic and political conditions. These factors decide the GDP of the country. The country must have rich resources and political intent to boost its GDP and, hence, its real GDP per capita. So real GDP per capita varies greatly across countries. The per capita GDP of America is far different than that of India.
The reason for wrong options.
a) The GDP is never uniform and ever-changing.
c) The GDP gap has increased in the past 1000 years.
d) There is no mystery because some countries have rich natural resources and political intent.","Gross Domestic Product: Gross domestic product is the monetary outcome of the production activities in the country for a period. A developed country has higher economic activities and, hence, a higher GDP."
8,Suppose you are given the following data:,"Less than $400,000","Between $400,000 and $550,000","Between $550,000 and $700,000","Between $700,000 and $850,000",C,"The correct option is
Option (c.)
.
The GDP deflator can be calculated by taking the ratio between the nominal and real GDP and then multiplying it by 100. It can be denoted as:
{eq}{\rm\ GDP}\,{\rm\ Deflator}\,{\rm\  = }\,\dfrac{{{\rm\ Nominal}\,{\rm\ GDP}}}{{{\rm\ Real}\,{\rm\ GDP}}}{\rm{ \times 100}}

{/eq}
The given value of nominal GDP is $700,000, and the value of the GDP deflator is 120. Thus, the real GDP can be calculated as follows:
{eq}\begin{align*}

{\rm\ GDP}\,{\rm\ Deflator}\,&{\rm\ = }\,\dfrac{{{\rm\ Nominal}\,{\rm\ GDP}}}{{{\rm\ Real}\,{\rm\ GDP}}}{\rm{ \times 100}}\\

&{\rm\ 120 = }\dfrac{{{\rm\ 700,000}}}{{{\rm\ Real}\,{\rm\ GDP}}}{\rm{ \times 100}}\\

{\rm\ Real}\,&{\rm\ GDP = }\dfrac{{{\rm\ 700,000}}}{{{\rm\ 120}}}{\rm{ \times 100}}\\

&= 583,333.333

\end{align*}

{/eq}
Thus, the real GDP for 2013 is $583,333.333
.
Reasons for incorrect options are
Option (a.)
The value of real GDP, as calculated by the formula of GDP deflator, is found to be $583,333.333, which is greater than $400,000.
Option (b.)
The real GDP from the calculation does not fall between $400,000 and $550,000.
Option (d.)
The real GDP calculated is the ratio between the nominal GDP and the GDP deflator, which is found to be $583,333.333 and is not within the given range.
Option (e.)
The value of the real GDP is less than $850,000, and it is found to be within the range of $550,000 and $700,000.","GDP Deflator: In economic terms, the GDP deflator measures the price level of all final commodities and services produced within an economy in a given period. It is similar to the consumer price index (CPI) as it is also used to measure an economy's inflation or deflation rate. However, the GDP deflator considers all final commodities and not a certain commodity bundle."
9,"If real GDP per capita in the United States is currently $50,000 and grows at 2.5% per year, how many years will it take to reach $200,000?",Approximately 60 yearsB. Approximately 56 yearsC. Approximately 84 yearsD. Approximately 28 years,,,,B,"The formula for calculating the future value of real GDP can be computed by using the following formula:
{eq}\rm GDP_{t+1} = GDP_{t}(1+g)^t

{/eq}, where:
{eq}\rm GDP_{t+1}

{/eq} is the future value of real GDP per capita
{eq}\rm GDP_{t}

{/eq} is the current value of real GDP per capita
{eq}\rm g

{/eq} is the growth rate of real GDP (in %)
{eq}\rm t

{/eq} is the time in years
To calculate the number of years,
t
, we'll substitute the given values into our formula to get:
{eq}\begin{align*}

\rm GDP_{t+1} &= \rm GDP_{t}(1+g)^t \\

\rm 200000 &= \rm 50000(1+0.025)^t \\

\rm \frac{200000}{50000} &= \rm (1+0.025)^t  \\

\rm 4&=\rm (1.025)^t  \\

\rm \ln(4) &= \rm t\ln(1.025) \  (\text{Introducing logs}) \\

\rm t &= \rm \frac{\ln(4)}{ln(1.025)} \\

\rm t &= \rm 56 \  \text{years}  \\

\end{align*}

{/eq}
Thus, the correct solution is
B. Approximately 56 years.","Real GDP per Capita: Real GDP per capita is the market value of goods and services per person in the economy measured at constant prices. Mathematically, Real GDP per capita is given by the following equation: {eq}\text{Real GDP Per Capita}=\frac{\text{Real GDP}}{\text{Population}}

{/eq}"
10,The long-term increase in the real GDP is called:,Economic growth.,Business cycles.,Economic progress.,Technological progress.,A,"The correct option is
a). Economic growth.
The fact that the GDP is rising means that production and consumption activity in the economy are increasing. So overall, this is economic growth because consumption is the ultimate activity of economic activities. Due to higher production, the unemployment rate is also low, and the majority of people have purchasing power in the economy.
The explanation for other options
Option b is not correct because ups and down the economy is a business cycle
Option c is not correct because economic progress only compares the production activity.
Option d is not correct because technological progress is an enhancement in technology.","Real GDP: The real gross domestic product is the monetary value of the produced goods and services in the economy and is also adjusted for inflation. Higher real GDP is better for any economy, and it indicates economic prosperity."
11,GDP is an important indicator because it is used as a measure of all of the following except,environmental quality.,average living standards.,economic growth.,business-cycle fluctuations.,A,"The correct answer is option a - environmental quality.
a.
The option is true. Environmental quality is not considered a part of GDP. The reason is, environmental quality does not mean it adds to the total amount of commodities that are produced in the economy. Environmental quality does not mean that it will add up as a part of GDP as it does not produce any output to the economy.
b.
GDP is considered to be the market value of all finished commodities that are produced in an economy. Therefore, GDP does not measure the average standard of living. Hence, it is an incorrect option.
c.
The option is false as GDP ensures the amount of economic growth in the economy. The reason being when the GDP increases the economic growth of the economy also increases.
d.
The option is not true as GDP is an important indicator for fluctuations in the business cycle. GDP indicates whether an economy is going through inflation, recession, or depression.
e.
The option is false. GDP refers to the market value of commodities that are produced in an economy during a particular period. GDP does not measure the average income of households.","Economic Growth Economic growth refers to the rise in the production of commodities in a country during a given period.  Thus, it is measured by the aggregate value of the commodities that is measured by the GDP of the country."
12,Individuals live and work as both individual and aggregate economic entities.,True,False,,,A,"The correct answer is a-
True.
The individual production that occurs in the economy is a part of the individual supply and is a part of the aggregate supply. Thus, it can be said that the output produced by an individual supplier becomes a part of the aggregate entities. Another example is the combination of the individual demand makes the market demand which is also a part of the aggregate measure.","Economic Inputs In a free-market economy, there are various inputs that are required to produce a certain level of output. Some of the inputs required to produce a certain level of output are land, labor, and capital."
13,Which of the following is a shortcoming of GDP?,it excludes changes in inventories,it includes an estimate of illegal transactions,it excludes quality of products,it includes business investment spending,C,"The answer is
c, it excludes quality of products
. It is correct to say that GDP is an imperfect macroeconomic indicator. GDP only captures spending on newly created goods and services within a certain period of time. GDP can not capture changes in the quality of the goods and services purchased. Sometimes quality improvements cause more spending and higher prices, while other times the economy creates higher quality products at lower prices and causes less spending. For example, modern cars can drive more miles than older cars, which means households might purchase a new car less frequently than they had in prior years. Alternatively, clothing might be produced at a lower quality causing consumers to purchase clothing more frequently. GDP can not capture these quality differences, only the quanties of goods and services purchased by domestic households, firms, governments and foreigners.
Answers A and D, refer the part of GDP captured by spending by private businesses. This part of GDP is referred to as investment and is not a shortcoming of GDP calculation. Most countries do not include an estimate of illegal transactions (also called black market spending) in their GDP, which is not a shortcoming.","Macroeconomics: Macroeconomics is a social science that seeks to answer questions about the overall performance of an economy, usually a country. Typically, questions are answered using either positive economic statements or normative economic statements. Positive economic statements or answers are given just as facts or data. Positive statements are not debated, whereas normative economic statements are given with some sort of opinion or philosophy. Normative statements and answers can and are debated by economists and policymakers. Often a normative statement will have a ""should"" or ""would improve"" in the answer. Both types of answers are helpful to creating monetary and fiscal policies for countries."
14,Comparing real GDP between two consecutive years is most useful in determining which economic measurement?,equilibrium price,equity,economic growth,exchange rates,C,"The best answer is c.
Comparing real GDP between two consecutive years is most useful in determining which economic measurement?
a. equilibrium price
No, the equilibrium price results from the interaction of supply and demand in a market.
b. equity
No, equity means the value of shares of stock issued by a company.
c. economic growth
Yes, this is the best answer. Gross Domestic Product (GDP) measures economic growth after adjusting for inflation.
d. exchange rates
No, exchange rates determine the relative value of different currencies.",Real GDP: Real GDP is short for real Gross Domestic Product (GDP). Gross Domestic Product measures the economic output of an economy over time. Real GDP means the inflation value has been adjusted out of the number.
15,Which of the following is most commonly used to monitor short-run changes in economic activity?,The inflation rate.,Real GDP.,Aggregate demand.,Aggregate supply.,B,"Option B, Real GDP
is correct.
Real GDP is measured as the total value of goods and services produced in an economy. Real GDP is adjusted for inflation and monitors short-run changes in economic activity. It measures how the economy is performing in the short term.
Option A: The inflation rate is the rate at which the price of goods increases over a period of time. Hence, option A is wrong.
Option C: Aggregate demand measures the total demand for goods produced in an economy. It consists of consumer goods, exports, imports, etc., and does not monitor deviations in the short term. Hence, option C is wrong.
Option D: Aggregate supply is the total quantity produced by producers in a given period at a given price. Aggregate supply has a positive correlation with the price level and aggregate supply. Hence, option D is wrong.","Economic Fluctuations: Economic fluctuations are determined by business cycles. During a recession, output falls, unemployment increases, and central banks decrease interest rates to bring the economy back on track. At their peak, output and employment surged, followed by a surge in interest rates."
16,"Consider an economy that produces only DVDs and DVD players. Last year, 10 DVDs were sold at $20 each, and 5 DVD players were sold at $100 each, while this year 15 DVDs were sold at $10 each, and 10 DVD players were sold at $50 each. Real GDP this year using last year as the base year is:","$1,300",$100,$700,$300,A,"The correct option is
option a)
.
As known, real GDP is calculated using the base year rate and given year quantities. The real GDP in the given year for 15 DVDs and 10 DVD players at base year rates will be:
{eq}\begin{align*}

{\rm{Real GDP}} &= (\$ 20 \times 15) + (\$ 100 \times 10)\\

&= \$ 300 + \$ 1000\\

&= \$ 1300

\end{align*}

{/eq}
Hence the real GDP for the given year, taking the last year as the base year, is $1300.
Reasons for incorrect options are
Option b)
The given figure is the rate of the DVD player in the base year.
Option c)
The given figure has no relevance to the given problem.
Option d)
The given figure of $300 is the earnings made by selling DVDs in the current year at base year rates.","GDP - Real and Nominal: GDP accounting is the total earnings in a nation from the sale of ultimate items and amenities. There are two kinds of GDP accounting based on the period in consideration, real and nominal. When the base along with the current year is considered, the real GDP is calculated, and when only the current year is considered, nominal GDP is calculated."
