id,question,A,B,C,D,Answer,Explanation,Hint
1,"In a year in which common stocks offered an average return of 18 percent, Treasury bonds offered 10 percent and Treasury bills offered 7 percent, the risk premium for common stocks was:",1 percent,3 percent,8 percent,11 percent,D,"Correct answer: Option D) 11%.
Explanation:
Risk premium = Expected average return - Return from Treasury bills
Risk premium = 18% - 7%
Risk premium = 11%","Risk Premium: The excess of the expected return over the risk-free return is called the risk premium. Under the capital asset pricing model, the required return is determined by adding the product of the beta coefficient and the risk premium to the risk-free return. The risk premium represents a compensation for investing in highly-risky securities."
2,"Using the dividends-based approach, estimate the return on investment for an investment that has a dividend yield of 7% and a dividend growth of 1%.",6%,7%,8%,9%,A,"Let us compute the return on investment using the dividends-based approach. The formula is:
{eq}Expected\:return = \dfrac{Dividends}{Price\:of\:stock} + Growth\:rate \\

OR \\

Expected\:return = Dividend\:yield + Growth\:rate

{/eq}
Since we know the dividend yield and the dividend growth rate, we use the second formula.
{eq}Expected\:return = Dividend\:yield + Growth\:rate \\

Expected\:return = 7\text{%} + 1\text{%} \\

Expected\:return = 8\text{%}

{/eq}
The estimated return on investment is
c. 8%.",Dividends-Based Approach: The dividends-based approach is a method used to determine the expected rate of return. The return is based on the dividends received from investing in a stock and the dividends' growth.
3,"You've observed the following returns on Crash-n-Burn Computer's stock over the past five years: 2 percent, -10 percent, 25 percent, 20 percent, and 13 percent. The average inflation rate over this period was 3.2 percent and the average T-bill rate was 4.2 percent.",5.28%,4.12%,0.66%,5.80%,D,"The answer is
d. 5.80%.
Given information:
Return in year 1 (r1) = 2%
Return in year 2 (r2) = -10%
Return in year 3 (r3) = 25%
Return in year 4 (r4) = 20%
Return in year 5 (r5) = 13%
Risk-free rate = 4.2%
Study period (N) = 5 years
Determine the average rate of return for the 5 years:
{eq}\text{Average return} = \displaystyle \frac{r1 + r2 + r3 + r4 + r5}{N} \\

\text{Average return} = \displaystyle \frac{2\% - 10\% + 25\% + 20\% + 13%}{5} \\

\text{Average return} = \displaystyle 10\% {/eq}
Determine the average risk premium on this stock:
{eq}\text{Average risk premium} = \displaystyle \text{Average return} - \text{Risk-free premium} \\

\text{Average risk premium} = \displaystyle 10\% - 4.2\% \\

\text{Average risk premium} = \displaystyle 5.8\% {/eq}","Risk Premium: The risk premium on investment refers to an excess return between the investment's rate of return and the risk-free rate. Alternatively, this risk premium can be treated as a required additional return on the investment that an investor gives up the risk-free investment."
4,Which one of the following statements is correct based on the period 1926-2013?,Long-term government bonds had more volatile annual returns than did the long-term corporate bonds.,The standard deviation of the annual rate of inflation was less than 3%.,The geometric average annual return on large-company stocks was higher than the average arithmetic return on those same stocks.,The risk premium on small-company stocks was less than 10%.,D,"The correct answer is ""d. The risk premium on small-company stocks was less than 10%.""  The historical market risk premium for equities has averaged between 3.5% and 5.5% the last century.  Small cap stocks are at the higher end of the spectrum, given their inherently higher degree of volatility relative to large cap stocks.","Market Risk Premium: This question calls for a basic understanding of the concept of the market risk premium.  Essentially, the market risk premium is the difference between the expected return of an equity portfolio and the risk-free rate of return, which is generally considered to be the yield on a U.S. Treasury bill."
5,Given the following data:,5.6%,7.6%,11.7%,None of the given answers,A,"Option
C
. 11.7% is the correct answer.
Given information:
Risk-free rate
4%
Average risk premium
7.7%
Computation of the required rate of return:
Given the following data:
Risk-free rate
4%
Add: Average risk premium
7.7%
Required rate of return
11.4%
Therefore, the required rate of return is
11.4%.",Average Risk Premium: The increased return investors anticipate earning while investing in a risky asset instead of a risk-free asset is the average risk premium. Investors need this premium in exchange for taking on more risk.
6,"If the average annual rate of return for common stocks is 11.7 percent, and 4.0 percent for U.S. Treasury bills, what is the average market risk premium?",15.7 percent,4.0 percent,7.7 percent,Not enough information is provided.,C,"Correct option is 7.7% (C).
The calculation for the average market risk premium is shown below.
Particulars
Amount
Average annual return
11.70%
Less:
Risk-free rate
4%
Average market risk premium
7.7%",Market Risk Premium: The market risk premium is the difference between the risk-free rate of return and the estimated return of the market. The market risk premium is used in the calculation of the capital asset pricing model.
7,"Calculate the required rate of return for Avy Inc., assuming that the company has a beta of 1.10, while investors expect treasury bills to be yielding 3.0%, with a market risk premium is 5.0%.",8.50%,10.83%,11.40%,12.00%,A,"The required rate of return is 8.50% (a)
The calculation is shown below.
Required rate of return = Risk-free rate + (Beta * Market risk premium)
Required rate of return = 3% + (1.1 * 5%)
Required rate of return = 3% + 5.50%
Required rate of return = 8.50%",Risk-Free Rate: The total return generated by government-backed securities is known as a risk-free investment. The value of the risk-free return is used in the capital asset pricing model to calculate the expected return of the common stock.
8,Which of the following factors contribute to the existence of firms?,All of these factors contribute to firm existence.,Risks associated with specialization,Incomplete contracts,Willingness of some people to take on risk in exchange for residual income,D,"The correct option is
D) Willingness of some people to take on risk in exchange for residual income
.
Starting your own firm carries risk as there is always the possibility that the firm may fail and all the money put into it will be lost. As result, only people who are willing to take on this risk open their own firms. They do so because they know that if they are successful, they will be rewarded for taking the higher risk in the form of a risk premium.","Firms: A firm is an entity that produces goods and services. For any economy to function, firms are necessary as firms are the ones who allocate resources for the production of goods and services."
9,The historical record fails to show that investors have received a risk premium for holding risky assets.,True,False,,,B,"The statement is b. False. Investors engaged in the U.S stock market experience a substantial risk premium over the decades. The U.S stock market often deals with risky investments via common stocks. And one can analyze in the historical records that the investor may receive the risk premium over holding the investments on the common stock rather than on risk-free assets, such as a treasury-bill.","Investor The investor is an individual who invest money on investments and provide capital to the business with a motive to earn returns in the future. The person can invest in different avenues, like stock, commodities, as well as financial securities."
10,Which of the following is the formula used to describe the components of risk premium?,Risk Premium= Expected Return + Projected Return,Total Returns= Expected Return + Unexpected Return,Unexpected Returns = Systematic Portion + Unsystematic Portion,Risk Premium = Expected Return - Risk-Free Rate,D,"The correct formula for risk premium is option D.
Market risk premium is a rate difference between:
market's expected return, which is obtained from the historical returns of the market
risk-free rate, which is determined from zero risk investment, like treasury bonds
So, the formula is:
{eq}\begin{align}

\text{Risk premium} &= \text{Expected market return - Risk-free rate} \\

\end{align}

{/eq}
Analysis of other options
A. It is an incorrect formula of risk premium since expected return is reduced by risk-free rate, not increased by projected return.
B. It is a formula for total return, not risk premium.
C. The formula is for unexpected returns, not risk premium.","Risk Premium: The risk premium is a part of calculating the expected return under the capital asset pricing model (CAPM), which applies to the computation of stock price."
11,A risk premium is:,the difference between the earnings of a low-risk asset and a high-risk asset.,a premium paid to a security holder to compensate him for bearing higher risk.,both A and B,none of the above,A,"Option A (the difference between the earnings of a low-risk asset and a high-risk asset.) is correct.
Reason: It is because risk premium shows the maximum probable yield which an asset can provide to an investor in excess of a low-risk or risk-free return.
Explanations for Incorrect Options:
Option B: This option is partially incorrect because it didn't mention lower risk. Even an investor investing in a low-risk asset will also pay a premium to the security holder for bearing a low risk.
Option C: Option B did not mention the low-risk investors.
Option D: Option A elucidated upon the definition of risk premium.","Risk Whenever an investor takes a risk in an investment decision, it refers to what extent he is exposing himself to an uncertain situation where an investor can have a probability of losing money instead of getting a return."
12,"For a given set of possible cash flows, as the required risk premium for a project increases, its price must decrease to entice investors to purchase the asset.",True,False,,,A,"Correct Answer: True
When the required risk premium increases, the project's discount rate also increases. With the maximization in the discount rate, the discounted value of net cash flows decreases. So, the price must also decrease for the asset so that the positive value is generated from the project. Hence, with an increase in the risk premium, the price must decrease to generate positive value addition and entice investors to purchase the asset.","Risk Premium: The risk premium is a projects' incentive whose value increases with decreasing cash flows predictability. While searching for different shares, a potential shareholder looks at whether this incentive matches with the shareholders' desired incentive or not."
13,The risk-free rate of return is 4.2 percent and the market rate of return is 8.5 percent. What is the expected return for a stock with a beta of 1.4?,11.90 percent,16.10 percent,10.22 percent,12.70 percent,C,"The expected return for a stock is 10.22% (C).
Calculation is shown below:
Expected return = Risk-free rate + (Beta * (Market rate of return - Risk-free rate))
Expected return = 4.2% + (1.4 * (8.5% - 4.2%))
Expected return = 4.2% + (1.4 * 4.3%)
Expected return = 4.2% + 6.02%
Expected return = 10.22%",Risk-Free Rate of Return: The total return generated by government-backed securities is considered to be a risk-free return. The total return generated by risk-free investment is considered a benchmark for other investments.
14,"Desreumaux Inc's stock has an expected return of 12.25%, a beta of 1.25, and is in equilibrium. If the risk-free rate is 5.00%, what is the market risk premium?'",5.80%,5.95%,6.09%,6.25%,A,"The correct answer is
A) 5.80%
Given information:
Expected return = 12.25%
Beta = 1.25
Risk-free rate = 5.00%
Let's calculate the market risk premium:
{eq}\begin{align*}

{\rm{Market}}\;{\rm{risk}}\;{\rm{premium}} &= \frac{{{\rm{Expected}}\;{\rm{return}} - {\rm{Risk}}\;{\rm{free}}\;{\rm{rate}}}}{{{\rm{Beta}}}}\\

&= \frac{{12.25\%  - 5\% }}{{1.25}}\\

&= 5.8\%

\end{align*}

{/eq}
If the risk-free rate is 5.00%, the market risk premium is 5.80%.","Market Risk Premium: The market risk premium is the extra return an investor gets to ensure they may invest in a stock or portfolio instead of risk-free securities. Due to the increased risk, the portfolio's return is higher."
15,"In a year which common stocks offered an average return of 18 percent, Treasury bonds offered 10 percent and Treasury bills offered 7 percent, the risk premium for common stocks was:",1 percent.,3 percent.,8 percent.,11 percent.,D,"Correct Answer: Option D. 11 percent.
Explanation:
Risk premium = Expected average market return - Risk-free return
Risk premium = 18% - 7%
Risk premium = 11%
The risk-free return is indicated by the rate on treasury bills.",Risk Premium: The difference between the market return and the risk-free return is called the risk premium. The risk premium is multiplied by the stock beta and added to the risk-free return to determine the expected return.
16,The return on a security includes premiums for:,market risk and unique risk.,unique risk and firm-specific risk.,diversification and portfolio risk.,time value of money and market risk.,D,"The answer is
D. time value of money and market risk
.
The market risk premium is the part of a security's return that exceeds the risk-free rate of return. It measures the compensation an investor gets for choosing an investment riskier than a market investment. On the other hand, the premium for the time value of money is the return an investor gets as a consequence of the waiting period for receiving the money initially invested. Hence, it is typically larger for securities with longer maturities and vice versa.",Risk Premium: A risk premium is an excess return an investor is going to gain from holding risky security. It is treated as compensation for investing in risky assets rather than in risk-free securities such as Treasury bonds.
17,"Historically speaking, the market risk premium in Italy has been higher than that of the United States.",True,False,,,A,"The answer is a. true.  In recent history, the United States has exhibited stronger economic growth and less volatile year-to-year experience.  Italy has been hampered by a heavy debt load and an unusually high level of unemployment.  Given the higher degree of uncertainty and downside exposure in Italy, its market risk premium has been higher than that of the United States.",Market Risk Premium: A market risk premium is the incremental return one can expect (above the risk-free rate) for investing in the public equities market of a given economy.
18,A safe dollar is always worth less than a risky dollar because the rate of return on a safe investment is generally low and the rate of return on a risky investment is generally high.,True,False,,,B,"The answer is b. False.  When contemplating the discounting process for a safe dollar versus a risky dollar, the former will be subject to a lower discount rate than the latter.  The lower rate will have a smaller discounting effect on the safe dollar than the risky dollar.  This will result in a larger present value for the safe dollar than the risky dollar.","Risk vs. Reward: A fundamental tenet of investing is the risk/reward tradeoff.  Generally, this is a fairly strong direct relationship between risk and return.  Higher levels of one correspond with higher levels of the other.  Lower levels of one correspond with lower levels of the other."
19,The stock of United Industries has a beta of 1.26 and an expected return of 11.8. The risk-free rate of return is 5 percent. What is the expected return on the market?,12.31,7.83,6.80,10.40,D,"The correct answer is Option
D) 10.40%
.
Given Information
{eq}\begin{align*}

{\rm\text{Let}}\;{R_m}\;{\rm\text{be}}\;{\rm\text{the}}\;{\rm\text{expected}}\;{\rm\text{return}}\;{\rm\text{on}}\;{\rm\text{market}}\\

\end{align*}

{/eq}
{eq}\begin{align*}

\beta  &= 1.26\\

E(r) &= 11.8\% \\

{R_f} &= 5\%

\end{align*}

{/eq}
Computation of expected return on market
Using CAPM Model,
{eq}\begin{align*}

E(r) &= {R_f} + \beta  \times \left( {{R_m} - {R_f}} \right)\\

{R_m} &= \left( {\dfrac{{E(r) - {R_f}}}{\beta }} \right) + {R_f}\\

&= \dfrac{{11.8\%  - 5\% }}{{1.26}} + 5\% \\

&= 5.40\%  + 5\% \\

&= 10.40\%

\end{align*}

{/eq}
Thus, the expected return on market is 10.40%.",Expected Return on Market: The expected return on the market can be calculated using the CAPM model. The market risk premium is the return over and above the risk-free rate of return used for calculating expected return.
20,Zoom stock has a beta of 1.46. The risk-free rate of return is 3.07 percent and the market rate of return is 11.81 percent. What is the amount of the risk premium on Zoom stock?,8.09%,12.76%,9.59%,10.25%,B,"Option B) is correct.
The amount of the risk premium on Zoom stock is 12.76%.
Risk premium = Beta * (Market return - Risk-free rate)
Risk premium = 1.46 * (11.81% - 3.07%)
Risk premium = 1.46 * 8.74%
Risk premium = 12.76%",Risk Premium: Risk premium refers to the difference between market return and the return generated by the asset. The risk premium is calculated while determining the total return generated by a particular asset.
