id,question,A,B,C,D,Answer,Explanation,Hint
1,A stock with an actual return that lies above the security market line has:,more systematic risk than the overall market.,more risk than that warranted by CAPM.,a higher return than expected for the level of risk assumed.,less systematic risk than the overall market.,C,"Answer
is c. A higher return than expected for the level of risk assumed.
SML depicts different combination of risk and return. In other words, it shows the expected return for a certain level of risk.
A stock which lies above the SML has an actual return greater than the expected return for a certain level of risk.",Security Market Line Security market line is a graphical representation of the capital asset pricing model(CAPM). The required return is plotted on the vertical axis and the systematic risk(beta) on the horizontal axis.The SML is a straight line which indicates the required return an investor should earn in the market for any level of systematic risk.
2,The slope of the security market line (SML) is _____.,the beta coefficient,the risk-free interest rate,the market risk premium,the required return on the market portfolio,C,"The correct answer is
C. the market risk premium.
The slope of the security market line represents the difference between the risk-free rate and the expected market return. Hence, it refers to the market risk premium. Alternatively, this slope is the reward-to-risk ratio at a specific level of systematic risk.
A. Incorrect. The beta coefficient is presented in the horizon axis of the SML graph. Hence, it is not a measure of the slope.
B. Incorrect. The risk-free rate is fixed on the SML, which is not a slope.
C. Correct.
D. Incorrect. The expected return is presented in the vertical axis of the SML graph.","Security Market Line (SML): The security market line is a graphic demonstration of the relationship between systematic risk and the expected return on a security. Alternatively, the SML can be treated as a presentation of the capital asset pricing model (CAPM)."
3,The security market line displays the relationship between expected return and beta.,True,False,,,A,"The correct answer to the given question is option
a. True
.
The security market line displays the relationship between the expected return on a given security and the beta value associated with that security. The beta value indicates the sensitivity of returns generated by a given security to the returns generated by a benchmark market index.","Security Market Line: In the parlance of economics and statistics, the CAPM (Capital asset pricing model) is used to determine the required rate of return or expected return for a security by using various independent variables. The CAPM model can also be represented graphically by means of security market line."
4,Which of the following statements is CORRECT?,"Beta is measured by the slope of the security market line.b. If the risk-free rate rises, then the market risk premium must also rise.c. If a company's beta is halved, then its required return will also be halved.d. The slope of the security market line is equal to the market risk premium.",,,,D,"The statement
(d.)  The equation of the SML is Y = Intercept + Slope * β, where Y is the expected return, the intercept is the risk-free rate, and the slope is the market risk premium
is CORRECT.
a. Beta is measured by the slope of the security market line.
- Incorrect. Beta is on the x-axis. It is not the slope of the line.
b. If the risk-free rate rises, then the market risk premium must also rise.
- Incorrect. The market risk premium is the market return minus the risk free rate.   Everything else the same, an increase in the risk free rate will reduce the market risk premium.
c. If a company's beta is halved, then its required return will also be halved.
- Incorrect. The effect of beta on expected return depends on the slope of the security market line.","Security Market Line: The security market line (SML) is a plot that relates risk (measured by β on thex-axis) and return (measured by expected return on they-axis). Thus, the SML is a graphical representation of the capital asset pricing model (CAPM)."
5,Which of the following is correct?,"According to the CAPM (capital asset pricing model), the intercept of the security market line should be equal to zero.","According to the CAPM (capital asset pricing model), the intercept of the security market line should be equal to the expected risk premium on the market portfolio.","According to the CAPM (capital asset pricing model), the intercept of the security market line should be equal to the risk-free rate.","According to the CAPM (capital asset pricing model), the intercept of the security market line should be equal to the expected return on the market portfolio.",C,"Answer
c. According to the CAPM, the intercept of the security market line should be equal to the risk free rate.
EXPLANATION:
According to the CAPM,
{eq}Er = Rf + B(Rm - Rf)

{/eq}
where
Er
is the expected return on a security
Rf
is the risk free rate
B
is beta of security
Rm
is expected return on the market portfolio
The above equation indicates that higher the beta, the higher the expected return and vice versa.
The security market line is obtained by depictiong the CAPM graphically. The horizontal axis (X axis) represents the risk of the security (Beta) and the vertical axis (Y axis) represents the expected return.The security market line shows the expected rate of return at any level of risk.
The
Rf
or risk free rate in the CAPM equation is the intercept and
Rm - Rf
is the slope of the security market line.
In other words, the security market line cuts the Y axis at the risk free rate where beta of the security is equal to zero.","Security Market Line The capital asset pricing model describes the linear relationship between the risk of a security as measured by its beta, and its expected return. The graphic presentation of the CAPM is known as the security market line."
6,Which of the following represents a plot of the relation between expected return and systemic risk?,"The beta coefficient,","The covariance of returns line,","The security market line,",The variance.,C,"Answer
is C The security market line
According to CAPM, the required rate of return on a security can be calculated as follows:
Expected rate of return = Risk free rate + Beta (Market return - risk free rate)
Higher the beta of the security, higher will be the expected return.
This relationship can be plotted on a graph with beta on the horizontal axis and the expected return on the vertical axis. When the CAPM is plotted on a graph, we would get the security market line (SML) which is a straight line.
The SML shows the the required return an investor should earn for any level of systematic risk (beta)",Security Market Line The capital asset pricing model (CAPM) states that a security's expected return is a linear function of its beta ( or systematic risk). The security market line is a graphic presentation of the CAPM
7,Which one of the following statements is correct?,Underpriced security will plot above the security market line.,Any portfolio that is correctly valued will have a beta of 1.0.,A portfolio that contains at least 30 diverse individual securities will have a beta of 1.0.,,A,"A. Correct.
A security that plots above the security market line (SML) has an expected return higher than the one predicted by the capital asset pricing model (CAPM).  A higher than expected return means that the current security price is lower than its intrinsic value.  So the security is underpriced.
B. Incorrect.
Any portfolio will have the same reward-to-risk ratio, but not necessarily the same β
C. Incorrect
Such a portfolio is considered well diversified.  Its beta will be the weighted average of the betas of individual stocks.  So the beta of the portfolio cannot be expected to be 1.0.","SML: The security market line is a plot that relates the market risk of securities (measured by β) and their expected return.  The market risk is plotted on the x-axis and the expected return on the y-axis.  As the name suggests, the relationship between risk and return is a line."
8,"What would you recommend to an investor who is considering an investment which, according to its beta, plots below the security market line (SML)?",Invest; return is high relative to risk.,Don't invest; risk is high relative to return.,Invest; stocks revert to the SML over time.,Don't invest; stocks below the SML have too much unique risk.,B,"Option b
is the correct answer.
The SML line represents the expected return in comparison to its risk. One should invest in assets or portfolios that appear above the SML line, as those securities are undervalued and investable. One should avoid investing in assets that are below the SML line as these exhibit higher risk and low returns.
Option a: Assets below SML should be avoided as they exhibit lower returns relative to risk. Hence, option a is wrong.
Option c: It is not necessary that the stock will revert back to SML over time. Hence, option c is wrong.
Option d: Stocks below SML do not represent a unique risk as it just considers the systematic risk of the asset. Hence, option d is wrong.",Security Market Line: The security market line is a graphical representation of the Capital Asset Pricing Model. It is used by fund managers and investors to determine whether investing in a certain asset or portfolio will yield an expected return in comparison to its risk.
9,An underpriced security will plot:,on the SML.,below the SML.,above the SML.,either above or below the SML depending on its covariance.,C,"c. above the SML.
An under-priced security  will plot above the SML because it has a higher expected return than the assets on the SML (i.e. correctly priced)",Security Market Line The security market line (SML) is a graphical representation of the capital asset pricing model (CAPM) . It is a straight line showing the relationship between the market risk of various assets against the expected return.
10,The statute of limitations for the deduction of a worthless security is five years.,True,False,,,B,"The statement is false that The statute of limitations for the deduction of worthless security is five years.
The correct statement is that The statute of limitations for the deduction of worthless security is seven years. Therefore the taxpayer has time to claim the loss from worthless security is for seven years and not for five years.",worthless security: Worthless security is security such as bonds or stock that have no value in the market. The IRS always helps the taxpayer advising to sell or exchange such securities at the end of the tax year. These securities can be sold out through the public trading system or through private mode.
