id,question,A,B,C,D,Answer,Explanation,Hint
1,"What should you pay for a stock if next year's annual dividend is forecast to be $5.25, the constant-growth rate is 2.85%, and you require a 15.5% rate of return?",$41.50,$38.87,$31.25,$42.68,A,"Correct option is $41.50 (a).
The calculation for the stock price is shown below.
{eq}Stock \ price \ = \ \dfrac{Annual \ dividend}{Rate \ of \ return \ - \ Growth \ rate}

\\

Stock \ price \ = \ \dfrac{\$5.25}{15.5\% \ - \ 2.85\%}

\\

Stock \ price \ = \ \dfrac{\$5.25}{12.65\%}

\\

Stock \ price \ = \ \dfrac{\$5.25}{0.1265}

\\

Stock \ price \ = \ \$41.50

{/eq}",Stock Valuation: Stock valuation is the process of determining the intrinsic value at which the stock can trade in the stock market. One method is to discount all the future cash dividends using the required rate of return.
2,Accounting and reporting for equity securities where the company has 20 - 50% ownership use which of the following methods?,Equity.,Consolidation.,Fair value.,Amortized cost.,A,"The correct answer is A, i.e., equity
Explanation:
(A) Equity method:
When one firm, the investor, significantly influences another company, the investee, the equity method is employed. A corporation is said to have substantial influence when it owns between 20 and 50 percent of the equity of another company.
Companies that own less than 20% of another company's stock could have considerable influence on the company. If they do, then, they must also apply the equity approach.
The explanation for incorrect options:
(B) Consolidation method:
The subsidiary and the parent business balances are reported in a single statement. Thus, the term ""consolidated"" is under the consolidation technique. When using the consolidation approach, a parent business adds all of the revenue from a subsidiary to its own.
(C) Fair value method:
The fair value accounting method is followed when assessing the company's liability in its present market. In other words, ""fair value"" is the price at which one might sell an asset while still being fair to the seller and the buyer.
(D) Amortized cost:
A fixed asset's amortized cost is the portion of its cost charged to expenses through depreciation or amortization. Intangible fixed assets are notably reduced through amortization, and tangible fixed assets are notably reduced through depreciation",Equity method: The equity method is an accounting method used when investing in another company. It is used when the investor controls 20 to 50% of voting stock and gets the right to vote on any decision in investing company.
3,"If a stock pays a constant annual dividend, then the stock can be valued using the:",present value of an annuity due formula,perpetuity present value formula,present value of an ordinary annuity formula,payout ratio formula,B,"The correct answer is option
B. perpetuity present value formula
.
The present value of a perpetuity is computed as follows:
{eq}\begin{align*} &= \dfrac{\text{Annual payment}}{\text{Discount rate}} \end{align*} {/eq}
Similarly, the value of a stock that is expected to pay a constant annual dividend is computed as follows:
{eq}\begin{align*} &= \dfrac{\text{Constant annual dividend}}{\text{Required rate of return}} \end{align*} {/eq}",Stock Valuation: The value of a stock is ascertained by taking a sum of all discounted values of all the expected cash flows. These cash flows are usually the dividend payments and the prospective selling price of the stock.
4,An investor should purchase a stock when:,the market price is greater than the justified price.,the capital gains rate is less than the required return and no dividends are paid.,the market price exceeds the intrinsic value.,the expected rate of return equals or exceeds the required return.,D,"Option D
is the correct answer.
When the expected rate of return is higher than the required one, the investor will make a profit. If the rate is the same, he will make neither a profit nor a loss. Hence, option D is right.
Option A: When the market price is higher than the justified price, the security is overvalued and should be avoided for investment purposes. Hence, option A is wrong.
Option B: When the capital gain rate is lower than the required rate of return, the investor will end up incurring a loss. Hence, option B is wrong.
Option C: When the market price exceeds the intrinsic value, the security is overvalued and should not be purchased. Hence, option C is wrong.",Stocks: Stocks are one of the most return-enhancing investments. One can earn an inflation-beating return with stocks and at the same time earn current income. One will profit from stocks by buying at a cheaper price and selling at a higher price.
5,Preferred stockholders receive a dividend preference over common stockholders.,True,False,,,A,"This statement is true.
As preference shareholders are those, who have a preference right to receive the dividend at the time of dividend distribution with a predetermined fixed rate over the common stockholders. And Preference shareholders are given priority in the payment of capital at the time of liquidation over the equity shareholders.",Shareholders 'Equity: Shareholders' equity is the investment of funds made by the company's owners into the business. This investment includes the funds directly invested in the business and reinvested profits or income.
6,"How much of a stock's $30 price is reflected in PVGO if it expects to earn $4 per share, has an expected dividend of $2.50, and a required return of 20%?",$0,$6,$8,$10,D,"The correct answer is:
D. $10
The present value of growth opportunity is calculated as
{eq}PVGO=P-\dfrac{EPS}{r}

{/eq}
Where:
{eq}P

{/eq} is the current price of a stock,
{eq}EPS

{/eq} is the earning per share and,
{eq}r

{/eq} is the required rate of return or the cost of capital.
Therefore, given the information in the question, the PVGO is equal to
{eq}PVGO=\$30-\dfrac{\$4}{0.20}\\[0.3cm]

PVGO=\$30-\$20\\[0.3cm]

PVGO= \boxed{\$10}

{/eq}","Present Value of Growth Opportunities In finance, the present value of growth opportunities (PVGO) determines the present value of reinvesting the future earnings. In simple terms, it is the present value of a company's growth."
7,Dick Dowen is considering three investment opportunities:,A 4.5% city of Chicago bond that is tax-exempt at both state and federal levels.,A 4.75% state of Illinois bond that is tax-exempt at the federal level but taxable at the state level.,A 6.7% McDonald's corporate bond that is taxable at both the state and federal levels.,,A,"The Answer is A
Effective after-tax rate of return:
Effective after-tax rate of return = Pretax interest rate x (1 - Federal tax rate) x (1 - State tax rate)
A. Determine the effective after-tax return of the City bond:
Effective after-tax return = 4.5%
B. Determine the effective after-tax return of the State bond:
Effective after-tax return = 4.75% x (1 - 6%) = 4.47%
C. Determine the effective after-tax return of the corporate bond:
Effective after-tax return = 6.7% x (1 - 6%) x (1 - 30%) = 4.41%
Conclusion:
According to the estimate after-tax returns, bonds from the City of Chicago has the highest yield.Therefore, the answer is C.","Treasury Bonds: Treasury bonds are debentures issued by the government to fund its upcoming expenditures. Usually, interest earnings from Treasury bonds will be exempt from income tax."
8,Which one of the following is a requirement of the two-stage dividend growth model?,both growth rates must be less than the discount rate,one of the two growth rates must exceed the discount rate,the first growth rate must exceed the second growth rate,the second growth rate must be less than the discount rate,E,"Correct Answer: E
The discount rate must be higher than the second growth rate in the two-stage growth model. The denominator term in the stock valuation model requires reducing the second growth from the discount rate. If the growth rate is high, the stock value will turn negative. A zero growth rate will yield an infinite value. So the second growth rate must be less.
An explanation for incorrect options:
Option A: First growth rate is not necessary to be higher than the discount rate. The reason is that difference between the first growth rate and the discount rate is not applicable in the formula.
Option B: Second should not exceed; there is no choice anyone can exceed.
Option C: There is no restriction in the relationship between the two growth rates.",Second Growth Rate: The growth rate applicable after the initial growth rate in the two or multi-stage growth model is known as the second growth rate. The second growth rate will also serve as the final growth rate in the two-stage model.
9,Who determines the market price of a share of common stock?,The board of directors of the firm,The stock exchange on which the stock is listed,The president of the company,Individuals buying and selling the stock,B,"Correct Answer:
Option b. The stock exchange on which the stock is listed
.
A company's common stock refers to the capital it raises by issuing its shares to investors. Common stock can be valued using the dividend growth model and a few other valuation models.
Options
Analysis
a. The board of directors of the firm.
The board, elected by the common stockholders, determines the dividend per share, not the market price.
b. The stock exchange on which the stock is listed.
The stock's market price is determined by the market forces and the stock exchange in which the stock is listed. In the US, the stock exchange is New York Stock Exchange (NYSE).
c. The president of the company.
The market price per share is not a company's decision. It bases on the market and the stock's volatility to the market changes.
d. Individuals buying and selling the stock.
Individuals who trade stock cannot determine the stock price. They trade for the stock based on the market price of the share, which depends on the market forces.","Stock Valuation: Stock valuation helps investors make investment decisions. An investor can choose from various models of valuation, such as the dividend growth model and the free cash flows model, to determine a stock's intrinsic value."
10,The dividend growth model is based on the assumption that the dividend either remains constant or increase by a positive amount each year.,True,False,,,B,"The correct answer is option
B) False
.
The dividend growth model is based on the assumption that the expected dividend either increases or decreases by a constant percentage each year. The value of a stock, as per this model, is given by:
{eq}P = \dfrac{D_1}{(r - g)}

{/eq}
where,
P = Value of the stock today
D1 = Dividend to be paid next year
r = Required rate of return
g = Expected constant growth rate of dividends","Stock Valuation: The stock valuation of a firm can be done using methods such as the discounted cash flow method, constant growth rate model, or dividend discount model. The value can be compared with the stock's market price to see if the stock is fairly valued."
