id,question,A,B,C,D,Answer,Explanation,Hint
1,The number of shares of a class of stock that are outstanding is:,the number of shares authorized minus the number of shares issued.,the number of shares authorized minus the number of shares held as treasury stock.,the number of shares issued minus the number of shares held as treasury stock.,the number of shares issued minus the number of shares owned by directors.,A,"The correct answer is
option a. the number of shares authorized minus the number of shares issued.
The number of shares authorized is the total number of shares that are allowed to be issued to the investors. If we say issued stock, it means the number of stock issued out of those authorized shares. Meanwhile, the outstanding stock is the difference between the authorized stock and the issued stock. In layman's terms, we simply refer to outstanding stock as unissued stock. Accordingly, the correct answer is option
option a. the number of shares authorized minus the number of shares issued.","Stocks: In business and finance, stocks refer to the ownership that are issued by a business establishment. The one who purchase stocks is called the stockholder/investor."
2,The basic unit of stock is called a(n),authorization.,ownership record.,certificate.,share.,D,"The correct choice is option D. Share
A. Authorization: The shares need to be authorized for the duration of the issue as found in the prospectus given by the firm.
B. Ownership record: This is the record that denotes an individual or an entity that owns the shares of an enterprise.
C. Certificate: This is legal proof that could be in physical form or electronic form that shows the ownership of holding shares in an enterprise.
D. Share: It is a basic unit that a shareholder can own and is a piece of the stock in an enterprise.","Corporate Finance (CF) Corporate finance is a vital field of finance that includes the funding source, how the funds are managed, and making investments. The kinds of funding for a firm are equity, debt, and internal financing."
3,Cyclical stocks tend to perform well when other stocks are performing well also.,True,False,,,A,"The statement is true. The returns on cyclical stocks are directly related to the economic cycle of the economy. When the economic cycle passes through a boom period, then the cyclical stocks tend to produce high volatility and provide greater returns. Generally, the other stocks also perform well in such an economic period.","Stock Stock can sometimes refer to as equity that represents the ownership of a corporation. It can be seen in two forms, via preferred and ordinary stock. It is one of the ways to increase the wealth of investors. But it poses risks."
4,The following data were reported by a corporation:,"1,500.","34,000.","6,000.","32,500.",D,"We find the number of outstanding shares by subtracting the treasury stock from the issued shares:
$38,500 - $6,000 =
d) $32,500
Treasure stock are shares that are taken out of circulation and held by the company, so they are not included in the calculation for outstanding shares.",Stocks: A stock is an investment product that offers equity in a company with the promise of rights and payments of dividends. The issuance of stocks is noted by a company as increasing outstanding shares on the balance sheet.
5,The random walk theory of stock prices indicates that,"if they are willing to research, even beginning investors will be able to pick the stocks that will increase most in price in the future. research, even beginning investors will be able to pick the stocks that will increase most in price in the future.",managed mutual funds will persistently earn a higher rate of return than indexed funds.,current stock prices already reflect information about factors influencing future stock prices that can be forecast with any degree of accuracy.,stock market investors can expect to earn a steady real rate of return of about 7 percent annually.,C,"Answer: C
The random walk theory argues that stock prices follow a random walk and thus can't be predicted. It argues the price of a stock reflects all public information and thus doing extra research will not help an investor earn an above-market rate of return.",Stock Market: The past decades in financial markets has seen a rise in indexed funds and a fall in actively managed funds. Most believe this trend was caused by the Federal Reserve's actions and the greater adoption of 401k accounts.
6,Which classification of stock is considered residual equity?,Preferred stock,Common stock,Treasury stock,All classifications,B,"The correct option is
(B.) Common Stock.
Common stock represents the ownership of the company. They are entitle to receive the residual portion in case of liquidation of the company. The will receive their share only after all external creditors have been paid.",Stocks: Stocks are financial securities that indicates the owners' share in the pool of resources. Stock can be common stock or preferred stock depending on their nature.
7,Which of the following would not be a reason for the market price of Bishop Corporation stock to decrease?.,The general condition and future outlook of the economy are shaky.,There has been a recent decrease in key interest rates.,Investors expect Bishop's financial performance to decline in the future.,Bishop's net income for the current year was lower than last year.,B,"b) A recent decrease in key interest rates
would not be a reason for the market price of Bishop Corporation stock to decrease.
The decrease in interest rates means that investors will seek other investments to protect their assets and this usually means an increase rather than a decrease in stock market prices. By contrast, a rising interest rate disincentivizes the risk stocks and lowers their prices as compared to bonds and loans.
Analysis of Alternatives
a) Is a systemic force that would cause stock prices to fall.
c) and d) are both company-specific reasons that would suggest that the stock market price would fall for Bishop Corporation.",Stocks: A stock is a share of ownership in a company that entitles the holder to certain rights and future benefits. The value of a stock is determined by the market trading price for investors and is influenced by multiple factors.
8,At least one class of stock must have,voting rights.,liquidation rights.,preemptive rights.,dividend rights.,A,"The correct answer is option
A. voting rights.
Major corporations have at least two classes of stocks. These stocks are common stocks and preferred stocks. Common stocks are stocks that have voting power. Meanwhile, preferred stocks do not have voting power, but they are preferred when there are dividend payments. Accordingly, it is correct to say that at least one class of stock must have voting rights.","Stocks: In business and finance, stocks are ownership held by the investors in a particular company. These stocks are reported in the equity section of the statement of financial position."
9,"On January 1, 2016, Caifeng Foods issued stock options for 40,000 shares to a division manager. The options have an estimated fair value of $5 each. To provide additional incentive for managerial achievement, the options are not exercisable unless Caifeng's stock price increases by 5% in four years. Caifeng Foods initially estimates that it is not probable the goal will be achieved. How much compensation will be recorded in each of the next four years?","$10,000","$45,000","$50,000",No effect,C,"The correct option is (C) i.e. $50,000
Calculation of the total compensation:
{eq}\begin{align*}{\rm\text{Total compensation}} &= {\rm\text{No}}{\rm\text{. of shares issued}} \times {\rm\text{Cost per share}}\\ &= 40,000 \times \$ 5\\ &= \$ 200,000\end{align*}

{/eq}
Calculation of compensation recorded in each year:
{eq}\begin{align*}{\rm\text{Compensation of 1 year}} &= \frac{{{\rm\text{Total compensation}}}}{{{\rm\text{Total no}}{\rm\text{. of years}}}}\\ &= \frac{{\$ 200,000}}{4}\\ &= \$ 50,000\end{align*}

{/eq}
Therefore, $50,000 of compensation will be recorded in each of the next four years.",Stocks: A stock refers to a security that issues an ownership share to the stockholder in a company. Stocks can be also called equities. Common and preferred stocks are the main two types of stocks.
10,"A long-term, buy-and-hold investor is most worried about  {eq}\_\_\_\_\_\_\_\_\_.

{/eq}",Market price risk,Basis risk,Coupon reinvestment rate risk,Interest rate risk.,A,"The correct answer is A.
The market price risk refers to the change in the value of the financial security due to fluctuations in the market. This risk includes variations in interest rates, market volatility, and exchange rates. These fluctuations affect the short-term as well as the long-term value of the financial securities. This risk can be categorized as general and specific risk.
The explanation for incorrect answers are:
Option B is incorrect as the basis risk arises due to the imperfect hedge position of the financial security, and the hedge does not offset the loss. This does not impact the buy and hold strategy as it is concerned with forward contracts.
Option C is incorrect as the coupon reinvestment risk is concerned with the amount to be reinvested by the investor.
Option D is incorrect as the interest rate risk is variations in interest rates due to market fluctuations. This is included in the market price risk.","Buy and Hold: Buy and hold refers to an investment strategy. In this strategy, the investor holds the securities for the long-term irrespective of the market fluctuations. This strategy does not track short-term movements of securities."
