id,question,A,B,C,D,Answer,Explanation,Hint
1,The income tax base for an individual tax return is:,Adjusted gross income.,Gross income.,Adjusted gross income minus AGI deductions.,Realized income from whatever source derived.,C,"The correct option is
c. Adjusted gross income minus AGI deductions.
The income tax base for an individual tax return is calculated based on the adjusted gross income (AGI) minus AGI deductions. Adjusted gross income is the amount left over after tax-deductible expenses and other deductions have been subtracted from gross income. Interest on loans, money put away for retirement, and self-employment taxes are all eligible for this category of deductions. The income tax base, which is determined by subtracting an individual's AGI deductions, is the sum that is used to compute their income tax liability.
Explanation for other options:
a. Adjusted gross income: Income tax bases are determined in large part by deductions, which are ignored by calculating adjusted gross income alone.
b. Gross income: Income tax bases are incorrectly estimated when using gross income because it does not take into account any adjustments or deductions.
d. Realized income from whatever source derived: The phrase ""realized income from whatever source derived"" is too general and does not include all of the necessary deductions and adjustments for computing an individual's taxable income.","Tax Structure: The government needs the money to run the country. So there is a mechanism in the country that issues, implements,  and controls tax laws. The purpose is to get the maximum amount to be spent on expenditures."
2,Which of the following is an example of an activity-based tax?,An excise tax.,A tax based on business net income.,A gift tax on the transfer of assets.,None of the above.,B,"The correct answer is b. A tax based on business net income.
This is because the income tax is based on the economic activity generated by the business (e.g. the amount of sales realized, the amount of expenses deducted, etc.)",What Is Income Tax: A company's Income Tax expense is reported on the income statement on a separate line item. The Income Tax expense will usually vary based on the jurisdictions where the income was earned and the tax rates on business income.
3,Tax incidence is primarily determined by the market participant who pays tax to the government.,True,False,,,A,"The above statement is True.
Tax incidence refers to how a given tax affects each individual who must pay it. The lost utility or welfare is used to calculate the real cost of a tax imposed by the government. The method used to distribute the tax burden between purchasers and sellers is known as tax incidence.
Market participants play an important role in the tax incidence. Market participants are the institutions, investors, etc. It is important to pay taxes set by the government.
Taxes may be imposed depending on how elastic supply and demand are in terms of price. Buyers are often on the hook for taxes when supply is more elastic than demand.
The term ""incidence of a tax"" describes the degree to which a person or organization is adversely affected by applying a tax; this impact might be felt by either the consumer or the producer. Taxation's ""burden"" is another name for the incidence. According to the price, the incidence changes the price elasticity of demand.
Therefore, it is true that the market player who pays the tax to the government has the most influence on tax incidence.","Market Participant: Market participants are another name for economic agents, actors, and more especially decision makers in models of many aspects of the economy. In partial equilibrium models of a single market, buyers and sellers are two typical agents."
4,A sale of $600 on account subject to a sales tax of 5% would increase account receivable by $570.,True,False,,,B,"The statement is
b) False
.
The value of sales is $600, and it is subject to a 5% sales tax. The total amount to be collected from the customer is the sales value, including sales tax.
Debit to Accounts Receivable = Sales × (1 + Sales tax rate)
Debit to Accounts Receivable = $600 × (1 + 5%)
Debit to Accounts Receivable = $630
The customer should pay sales tax, not the seller. However, the seller collects it from the customer and pays it to the respective government.","Sales Tax: In the United States, sales tax is imposed on the purchase of goods. However, it's important to note that sales tax is not levied at the federal level; instead, it is the responsibility of individual states and, in some cases, local governments."
5,"When a good is taxed, the burden of the tax falls mainly on consumers if:",supply is inelastic and demand is elastic.,supply is elastic and demand is inelastic.,the tax is levied on consumers.,the tax is levied on producers.,B,"The correct option is
b. supply is elastic and demand is inelastic
.
When a tax is charged, the burden of the tax is shared by the buyers and sellers. If demand is relatively more inelastic than supply, buyers have to bear most of the tax burden. This is the case in option
b
.","Tax Burden: When a tax is charged on a product, it is not the case that the seller pays all of the tax. Some of the tax is passed on to buyers in the form of higher prices. Who pays a higher proportion of the tax depends on the market dynamics."
6,A tax placed on chocolate will:,reduce the equilibrium price of chocolate and increase the equilibrium quantity.,increase the equilibrium price of chocolate and reduce the equilibrium quantity.,increase the equilibrium price of chocolate and increase the equilibrium quantity.,reduce the equilibrium price of chocolate and reduce the equilibrium quantity.,B,"A tax placed on chocolate will:
b. increase the equilibrium price of chocolate and reduce the equilibrium quantity.
A tax placed on chocolate means that the consumers have to pay a higher price on chocolates and the seller receives a lower price per unit of chocolate. If the tax is placed on the seller, a higher tax discourages supply shifting the supply curve towards the left. With unchanged demand, this means that consumer has to pay a higher price, and the equilibrium quantity of chocolate falls. The difference between the amount paid by the consumer and the amount received by the seller is the tax.
Analysis of incorrect options:
a. reduce the equilibrium price of chocolate and increase the equilibrium quantity because a tax always increases the equilibrium price.
c. Increasing the equilibrium price of chocolate and increasing the equilibrium quantity is incorrect because a tax raises equilibrium price. The consumers reduce their quantity demanded at higher prices.
d. Reducing the equilibrium price of chocolate and reducing the equilibrium quantity is incorrect because equilibrium price is not reduced but increased due to taxes.",Tax: A tax is a payment that is made by certain authorities to the government of the nation. Taxes act as a source of revenue for the government. This revenue is used by them to develop the nation and investment in various developmental and societal projects that will benefit the nation.
7,Tax incidence indicates,the actual division of the burden of a tax.,the burden of a tax on producers.,the burden of a tax on consumers.,who is not legally required to send a tax payment to the government.,A,"Option A. the actual division of the burden of a tax is correct
This option is correct because tax incidence is the division of the financial burden of a certain tax among the affected parties. By calculating the value of lost utility or wellbeing, it calculates the true cost of a tax imposed by the government.
Option B is incorrect because tax incidence indicates burden falls on the producers is true statement.
Option C is incorrect because tax incidence indicates the burden of a tax on consumers is true statement.
Option D is incorrect because tax incidence indicates who is not legally required to send a tax payment to the government is true statement.","Tax: Taxes are sums of money that citizens are required to pay in accordance with their income, the value of their property, and other factors. These sums of money are used to fund the government's activities."
8,"When a good is taxed, the burden of the tax falls mainly on consumers if:",the tax is levied on consumers.,the tax is levied on producers.,"supply is elastic, and demand is inelastic.","supply is inelastic, and demand is elastic.",C,"c. supply is elastic, and demand is inelastic
When producers exhibit elastic supply, then that means the produces initiate changing their supplies in case of any price change. When consumers exhibit inelastic demand, then the consumers do not make any significant change in demands on price change. Here, customers show less immediate responses towards price change, then it is expected that the tax burden would be levied on consumers.",Tax incidence Tax incidence covers the essential phase when the government levies any change. Tax incidence shows how the economic agents would distribute the burden of taxes among themselves so that the economy would not get adversely impacted.
9,"If the price of a good is not affected by a sales tax, then:",supply is perfectly elastic.,demand is perfectly elastic.,elasticity of supply is greater than elasticity of demand.,elasticity of demand is greater than elasticity of supply.,B,"The correct option is:
B. Demand is perfectly elastic
Reason:
Greater the elasticity of demand greater is the tax burden borne by the producer. So when the demand of a good is perfectly elastic, the entire tax burden is borne by the producer. Hence the price of the good remains the same.",Incidence of Tax: Tax incidence is the final burden of tax which is either borne by the consumer or by the producer. The tax incidence depends upon the elasticity of demand and supply.
10,Tax incidence analysis seeks to determine:,who actually sends the tax payment to the government.,who actually pays the tax.,who ultimately gets the tax revenue.,whether a tax is in the benefits-received category or the ability-to-pay category.,B,"Tax incidence analysis seeks to determine:
b. who actually pays the tax.
Tax incidence, as the word signifies, measures the burden of taxes that are paid by individuals. It measures the burden and incidence of individuals paying taxes. It measures the distribution of economic burden among affected individuals.
a. Tax incidence measures the amount if tax each affected party pays. It does not matter who send the tax to the government but the payment of taxes matter.
c. The government gets the tax revenue as their income and this is different from tax incidence.
d. Whether a tax is in the benefits-received category or the ability-to-pay category is a different concept relating to taxation. It determines the distribution of taxes.",Taxes: Taxes are the compulsory payments made by individuals or companies to the government. Taxes act as the main source of generating income for the government. This income is then used by the government to spend on various developmental activities in the economy. Taxes can be both direct as well as indirect.
