id,question,A,B,C,D,Answer,Explanation,Hint
1,Liabilities are considered nominal accounts.,True,False,,,B,"The statement is
b. False
. It is
false
to say that liabilities are considered nominal accounts because all balance sheet accounts, therefore all assets, liabilities, and equity accounts are real or permanent accounts.
Nominal accounts or temporary accounts are the income statement accounts and it includes all revenue and expense accounts. The dividends account is also a nominal account.","Nominal Accounts: Nominal accounts are a group of general ledger accounts that are closed at the end of each reporting period. Each general ledger account, when it is opened for the first time, is categorized as either a real or a nominal account."
2,"All else constant, a bond will sell at _____ when the yield to maturity is _____ the coupon rate.",a premium; greater than,a premium; equal to,at par; greater than,a discount; greater than,D,"The correct answer is
D. a discount; greater than
All else constant, a bond will sell at
a discount
when the yield to maturity is
greater than
the coupon rate.
If the YTM is greater than the coupon rate, the bonds trade at a discount. In addition to regular interest payments, these bonds offer the benefit of capital appreciation to investors, if they are held until maturity.
The other options are incorrect.
A.
a premium; greater than:
If the YTM of a bond is greater than the coupon rate, the bond trades at a discount.
B.
a premium; equal to:
If the YTM and coupon rate are equal, the bond trades at par.
C.
at par; greater than:
If the YTM is greater than the coupon rate, the bond trades at a discount.
D.
at par, less than:
If the YTM is less than the coupon rate, the bond trades at a premium.","Bond: A bond is a fixed-income instrument that is used by corporations, and governments to raise funds for their projects and operations. Bond investors are entitled to receive coupon payments at regular intervals and the face value of the bond on maturity."
3,"If a $100 bond is trading at $102, it is trading at a _____.",Discount,Extra Fee,Premium,Cash Basis,C,"The correct answer is
c. Premium.
Given information:
Par = $100
Price = $102
Since the bond price is greater than its par, the bond is selling at a premium. If the bond price is less than the par value, it is selling at a discount. And, if the bond price is equal to its face value, it is selling at par.","Bonds: Bonds are debentures to acquire more capital to finance the firm's projects. Compared to stocks, bonds are issued at a lower cost, which explains why a corporation is interested in selling new bonds."
4,"Kessen Inc.'s bonds mature in 7 years, have a par value of {eq}\$1,000 {/eq}, and make an annual coupon payment of {eq}\$70 {/eq}. The market interest rate for the bonds is {eq}8.5\% {/eq}. What is the bond's price?",{eq}\$923.22 {/eq}.,{eq}\$946.30 {/eq}.,{eq}\$969.96 {/eq}.,{eq}\$994.21 {/eq}.,A,"Given information:
Par value = $1,000
Coupon value = $70
Maturity period (n) = 7 years
Interest rate (r) = 8.5 % or 0.085
The components needed to calculate the bond price are the coupon value, the bond's par value, the maturity period, and the interest rate. So, using all these components, the formulation of the bond price is as follows:
{eq}\begin{align*}{\rm{Bond \;price}} &= {\rm{Coupon\; value}} \times \left[ {\frac{{1 - \frac{1}{{{{\left( {1 + {\rm{r}}} \right)}^{\rm{n}}}}}}}{{\rm{r}}}} \right] + \frac{{{\rm{Par \;value}}}}{{{{\left( {1 + {\rm{r}}} \right)}^{\rm{n}}}}}\\ &= \$ 70 \times \left[ {\frac{{1 - \frac{1}{{{{\left( {1 + 0.085\% } \right)}^7}}}}}{{0.085}}} \right] + \frac{{\$ 1,000}}{{{{\left( {1 + 0.085} \right)}^7}}}\\ &= \$ 70 \times 5.1185 + \$ 564.9263\\ &= \$ 358.295 + \$ 564.9263\end{align*} {/eq}
Solving further:
{eq}= \$ 923.22 {/eq}
Therefore, the bond price is
a. $923.22
.","Bond Valuation: The bond valuation reflects today's value of the future payments that a bondholder will receive, discounted at an interest rate. It is a technique that helps to evaluate a bond's right price."
5,All of the following statements regarding impairments are true except:,an impairment is a permanent decline in an asset's market value.,"after an impairment write-down, depreciation is generally lower in subsequent periods.",immediate recognition of impairment write-downs is now required.,impairments are generally recorded when the book value falls below the market value.,D,"The correct option is d.
Impairments are generally recorded when the book value falls below the market value
.
The above statement regarding impairments is not true. Impairments are generally recorded when the
market value falls below the book value
of the asset. An impairment loss is recorded when the carrying value of an asset exceeds its fair value.
For example, for a building with a cost of $1,000,000 and accumulated depreciation of $150,000, the book value will be $850,000. If the market value of the building is $2,000,000, there will be no impairment loss. But if the market value falls to $500,000, the impairment loss will be $350,000 and must be recorded by the company during the period the market value fell.
The other answer options regarding impairments are true:
a. -
An impairment is a permanent decline in an asset's market value
is correct because impairments are not recorded when the decrease in an asset's market value is deemed temporary.
b. -
After an impairment write-down, depreciation is generally lower in subsequent periods
is also correct because, after the impairment write-down, the asset's carrying amount will be lower. The new carrying amount is used to calculate the annual depreciation expense.
c. -
Immediate recognition of impairment write-downs is now required
is also correct because the accounting standards require that impairment losses be recorded in the period they are incurred.",Impairment Loss: An impairment loss is recorded as an operating expense in the income statement when the impairment of long-term assets has been identified. Companies are required to test the long-term assets for impairment periodically.
6,The contract that describes the terms of a borrowing arrangement between a firm that sells a bond issue and the investors who purchase the bonds is called the _____.,trustee,indenture,debenture,,A,"A. Incorrect. A trustee refers to an individual or an organization that administers assets or investments on behalf of others.
B. Correct. The indenture contract will detail all related information about the bond: coupon rate, maturity, attached provision, etc.
C. Incorrect. Debentures are long-term debt securities, which are bonds.","Bonds: Bonds are recommended securities to investors who prefer s stable stream of cash inflows to reduce the overall credit risk. Besides periodic coupons, a bond issuer will receive the bond's par value at its maturity. However, bonds can be sold in the exchange market for immediate cash."
7,Which of the following is not an issuer of bonds?,households,corporations,The U.S. Treasury,government agencies,A,"The correct answer is
A) households.
Currently, corporate entities, Federal governments, State governments, and government agencies are eligible to raise debt capital by selling bonds. Households will acquire debt through financial institutions.",Bonds: Bonds are sold to raise debt capital for long-term use. The issuer needs to make interest payments until the bond's maturity date. A bond's principal will be returned to bondholders as well.
8,"Udaf, Inc. purchases a truck costing $8,000. The company paid $3,000 right away and charge the remaining amount. To record this transaction, the company would:","Debit Truck $8,000; Credit Cash $3,000 and Credit Accounts Payable $5,000","Debit Truck $8,000; Credit Cash $8,000","Debit Truck $5,000 and Credit Accounts Payable $3,000","Debit Truck $8,000; Credit Cash $3,000 and Credit Accounts Receivable $5,000",A,"The correct option is a. Debit Truck $8,000; Credit Cash $3,000 and Credit Accounts Payable $5,000.
The table explores each answer option and explains the right and wrong answers with reasons:
a. Debit Truck $8,000; Credit Cash $3,000 and Credit Accounts Payable $5,000
This is the correct alternative because the truck asset must increase with the total amount and assets increase on the debit side. The cash asset decreases with the cash payment and the Accounts Payable liability increases with the balance.
b. Debit Truck $8,000; Credit Cash $8,000
Not all of the purchase price was paid in cash.
c. Debit Truck $5,000 and Credit Accounts Payable $3,000
Some of the purchase price was paid in cash.
d. Debit Truck $8,000; Credit Cash $3,000 and Credit Accounts Receivable $5,000
Accounts Receivable is used to record sales on account, not purchases on account.","Purchase of an Asset: Property, plant, and equipment purchases are recorded in asset accounts. These accounts have normal debit balances, and the total cost of the asset plus any expenses incurred to get it ready for its intended use are recorded on the purchase date."
9,The value of a bond is the present value of the:,maturity value.,interest payments and maturity value.,dividends and maturity value.,interest and dividend payments.,B,"The correct option is b. interest payments and maturity value.
The table explores each answer option and explains the right and wrong answers with reasons:
a. maturity value.
The present value of the periodic interest payment also affects the value of bonds.
b. interest payments and maturity value.
This is the correct alternative because the present value of the periodic interest payments plus the present value of the maturity value (both calculated using the market interest rate as the discount rate) is equal to the proceeds received on the bond issue i.e. its value.
c. dividends and maturity value.
Bonds pay interest, not dividends
d. interest and dividend payments.
There are no dividend payments on bonds.",Value of a Bond: The value of a bond on its issue date is usually not the same as its face value because market interest rates are almost always different from the coupon rate of the bond. The difference between the issue price and the face value is called the premium or discount on the bonds.
10,"Indicate whether the following statement about operational assets and liabilities is true or false. When several long-term assets are purchased in a single transaction, the purchase price is allocated among the assets based on their relative fair values.",True,False,,,A,"It is
true
to say that when several long-term assets are purchased in a single transaction, the purchase price is allocated among the assets based on their relative fair values.
Plant assets are accounted for in asset groups such as equipment, building, and land improvements and the depreciation policy is often determined for a group of assets. Also, the cost and annual depreciation of individual assets are recorded in the fixed assets register and this register is then used to calculate the gain or loss when the asset is subsequently sold. This means that when several long-term assets are purchased in a single transaction, the total purchase price cannot be recorded as a lump sum in the accounting records, because then the depreciation expense and the eventual gain or loss would be inaccurate. Therefore, the transaction price is allocated among the assets based on their relative fair values.","Cost of a Plant Asset: The cost at which a plant asset is recorded affects the balance sheet over the asset's life. It is also the basis for the depreciation expense, so the cost also has an effect on the net income as calculated in the income statement over the asset's life."
11,What is the current price of a 5-year bond with a face value of $1000 and a coupon rate of 3%? Assume the current interest rate is 5%.,$821.56,$864.55,$891.41,$913.41,D,"The correct answer is option d.
$913.41
Given information:
Maturity period (n) = 5 years
Par (face) value = $1,000
Interest rate (r) = 5% or 0.05
Coupon rate = 3% or 0.03
First, calculate the coupon payment:
{eq}\begin{align*}{\rm{Coupon}}\,{\rm{payment}} &= {\rm{Par}}\,{\rm{value}} \times {\rm{Coupon}}\,{\rm{rate}}\\ &= \$ 1,000 \times 3\% \\ &= \$ 1,000 \times 0.03\\ &= \$ 30\end{align*} {/eq}
Hence, the coupon payment is
$30.
Now, calculate the bond price:
{eq}\begin{align*}{\rm{Bond\; price}} &= {\rm{Coupon}}\,{\rm{Payment}} \times \left[ {\frac{{1 - \frac{1}{{{{\left( {1 + {\rm{r}}} \right)}^{\rm{n}}}}}}}{{\rm{r}}}} \right] + \frac{{{\rm{Par \;value}}}}{{{{\left( {1 + {\rm{r}}} \right)}^{\rm{n}}}}}\\ &= \$ 30 \times \left[ {\frac{{1 - \frac{1}{{{{\left( {1 + 0.05} \right)}^5}}}}}{{0.05}}} \right] + \frac{{\$ 1,000}}{{{{\left( {1 + 0.05} \right)}^5}}}\\ &= \$ 30 \times \frac{{0.21647383}}{{0.05}} + \frac{{\$ 1,000}}{{{{\left( {1 + 0.05} \right)}^5}}}\\ &= (\$ 30 \times 4.3294766) + \$ 783.526 \\ &= \$ 129.884 + \$ 783.526\\ &= \$ 913.41 \end{align*} {/eq}",Bond: A debt instrument that the government or enterprises issue to fulfill the need for funds for a project is known as a bond. The issuer promises to pay the holder yearly interest till maturity.
12,Which of the following statements regarding corporate bonds is most correct?,Debentures are riskier than subordinated debentures because they are paid last in the event of bankruptcy.,Mortgage bonds are riskier than debentures because the value of the asset pledged as collateral may not be sufficient to repay the mortgage.,The interest rate on subordinated debentures is likely to be higher than the interest rate on debentures.,Debentures are secured by the asset purchased with the loaned funds.,A,"a. Incorrect. Subordinated debentures are ranked after all other debts in a firm. Hence, subordinated bonds are more riskier than regular debentures.
b. Incorrect. Mortgage bonds are backed by real estate. In detail, the real estate will be liquidated to repay the bondholders when the bond issuer cannot maintain its payments to bondholders.
c. Correct. Since subordinated bonds are riskier. The interest rate on these bonds should be higher than regular bonds.
d. Incorrect. Debentures are unsecured debts. The interest rate is declared according to the issuer's creditworthiness.","Corporate Bonds: A corporate entity is eligible to sell bonds to the public to raise more debt capital. The bond issuer will usually make periodic coupons until the bond's maturity date. However, the firm can also issue zero coupon bonds that will not offer any interest payment."
13,Amortization of a discount or premium should be reported on the income statement for held-to-maturity securities.,True,False,,,A,"The statement is
a. True
. It is
true
to say that the amortization of a discount or premium should be reported on the income statement for held-to-maturity securities the interest revenue generated on a helo-to-maturity investment is the cash interest received plus the amortization of the discount or minus the amortization of the premium. This means that the amortization of a discount or premium is a component of the interest revenue that is disclosed in the other income and expenses section of the company's income statement.",Held-to-Maturity Securities: Held-to-maturity is an investment classification used to account for investments in the debt instruments of other companies. The classification is used when the investor has the ability and positive intent to hold the investment until it matures.
14,"Jill is interested in a 6-year bond that pays a coupon of 8.6 percent annually and trades at a yield of 9.3% per annum. The face value is $1,000. What is the current price of this bond?",$586.51,$968.88,"$1,031.78",$968.36,B,"The correct answer is
b. $968.88.
Given information:
Par = $1,000
Coupon rate = 8.6%
Yield (I) = 9.3%
Time to maturity (N) = 6
Estimate the bond price:
{eq}\text{Price} = \displaystyle \text{Par} \times \text{Coupon rate} \times \frac{1 - (1 + \text{I})^{-N}}{\text{I}} + \frac{\text{Par}}{(1 + \text{I})^N} \\ \text{Price} = \displaystyle \$1,000 \times 8.6\% \times \frac{1 - (1 + 9.3\%)^{-6}}{9.3\%} + \frac{\$1,000}{(1 + 9.3\%)^6} \\ \text{Price} = \displaystyle $86 \times 4.44608 + $1,000 \times 0.586515 \\ \text{Price} = \displaystyle \$968.88 {/eq}
The bond price is $968.88.","Bond Price: The price of a bond is described as the bond's spot price, which is fairly determined by converting its cash inflows to today. The discount rate should be an investor's expected rate of return. In practice, a bond's market price is usually not equal to its value."
15,"A bond with a face value of $1,000 pays a 6% (APR) semiannual coupon and matures in 10 years. Similar bonds trade at a YTM of 5% (APR).","$1,077.22","$1,043.76","$1,077.95","$1,124.62",C,"The correct answer is
C. $1,077.95.
Given information:
Par = $1,000
Semiannual payment (PMT) = $1,000 x 6% x 0.5 = $30
Time to maturity (N) = 10 x 2 = 20
Semiannual yield (I) = 5% x 0.5 = 2.5%
Estimate the price of the bond:
{eq}\text{Price} = \displaystyle PMT \times \frac{1 - (1 + I)^{-N}}{I} + \frac{Par}{(1 + I)^N} \\ \text{Price} = \displaystyle $30 \times \frac{1 - (1 + 2.5\%)^{-20}}{2.5\%} + \frac{\$1,000}{(1 + 2.5\%)^{20}} \\ \text{Price} = \displaystyle $30 \times 15.589162 + \$1,000 \times 0.610271 \\ \text{Price} = \displaystyle $1,077.95 {/eq}
The price of the bond is $1,077.95.",Bond Value: The value of a bond can be considered the maximum price to purchase the bond as of today. This present value of a bond is calculated by converting all expected coupons and maturity value today using the bond's yield as a discount rate.
16,Which of the following investment criteria takes the time value of money into consideration?,Profitability index and net present value only.,Internal rate of return and net present value only.,"Profitability index, internal rate of return, and net present value.",Net present value only.,C,"The correct answer is
c) Profitability index, internal rate of return, and net present value
.
Capital budgeting techniques help a company make investment decisions based on how profitable the investment is. Some of these techniques don't use the time value of money.
Payback period and accounting rate of return are the two best examples of capital budgeting techniques that don't use the time value of money in their computations. The payback period uses the annual cash flows provided by the investment, whereas the accounting rate of return uses the average annual net income.
Other techniques, such as net present value, discounted payback, profitability index, internal rate of return, and modified internal rate of return, use the time value of money.
The time value of money is crucial to determine an investment's profitability because it requires converting the year-end cash flows to today's value to understand if the spending is more or the present worth of the future cash flows is more. Present value computations are significant in the long run. The option chosen represents techniques that use time value and are more reliable compared to the ones not applying the time value concepts.
Based on the options given, all the listed tools provided in Option C) are based on the time value of money.",Time Value of Money: The time value of money is a concept that provides that money's worth today is different from its worth on a future date due to its potential to earn. We use the present and future value computations for various investments based on this concept.
