id,question,A,B,C,D,Answer,Explanation,Hint
1,Suppose we have the following information about a $150k portfolio of two stocks:,90%,11%,13%,15%,C,"The correct answer is
c.
{eq}\begin{align*}

{\rm\text{Weight of ABC}}\, &= \,\frac{{{\rm\text{Amount of ABC}}}}{{{\rm\text{Amount of ABC}}\, + \,{\rm\text{Amount of XYZ}}}} \times 100\\

&= \frac{{\$ 90,000}}{{\$ 90,000 + \$ 60,000}} \times 100\\

&= 60\% \\

{\rm\text{Weight of XYZ}}\, &= \,\frac{{{\rm\text{Amount of XYZ}}}}{{{\rm\text{Amount of ABC}}\, + \,{\rm\text{Amount of XYZ}}}} \times 100\\

&= \frac{{\$ 60,000}}{{\$ 90,000 + \$ 60,000}} \times 100\\

&= 40\%

\end{align*}

{/eq}
{eq}\begin{align*}

{\rm\text{Portfolio's expected return}}\, &= \,{\rm\text{Weight of ABC}}\, \times \,{\rm\text{Expected return of ABC}}\, + \,{\rm\text{Weight of XYZ}}\, \times \,{\rm\text{Expected return of XYZ}}\\

&= 60\%  \times 15\%  + 40\%  \times 10\% \\

&= 9\%  + 4\% \\

&= 13\%

\end{align*}

{/eq}","Portfolio's Expected Return: Portfolio's expected return is the altogether expected return of the portfolio depending upon the weights of the financial securities in the portfolio. The higher the risk, the greater is the value of the expected return."
2,A measure of the average value of a random variable is called a(n):,variance,standard deviation,expected value,coefficient of variation,C,"The expected value of a frequency distribution is the weighted average of all the observations taken. It is calculated by taking the weighted sum of all observations, weighted by their frequency, and dividing it by the total number of observations., This gives us the average or representative value of the frequency ditribution.
Hence,
option c. expected value
is the correct answer.","Measures of Central Tendency: The measures of central tendency help us to find the middle or average or representative values of a frequency distribution. The common measures of central tendency are the mean (sum of values divided by the number), the mode (the most frequent value), and the median (the middlemost value when the observations are increased in ascending order). The standard deviation is another measure that helps to represent how spread out the data is from the average value."
3,"A company had annual returns of 16 percent, 9 percent, -4 percent, and 13 percent over the past 4 years. What is the standard deviation of the returns for this period?",7.63 percent,8.81 percent,13.46 percent,15.26 percent,B,"The correct answer is option B. 8.81 percent
Step 1: Calculation of average return:
{eq}\begin{align*}{\rm{Average}}\,\,{\rm{Return}} &= \frac{{{\rm{Sum}}\,\,{\rm{of}}\,\,{\rm{observations}}}}{{{\rm{Number}}\,\,{\rm{of}}\,\,{\rm{observations}}}}\\ &= \frac{{16\% + 9\% + \left( {4\% } \right) + 13\% }}{4}\\ &= \frac{{34\% }}{4}\\ &= 8.5\% \end{align*} {/eq}
Therefore, the average return is 8.5%
Step 2: Calculation of variance:
{eq}\begin{align*}{\rm{Variance}} &= \frac{{{{\left( {{\rm{Value}}\,\,{\rm{of}}\,{\rm{each}}\,{\rm{observation}} - {\rm{Average}}\,{\rm{return}}} \right)}^2}}}{{{\rm{Number}}\,{\rm{of}}\,{\rm{observations}} - 1}}\\ &= \frac{{{{\left( {16\% - 8.5\% } \right)}^2} + {{\left( {9\% - 8.5\% } \right)}^2} + {{\left( { - 4\% - 8.5\% } \right)}^2} + {{\left( {13\% - 8.5\% } \right)}^2}}}{{4 - 1}}\\ &= \frac{{56.25\% + 0.25\% + 156.25\% + 20.25\% }}{3}\\ &= 77.66\% \end{align*} {/eq}
The variance is 77.66% or 0.7766
Step 3: Calculation of standard deviation:
{eq}\begin{align*}{\rm{Standard}}\,{\rm{Deviation}} &= \sqrt {{\rm{Variance}}} \\ &= \sqrt {77.66\% } \\ &= 8.81\% \end{align*} {/eq}
Therefore, the standard deviation is 8.81%",Standard Deviation: The standard deviation is used to investigate the extent of dispersion of the data in the observations from the mean. It navigates the data back to the predefined mean position to estimate the dispersion.
4,A measure of the riskiness of an asset held in isolation is:,Beta,Standard deviation,Covariance,Semi-variance,B,"The answer is
b. Standard deviation
For an asset held in isolation, standard deviation is an appropriate measure of risk since it will account the volatility of the asset price around the mean of prices during a specific period. This measure would be representative for the risk associated with asset.","Riskiness: Riskiness of a security refers to the uncertainty in price fluctuation, which will affect the investment efficiency. However, note that a risky security will promise a higher expected return to investor."
5,The financing period:,"is the time it takes to purchase inventory, sell it, and collect the sales.",defines how much additional financing the company must have to support its operations.,is calculated as days' sales uncollected minus days' inventory on hand minus days' payable.,measures a company's short-term debt-paying ability.,B,"The answer is
option B.
The financing period is from when the company's obligations to its supplier are due until the end of its operating cycle. So, it is time that the firm determines how much money is needed to finance its business operations.
Analysis of other options
A. The statement defines the company's operating cycle, which is the time from purchasing inventory until the collection of credit sales.
C. The statement describes an incorrect formula for the cash conversion cycle. The correct one is days' sales uncollected
plus
days' inventory on hand minus days' payable.
D. It defines the current ratio.","Capital Structure: The company's capital structure includes equity and debt. These are the firm's sources of funds for running the business and daily operations, like purchasing materials."
6,"A consultant predicts that there is a 25% chance of earning $500,000 and a 75% chance of earning $100,000. The expected profit is $200,000. The standard deviation is:","$120,000","$160,000","$166,000","$173,200",D,"We are given:
The expected profit (X) is $200,000.
The probability of earning $500,000 (P1) is 25%.
The probability of earning $100,000 (P2) is 75%.
The higher earnings (H) are $500,000.
The lower earnings (L) are $100,000.
Calculation of the standard deviation (SD):
{eq}\begin{align*}

{\rm\text{SD}} &= \sqrt {{\rm\text{P1}} \times \left( {{\rm\text{H}} - {\rm\text{X}}} \right)_{}^2 + {\rm\text{P2}} \times \left( {{\rm\text{L}} - {\rm\text{X}}} \right)_{}^2} \\

&= \sqrt {25\%  \times \left( {\$ 500,000 - \$ 200,000} \right)_{}^2 + 75\%  \times \left( {\$ 100,000 - \$ 200,000} \right)_{}^2} \\

&= \sqrt {\$ 30,000,000,000} \\

&= \$ 173,205.08{\rm\text{ or }}\$ 173,200

\end{align*}

{/eq}
The standard deviation is approximately $173,200. Therefore, the correct option is
d) $173,200
.",Expected Profit: Businesses reckon the expected profit using various financial methods to make a proper investment decision. Managers use expected profit information to determine appropriate budgets and cash allocations.
7,"A portfolio has an actual return of 15.17%, a beta of 0.85, and a standard deviation of 7.2%. The market return is 13.4% and the risk-free rate is 2.8%.",2.25%,2.51%,2.67%,3.36%,D,"The portfolio's Jensen's alpha is 3.36% (D)
The calculation is shown below.
Alpha = Expected return on portfolio - (Risk-free rate + (Beta * (Market return - Risk-free rate)))
Alpha = 15.17% - (2.8% + (0.85 * (13.4% - 2.8%)))
Alpha = 15.17% - (2.8% + (0.85 * 10.6%))
Alpha = 15.17% - (2.8% + 9.01%)
Alpha = 15.17% - 11.81%
Alpha = 3.36%","Standard Deviation: Standard Deviation is a measure that shows how much variation from the mean exists. Like the variance, if the data points are close to the mean, there is a small variation whereas if the data points are highly spread out from the mean, then it has a high variance."
8,Positive cash flow from financing activities on the statement of cash flows means that a company has:,collected more from customers than it paid for operating expenses.,borrowed more than it is paying off.,paid a large cash dividend to shareholders.,"sold more property, plant, and equipment than it purchased.",B,"The correct option is B. borrowed more than it is paying off.
The table explores each answer option and explains the right and wrong answers with reasons:
A. collected more from customers than it paid for operating expenses.
No the collection of cash from customers and payment of operating expenses are operating cash flows.
B. borrowed more than it is paying off
This is the correct alternative. New borrowings are cash inflows from financing activities on the statement of cash flows and debt repayments are cash outflows, so when a company borrows more money than it is paying back, its financing cash flow will be positive.
C. paid a large cash dividend to shareholders.
No, dividends paid are a cash outflow in the financing activities section so it would lead to a negative cash flow from financing activities on the statement of cash flows.
D. sold more property, plant, and equipment than it purchased.
No, this would lead to a positive cash flow from investing activities,",Interpreting the Statement of Cash Flow: The cash flow patterns in the statement of cash flow give users an indication of the business cycle a company is in and how it needed to manage its cash asset during the reporting period. Certain cash flow patterns are typical of start-up companies and others of established companies.
9,What of the following is not one of the characteristics of long-term debt financing?,cost.,control.,risk.,inventory.,D,"The correct option is
D. inventory
.
Explanation:
Inventory is a feature of long-term debt finance that is unrelated to it. Raw materials, work-in-process commodities, and finished products are examples of a corporation's manufacturing, sale, or distribution inventory. Long-term debt financing may give a firm the funding it requires to make big expenditures in its business while spreading payments out over a longer period.
Explanations for incorrect options:
Option A- Cost: Long-term debt financing is often more expensive than short-term debt financing owing to the long payback time and the interest rate charged.
Option B- Control: In the case of long-term debt financing, lenders may have more influence over the borrower since they have a larger commitment to the borrower and may need certain covenants or limits on the borrower's actions.
Option C- Risk: Long-term debt financing is riskier than short-term debt financing since it has a longer repayment duration, increasing the possibility of default.","Long-Term Financing: Long-term debt financing entails borrowing cash for a period exceeding a year to finance a company's major operations. Financial institutions provide it, although it may also be received from other sources."
10,The purpose of the Z transformation is to correct for:,varying shape of the sampling distribution of r.,an unknown mean of the sampling distribution of r.,an unknown standard deviation of the sampling distribution of r.,differing values of n.,A,"The
z
-score in the Z transformation or Fisher Z-transformation is the standard normal variable, distributed normally with a mean of 0 and a standard deviation of 1.
We use Z transformation to make the distribution of Pearson's correlation coefficient '(r)', normal. We then use these
z
-scores to construct confidence intervals for the correlation coefficient
(r)
or while conducting the hypothesis tests for the difference between the correlation coefficients from two independent samples.
The formula that we use to transform the r into a Z-score is as follows:
{eq}z' = \dfrac{1}{2} \ln \left( \dfrac{1+r}{1-r} \right) {/eq}
There is a table as well, we call it the ""r to z table"". It represents the
z
-scores for different values of
r.
Hence, we can say that the purpose of the Z transformation is to correct for
a. the varying shape of the sampling distribution of
r
.
Explanation for the incorrect options
:
For an unknown mean of the sampling distribution of r
:_ z- transformation's purpose is to make the distribution of
r
normal. It is not for computing or correcting the unknown mean of the sampling distribution of
r
.
An unknown standard deviation of the sampling distribution of r
:_ Similar to the unknown mean, we do not use z-transformation for an unknown standard deviation.
Differing values of n:
n
represents the sample size. We do not use z-transformation to correct for the different values of
n.","Correlation Coefficient: The correlation coefficient, or Pearson's correlation coefficient, is denoted by {eq}r {/eq}. It is used to calculate the association between two different variables. It indicates how strong (or weak) and in what direction the association is. For example, there is a strong negative association between {eq}x {/eq} and {eq}y {/eq}, which means an increase in the {eq}x {/eq} is strongly associated with a decrease in the {eq}y {/eq}."
