id,question,A,B,C,D,Answer,Explanation,Hint
1,The after-tax cost of debt _____ the before-tax cost of debt for a firm that has a positive marginal tax rate.,is always less than,may be greater than or less than,is always greater than,is always equal to,A,"The answer is
A. is always less than
After-tax cost of debt = Pre-tax cost of debt x (1 - Tax rate)
If the marginal tax rate is positive, the after-tax cost of debt will lower than the pre-tax cost of debt. An increase in the firm's marginal tax rate will reduce the after-tax cost of debt.","Cost Of Debt: Within a firm, the cost of debt refers to the financing cost of long-term borrowings. It is a component to determine the firm's weighted average cost of capital. Compared to a new equity, a new issue of debt is preferable due to its lower financing cost."
2,"The MNO Company believes that it can sell long-term bonds with a {eq}6\%

{/eq} coupon but at a price that gives a yield-to-maturity of {eq}9\%

{/eq}. If such bonds are part of next year's financing plans, which of the following should be used for bonds in their after-tax {eq}(40\%)

{/eq} cost-of-capital calculation?","{eq}3.6\%

{/eq}.","{eq}5.4\%

{/eq}.","{eq}4.2\%

{/eq}.","{eq}6\%

{/eq}.",B,"The answer is
b. 5.4%
Summary:
Yield to maturity = 9%
Tax rate = 40%
Determine the after-tax cost of debt:
After-tax cost of debt = Yield to maturity x (1 - Tax rate)
After-tax cost of debt = 9% x (1 - 40%)
After-tax cost of debt = 5.4%","Cost Of Debt: The cost of debt refers to the financing cost associated with long-term borrowing. It has a direct impact on the firm's average cost of capital. In practice, managers should account for the after-tax cost of debt since it reflects the tax shield of interest expenses."
3,"The coupon rate on a debt issue is 12%. If the yield to maturity on the debt is 9.33%, what is the after-tax cost of existing debt if the firm's tax rate is 34%?",3.17%,4.08%,6.16%,7.92%,C,"The answer is
c. 6.16%.
Given information:
Yield to maturity (YTM) = 9.33%
Tax rate = 34%
Determine the after-tax cost of debt on the existing debt:
{eq}\text{After-tax cost of debt} = \displaystyle YTM \times (1 - \text{Tax rate}) \\

\text{After-tax cost of debt} = \displaystyle 9.33\% \times (1 - 34\%) \\

\text{After-tax cost of debt} = 6.16\% {/eq}","After-Tax Cost of Debt: The after-tax cost of debt represents the effective financing cost with the adjustment for the interest tax shield. Since interest is tax deductible, the effective cost of debt is more relevant to estimate the firm's weighted average cost of capital."
4,The company cost of capital is the return investors would require on a portfolio of the company's:,debt securities only,equity securities only,debt and equity securities mixed in the same way as the company's capital structure.,debt and equity securities mixed equally regardless of the company's capital structure.,C,"Correct answer is Option c.
The capital structure includes all the long-term sources of financing. Hence, all these sources must be included while computing the cost of capital.
This cost of capital is calculated by adding the weighted costs of each source. These weights are the same as the proportions in which the sources are present in the capital structure.
Thus, cost of capital of company is the return investors would require on a portfolio of the debt and equity securities of the company mixed in the same way as its capital structure.
Explanation for incorrect answers:
a. It is incorrect because only debt is not the part of capital structure.
b. It is incorrect because only equity is not the part of capital structure.
d. It is incorrect because the debt and equity ratio must be the same as that of their proportion in the capital structure.","Capital: Capital refers to the amount of money invested in a company that is used to fund its long-term, fixed assets and projects for survival and growth. This capital is raised using different sources like equity, preference shares, loans, debentures, etc."
5,Which of the following statements is correct?,"If a company's tax rate increases, then, all else equal, its weighted average cost of capital will decline.",A change in a company's target capital structure cannot affect its WACC.,WACC calculations should be based on before-tax costs of all the individual capital components.,Flotation costs associated with issuing new common stock normally reduce the WACC.,A,"A) Correct. An increase in the tax rate will lower the after-tax cost of debt. Hence, the WACC will decline consequently.
B) Incorrect. A change in the firm's capital structure will affect the weight of each capital component. Hence, it will change the firm's WACC.
C) Incorrect. The cost of debt should be assessed as an after-tax metric since the interest expense is deducted from the taxable income. Alternatively, the after-tax cost of debt is more relevant to reflect the actual financing cost of debt capital since it accounts for the effect of the interest tax shield.
D) Incorrect. Flotation costs reduce the net proceeds of a new issue of shares. Thus, it will raise the cost of common stock, which causes an increase in the WACC.","Weighted Average Cost Of Capital: The weighted average cost of capital (WACC) is the average financing cost to fund the firm's assets. This metric includes the cost of equity, the cost of preferred stock, and the cost of debt as well."
6,Revive Co. can borrow at any interest rate of 12.5% for a period of eight years. its marginal federal-plus-state tax rate is 30%. What is Revive's after-tax cost of debt?,7.5%,8.8%,12.5%,8.4%,B,"The correct option is b, i.e. 8.8%.
Given Information:
The pre-tax cost of debt is 12.5%
The marginal tax rate is 30%
To calculate the after-tax cost of debt, use the following formula:
{eq}\begin{align*}{\rm\text{After - tax cost of debt}} &= {\rm\text{Pre - tax cost of debt}} \times \left( {1 - {\rm\text{Marginal tax rate}}} \right)\\ &= 12.5\% \times \left( {1 - 30\% } \right)\\ &= 12.5\% \times 0.70\\ &= 8.75\% \end{align*} {/eq}
Here, the pre-tax cost of debt is the interest rate that Revive Co. can borrow at, and the marginal tax rate is the combined federal-plus-state tax rate.
Therefore,
Revive Co.'s after-tax cost of debt is 8.8% approximately.","Marginal Federal-Plus-State Tax Rate: The marginal federal-plus-state tax rate can help individuals and businesses with tax planning and decision-making, such as deciding whether to take on additional income or invest in tax-advantaged accounts."
7,"What is the WACC for a firm with {eq}45\% {/eq} debt and {eq}55\% {/eq} equity that pays {eq}12\% {/eq} on its debt, {eq}20\% {/eq} on its equity, and has a {eq}40\% {/eq} tax rate? (Do not round intermediate calculations.)",{eq}14.24\% {/eq}.,{eq}13.16\% {/eq}.,{eq}16.40\% {/eq}.,{eq}12.00\% {/eq}.,A,"The calculated value of WACC for the firm is option
a. {eq}14.24\% {/eq}.
The weighted average cost of capital (WACC) is computed as follows:
{eq}\begin{align*} &= \text{(Cost of equity * equity percentage) + (cost of debt * debt percentage * (1 - tax rate))} \\[0.3 cm] &= (20\% * 55\%) + (12\% * 45\% * (1 - 40\%)) \\[0.3 cm] &= 11\% + (5.40\% * (1 - 0.40)) \\[0.3 cm] &= 11\% + 3.24\% \\[0.3 cm] &= 14.24\% \end{align*} {/eq}","Weighted Average Cost of Capital (WACC): The WACC value for a firm represents the total cost of capital in percentage terms. It is ascertained after taking into account the costs and proportions of various sources of funds in the overall capital structure like common equity, preferred equity, and debt."
8,Delt Express has a debt-equity ratio is 0.6. The return on equity is 15% and the interest cost of debt before tax is 9%. Income tax 28%.,10.32%,12.15%,11.81%,14.25%,C,"The correct option is: (c) 11.81%
The Weighted Average Cost of Capital or, WACC is calculated using the following formula:
{eq}WACC = \dfrac{E}{V} \times K_{e}+\dfrac {D}{V} \times K_{d}\\

Or,\ WACC = \dfrac {E}{D+E}\times K_{e}+\dfrac{D}{D+E}\times K_{d}

{/eq}
Where,
D = Total Debt of the company
E = Total Equity of the company
V = Total firm value = Debt + Equity
{eq}K_{e} = \text{required rate of return on equity}

{/eq}
{eq}K_{d} = \text{After-tax cost of debt}= Pre-tax\ cost\ of\ debt \times (1-tax\ rate)

{/eq}
Given in the problem,
{eq}K_{e} = 0.15

{/eq}
{eq}K_{d} = 0.09\times (1-0.28)=0.0648\ or,\ 6.48\%

{/eq}
Debt-equity ratio = 0.60  Or, {eq}\dfrac {Debt}{Equity}=\dfrac{0.60}{1}

{/eq}
{eq}Debt = 0.60,\ Equity = 1,\ V = D+E= 1.6

{/eq}
Putting the corresponding values in the above formula, we get the WACC of Delt Express as follows:
{eq}\begin{align*}

WACC &= \dfrac {1}{1.60}\times 0.15+\dfrac{0.60}{1.60}\times 0.0648\\

&=(0.625\times0.15)+(0.375\times0.0648)\\

&=0.11805\\

\end{align*}

{/eq}
Therefore, the WACC of Delt Express = 11.81%","Weighted Average Cost of Capital: The WACC of a company is the average rate of return at which the company is expected to pay to its equity shareholders, debt holders and preferred stockholders. It can be seen as the company's hurdle rate or required rate of return from an investment or a project. It is calculated by multiplying the weight of each source of capital in the company's capital structure by its corresponding after-tax cost, then adding them together to get the weighted average cost of capital."
9,For which capital component must you make a tax adjustment when calculating the weighted average cost of capital (WACC) for a firm?,Preferred stock.,Debt.,Equity.,,B,"The correct answer is
b) Debt
.
Options
Analysis
a. Preferred stock.
The dividends on preferred stock are fully taxable. So, there is no tax adjustment when calculating the WACC.
b. Debt.
The interest on debt is tax-deductible which reduces the after-tax cost of debt. Therefore, the cost of debt is subject to a tax adjustment.
c. Equity.
The dividends on common stock are fully taxable. So, there is no tax adjustment.","Weighted Average Cost of Capital: The weighted average cost of capital (WACC) is computed using the capital weights presented in the capital structure. The cost of each source of capital is multiplied by its weight in the capital structure, and the values are summed to arrive at the WACC."
10,The preferred capital structure weights to be used in the weighted average cost of capital are:,market weights.,nominal weights.,historic weights.,target weights.,A,"The answer is
a. market weights.
The weight for each capital component (common stock, preferred stock, and debt) should be estimated according to their market values. By using market values, it reflects the true economic value of each type of capital as of today while book values refer to historical costs.","Weighted Average Cost Of Capital: The weighted average cost of capital (WACC) is an average financing cost to the entire firm. It accounts the cost of equity, cost of preferred stock and cost of debt."
11,The overall (weighted average) cost of capital is composed of a weighted average of:,The cost of common equity and the cost of debt.,The cost of common equity and the cost of preferred stock.,The cost of preferred stock and the cost of debt.,"The cost of common equity, the cost of preferred stock, and the cost of debt.",D,"Option d
is the correct answer.
The major sources of capital for any business are equity, preferred stock, and debt. So, one should use the weighted average of all three of them to compute the proper cost of capital. Leaving either of them out would result in a misleading WACC. If one of these is not present, then one should use the weighted average of the other two.
All other options are wrong as one should use all three of them in computing WACC, i.e., equity, debt, and preferred stock.","Capital: Every business requires capital to expand its operations. There are numerous ways to raise capital, beginning with equity, debt, and preferred stock, each with its own risk and return characteristics."
