id,question,A,B,C,D,Answer,Explanation,Hint
1,Commercial banks are a major source of term loans. These loans are best used for:,financing the expansion of the business.,financing the establishment of overseas operations.,financing current assets like inventory and accounts receivable.,financing the payment of dividends.,A,"The answer would be A.
The expansion of a business could be funded by medium-term and long-term loans. A firm would take a long-term loan since the expansion will consume a significant time. In addition, a long-term loan would have a stable financing costs.","Commercial Banks: Commercial bank would be the largest type of banks in the financial industry. It would be allowed to receive deposits from individuals, householders and organization. In addition, commercial banks would offer a variety numbers of financial products and services."
2,"Which of the following $1,000 face value securities has the highest yield to maturity?","a 12% coupon bond selling for $1,100","a 10% coupon bond selling for $1,000","a 5% coupon bond selling for $1,000","a 12% coupon bond selling for $1,000",D,"The correct answer is option
D) a 12% coupon bond selling for $1,000
A bond is issued at the face value (i.e. $1,000) if the yield to maturity is the same as the stated coupon rate. On the other hand, if a bond is issued at a premium to the face value, the yield to maturity is less than the stated coupon rate in such a case.
Among the given options, the bond is selling at the face value for options B), C)  and D), and, hence, we can say that the respective yield to maturity is the same as the respective coupon rate (i.e. 10%, 5%, and 12% respectively). For option A), since the selling price (i.e. $1,100) is more than the face value, we can say that the yield to maturity is less than the coupon rate of 12%.
From the above explanation we can conclude that the highest yield to maturity is for option D), which is 12%.","Bond Yields: In the domain of accounting, the coupon rate for a bond is the quoted interest rate that dictates the periodic coupon or interest payments to the investors. On the other hand, the yield to maturity is the interest rate for which the issue price is the same as the sum of present values of all prospective interest payments and face value repayment."
3,"If a corporation were to choose between issuing a debenture, a mortgage bond, or a subordinated debenture, which would have the highest yield to maturity, everything else equal?",the debenture,the mortgage bond,the subordinated debenture,all of the above,C,"The correct option is (c)
.
A bond or a debt of an organization that ranks below then other bonds or debentures would be classified as subordinated debentures.
When a company is required to choose between issuing a debenture, a subordinated debenture, or a mortgage debenture, then it is said that the subordinated debenture would have the highest yield to maturity, everything else otherwise equal because senior securities are paid first in this case, whereas, if an organization is required to choose amongst them that would sell for the greatest price, then only the mortgage bond would be selected because in this case, the holders would have a claim on the real estate assets.
Hence, it is the correct option.","Financing Activities Financing activities are recorded and reported in one of the statements of financial reputation that is a cash flow statement. It records the transactions related to bonds, equity, or debt that would have an impact on the financial status of the company."
4,The type of corporate security that pays periodic interest as well as the eventual return of principal is:,Preferred stock,Debt Securities,Equity Securities,Fixed asset loans,B,"The correct answer to the given question is option
B) Debt Securities
.
The debt security is a type of corporate security which pays fixed periodic interest or coupon payments along with repayment of principal amount at maturity to the investors.","Financing of Assets: In the context of finance, the assets of a firm may be financed by using different sources of funding such as debt and equity. The equity may be raised in the form of common equity or preferred equity while the debt may be raised in the form of loans or corporate bonds."
5,Which of the following is not a typical cash flow under operating activities?,Cash inflows from sale of goods or services.,"Cash inflows from sale of property, plant, and equipment.",Cash outflows to employees.,Cash outflows to suppliers.,B,"b. Cash inflows from sale of property, plant, and equipment.
The overall cash flow under operating activities consists of cash inflows from sale of goods or services, cash outflows to employees for salaries and cash outflows to suppliers for purchase of raw materials. The cash inflows from sale of property, plant and equipment is reported under investing activities.","Cash Flow Statement: In the context of accounting, the cash flow statement is one of the three prominent financial statements prepared by any firm for a given period. The cash flow statement shows the cash flows occurring from three kinds of activities during given period, namely, operating activities, investing activities and financing activities."
6,"A coupon bond has a face value of $1000, a coupon rate of 6%, and 2 years to maturity. If the price of the bond is $1100, then the yield to maturity it __________.",10%,6%,less than 6%.,greater than 6%.,C,"Answer: C. less than 6%
Face Value, FV= $1000
Present Value (Price), PV= $1100
Coupon Payment, C= 60 (6% of $1000)
Maturity, t=2 years
Yield to Maturity (YTM)= ?
{eq}\begin{align*}

{\rm\text {YTM}} &= \frac{{{\rm\text {C}} + \frac{{{\rm\text {FV}} - {\rm\text {PV}}}}{{\rm\text {t}}}}}{{\frac{{{\rm\text {FV}} + {\rm\text{PV}}}}{2}}}\\

&= \frac{{\$ 60 + \frac{{\$ 1000 - \$ 1100}}{2}}}{{\frac{{\$ 1000 + \$ 1100}}{2}}}\\

&= \frac{{\$ 10}}{{\$ 1050}}\\

&= 0.95\%

\end{align*}

{/eq}",Yield to Maturity: Yield to maturity is the rate of return that is expected by investors when they invest in bonds and hold it till its maturity period. Yield to maturity can also be negative if the bond price is greater than the face value.
7,Which of the following is true of microfinance?,It is a not-for-profit concept.,The effects of lending are lower for higher-income borrowers.,It is subject to nonmarket risks.,Those borrowing for non-business purposes decreased household consumption.,B,"Answer b
Microfinance means that the organisation provides microfinance services, ranging from a small non-profit organisation to large commercial banks. It lacks access to banking-related services like giving small loans, money transfer services etc.","Finance Finance means evaluating an investment in business and raising capital to fund them and concerned about investing, savings and earnings of individuals and firms. Financial management and financial services are considered as a part of finance."
8,"A {eq}\$1,000

{/eq} par value 8-year bond with a 7 percent coupon rate recently sold for {eq}\$1,100

{/eq}. The yield to maturity is:",greater than 7 percent.,7 percent.,less than 7 percent.,cannot be determined.,C,"The answer is
c) less than 7 percent.
Summary:
Par = $1,000
Coupon rate = 7%
Price =  $1,1,00
In this case, the price of this bond is greater than its par value, which indicates that the yield to maturity is less than the coupon rate. As the yield is less than the coupon rate, the present value of all cash inflows will increase greatly, which will exceed the par value.","Yield To Maturity: The yield to maturity (YTM) is an expected rate of return on a bond that an investor holds the bond until its maturity. Alternatively, the yield to maturity can be treated as the internal rate of return on a bond investment."
9,Which of the following bonds has a comparatively higher yield to maturity?,A one-year bond with a 6.7 percent interest today,A three-year bond with a 5 percent interest today,A two-year bond with a 4 percent interest today,A four-year bond with a 4.5 percent interest today,A,"The answer is
a. A one-year bond with a 6.7 percent interest today
To attract investors to purchase new bonds, these bonds would usually offer the coupon rate that is equal to the current yield to maturity. Considering this assumption, a bond with a higher coupon rate indicates that it yields at a higher rate of return.",Yield to Maturity: Yield to maturity (YTM) is the investor's expected rate of return by holding a bond until its maturity. The investor's forecast of future interest rates has a direct impact on deciding whether the bond should be purchased since any change in the market interest rates will influence the fair value of the bond.
10,The most widely used calculated measure of interest rate in bond markets is the:,coupon rate.,discount rate.,yield to maturity.,current yield.,C,"Correct Answer: Option c. yield to maturity.
Explanation:
Yield to maturity is the holding period return on a bond that is realized by holding the bond until maturity. It is the most widely used measure in the bond markets. The bond valuation is not possible if it isn't for the yield to maturity. The purchase price of a bond is equal to the present value of the future cash flows from the bond discounted at the yield to maturity.","Cost of Debt: The cost of issuing bonds to raise capital and invest in the business is called the cost of debt. It is associated with the interest expense that is paid periodically to the bondholders. For the purpose of computing WACC, the cost of debt is the after-tax yield to maturity."
