id,question,A,B,C,D,Answer,Explanation,Hint
1,"Consider a zero-coupon bond with a $1,000 face value and 10 years left until maturity.","{eq}7.5

{/eq},","{eq}10.4

{/eq},","{eq}9.7

{/eq},","{eq}8.1

{/eq}.",D,"The correct answer is option
d. 8.1
Explanation
{eq}Issue\ price * (1 + yield\ to\ maturity\ rate)^ {period} = Maturity\ value

{/eq}
Here,
Issue price = $459
Maturity value = $1,000
Period = 10
So,
{eq}$459 * (1 + yield\ to\ maturity\ rate)^ {10} = $1,000

{/eq}
{eq}(1 + yield\ to\ maturity\ rate) = ($1,000/$459)^ {1/10}

{/eq}
Yield to maturity = 1.08098267 - 1
Yield to maturity rate
=
0.8098 or 8.09%
This is closet to 8.1% so correct answer is option d",Zero Coupon Bond Zero coupon bond are non-interest bearing bonds. These bonds are issued by the borrower at a discounted rate and the face value is received by the lender at maturity. The difference between the issue price and the face value is the interest on the bond. The zero coupon bond are also known as deep discounted bond because these bonds are always issued at a discounted price
2,Savings Bonds Series EE savings bonds are guaranteed to double in price if they are held for:,10 years,5 years,15 years,20 years,D,"Savings Bonds Series EE savings bonds are guaranteed to double in price if they are held for
d. 20 years
.
The bonds are guaranteed to double in 20 years. This translates into an effective annual yield of 3.53%. The actual yield may vary due to market rates.","Series EE Bonds: Series EE Bonds are issued by the treasury and are sold to the public. The bonds cannot be bought or sold after that, and therefore it is a non-marketable security. The bond promises to double up in value in a stipulated time."
3,Which of the following would not be associated with a zero-coupon bond?,Yield to maturity,Interest-rate risk,Discount bond,Current yield,D,"The answer is D.
Since zero-coupon bond will not make any coupon payments, it is impossible to estimate the current yield in this case.","Zero-Coupon Bonds: Zero-coupon bonds are bonds that will not make any interest payments to investors. Instead, investors will receive the par value at the maturity and can purchase bonds at a deep discount price."
4,"Given its time to maturity, the duration of a zero-coupon bond is:",lowest when the discount rate is equal to the risk-free rate.,higher when the discount rate is higher.,higher when the discount rate is lower.,the same regardless of the discount rate.,D,"The correct answer is d.
In the case of a zero-coupon bond, the duration is equal to maturity. The duration of bonds is dependent on coupon payments, and since, the zero-coupon bond does not make any coupon payments, therefore, its duration is independent of the discount rate. Thus, we can conclude that the duration of a zero-coupon bond is the same and does not take into consideration the discount rate.","Zero-Coupon Bond: A zero-coupon bond is a debt instrument that does not carry an interest rate but can be traded at high discounts, thus, resulting in profits for the seller. These instruments are bought at low prices and then sold at face value and this difference results in profits."
5,Which of the following statements is CORRECT?,The time to maturity does not affect the change in the value of a bond in response to a given change in interest rates.,"The shorter the time to maturity, the greater the change in the value of a bond in response to a given change in interest rates.","The longer the time to maturity, the smaller the change in the value of a bond in response to a given change in interest rates.","You hold two bonds. One is a 10-year, zero-coupon, issue and the other is a 10-year bond that pays a 6% annual coupon. The same market rate, 6%, applies to both bonds. If the market rate rises from the current level, the zero-coupon bond will experience a larger percentage decline.",D,"The correct option is
Option d.
The foremost thing in bond investment is that if the current yield rate grows, the prices will be adversely impacted. Since the zero-coupon bonds are considered highly volatile as compared to other debt instruments, they will face a greater dropdown in price if the market rate rises.
Explanation for the incorrect options:
Option a. It is incorrect because the time to maturity influences the bond value.
Option b. It is incorrect because if the time to maturity is shorter, there will be a minor change in the bond price.
Option c. It is incorrect because there will be a greater change in the bond value.","Bond: A bond refers to a financial instrument where one party lends money to another, usually to a business organization or corporates upon which the lender receives a recurring return as interest. They attract tax savings."
6,"A riskless zero-coupon (no coupon payments) bond that will pay $1,000 in 10 years is selling today for $650. What implied rate of return does the bond offer?",4.4%,35%,0%,6.5%,A,"Correct answer is Option a).
The current price of the bond (P0) is $650 and the face value of the bond (FV) is $1,000. The number of bond maturity (n) is 10. Let the interest rate be r.
{eq}\begin{align*}

P0{\left( {1 + r} \right)^n}& = FV\\

\$ 650{\left( {1 + r} \right)^{10}}& = \$ 1,000\\

r& = \sqrt[{10}]{{\frac{{\$ 1,000}}{{\$ 650}}}} - 1\\

r& = 4.4\%

\end{align*}

{/eq}
The implied rate of return of the bond is 4.4%.","Zero-coupon bond: A zero-coupon bond is a bond that does not make any coupon payments as returns to its holders. These bonds are issued at a discount and redeemed at the face value, thus the discount on the bond is a return to the bondholders."
7,"Innovative Inventions Inc. needs to raise $10 million. If the company chooses to issue zero-coupon bonds, its debt-to-equity ratio will most likely:",rise as the maturity date approaches.,decline as the maturity date approaches.,remain constant throughout the life of the bond.,,A,"The correct option is
(A). rise as the maturity date approaches.
When we account for the zero-coupon bonds using the effective interest method, we debit the discount on bond as interest expense annually and increase the bond payable. Thus the debt-to-equity ratio will rise as the maturity date approaches.","Zero-Coupon Bonds: Zero-coupon bonds are those financial instruments that do not pay any interest. Instead, companies issue these bonds at a discount and redeem them at par."
8,At what price will Gohm have to sell a 10-year zero coupon bond that will yield 8.75% if held to maturity?,$453,$875.00,$87.50,$432,D,"D) $432
Term to maturity (n) =10-years
Yield to maturity (r) = 8.75%
Par value = $1,000
Coupon payment = $0
{eq}\begin{align*}

\ Bond \ Price &=  \dfrac{Par \ value}{ (1 + r)^{n}}\\

&=  \dfrac{1,000}{ (1 + 0.0875)^{10}}\\

& =$432.22\\

\end{align*}

{/eq}",Zero-Coupon Bond: A zero-coupon bond is a bond that does not pay any coupon payments to the bondholder. The issuer of the bond only pays the par value at maturity. The price of the bond therefore will be the present worth of the par value disounted using the yield to maturity. A zero-coupon bond trades at a discount as the price is lower than the par value.
9,Crown King zero coupon bonds were issued in 1998 at $124. These bonds will mature in 2018. What will these bonds sell for in 2008 if the required rate of return in 2008 is 9.5%?,$352,$404,$413,$163,B,"B) $404
Term to maturity (n) = 2018 - 2008 = 10 years
Yield to maturity (r) = 9.5%
Par value = $1,000
{eq}\begin{align*}

\ Bond \ Price  &=  \dfrac{Par \ value}{ (1 + r)^{n}}\\

&=  \dfrac{1,000}{ (1 + 0.095)^{10}}\\

& = $403.51\\

\end{align*}

{/eq}
The bonds will sell for
$404
in 2008","Price of Zero Coupon Bond: A zero coupon bond is a bond that does not pay interest to the bond holder. The issuer borrows funds from the bondholder and promises to repay the par value when the bond matures. The price of a zero coupon bond is determined by the par value, the yield to maturity and the term to maturity. A zero-coupon bond is priced bydiscounting the par value to its present worth. The zero coupon bond is referred to as a discount bond as the price is always lower than the par value."
10,"Prior to its maturity date, the price of a zero-coupon bond is always greater than its face value. Sovereign debt is debt issued by national governments. (True or False)",True,False,,,B,"The answer is
False
Zero-coupon bonds are purchased at less than face value. At maturity, the face value of the bond is settled. As the name suggests, its interest rate is Zero. The return on investment is the difference between purchase value and face value. At no point in time, the price of a zero-coupon bond is more than face value.",Bond A bond is an instrument issued by public and government companies. They issue bonds to raise long-term money. Investors are essentially money-lenders to these companies.
