id,question,A,B,C,D,answer,expanation,hint,guess,reasoning,baseline_guess
1,"The journal entry to write off an individual customer""s account receivable using the allowance method will?",reduce net income and total current assets,reduce net income but will not affect total current assets,not affect net income but will reduce total current assets,did not affect net income or total current assets,C,"The journal entry to write off an individual customer's account receivable using the allowance method will c. not affect net income but will reduce total current assets.

Under the allowance method, the bad debt expense is recorded with an adjusting entry at the end of each reporting period. This entry reduces net income. When an individual customer account is written off, the journal entry debits Allowance for Doubtful Accounts and credits Accounts Receivable. This entry does not affect net income. It also does not affect total current assets because the net accounts receivable does not change. Net accounts receivable is Accounts Receivable minus Allowance for Doubtful Accounts.

The other options are incorrect:

a. reduce net income and total current assets is correct under the direct write-off method, but not the allowance method.
b. reduce net income but will not affect total current assets and d. did not affect net income or total current assets are incorrect because these are never consequences of the journal entry to write off an individual customer account.","Allowance Method:
In financial accounting, the allowance method is used to account for the bad debt expense. The Allowance for Doubtful Accounts account balance amounts to a provision for bad debts and is deducted from the Accounts Receivable balance to find the net realizable value of accounts receivable, as presented on the balance sheet.",,,D
2,What is wrong with the direct write-off method of accounting for uncollectibles?,The direct write-off method overstates assets on the balance sheet.,The direct write-off method does not match expenses against revenue very well.,The direct write-off method does not set up an allowance for uncollectibles.,All of the above,D,"Under the direct write-off method, the bad debt expense is only recorded when a customer account is identified as being uncollectible. The Allowance for Doubtful Accounts account is not used under the direct write-off method.

Let us look at why all the alternatives are correct:

a. The direct write-off method overstates assets on the balance sheet is correct because, under the direct write-off method, the carrying amount of Accounts Receivable is not reduced by the Allowance for Doubtful Accounts.
b. The direct write-off method does not match expenses against revenue very well is correct because the estimated bad debts are not recorded in the same period the sales are recognized. Instead, bad debt is only recorded when an individual account becomes uncollectible.
c. The direct write-off method does not set up an allowance for uncollectible is also correct. The Allowance for Doubtful Accounts is not used under the direct write-off method.",Bad debt is defined as the loss(es) a company suffers when customers do not pay their outstanding accounts. It is recognized as an operating expense in the income statement and can be accounted for using either the allowance or direct write-off method.,,,D
3,"When an account is written off using the allowance method, the:",allowance account will increase,cash realizable value of total accounts receivable will increase,net accounts receivable will stay the same,net accounts receivable will decrease,C,"The journal entry is to credit accounts receivable to remove the account and to debit the Allowance for Doubtful Accounts account. The net accounts receivable is the difference between accounts receivable and the allowance account balances. This means that this journal entry would not change the net accounts receivable.

The other options are incorrect:

a. allowance account will increase is incorrect because the allowance account has a normal credit balance because it is a contra-asset account. This means that the debit entry will decrease its balance.
b. cash realizable value of total accounts receivable will increase is incorrect because the cash realizable value of total accounts receivable is the same as the net accounts receivable. We have seen that it would not change.
d. net accounts receivable will decrease is incorrect because we have seen that net accounts receivable will not change.
",A reserve for bad debts that may occur in the future is created using the allowance method. It is usually a set percentage of sales that were made during a particular period. This method allows bad debts to be matched with sales during the same reporting period.,,,C
4,The entry to adjust for bad debts was ignored. This error would cause:,total liabilities to be understated.,net income to be understated.,total assets to be overstated.,none of these are correct,C,"The correct answer is C. total assets to be overstated. This is the correct alternative because the bad debt adjustment decreases the carrying amount of accounts receivable, and therefore total assets. If this adjustment is missing, accounts receivable is too high and total assets are then overstated.

The other answers are incorrect.

A. total liabilities to be understated.        The bad debt adjustment does not affect any liability account.
B. net income to be understated.        Net income is overstated because the bad debt expense is understated.
D. none of these are correct        No
","Each accounting transaction affects at least two general ledger accounts. Likewise, each transaction that are not recorded leads to errors in at least two general ledger account balances, and often in two or more financial statement items.",,,C
5,"The following information is available for Criminy Company: Accounts Receivable, 12/31/10 = $83,000; Allowance for doubtful accounts at 12/31/10: $3,000 (credit balance). As a result of a review and aging of accounts receivable, it has been estimated that 10% of the accounts receivable will never be collected. There is no write-off of A/R. Grover is getting ready to record its 12/31/10 adjusting journal entries. By what amount should it debit ""bad debt expense""?","$3,000","$5,300","$8,300","$11,300",B,"The correct answer is B. $5,300.

Given information:

Accounts receivable = $83,000
Allowance for doubtful accounts = $3000 (credit balance)
Estimated uncollectible = 10% of accounts receivable
The credit balance of the allowance for doubtful accounts is deducted from the estimated uncollectible to compute the amount of bad debt expense.

{eq}\begin{aligned} \text{Bad}\ \text{debt}\ \text{expense} &=\left( \text{Accounts receivable}\times \text{Uncollectible}\ \text{rate} \right)-\text{Allowance}\ \text{for}\ \text{doubtful}\ \text{accounts} \\ &=\left( \$83,000\times 10\% \right)-\$3,000 \\ &=\$8,300-\$3,000 \\ &=\$5,300 \end{aligned} {/eq}","Bad debt expense refers to the expense or losses that occur when any debtor fails to repay their dues and will not be able to pay them in the future. The bad debt can be written off from the accounts receivable.

",,,B
6,"Net sales for the month are $800,000, and bad debts are expected to be 1.5% of net sales. The company uses the percentage-of-sales basis. If the Allowance for Doubtful Accounts has a credit balance of $15,000 before adjustment, what is the balance after adjustment?",,,,,B,"The correct answer is b. $27,000.



Given information:

Allowance for Doubtful Accounts (credit balance) = $15,000
Sales = $800,000
Bad debt expected = 1.5% of sales
Under the percentage-of-sales method, the allowance for doubtful debts is computed based on the estimated percentage of sales.

{eq}\begin{aligned} \text{Allowance}\ \text{for}\ \text{doubtful}\ \text{accounts} &=\text{Allowance}\ \text{for}\ \text{doubtful}\ \text{accounts credit balance}+\left( \text{Sales}\times \text{Bad debt expected} \right) \\ &=\$15,000+\left( \$800,000\times 1.5\% \right) \\ &=\$15,000+\$12,000 \\ &=\$27,000 \end{aligned} {/eq}

Thus, the allowance for doubtful accounts after adjustment amounts to $27,000.",Allowance for doubtful accounts refers to the reserve created under the allowance method to write off bad debts. The allowance for doubtful accounts shows the estimated amount of doubtful debts.,,,B
7,A debit balance in the Allowance for Uncollectible Accounts account before the year-end adjustment for the current year's uncollectible accounts expense means:,that the prior year's estimated uncollectible accounts receivable must have been overestimated,that the prior year's estimated uncollectible accounts receivable must have been underestimated,that the current year's write-offs of uncollectible accounts receivable were less than the prior year's ending allowance for uncollectible accounts balance,that the direct write-off rather than the allowance method was used to account for uncollectible receivables,C,"The correct option is C. that the current year's write-offs of uncollectible accounts receivable were less than the prior year's ending allowance for uncollectible accounts balance.

The table explores each answer option and explains the right and wrong answers with reasons:

A. that the prior year's estimated uncollectible accounts receivable must have been overestimated        This would lead to an unadjusted credit balance in the Allowance for Uncollectible Accounts account because the beginning credit balance would have been significantly higher than the debit entries to record the write-offs.
B. that the prior year's estimated uncollectible accounts receivable must have been underestimated        This is a possible reason but not the only one. It can also be that the company had large bad debts in the current year, and the expense recorded at the end of the year will reflect this.
C. that the current year's write-offs of uncollectible accounts receivable were less than the prior year's ending allowance for uncollectible accounts balance        This is the correct alternative because the current year's write-offs are debits in the Allowance for Uncollectible Accounts account and the beginning balance is a credit.
D. that the direct write-off rather than the allowance method was used to account for uncollectible receivables        When a company has an Allowance for Uncollectible Accounts account in its general ledger, it uses the allowance method. The account is not used under the direct write-off method.",Allowance for Uncollectible Accounts is a contra-asset account. The ending balance is deducted from the Accounts Receivable account balance to determine the net realizable value of receivables that is presented on the balance sheet.,,,B
8,"Allowance for Doubtful Accounts has an unadjusted balance of $400 at the end of the year, and uncollectible accounts expense is estimated at 1% of net sales. If net sales are $300,000, the amount of the adjustment to record the provision for doubtful accounts is:",$400.00,"$3,400","$3,000","$2,600",C,"The correct answer is c. $3,000.

The amount of the adjustment to record the provision for doubtful accounts can be computed using the net sales and estimated bad debts percentage. The percentage of credit sales method doesn't take into account, the unadjusted balance in the allowance account for estimating the bad debts.

Amount of adjustment = Net sales × Estimated bad debts percentage
Amount of adjustment = $300,000 × 1%
Amount of adjustment = $3,000","The allowance for doubtful accounts records the estimated amount uncollectible during a period. The conservatism principle requires using the allowance method to account for an expense that may or may not incur but has the probability of occurrence.

",,,C
9,"Allowance for Doubtful Accounts has an unadjusted balance of $500 at the end of the year, and uncollectible accounts expense is estimated at 1% of net sales. If net sales are $950,000, the amount of the adjustment to record the provision for doubtful accounts is:","$9,500.00",$500.00,"$8,500.00","$9,000.00",A,"The correct answer is a. $9,500.

Let's note that the percentage of credit sales method ignores the unadjusted balance in the allowance account when estimating bad debts for the period. Therefore, the $500 balance in the allowance account has no relevance in the given scenario.

The bad debt expense can be computed using the following equation:

Bad debts expense = Net credit sales × Estimated percentage
Bad debts expense = $950,000 × 1%
Bad debts expense = $9,500
The adjusting entry at year-end for the uncolle",Uncollectible accounts refer to debtor balances that are deemed unlikely or impossible to collect. These accounts are typically written off as bad debts by a business due to non-payment or the inability of the debtor to fulfill their financial obligations.,,,C
10,Allowance for Doubtful Accounts is a contra-equity account.,True.,False.,,,B,"The statement is b. False. It is false to say that Allowance for Doubtful Accounts is a contra-equity account because Allowance for Doubtful Accounts is a contra-asset account. This means that Allowance for Doubtful Accounts decreases the carrying amount of an asset account (Accounts Receivable in this case) on the balance sheet, not that of an equity account.

Treasury stock is an example of a contra-equity account because it reduced total stockholders' equity on the balance sheet.","Companies incur bad debt expenses when their customers do not pay for sales on credit fully. In accrual accounting, the bad debt expense should be matched to the related sales revenue, and the allowance method is used for this purpose.",,,B
