id,question,A,B,C,D,answer,explanation,hint,guess,reasoning
1,"A bond has a face value of $100,000. The issuing company received $100,000 in cash for the bonds. The bonds were issued at:",a premium,par,none of the available choices,a discount,B,"The correct answer is
b. par
.
Options
Analysis
a. a premium
A bond's sale proceeds must exceed the par value if the bond sells at a premium.
b. par
The par value and the bond's sale proceeds equal $100,000. It means that the bonds are sold at par.
c. none of the available choices
Option b) is correct.
d. a discount
A bond's par value must exceed the sale proceeds if the bond sells at a premium.","Debt Instruments: The various sources that help raise capital for the business are referred to as the instruments of debt. These debt instruments include bonds, debentures, notes payable, mortgages payable, bank loans, and loans from creditors. Debt capital should be less than equity.",B,
2,"A bond has a par value of $100. It pays 10 percent interest. 1,000 are issued. How much capital is raised?","$110,000","$100,000","$10,000 per year","$90,000",B,"The correct answer is
B) $100,000
.
Bonds are debt instruments that are issued by organizations to raise capital. The par value of a bond is the amount of money that is raised as capital from that bond. The interest paid for a bond is the amount of money, over and above the par value, that the issuing organization pays back to the bondholder in return for the debt, after a certain interval of time. So, the interest paid for a bond does not constitute the capital raised through the bond but is rather the cost of the capital raised.
Hence, in this case, we do not require the information regarding the percent interest.
The known and required values are:
The par value of each bond {eq}= \$100 {/eq}
Number of bonds issued {eq}= 1,000 {/eq}
{eq}\begin{align*} \therefore \text{ Total capital raised }&= \text{ Par value per bond }\times \text{ Number of bonds issued} \\ &= \$100 \times 1,000 \\ &= \$100,000 \end{align*} {/eq}
Therefore,
the capital raised by issuing 1,000 bonds at the par value of $100 is $100,000
.","Capital: The resources that are used to generate wealth are known as capital. Capital can also be financial assets that are invested in business activities. Money, machinery, land, and other assets of economic value can be considered as different forms of capital.",B,
3,Bonds are sold at face value when the contract rate is equal to the market rate of interest.,True,False,,,A,"The statement is
a. True
.
If the bond's contract and market rates are the same, the bond will sell at its
par value
.
If the bond's contract rate exceeds the market rate, the bond will sell at a price higher than the par value or at a
premium
.
If the bond's contract is less than the market rate, the bond will sell at a price lower than the par value or a
discount
.","Bonds: Bonds are reported under the company's financing cash flows as they represent a long-term source of finance. When the business invests bond capital in its fixed assets, it creates revenue in excess of the costs associated with such borrowed capital.",A,
4,"If the market interest rate is 5%, a $10,000, 6%, 10-year bond, that pays interest annually would sell at an amount:",greater than face value.,that cannot be determined.,equal to face value.,less than face value.,A,"The correct answer is
A. greater than face value
.
We are provided with the following information:
Market interest rate = 5%
Bond's coupon rate = 6%
If the first rate is less than the second rate, as mentioned above, the bonds will sell at a premium because investors will be willing to pay more for a higher return.","Bonds: Bonds, when issued at par, mean that the market rate and the company's bond rate are the same. The difference in these two rates causes a bond to sell at a discount or at a premium, depending on which one is higher and which one is lower.",A,
5,"Meera Corporation issued 4,500, 8%, 5-year, $1,500 bonds dated January 1, 2014, at 150.","Prepare the journal entry to record the sale of these bonds on January 1, 2014.","Prepare the journal entry to record the first interest payment on July 1, 2014 (interest payable semiannually), assuming no previous accrual of interest.","Prepare the adjusting journal entry on December 31, 2014, to record interest expense.",,A,"a) Record the sale of the bonds
The bonds were issued at 150. So, the cash received on the sale was 4,500 × $1,500 = $6,750,000 × 150 =
$10,125,000
. The bonds were issued at a premium because they were issued at more than 100.
Date
Description
Debit
Credit
Jan 1
Cash
$10,125,000
Bonds payable
$6,750,000
Premium on bonds payable
$3,375,000
To record the issue of 4,500 $1,500 bonds at 150
b) First interest payment
We will assume the company uses the straight-line method to amortize the bond premium. The company will make 10 interest payments (5-year bonds and interest is paid semi-annually). The amount to be amortized with each interest payment is $3,375,000 ÷ 10 = $337,500.
These bonds were issued at a substantial premium, and the premium to be amortized exceeds the interest payment. So, the company must record interest revenue, not an interest expense. This situation is rare but not inconceivable.
Date
Description
Debit
Credit
Jul 1
Premium on bonds payable
$337,500
Cash ($6,750,000 × 0.08 × 6/12)
$270,000
Interest revenue (plug)
$67,500
To record the first interest payment on bonds
c) Adjusting entry on December 31
The company must accrue the interest revenue and premium amortization on December 31. The amounts are the same as for the first interest payment under the straight-line method:
Date
Description
Debit
Credit
Dec 31
Premium on bonds payable
$337,500
Interest Payable
$270,000
Interest revenue (plug)
$67,500
To record interest on bonds",Bond Transactions: Bonds and any related discount or premium are recorded in the accounting records when issued. The interest payments on bonds and the interest expense are then recorded subsequently on each interest payment date.,A,
6,Most corporate bonds are,Mortgage bonds.,Debenture bonds.,Secured bonds.,Collateral bonds.,B,"The correct answer is
B) Debenture bonds
.
Debentures are the most common type of corporate bond. These are unsecured and unbacked by any collateral; instead, the reputation of the company issuing them serves as their only security.
The other options are incorrect because these are not the most common corporate bonds.
A) Mortgage bonds: A mortgage bond refers to a bond backed by mortgages, often secured by real estate or other tangible assets.
C) Secured bonds: A secured bond, also known as a mortgage bond, is one where the firm commits particular collateral. Municipalities frequently issue this kind of bond to fund the execution of a particular investment project.
D) Collateral bonds: Borrowing money while providing a valuable asset as security for the lender is known as a collateral bond.","Bonds: Bonds are the instruments that are issued by the business to raise money. There are several dimensions to bonds, including things such as ratings, protective covenants, security, etc.",B,
7,"On January 1, 20X1, Carbonville Company issued bonds with a face value of $1,000. The bonds were issued for $920. Which one of the following should be included in the journal entry necessary on Carbonville's books to record the issuance of these bonds?","Debit to Bonds Payable of $1,000",Debit to Discount on Bonds Payable of $80,"Debit to Cash of $1,000","Credit to Cash of $1,000",B,"The correct option is
B) Debit to Discount on Bonds Payable of $80
.
The bond's issue price is $920, and its par value is $1,000. It is issued at a discount (a price lower than par).
When bonds are issued, a company receives cash and recognizes a liability.
Date
Account Title
Debit
Credit
January 1, 20X1
Cash
$920
Discount on Bonds Payable
$80
Bonds Payable
$1,000
Here, the points to be noted include:
The cash account will reflect the issued price of the bonds.
Bonds Payable account reflects the par value.
Discount on Bonds Payable refers to the gap between the issue price and par value ($1,000 - $920 = $80)
A brief explanation of each incorrect option is provided in the table below:
Answer Options
Explanation
A) Debit to Bonds Payable of $1,000
Bonds Payable refers to a liability and needs a credit entry.
C) Debit to Cash of $1,000
Cash will be debited for $920.
D) Credit to Cash of $1,000
As the company receives cash, it should debit it.","Bonds: When bonds are sold, their prices vary due to factors such as interest rates, time until maturity, and credit rating. Bonds with higher interest rates or longer maturities usually sell at a higher price and vice versa.",B,
8,"On July 1, 20X1, Stockton Company issued bonds with a face value of $1,000. The bonds were issued for $1,030. Which ONE of the following should be included in the journal entry necessary on Stockton's books to record the issuance of these bonds?",CREDIT to Premium on Bonds Payable of $30,DEBIT to Premium on Bonds Payable of $30,"DEBIT to Cash of $1,000","DEBIT to Bonds Payable of $1,000",A,"The correct answer is
Option a) CREDIT to Premium on Bonds Payable of $30
.
The following data is worth understanding:
Bond's face value = $1,000
Bond's issue price = $1,030
As the issue price or the sale proceeds exceed the par value, we say the bonds are issued at a premium. This means that investors have paid a $30 premium in addition to the bond's par value when purchasing the bonds.
The entry to record the bonds issued at a premium is given below:
Date
Account Title
Debit
Credit
July 1, 20X1
Cash
$1,030
Premium on Bonds Payable
$30
Bonds Payable
$1,000
(To record the issuance of bonds at a premium.)
Now, note these points:
Cash will be debited for the amount received on issuance, which is $1,030.
Bonds Payable will always be credited at the par value of $1,000.
Premium represents the difference between 1 and 2, equalling $30.","Bonds: Bonds are a type of debt security representing an investor's loan to a corporation or government entity. When investors purchase a bond, they lend money to the issuer, who promises to repay the principal at a set maturity date and make periodic interest payments.",A,
9,The printing costs and legal fees associated with the issuance of bonds should:,be expensed when incurredb) be reported as a deduction from the face amount of bonds payablec) be accumulated in a deferred charge account and amortized over the life of the bondsd) not be reported as an expense until the period the bonds mature or are retired,,,,C,"The printing costs and legal fees associated with the issuance of bonds should
(c) be accumulated in a deferred charge account and amortized over the life of the bonds
.
Under US GAAP, bond issue costs are capitalized. This means that bond issue costs are recorded in a contra-liability account and then amortized to the interest expense over the bonds' term. Issue costs are amortized to the interest expense along with any discount or premium on the bond issue.
The other options are wrong:
(a) Be expensed when incurred
is wrong because under US GAAP, the expense must be deferred and recognized over the bond's term.
(b) Be reported as a deduction from the face amount of bonds payable
is wrong because the issue costs do not decrease the amount due at maturity. The cost can therefore not be deducted from the face value.
(d) Not be reported as an expense until the period the bonds mature or are retired
is also wrong because the expense must be recognized over the entire bond term, not just in the last year.",Bonds Payable: Bonds payable are obligations a company has to pay bondholders; the firm is required to pay a stated amount on a specified future date. The carrying amount of bonds payable is usually included in the long-term liability section of the balance sheet.,C,
10,True or false? A hydrogen bond is a special kind of dispersion force that can occur only in a molecule containing hydrogen.,True,False,,,B,"A hydrogen bond is a special kind of dispersion force that can occur only in a molecule containing hydrogen.
This statement is
FALSE
.
A hydrogen bond is not a dispersion force because it is a special type of dipole-dipole interaction. This is exhibited by a hydrogen atom that is directly attached to a highly electronegative atom (N, O, or F) and a highly electronegative atom. On the other hand, dispersion force is exhibited by all chemical species and occurs by the momentary production of a dipole upon contact.",Intermolecular Forces of Attraction: Intermolecular forces of attraction are interactions that occur between molecules that impact physical qualities such as boiling and melting temperatures. Understanding these forces is critical for describing the diverse characteristics of substances in various states of matter.,B,
11,Use the data table to answer the question that follows.,"Stock B, because lower-priced stocks are more likely to be good deals in the financial market.b. Stock B, because its P/E ratio means that it is earning more per share than its price.c. Stock C, because its relatively lower P/E ratio indicates the others may be overvalued.d. Stock C, because its relatively higher Div value means it is the best overall deal.",,,,C,"The most correct solution to this problem is provided by
(C) Stock C, because its relatively lower P/E ratio indicates the others may be overvalued
.
Decision-making in investment should always consider the primary goals of the investor. What is good for one investor can be bad for another. In this case, the investor is primarily concerned with whether or not a stock is worth its current price. One indicator that we can use to determine a stock's value is the price per earning ratio, or P/E ratio. A low P/E ratio means that the stock is currently undervalued, while a high P/E ratio means that the stock is currently overvalued.
Assuming that the three stocks given are in the same industry or sector (different sectors can have different typical P/E ratios), the investor should choose Stock C because it has the lowest P/E ratio.","Investing Styles: In general, there are several styles of investing, one of which is called value investing. This style of investing focuses on acquiring companies that have good performance but are undervalued. Another is called growth investing, which focuses on obtaining stocks that have great growth potential even when they are currently not performing that well.",C,
12,"When the market rate of interest is less than the contract rate for a bond, the bond will sell for a discount.",True,False,,,B,"The given statement is
(b.) False.
The theoretical price of the bond is equal to the present value of expected cash flows from the bond.
If the market rate of interest is less than the contract rate for a bond, then the present value of expected cash flows from the bond will be higher than the face value of the bond.
Hence the bond will sell
at a premium
, and not at a discount.",Bonds: Bonds are financial instruments that pay regular interest to their buyers against the money lent to the company. Companies issue bonds to meet their requirement for funds.,B,
13,"When the market rate of interest on bonds is equal to the contract rate, the bonds will sell at:",a premium.,their face value.,a discount.,a discount or a premium.,B,"The correct answer is
b. their face value.
When the market rate of interest on bonds is equal to the contract rate, the bonds will sell at their face value.
Because the price of the bonds is equal to the present value of expected cash flows from the bond. If the market interest rate of interest on bonds and the contract rate of bonds are equal, the present value of the expected cash flows from the bond will be equal to the face value of the bond.",Bonds: Bonds are types of financial instruments that have similar characteristics to a loan. Bonds are issued to the general public/ financial institutions to raise funds and they carry interest.,B,
