id,question,A,B,C,D,answer,explanation,hint,guess,reasoning
1,All of the following budgets are prepared by merchandising companies except:,"Cost of goods sold, inventory, and purchases.",Direct materials.,Sales.,Operating expense.,B,"The correct option is B) Direct materials.
The table explores each answer option and explains the right and wrong answers with reasons:
A) Cost of goods sold, inventory, and purchases.
This budget is only prepared by merchandising companies because their inventory purchases relate directly to the inventory asset and cost of goods sold expense.
B) Direct materials.
This is the correct alternative because only manufacturing companies prepare direct materials budgets. Merchandising companies prepare a purchases budget that is similar.
C) Sales.
The sales budget is prepared by all companies to estimate their sales revenue, as a basis for the estimated cash collections schedule, as to base the cost of goods sold budget on
D) Operating expense.
All companies incur selling and administrative expenses and must therefore prepare an operating expense budget to plan and control these expenses.",Master Budget: The master budget is a planning document that has several parts. The budgets and schedules that are part of the master budget each have their own function and they are related because the information from one budget is used to prepare the other.,B,
2,"Apple Valley Orchards, Inc. (AVO), developed standard costs for direct material and direct labor. In 2019, AVO estimated the following standard costs for one of their most well-loved products, the AVO classic Grandma's large apple pie which had a brown sugar coating on the top of the crust as well as including cranberry and mince ingredients in addition to the apples.",September's direct material flexible-budget variance is _____.,September's direct material price variance is _____.,September's direct material efficiency variance is _____.,,A,"a) Direct material flexible-budget variance
We use the total actual cost and the total standard cost for the 1,200 pies produced in September to calculate the direct materials flexible budget variance:
Actual Quantity (AQ)
1,875
Standard Quantity for actual production (SQ) = 1,200 × 1.45
1,740
Actual Price per direct materials unit (AP)
$7
Standard Price per direct materials unit (SP)
$7.15
Flexible Budget Material Variance
= (AQ × AP) - (SQ × SP)
= (1,875 × $7 = $13,125) - (1,740 × $7.15 = $12,441)
= $684 U
The variance is unfavorable because the actual cost is higher than the standard cost.
b) Direct material price variance
We use the actual and standard cost per pound and the actual pounds used to calculate the price variance.
Actual Quantity (AQ)
1,875
Actual Price per direct materials unit (AP)
$7
Standard Price per direct materials unit (SP)
$7.15
Material price variance
= (AQ × AP) - (AQ × SP)
= $13,125 - (1,875 × $7.15 = $13,406)
= $281 F
The variance is favorable because the actual cost per pound is lower than the standard cost per pound.
c) Direct material efficiency variance
Actual Quantity (AQ)
1,875
Standard Quantity for actual production (SQ) = 1,200 × 1.45
1,740
Standard Price per direct materials unit (SP)
$7.15
Material quantity variance
= (AQ × SP) - (SQ × SP)
= $13,406 - $12,441
= $965 U
The variance is unfavorable because the actual number of pounds used is higher than the standard pounds allowed for the actual production.
Note that the sum of the price and efficiency variances is equal to the flexible budget variance.","Flexible Budget Variance: The flexible budget variance is based on the actual production and sales volumes and not the planned activity levels. In standard costing, this variance is broken down into a price and quantity component for each variable manufacturing cost item.",D,
3,"Baseball Corporation is preparing its cash budget for January. The budgeted beginning cash balance is $19,200. Budgeted cash receipts total $189,000 and budgeted cash disbursements total $190,400. The desired ending cash balance is $31,200.","13,400","49,000",0,"31,200",A,"The correct option is A.
$13,400.
The statement showing the amount to be borrowed is computed as follows:
Particulars
Amount
Beginning cash balance
$19,200
Add: Budgeted cash receipts
$189,000
Less: Budgeted cash disbursements
$190,400
Budgeted ending balance (A)
$17,800
Desired ending cash balance (B)
$31,200
Amount to be borrowed (B-A)
$13,400
Thus, the amount to be borrowed to maintain the desired ending balance of $31,200 is $13,400.
Explanation:
The ending balance will be computed by adding the budgeted receipts to the beginning balance and deducting the cash disbursements.
The amount to be borrowed is computed by deducting the budgeted cash balance from the ending balance required.","Desired Cash Balance: Based on its estimate of the level of activities, the business desires to keep a certain balance in its cash, called the desired cash balance that a business maintains by borrowing if not sufficient.",A,
4,Below is budgeted production and sales information for Flushing Company for the month of December.,"$12,782,000","$8,792,000","$7,642,000","$3,652,000",C,"Product XXX
Product ZZZ
Region I, anticipated sales
322,000 units
253,000 units
Region II, anticipated sales
192,000 units
146,000 units
Total anticipated sales (Region I + Region II)
514,000 units
399,000 units
Unit Selling price
$4
$14
Total anticipated sales in dollars
= 514,000 * $4 = $2,056,000
= 399,000 * $14 = $5,586,000
The total anticipated sales in dollars for both products are computed as follows:
{eq}\begin{align*} &= \text{Region I and Region II dollar sales for Product XXX + Region I and Region II dollar sales for Product ZZZ} \\[0.3 cm] &= $2,056,000 + $5,586,000\\[0.3 cm] &= $7,642,000 \end{align*} {/eq}
The correct answer is option
c. $7,642,000
.","Sales: The sales of a firm for a given year can be expressed in terms of sales units and sales dollars. Furthermore, the overall sales figure can be broken down into sales for each region and product line to understand the performance at a granular level.",B,
5,Bookworm Publishers publishes books and they have gathered the following data for the month of October:,"$5,000","$11,000","$27,000","$16,000",A,"The correct option is A. $5,000.
We will prepare the cash budget of Bookworm Company to determine the ending balance for the month of October. In the budget, we first calculate the total cash available and then we deduct all the disbursements to calculate the cash balance before financing. We use this amount to determine if the company needs financing:
Bookworm Publishers
Cash Budget for October
Particulars
Amounts
Beginning cash balance
$6,000
Expected cash collections
$354,000
Cash available
$360,000
Cash disbursements:
Direct Materials Cash Disbursements
$64,000
Direct Labor Cash Disbursements
$51,000
MOH Cash Disbursements
$41,000
Operating Expenses Cash Disbursements
$85,000
Capital Expenditures Cash Disbursements
$130,000
Total cash disbursements
($371,000)
Projected ending balance of cash on hand
($11,000)
Financing:
*Loans - $16,000
$16,000
Ending cash balance
$5,000
Before financing, the projected ending balance of Bookworm at the end of October is a negative $11,000. The company requires an ending balance of at least $5,000. Hence, the company has to borrow a total of $16,000 to achieve its target cash balance.",Cash Budget: The purpose of the cash budget is to estimate the ending cash balance and to compare that to the desired ending cash balance in order to determine if the company will need short-term financing to maintain its bank balance at the required level.,C,
6,"Dynozz Corporation currently produces cardboard boxes in an automated process. Expected production per month is 15,000 units, direct material costs are $0.50 per unit, and manufacturing overhead costs are $15,000 per month. Manufacturing overhead is all fixed costs. What is the flexible budget for 10,000 and 15,000 units, respectively?","$15,000; $22,500.","$15,000; $17,500.","$20,000; $22,500.","$20,000; $17,500.",C,"The correct answer is
C. $20,000; $22,500.
Flexible Budget for 10,000 and 15,000 units
10,000 units
15,000 units
Direct Materials
$0.50 X 10,000 = $5,000
$0.50 X 15,000 = $7,500
Manufacturing Overhead
$15,000
$15,000
Total Manufacturing Costs
$20,000
$22,500",Flexible Budget: The flexible budget is prepared for different activity levels. It shows the expected costs that a business would have to incur at different activity levels. It is better than the static budget.,C,
7,Graham Corporation used the following data to evaluate its current operating system. The company sells items for $10 each and used a budgeted selling price of $10 per unit.,"Prepare the actual income statement, flexible budget, and static budget.",What is the static-budget variance of revenues?,What is the flexible budget variance for variable costs?,What is the flexible budget variance for fixed costs?,A,"a. Actual income statement, flexible budget, and static budget
We use the information given for the actual and static budget columns. We must calculate the numbers in the flexible budget column based on the static budget amounts per unit for revenues and variable costs and the actual number of units. We do not adjust the budget for fixed costs, because fixed costs should not react to changes in volumes:
Graham Corporation
Income statement, flexible budget, and static budget
Actual
Flexible budget
Static Budget
Units manufactured and sold
1,180,000
1,180,000
1,200,000
Revenue
$11,800,000
$11,800,000
$12,000,000
Variable cost
$2,200,000
$2,360,000
$2,400,000
Fixed cost
$1,875,000
$1,837,000
$1,837,000
Total cost
$4,075,000
$4,197,000
$4,237,000
Operating income
$7,725,000
$7,603,000
$7,763,000
---
b. Static-budget variance of revenues
The static budget variance for revenues is the difference between the actual and static budget for revenue. We can get both numbers from part a:
Actual revenue
$11,800,000
Static budget revenue
$12,000,000
Static budget variance - Revenue
$200,000 U
The variance is unfavorable because the actual revenue is less that the static budget revenue.
c. Flexible budget variance for variable costs
The flexible budget variance for variable cost is the difference between the actual and flexible budget amounts:
Actual variable cost
$2,200,000
Flexible budget variable cost
12,360,000
Flexible budget variance - Variable cost
$160,000 F
d. Flexible budget variance for fixed costs
The flexible budget variance for fixed cost is also the difference between the actual and flexible budget amounts, but keep in mind that the flexible budget is the same as the static budget:
Actual fixed cost
$1,875,000
Flexible budget fixed cost
1,837,000
Flexible budget variance - Variable cost
$38,000 U","Flexible Budgeting: Flexible budgeting is useful for evaluating performance when the actual number of units manufactured and sold is different from the planned number. In flexible budgeting, the total variance is broken down into a volume and revenue/spending component.",B,
9,Meredith Company has budgeted sales for the upcoming months as follows:,Compute Meredith Company's cash receipts for June.,Compute Meredith Company's cash receipts for July.,Compute Meredith Company's cash receipts for August.,,A,"Every month, the company will collect 50% of its sales because it is cash sales. It would also collect 50% of the current month's credit sales, 40% of the previous month's credit sales, and 7% of the credit sales from two months ago:
Meredith Company
Cash collections
a) - Cash receipts for June
b) - Cash receipts for July
c) - Cash receipts for August
Estimated Sales Revenue
$496,000
$522,000
$502,000
Cash Collected:
Collected from cash sales = 50% of sales revenue
$248,000
$261,000
$251,000
Collected from April credit sales = 7% in June
= $458,000 x 0.50 x 0.07 = $16,030
Collected from May credit sales = 40% in June and 7% in July
$93,800
$16,415
Collected from June credit sales = 50% in June, 40% in July, and 7% in August
$124,000
$99,200
$17,360
Collected from July credit sales = 50% in July, 40% in August
$130,500
$104,400
Collected from August credit sales = 50% in August
$100,400
Total cash collections
$481,830
$507,115
$473,160","Cash Collections: The estimated cash collections of a company are related to its sales budget because cash is collected from sales revenue. The amounts are, however, not the same because sales on credit are often collected in other accounting periods.",D,
10,"Miller and Sons' static budget for 10,100 units of production includes $39,300 for direct materials, $50,200 for direct labor, variable utilities of $6,200, and supervisor salaries of $14,200.",the same cost structure in total,"direct materials of $53,697, direct labor of $68,590, utilities of $8,471, and supervisor salaries of $14,200.","total variable costs of $109,900.","direct materials of $53,697, direct labor of $68,590, utilities of $8,471, and supervisor salaries of $17,040.",A,"The correct option is .
The table explores each answer option and explains the right and wrong answers with reasons:
a. the same cost structure in total
In the flexible budget, variable costs are restated based on the budgeted cost per unit and 13,800 units.
b. direct materials of $53,697, direct labor of $68,590, utilities of $8,471, and supervisor salaries of $14,200.
This is the correct alternative. See the calculation below for details.
c. total variable costs of $109,900.
This is the total cost in the static budget. Variable costs are adjusted in the flexible budget.
d. direct materials of $53,697, direct labor of $68,590, utilities of $8,471, and supervisor salaries of $17,040.
Fixed costs do not change when the flexible budget is prepared
Flexible Budget
Static budget = 10,100 untis
Per unit = (B) = (A) / 10,100
Flexible budget = 13,800 units =  (B) x 13,800
Variable costs:
Direct materials
$39,300
$3.89
$53,697
Direct labor
$50,200
$4.97
$68,590
Variable utilities
$6,200
$0.61
$8,471
Total variable cost
$95,700
$9.48
$130,758
Fixed costs
Supervisor salaries
$14,200
$14,200
Total cost
$109,900
$144,958",Preparing a Flexible Budget: Flexible budgets are often prepared when there is a difference between the planned and actual activity level to determine what the effect of the difference is volumes is on the total budget variance and to identify spending variances.,B,
11,"Romona Company expects its November sales to be 20% higher than its October sales of $165,000. All sales are on credit and are collected as follows:",38% in the month of the sale.,60% in the following month.,"Purchases were $110,000 in October and are expected to be $140,000 in November.","Purchases are paid 40% in the month of purchase and 60% in the following month. The cash balance on November 1 is $13,500.",A,"Computation of cash balance on November 30
Amount
Cash Receipts for November's sales
$198,000 X 38% = $75,240
Cash Receipts for October's sales
$165,000 X 60% = $99,000
Total Cash Receipts (A)
$174,240
Cash Payments for November's Purchases
$140,000 X 40% = $56,000
Cash Payments for October's Purchases
$110,000 X 60% = $66,000
Total Cash Payments (B)
$122,000
Net Cash Receipts (A - B)
$174,240 - $122,000 = $52,240
Beginning Cash Balance
$13,500
Ending Cash Balance
$65,740","Cash Budget: The cash budget shows the estimated cash receipts and cash disbursements for the coming period. The cash budget is prepared after the preparation of the sales budget, purchase budget, selling and administrative expenses budget, etc.",B,
