id,question,A,B,C,D,answer,explanation,hint,guess,reasoning,baseline_guess
1,A stock's risk premium is equal to the:,risk-free rate plus the expected market risk premium,expected market risk premium times beta,expected market return times beta,treasury bill yield plus the expected market return,B,"The answer is
b. expected market risk premium times beta
A stock's risk premium represents an additional expected return that an investor desires to obtain from the stock, rather than investing in a risk-free security. According to the CAPM model, the stock's risk premium is addressed below:
{eq}\text{Risk premium} = (\text{Market return} - \text{Risk-free rate})\times beta {/eq}
a. Incorrect. The sum of the risk-free rate and market risk premium is the market return.
b. Correct.
c. Incorrect. By multiplying the market return with the stock's beta coefficient, it indicates the potential total risk on the stock, which does not refers to a risk premium.
d. Incorrect. The combination of risk-free rate and market return is not relevant for the concept of a risk premium.",Capital Asset Pricing Model: The capital asset pricing model (CAPM) is a popular model to estimate the required rate of return on stock. This model describes how the stock's expected return is subjected to changes in the market return. CAPM: {eq}\text{Required rate of return} = \text{Risk-free rate} + (\text{Market return}-\text{Risk-free rate}) \times \beta {/eq},,,B
2,"Assume that a company has a beta of 0.78 and the risk-free rate is 5%. If the market risk premium is 7% calculate the cost of equity capital, using the capital asset pricing model:",10.5%.,5.3%.,11.2%.,6.0%.,A,"The correct answer is
A. 10.5%
.
The capital asset pricing model uses the following inputs to compute the cost of equity:
Beta = 0.78
Risk-free return = 5%
Market risk premium = 7%
These inputs are arranged in the equation as follows:
Cost of equity = Risk-free return + (Beta × Market risk premium)
Cost of equity = 5% + (0.78 × 7%)
Cost of equity = 10.5%","Risk Premium: Under the capital asset pricing model, the cost of equity has two components: risk-free return and the market risk premium based on the stock beta. The risk premium is the additional return for the risk associated with stocks.",,,C
3,,,,,,,,,,,A
4,,,,,,,,,,,A
5,,,,,,,,,,,A
6,"If the risk-free rate is 2%, and the market risk premium is 6%, what is the required rate of return on a stock with a beta of 2?",4%,8%,12%,14%,D,"The answer is
D)14%.
Estimate the required rate of return on the stock:
{eq}\text{Required rate of return} = \displaystyle \text{Risk-free rate} + \text{Market risk premium} \times \beta \\ \text{Required rate of return} = \displaystyle 2\% + 6\% \times 2 \\ \text{Required rate of return} = 14\% {/eq}","Required Rate Of Return: The required rate of return on common stock can be treated as the investor's opportunity since the investor has to give n up other available investments. In practice, the required rate of return can be estimated by the Capital Asset Pricing Model (CAPM).",,,D
7,"If the risk-free rate of return is 3 percent and the market risk premium is 6 percent, what is the expected return on a stock with a beta of 1.8?",{eq}8.40\% {/eq}.,{eq}10.80\% {/eq}.,{eq}13.80\% {/eq}.,{eq}19.20\% {/eq}.,C,"The correct answer is
option C. 13.80%.
Given information:
Risk-free rate: 3%
Market risk premium: 6%
Stock beta: 1.8
Determine the stock's expected return by adding the product of stock beta and the market risk premium to the risk-free rate.
{eq}\begin{aligned} \text{Stock }\!\!'\!\!\text{ s expected return}&=\text{Risk-free rate}+\text{Stock}\ \text{Beta}\times \text{Market risk premium} \\ &=3\%+1.8\times 6\% \\ &=3\%+10.80\% \\ &=13.80\% \end{aligned} {/eq}
Thus, the expected return is 13.80%.","Rate of Return: The rate of return is the percentage gain from an investment over the initial investment. In the case of stocks, the rate of return comprises capital gain yield and dividend yield. The dividend is the portion of earnings received by the stockholder, and capital gain is the increase in the market price of a stock.",,,D
8,"If Treasury bills yield 6% and the market risk premium is 9%, then a stock with a beta of 1.5 would be expected to yield:",12.00%,17.00%,19.50%,21.50%,C,"The correct answer is
option c. 19.5%.
Given information:
Treasury bills yield: 6%
Market risk premium: 9%
Beta: 1.5
Determine the expected yield of the stock by adding the product of market risk premium and beta to the treasury bills yield.
{eq}\begin{aligned} \text{Expected yield of the stock}&=\text{Treasury bills yield}+\text{Beta}\times \text{Market risk premium} \\ &=6.00\%+1.50\times 9.00\% \\ &=6.00\%+13.50\% \\ &=19.50\% \end{aligned} {/eq}
Thus, the expected yield is 19.50%.",Market Risk Premium: The market risk premium is the surplus return that an investor wishes to receive on investing in a risky asset as compared to a risk-free asset. Risk-free assets can be government securities or Treasury bills. Risky assets can be stocks and real estate.,,,C
9,"J&M Corporation's common stock has a beta, b, of 1.2. The risk-free rate is 6%, and the market return is 11%. Determine J&M's cost of common stock equity using the CAPM.",11%,12%,10%,13%,B,"A stock's expected return can be calculated using the CAPM. We will calculate the expected return on J&M's stock and interpret it as the cost of equity:
As per CAPM, the expected return
{eq}E_{r} = R_{f} + \beta \times (R_{m}-R_{f}) {/eq}
Where,
{eq}E_{r} {/eq} is the expected return
{eq}R_{f} {/eq} is the risk-free rate given here as 6%
{eq}\beta {/eq} is the beta(measure of the risk) of the security, 1.2
{eq}R_{m} {/eq} is the market return given here as 11%
Therefore, the beta of Ren Corp. is calculated as
{eq}E_{r} = 0.06 + 1.2 \times (0.11 - 0.06) {/eq}
{eq}E_{r} = 0.06 + 1.2 \times 0.05 {/eq}
{eq}E_{r} = 0.06 + 0.06 {/eq}
{eq}E_{r} = 0.12 {/eq}
Therefore, the correct answer is
B. 12%","CAPM and The Cost of Equity: The capital asset pricing model is an effective tool to calculate the expected return from a stock by taking into account the systematic risk of the stock. As the cost of equity is also the minimum expected return from the stock, the expected return and the cost of equity both can be calculated using this model.",,,D
10,"Jalisco, Inc. is estimating its cost of equity capital. Jalisco has a beta of 1.5 when the market risk premium is {eq}8\%

{/eq} and the risk-free rate is {eq}3.5\%

{/eq}. What is Jalisco's cost of equity capital?","{eq}8\%

{/eq}.","{eq}15.5\%

{/eq}.","{eq}10.25\%

{/eq}.","{eq}8.75\%

{/eq}.",B,"The calculated value of the cost of equity for Jalisco is
b. {eq}15.5\%

{/eq}.
The cost of equity capital as per the CAPM equation is computed by:
= Risk-free rate + (market risk premium * beta)
= 3.5% + (8% * 1.5)
= 3.5% + 12%
= 15.5%",Capital Asset Pricing Model (CAPM) The CAPM equation is used to determine the cost of equity or rate of return required by shareholders of a firm. It is primarily influenced by the beta or systematic risk coefficient value of the stock.,,,B
