id,question,A,B,C,D,answer,explanation,hint,guess,reasoning
1.0,A firm's capital structure consists of which of the following?,Common stock,Preferred stock,Bonds,All of the above,D,"The answer is
d. All of the above
A corporation can raise capital from the following sources:
Common stocks: A firm will sell common stocks to public investors to raise common equity.
Preferred stocks: Compared to common stocks, investors will receive higher dividends.
Bonds: A firm can sell bonds to the public for debt capital. The firm will need to return the bond's principal to the investors.","Capital Structure: The firm's capital structure should be designed to optimize the firm's weighted average cost of capital. A change in the firm's capital structure will affect the cost of capital, which might change the investment decision.",D,
2.0,A firm's capital structure is the mix of financial securities used to finance its activities and can include all of the following except:,stock,bonds,equity options,preferred stock,C,"Correct Answer:
Option C. equity options
.
Equity options are short-term opportunities to make returns. It is a derivate that provides the investor a right to buy a call or sell a put option at the strike price. A capital structure, on the other hand, is made of sources of capital from various sources, such as equity capital, debt capital, and preferred capital. These sources are long-term sources that help a company maintain its long-term solvency.",Financing Activities: Financing activities include raising money and repaying it using long-term sources. The short-term sources of finance are reported under the operating activities section of the statement of cash flows.,C,
3.0,"A taxpaying, levered firm's optimal capital structure consists of equal amounts of debt and equity financing.",TRUE,FALSE,,,B,"The correct answer to the given question is option
b. False
.
An optimal capital structure for a taxpaying, levered firm is the proportion of debt and equity in the overall capital where the weighted average cost of capital is minimum for the firm. The proportion of debt and equity for the optimal capital structure is governed by the cost of debt and equity and hence they may or may not be equal.","Capital Structure: In the context of finance, the overall assets of a firm are usually funded by a mix of sources of funds such as debt and equity. The cost of debt is usually lower than the cost of equity as the risk associated with debt is lower as compared to that associated with the equity.",B,
4.0,"A taxpaying, levered firm's optimal capital structure is the mixture of debt and equity financing that minimizes the weighted average cost of capital.",TRUE,FALSE,,,A,"The answer is
True
In the optimal capital structure, the mix of equity and debt is apt, such that the cost of debt shouldn't increase more than the cost of equity. The cost of capital, WACC, is minimized as the interest on the debt capital is tax-deductible; also the debt is tax-advantaged, compared to equity. The optimal capital structure leads to an increase in the shareholder's wealth, stock prices, and value of operations.","Dividend Payout: Indeed, the dividend payouts to the shareholders are not obligatory for the firm to pay each year. First, the debt holders' interest payments are paid, from the increase in the operating profits only then the dividends are paid out; for a firm financed with debt capital.",A,
5.0,"According to the tradeoff model of capital structure, which is true at the optimal capital structure?",The firm's stock price is maximized.,Earnings Per Share are maximized.,The total value of equity is maximized.,Return on Equity is Maximized.,D,"The correct answer is
option (a). The firm's stock price is maximized.
The optimal capital structure increases the firm's stock price by a factor of two. The capital structure refers to the sources of long-term funds used by the company to buy the assets for the business. The long-term funds include debt capital, common stock, and preferred stock. All the different sources of funds form the capital structure for the company. The optimal capital structure means, the best mix of debt and equity funds that maximizes the company's stock value and minimizes the company's cost of capital.
Reasons for incorrect options:
Option (b) is incorrect because earnings per share are maximized by buying back their own shares from the shareholders.
Option (c) is incorrect because the total value of equity is known by the multiplication of the current stock price divided by the currently outstanding shares in the market. The value of equity is not maximized by an optimal capital structure.
Option (d) is incorrect because the optimal capital structure does not maximize return on equity.","Capital structure: The term capital structure means the combination of equity and debt that is used to finance or fund the assets and processes of the business or company. The equity fund is more expensive, and the equity fund is also a permanent source of capital.",A,
6.0,"As a firm reduces the amount of debt in its capital structure,",The return on the firm's assets should increase.,The required return on debt should increase.,The required return on equity should fall.,,A,"a. Incorrect. According to Modigliani-Miller Proposition 1, the firm's return on assets is not affected by its capital structure.
b. Incorrect. As the amount of debt reduces, the firm's risk should be lower. Hence, its required return on new debt should be reduced accordingly.
c. Correct. According to Modigliani-Miller Proposition 2, the required cost of common equity is affected by the firm's capital structure. Due to a lower debt-equity ratio, the cost of common equity will reduce.","Return On Assets: Return on assets (ROA) is one of financial ratios to assess a firm's profitability. If the firm's ROA grows annually, it indicates that the firm is operated efficiently, in which its profit increases over years.",C,
7.0,Capital structure refers to the financing of long-term investments.,TRUE,FALSE,,,B,"The statement is
FALSE.
A firm's capital structure points out how the firm finances its assets through different sources of capital. Alternatively, it refers to the proportion of equity capital and debt capital, which is to encourage the firm's growth in the long run. In practice, a firm is expected to maintain a stable capital structure to minimize its cost of capital.","Capital Structure: Within a fundamental analysis, investors can evaluate the financial health of a firm through an assessment of its capital structure. Usually, a firm's capital structure will be analyzed by a group of leverage ratios.",A,
8.0,Gamer Co. has no debt. Its cost of capital is 10.1 percent. Suppose the company converts to a debt-equity ratio of 1. The interest rate on the debt is 7.2 percent.,What is the company s new cost of equity?,What is its new WACC?,,,A,"Part a.
The introduction of debt into the capital structure is likely to increase the cost of equity.  This is because, debt elevates the level of risk associated with the company's future earnings and cash flows.  That said, given the case facts, it is not possible to definitively ascertain the impact on the cost of equity.
Part b.
Assuming no taxes and no change in the cost of equity, the new WACC is computed as follows:
WACC = Debt Weight * Cost of Debt + Equity Weight * Cost of Equity
WACC = .50 * .072 +.50 *.101 = .0865 or 8.65%","WACC: WACC stands for weighted average cost of capital.  It is a holistic cost of financing measure that considers a company's proportional utilization of all possible sources of capital.  Generally, this includes debt, common stock, and preferred stock.",B,
9.0,"Generally, it is not wise to use_.",long-term debt to finance short-term assets,short-term debt to finance short-term assets,short-term debt to finance long-term assets,long-term debt to finance long-term assets,C,"The answer is
c. short-term debt to finance long-term assets
Usually, the loan term should match with the useful life of the project that is financed by that loan. That means short-term debt should finance short-term assets while long-term debt should fund long-term assets.
In fact, a firm might aim to stabilize its debt, in which it might acquire long-term debt and finance available short-term projects. This strategy ensures that the firm's debt capital and the cost of debt are under the firm's control.
In the other hand, if long-term assets are financed by short-term debt, the firm might involve the lack of capital to continue funding long-term assets if it cannot acquire new short-term debt after the maturity of the previous short-term debt. In addition, if the market interest rates are expected to increase in the future, the use of short-term debt to fund long-term assets will maximize the cost of debt to the firm.","Debt Capital: Within a business, its operation will be financed by both equity and debt capital. The need of capital in the future will decide how the firm's capital should be structured, which aims to minimize the overall financing cost.",C,
10.0,"In perfect capital markets, how does the choice of leverage impact firm value?","In perfect capital markets, leverage decreases the firm value by increasing the risk to equity.","In perfect capital markets, leverage increases firm value because debt costs less than equity.","In perfect capital markets, leverage increases firm value because interest is tax-deductible.","In perfect capital markets, leverage does not affect firm value.",D,"The answer is
d. In perfect capital markets, leverage does not affect firm value.
Within a perfect capital market, the value of a firm will not be affected by its leverage. Alternatively, the use of debt and equity capital will not either increase or decrease the firm's value.","Leverage: Within a firm, the leverage refers to the firm's capital structure, in which it depicts how the firm's total assets are financed by debt and equity capital. Consequently, if the firm changes its leverage, it will affect the average financing cost to the entire firm.",D,
