id,question,A,B,C,D,answer,explanation,hint,guess,reasoning,baseline_guess
1,"A quick, rough estimate of the time required for money to double can be obtained by dividing which of the following numbers by the compound interest rate?",56,64,72,100,C,"The correct option is
(c) 72
Rule of 72,
Under compound interest, the rule of 72 helps us to determine in how much time the accumulated amount will be twice of the initial investment. It can be roughly calculated by dividing 72 by the compound interest. The answer will be the number of years in which the initial investment will be doubled.","Compound Interest: Compound interest is the interest that earns interest on itself. In financial mathematics, compound interest is used in annuities, loan schedules, time value of money, investment and insurance plans, etc.",,,C
2,"An investment of $30,000 increased to $80,000 over an 8-year period. What was the compound rate of return on the investment?",10.8%,The interest rate cannot be determined.,13.0%,9.0%,C,"The correct option is
(c.) 13.0%
Under compound interest,
{eq}\text{Accumulated Amount} = \text{Initial Amount} \times (1 + i)^{n} {/eq}
where,
i = interest rate
n = number of years
Here,
Accumulated Amount = $80,000
Initial Amount = $30,000
n = 8 years
Putting values, we can solve for i
{eq}\text{Accumulated Amount} = \text{Initial Amount} \times (1 + i)^{n}\\ \$80,000 = \$30,000 \times (1 + i)^{8}\\ (1 + i)^{8} = \dfrac{\$80,000}{\$30,000}\\ (1 + i)^{8} = 2.6667\\ \text{Taking log on both sides}\\ 8 \times log(1 + i) = log(2.6667)\\ 8 \times log(1 + i) = 0.98084\\ log(1 + i) = \dfrac{0.98084}{8}\\ log(1 + i) = 0.122605\\ \text{Taking anti-log on both sides} 1 + i = 1.1304\\ i = 0.1304\\ i = 13.04\% {/eq}
The closest option is (c.) 13%",Compound Interest: Compound Interest is the interest that earns interest on itself. The accumulation under compound interest is faster than that in simple interest because of compounding.,,,A
3,Compute the amount of money that would accumulate in an account if {eq}\$5000 {/eq} is invested for 4 years at {eq}2\% {/eq} per annum compounded:,annually.,monthly.,continuously.,quarterly.,A,"The given problem is a compound interest problem.
The formula for compound interest is:
$$A(t)=P\left( 1 + \dfrac{r}{m} \right)^{m \cdot t} $$
where:
{eq}A(t) {/eq} is the accumulated value at the time {eq}t {/eq}.
{eq}P {/eq} is the principal or the initial amount of investment.
{eq}t {/eq} is the number of years.
{eq}r {/eq} is the annual rate of interest.
{eq}m {/eq} is the number of compounding periods per year.
{eq}t {/eq} is the time in years.
In the given problem, we are given {eq}P=5,000 {/eq}, {eq}t=4 {/eq}, and {eq}r=2%=0.02 {/eq}.
a.
If the compounding period is annual, it follows that {eq}m=1 {/eq}.
Hence, substitute {eq}P=5000,r=0.02,t=4,m=1 {/eq} into the formula and solve for {eq}A(4) {/eq}:
$$A(4)=5000\left( 1 + \dfrac{0.02}{1} \right)^{1 \cdot 4}=5412.1608 $$
Thus, the accumulated value at year 4 is approximately {eq}\$5,412.16 {/eq}.
b.
If the compounding period is monthly, it follows that {eq}m=12 {/eq}.
Hence, substitute {eq}P=5000,r=0.02,t=4,m=12 {/eq} into the formula and solve for {eq}A(4) {/eq}:
$$A(4)=5000\left( 1 + \dfrac{0.02}{12} \right)^{12 \cdot 4}=5416.074655 $$
Thus, the accumulated value at year 4 is approximately {eq}\$5,416.07 {/eq}.
c.
If the compounding period is continuous, we need to use the formula {eq}A(t)=Pe^{rt} {/eq} where {eq}e {/eq} is the Euler's constant.
Hence, substitute {eq}P=5000,r=0.02,t=4 {/eq} into the formula and solve for {eq}A(4) {/eq}:
$$A(4)=5000e^{0.2 \cdot 4}=5416.435338 $$
Thus, the accumulated value at year 4 is approximately {eq}\$5,416.44 {/eq}.
d.
If the compounding period is quarterly, it follows that {eq}m=4 {/eq}.
Hence, substitute {eq}P=5000,r=0.02,t=4,m=4 {/eq} into the formula and solve for {eq}A(4) {/eq}:
$$A(4)=5000\left( 1 + \dfrac{0.02}{4} \right)^{4 \cdot 4}=5415.355756 $$
Thus, the accumulated value at year 4 is approximately {eq}\$5,415.36 {/eq}.","Compound Interest: In finding the accumulated value of compound interest, we need to first analyze the problem and determine the number of compounding periods per year. The statement saying the number of compounding periods per year is crucial in determining the value of {eq}m {/eq} in the formula {eq}A(t)=P\left( 1 + \dfrac{r}{m} \right)^{m \cdot t} {/eq}. The given formula is the formula to determine the accumulated value at the time {eq}t {/eq}.",,,A
4,Find the following values for a lump sum assuming annual compounding:,"The future value of $7,500 invested at 4.52 percent for one year.","The future value of $7,500 invested at 4.52 percent for five years.","The present value of $8,700 to be received in one year when the opportunity cost rate is 3.5 percent.","The present value of $8,700 is to be received in five years when the opportunity cost rate is 3.5 percent.",A,"The future value and present value under compound interest can be calculated by the following formulae.
{eq}\text{Future Value} = \text{Initial Amount} \times (1 + i)^{n} {/eq}
{eq}\text{Present Value} = \dfrac{\text{Future Value}}{(1 + i)^{n}} {/eq}
where,
i = interest rate
n = number of years
Answer a. The future value of $7,500 invested at 4.52 percent for one year.
Here,
Initial Amount = $7,500
i = 4.52%
n = 1 year
{eq}\begin{align} \text{Future Value} &= \text{Initial Amount} \times (1 + i)^{n}\\ &= \$7,500 \times (1 + 0.0452)^{1}\\ &= \$7,500 \times 1.0452\\ &= \$7,839\\ \end{align} {/eq}
Answer b. The future value of $7,500 invested at 4.52 percent for five years.
Here,
Initial Amount = $7,500
i = 4.52%
n = 5 years
{eq}\begin{align} \text{Future Value} &= \text{Initial Amount} \times (1 + i)^{n}\\ &= \$7,500 \times (1 + 0.0452)^{5}\\ &= \$7,500 \times 1.24738\\ &= \$9,355.35\\ \end{align} {/eq}
Answer c. The present value of $8,700 to be received in one year when the opportunity cost rate is 3.5 percent.
Here,
Future Value = $8,700
i = 3.5%
n = 1 year
{eq}\begin{align} \text{Present Value} &= \dfrac{\text{Future Value}}{(1 + i)^{n}}\\ &= \dfrac{\$8,700}{(1 + 0.035)^{1}}\\ &= \dfrac{\$8,700}{1.035}\\ &= \$8,405.80\\ \end{align} {/eq}
Answer d. The present value of $8,700 is to be received in five years when the opportunity cost rate is 3.5 percent.
Here,
Future Value = $8,700
i = 3.5%
n = 5 years
{eq}\begin{align} \text{Present Value} &= \dfrac{\text{Future Value}}{(1 + i)^{n}}\\ &= \dfrac{\$8,700}{(1 + 0.035)^{5}}\\ &= \dfrac{\$8,700}{1.18769}\\ &= \$7,325.14\\ \end{align} {/eq}",Future Value: The future value under compound interest shows the accumulated amount of the initial amount invested at a certain interest rate for n number of years. The future value is also called the accumulated value.,,,A
5,"Find the value of an investment of $1,000 in an account:",bearing 4.5% simple interest after 30 years.,bearing 4.5% interest compounded monthly after 30 years.,,,A,"We'll use the following formulas to determine an investment's worth using various interest calculations:
a. Simple Interest: The following formula can be used to determine simple interest:
$$A = P(1 + rt), $$
where:
A is the total sum.
P stands for the initial investment's capital.
r is equal to the period interest rate.
T is the total number of periods.
The principal sum is {eq}\$1,000 {/eq} in this instance, the interest rate is {eq}4.5~\text{%} {/eq}, and the repayment duration is 30 years.
By applying the formula, we get:
$$\begin{align} A &= 1000(1+ 0.045 \times 30)\\ A &= 1000 \times 2.35\\ A &= 2350 \end{align} $$
As a result, after 30 years, the investment would be worth {eq}\$14,500 {/eq} at {eq}4.5~\text{%} {/eq} simple interest.
b. Compound Interest (compounded monthly):
The formula for calculating compound interest with monthly compounding is:
$$A = P\left (1 + \dfrac{r}{n} \right )^{nt)} $$
where:
A = the final amount
P = the principal amount (initial investment)
r = the annual interest rate (as a decimal)
n = the number of times interest is compounded per year
t = the number of years
We have a {eq}\$1,000 {/eq} principal amount, a {eq}4.5~\text{%} {/eq} interest rate (0.045 decimal), a monthly compounding (n = 12), and a 30-year time period.
Solving:
$$\begin{align} A &= P\left (1 + \dfrac{r}{n} \right )^{nt}\\ A &= 1000\left (1 + \dfrac{0.045}{12} \right )^{12 \times 30}\\ A &= 3847 \end{align} $$
Hence after 30 years, the investment would be {eq}\$3847 {/eq}.",Interest: Compound interest is a more complicated type of interest that considers both the initial principal and the interest that has accrued over time. Compound interest involves adding interest to the principal on a regular basis; subsequent interest computations are then based on the updated principal. Simple interest is a fundamental type of interest in which the interest is only determined by the initial principal sum. It doesn't account for any further interest that might have accrued or been earned.,,,B
6,If 2000 dollars is invested in a bank account at an interest rate of 10 percent per year.,Find the amount in the bank after 12 years if interest is compounded annually.,Find the amount in the bank after 12 years if interest is compounded quarterly.,Find the amount in the bank after 12 years if interest is compounded monthly.,"Finally, find the amount in the bank after 12 years if interest is compounded continuously.",D,"The given problem is a compound interest problem.
The formula of compound interest is:
$$FV=P \left(1 + \dfrac{r}{m} \right)^{mt} $$
where:
FV is the future value.
P is the principal or the initial amount invested.
t is the time in years.
m is the number of compounding periods.
r is the annual rate of interest.
The following are the values of m:
Annually: m=1
Quarterly: m=4
Monthly: m=12
On the other hand, the formula for compounded continuously is {eq}FV=Pe^{rt} {/eq}.
In the given problem, we are given {eq}P=2000,t=12,r=10%=0.10 {/eq}.
Hence, we will substitute the values to the formula:
a.
Find the amount in the bank after 12 years if interest is compounded annually.
$$FV=2000 \left(1 + \dfrac{0.10}{1} \right)^{1 \cdot 12} \approx 6276.86 $$
b.
Find the amount in the bank after 12 years if interest is compounded quarterly.
$$FV=2000 \left(1 + \dfrac{0.10}{4} \right)^{4 \cdot 12} \approx 6542.98 $$
c.
Find the amount in the bank after 12 years if interest is compounded monthly.
$$FV=2000 \left(1 + \dfrac{0.10}{12} \right)^{12 \cdot 12} \approx 6607.30 $$
d.
Finally, find the amount in the bank after 12 years if interest is compounded continuously.
$$FV=2000 \cdot e^{0.10 \cdot 12} \approx 6640.23 $$","Compound Interest: The future value in compound interest is the value that can be obtained when a specific initial amount is invested subject to an interest and compounding period. The future value in a compound interest can be determined if the following parameters are given; initial amount, rate of interest, number of compounding periods, and time in years.",,,A
7,"Sam just deposited $5,000 into a savings account paying 3.5 percent interest, compounded annually. Assume there are no additional deposits or withdrawals.","After four years, how much will he have in the savings account?",What will be the total interest at the end of the fourth year?,What will be the total interest on the principal at the end of the fourth year?,What will be the total interest on interest at the end of the fourth year?,A,"Given information:
Initial deposit = $5,000
Annual compounding interest rate (I) = 3.5%
Holding periods (N) = 4 years
a. Estimate the account balance after 4 years:
{eq}\text{Account balance}_4 = \displaystyle \text{Initial deposit} \times (1 + \text{I})^N \\ \text{Account balance}_4 = \displaystyle \$5,000 \times (1 + 3.5\%)^4 \\ \text{Account balance}_4 = \displaystyle \$5,000 \times 1.14752 \\ \text{Account balance}_4 = \$5,737.60 {/eq}
b. Estimate the total interest earnings within 4 years:
{eq}\text{Total interest earnings} = \text{Account balance}_4 - \text{Initial deposit} \\ \text{Total interest earnings} = \$5,737.60 - \$5,000 \\ \text{Total interest earnings} = \$737.60 {/eq}
c. Estimate the total original interest earnings on the initial deposit after 4 years:
{eq}\text{Total original interest earnings} = \displaystyle \text{Initial deposit} \times \text{I} \times \text{N} \\ \text{Total original interest earnings} = \displaystyle \$5,000 \times 3.5\% \times 4 \\ \text{Total original interest earnings} = \$700 {/eq}
d. Estimate the total interest earnings on original interest after 4 years:
{eq}\text{Total additional interest on interest} = \text{Total interest earnings} - \text{Total original interest earnings} \\ \text{Total additional interest on interest} = \$737.60 - \$700 \\ \text{Total additional interest on interest} = \$37.60 {/eq}","Compounding Interest: Since original interests are reinvested in the initial investment, an investor can obtain additional interest earnings on original interests. Consequently, the practice of compounding interest can raise the future value of an investment.",,,A
8,The compound interest method refers to:,Interest is calculated only on the original principle.,Interest is calculated on a dollar received today.,Interest is calculated on both the original principle and on all interest accumulated since the beginning of the interest period.,All of the above.,C,"The correct answer is
c. Interest is calculated on both the original principal and on all interest accumulated since the beginning of the interest period.
Interest charged on a compounded basis implies that interest is calculated on the initial principal and the interest accumulated since the beginning. So, the interest keeps increasing with each period, and the money multiplies at a faster rate when compared to simple interest. Thus, compound interest makes investments more desirable but debt riskier.
The other options are incorrect.
a.
Interest is calculated only on the original principal:
When the interest is calculated only on the original principal amount without considering the accumulated interest, it is called simple interest.
b.
Interest is calculated on a dollar received today:
The interest calculated on a dollar received today does not represent compound interest.",Interest: Interest is the cost of funds lent by the lender to the borrower. It is the compensation to the lender for providing capital and bearing the risk involved in the process. Interest is usually expressed as a percentage.,,,C
9,"Travis invested {eq}\$9,250 {/eq} in an account that pays 6 percent simple interest. How much more could he have earned over a 7-year period if the interest had compounded annually?",{eq}\$773.58 {/eq}.,{eq}\$802.16 {/eq}.,{eq}\$741.41 {/eq}.,{eq}\$833.33 {/eq}.,A,"The answer is a. $773.58.
Given information:
Initial investment = $9,250
Annual interest rate (I) = 6%
Holding period (N) = 7 years
Estimate the total interest earnings if the simple interest is applied to the case:
{eq}\text{Interest earnings}_{Simple} = \displaystyle \text{Initial investment} \times \text{I} \times \text{N} \\ \text{Interest earnings}_{Simple} = \displaystyle \$9,250 \times 6\% times 7 \\ \text{Interest earnings}_{Simple} = \$3,885 {/eq}
Estimate the total interest earnings if the compounding interest is applied to the case:
{eq}\text{Interest earnings}_{Compounding} = \displaystyle \text{Initial investment} \times (1 + \text{I})^N - \text{Initial investment} \\ \text{Interest earnings}_{Compounding} = \displaystyle $9,250 \times (1 + 6\%)^7 - $9,250 \\ \text{Interest earnings}_{Compounding} = \$4,658.58 {/eq}
Estimate the additional interest earnings generated by the compounding interest:
{eq}\text{Additional interest earnings} = \text{Interest earnings}_{Compounding} - \text{Interest earnings}_{Simple} \\ \text{Additional interest earnings} = \$4,658.58 - \$3,885 \\ \text{Additional interest earnings} = \$773.58 {/eq}","Simple Interest: The simple interest indicates that interest earnings are estimated on the investment principal and will not be reinvested in the initial investment. With that being said, simple interest produces fewer interest earnings than compounding interest.",,,A
10,"When interest is paid on both the principal amount and prior interest earned, this is called:",accounting rate of return.,the discount factor.,compound interest.,simple interest.,C,"The correct answer is option c. compound interest.
Compound interest is a type of interest that is applied not only to the principal amount of an investment or loan, but also to the interest accrued during the lifetime of that investment or loan.
For example, if a savings account earns compound interest where interest is compounded monthly, then the interest earned at the end of each compounding period, or month in this case, is added to the balance of the account, and then interest accrues on that amount as well as the principal amount invested.
The explanations for why the other answer options are incorrect are as follows:
Choice A. Accounting rate of return:
This is not a correct option, because an accounting rate of return is used to calculate the profitability of an investment as opposed to being a type of interest earned on an account.
Choice B. The discount factor:
The discount factor is not a type of interest, but rather, it is used to calculate the present value of future cash flows. Thus, this is not a correct answer option.
Choice D. Simple interest:
This option is not correct, because simple interest is a type of interest in which interest is only paid on the principal amount and not on any prior interest earned.","Principal Amount: In accounting and finance, the term 'principal amount' refers to original amount invested in an interest-bearing account or investment. In terms of loans, principal amount can also refer to the original amount borrowed from a lender.",,,C
