id,question,A,B,C,D,answer,explanation,hint,guess,reasoning,baseline_guess
1,A withdrawal of funds by the owner for personal use is considered a business expense.,True,False,,,B,"The statement is
FALSE.
The owner's withdrawals is to expense for personal use. Thus, it is not eligible for an income tax deduction. In fact, the amount of owner's withdrawals should be treated as the firm's current asset.","Owner's Drawing: The account of owner's drawing refers to the amount of funds that the business owner borrows from the firm. In this future, the owner's drawing must return to the business. Or, it can be offset with the owner's income distribution.",,,B
2,"Emery Inc had a $5 million gross income, operating expenses of $1 million, paid $1 million interest on $10 million borrowed, and paid a dividend of $0.50 million. Emery's Inc taxable income is:",4 million,3 million,3.5 million,2.5 million,B,"The answer is
b. 3 million.
Summary:
Gross income = $5,000,000
Operating expense = $1,000,000
Interest expense = $1,000,000
Dividend = $500,000
Determine the taxable income:
Taxable income = Gross income - Operating expense - Interest expense
Taxable income = $5,000,000 - $1,000,000 - $1,000,000
Taxable income = $3,000,000",Corporate Taxable Income: The corporate taxable income is the remainder of the firm's revenue after all qualified expenses. The corporate income tax rate will be declared according to the degree of the taxable income.,,,B
3,"Interest and dividends paid by a corporation are considered to be deductible operating expenses, hence they decrease the firm's tax liability.",True,False,,,B,"The statement is FALSE.
Interest expense is an eligible tax deduction, which will reduce the firm's taxable income. However, dividends are paid out from the firm's net income, which is not tax deductible.","Corporate Income Tax: The corporate income tax is imposed on the firm's taxable income, which intends to determine the corporate tax liabilities for the year. It is a tool that a government raises its tax revenue.",,,B
4,Legal opinions are a primary source of tax law in the U.S.,True,False,,,B,"The given statement, 'Legal opinions are a primary source of tax law in the U.S.' is
False
.
In the U.S., legal views are not regarded as the main source of tax law. The following primary sources make up American tax law:
The set of federal tax legislation passed by Congress is known as the Internal Revenue Code (IRC).
The U.S. Department of Treasury Regulations offers instructions on understanding and applying tax laws.
Revenue Rulings are the Internal Revenue Service's official interpretations of the tax laws (IRS).
Decisions involving tax disputes between taxpayers and the IRS are known as Tax Court Opinions.
Legal views are not regarded as the major sources of tax law, even though they could be in specific circumstances.","Tax Law: The legal discipline of tax law is concerned with the laws and guidelines about taxation. Taxation is obtaining money from people and companies to pay for government activities, initiatives, and services.",,,B
5,Major reasons for disclosure of deferred income tax information is (are):,better assessment of the quality of earnings.,better predictions of future cash flows.,predicting future cash flows for operating loss carryforwards.,all of these answer choices are correct.,D,"The correct option is
d.
Explanation:
The deferred taxes in the balance sheet shows how much the company would have to pay in the future if it is a liability, and the deferred tax asset shows how much extra tax it has settled, which will lead to a reduction in taxes in the future period. It helps evaluate how much of the company's revenue is earned and received. It helps in assessing the cash portion of the profits. As per US tax laws, net operating losses can be carried forward as a deferred tax asset. Therefore, all the options are correct.",Deferred Income Tax: The book and taxable income variation are due to permanent and temporary differences. The variation due to temporary differences is the deferred income tax. It can be a deferred tax asset or liability.,,,D
6,"Under IFRS, income tax payable is based (calculated) on:",income before taxes,income for book purposes,pretax financial income,taxable income,D,"The correct option is D. taxable income,
because that represents the amount calculated on the income tax return and that the income tax authorities will use to issue the income tax assessment for the current year. This income tax assessment represented the income tax payable.
Income before taxes, income for book purposes, and pretax financial income are all terms used for the same concept, which is the net income before income tax as per the income statement which is the starting point for the income tax calculation. The current income tax payable cannot be based on this amount because it might include revenues and expenses that are treated differently for tax and book purposes, and that are therefore permanent differences or the temporary differences on which the deferred tax asset or liability is based.","Income Tax on the Balance Sheet: There are several income tax-related items on a company's balance sheet. Income tax payable is the current liability account that represents the tax payable in cash to the revenue authorities on the balance sheet date, while deferred tax assets and liabilities represent future tax benefits or obligations.",,,D
7,Which of the following is a result of a permanent difference?,DTA (deferred tax asset).,DTL (deferred tax liability).,Effective tax rate equal to the statutory tax rate.,None of the above.,D,"The correct answer is
d. None of the above.
The following table explores each answer option and explains the right and wrong answers with reasons.
a. DTA (deferred tax asset).
Only temporary difference causes deferred tax assets and tax benefits.
b. DTL (deferred tax liability).
Only temporary difference causes deferred tax liabilities and tax expenses.
c. Effective tax rate equal to the statutory tax rate.
Permanent differences and rate changes cause differences between the effective and statutory tax rates.
d. None of the above.
This is the correct answer.","Permanent and Temporary Differences: In a corporate income tax calculation, the corporation's pretax book income is adjusted for various items for which the tax and accounting differ. These adjustments are categorized as either temporary or permanent differences depending on whether they will reverse or not.",,,D
8,Which of the following items is not a temporary difference?,Bad debts charged off in the current period exceed the bad debts accrued in the current period.,Tax depreciation for the period exceeds book depreciation.,Vacation pay accrued for tax purposes in a prior period is deducted in the current period.,A goodwill impairment expense is recorded on the income statement; the goodwill did not have a tax basis when it was created.,D,"The correct option is d. A goodwill impairment expense is recorded on the income statement; the goodwill did not have a tax basis when it was created.
The following table explores each answer option and explains which answers are right and wrong and why.
a. Bad debts charged off in the current period exceed the bad debts accrued in the current period.
This is a temporary difference because eventually, all bad debts would be deducted in the books and on the tax return, but the accounting and tax rules about how the deduction must be calculated are different.
b. Tax depreciation for the period exceeds book depreciation.
This is another temporary difference. Ultimately the total cost of an asset is recognized as an expense in both the income statement and tax calculation, so the difference originates and reverses over time.
c. Vacation pay accrued for tax purposes in a prior period is deducted in the current period.
This is also a temporary difference between the book expense and tax expense over the lifespan of the company will be the same, it is just a matter of when it is deducted for accounting and tax purposes that are different.
d. A goodwill impairment expense is recorded on the income statement; the goodwill did not have a tax basis when it was created.
This is the correct alternative. The goodwill has a related book expense (amortization) but it will never have a tax deduction associated with it because it does not have a tax basis. This means that this difference is permanent, not temporary
.","Permanent & Temporary Differences: The differences between the pre-tax financial income of a company and its taxable income are categorized as either temporary or permanent differences, and this classification is used to determine which items to include in the deferred tax calculation.",,,D
56,"A corporation has operating income of $75,000. What is its taxable income if it receives a $20,000 dividend from another corporation, in which it has the following ownership?",10%.,65%.,90%.,,D,"We must add the taxable dividend to the operating income in each case, and the taxable dividend is the gross dividend of $20,000 minus the dividend received deduction. Recall that the dividend received deduction (DRD) depends on the percentage ownership a company has in the investee. We can summarize the deduction  percentages like this:
% shareholding
% DRD
0% - 20%
50%
20% - 80%
65%
80% - 100%
100%
We can now calculate the taxable income for each case in one table:
a. 10%.
b. 65%
c. 90%
Operating income
$75,000
$75,000
$75,000
Taxable dividend:
Total dividend received
$20,000
$20,000
$20,000
DRD
= $20,000 × 0.50 = (10,000)
= $20,000 × 0.654 = (13,000)
= $20,000 × 1.00 = (20,000)
Taxable dividend
$10,000
$7,000
$0
Taxable income
$85,000
$82,000
$75,000
The income limitation does not apply in this case because the dividend received deduction never exceeds the operating income times the DRD percentage.",Dividend Received Deduction: The dividend received deduction is a tax deduction available to corporate taxpayers in the United States that hold equity investments in other companies. The deduction reduces the taxable portion of the dividends received from these investments to minimize or avoid triple taxation.,,,B
57,"A corporation has operating income of $75,000. What is its taxable income if it receives a $20,000 dividend from another corporation, in which it has the following ownership?",10%.,65%.,90%.,,D,"We must add the taxable dividend to the operating income in each case, and the taxable dividend is the gross dividend of $20,000 minus the dividend received deduction. Recall that the dividend received deduction (DRD) depends on the percentage ownership a company has in the investee. We can summarize the deduction  percentages like this:
% shareholding
% DRD
0% - 20%
50%
20% - 80%
65%
80% - 100%
100%
We can now calculate the taxable income for each case in one table:
a. 10%.
b. 65%
c. 90%
Operating income
$75,000
$75,000
$75,000
Taxable dividend:
Total dividend received
$20,000
$20,000
$20,000
DRD
= $20,000 × 0.50 = (10,000)
= $20,000 × 0.654 = (13,000)
= $20,000 × 1.00 = (20,000)
Taxable dividend
$10,000
$7,000
$0
Taxable income
$85,000
$82,000
$75,000
The income limitation does not apply in this case because the dividend received deduction never exceeds the operating income times the DRD percentage.",Dividend Received Deduction: The dividend received deduction is a tax deduction available to corporate taxpayers in the United States that hold equity investments in other companies. The deduction reduces the taxable portion of the dividends received from these investments to minimize or avoid triple taxation.,,,A
