id,question,A,B,C,D,answer,explanation,hint,guess,reasoning,baseline_guess
1,ABC Inc. is expected to pay an annual dividend of R0.80 a share next year. The market price of the share is R22.40 and the growth rate is 5%.,7.6%,7.9%,8.2%,8.6%,D,"The correct answer is
d. 8.6%
.
The dividend growth model equation will use the following inputs to determine the cost of equity:
Expected dividend = R0.80
Current stock price = R22.40
Constant growth rate = 5%
Upon substitutin these inputs, we have the following output:
{eq}\text{Expected return} = \dfrac{\text{Expected dividend}}{\text{Current stock price}} + \text{Constant growth rate} = \dfrac{0.80}{22.40} + 5\% = 8.6\% {/eq}","Cost of Capital: The cost of capital is associated with a company's financing activities, which involve raising capital from sources like stocks and debt. Debt capital attracts interest costs, and stock attracts dividend costs. The company's overall cost of capital differs from the individual costs of the sources.",,,C
2,An increase in a firm's expected growth rate would normally cause its required rate of return to:,"increaseB. decreaseC. remain constantD. possibly increase, possibly decrease, or possibly have no effect",,,,A,"An increase in a firm's expected growth rate would normally cause its required rate of return to
(A) increase.
According to the Gordon growth model, the required rate of return can be calculated using the following formula:
{eq}\text{Required Rate of Return} = \displaystyle \text{Capital Gain Yield} + \text{Growth Rate} {/eq}
If the capital gain yield remains the same, an increase in the expected growth rate will raise the required rate of return on a stock.",Required Rate Of Return: The required rate of return on a stock refers to an investor's minimum expected return. The required rate of return is also the discount rate for dividends to determine the stock's intrinsic value.,,,D
3,An increase in the cost of capital will:,increase an investment's IRR.,decrease an investment's IRR.,Increase an investment's NPV.,decrease an investment's NPV.,A,"A. Incorrect. A project's internal rate of return (IRR) is affected by cash inflows generated during the project's life expectancy. Alternatively, the IRR is not affected by the financing cost of all sources of capital.
B. Incorrect. See the explanation in part A.
C. Incorrect. The project's net present value and its cost of capital have an inverse relationship. Consequently, an increase in the cost of capital will reduce the net present value.
D. Correct. See the explanation in part C.","Cost Of Capital: The cost of capital is the average financing cost associated with a firm's total capital. With that being said, the cost of capital is averaged out from the following components: cost of common equity, cost of debt, and cost of preferred equity (preferred stocks).",,,D
4,"Columbus Clinic expects to receive $10,000 five years from now. If the clinic's cost of capital is 12% per year, what is the value of the $10,000 three years from now?","$14,049","$7,972","$5,917",None of the above,B,"The correct option is B.
Step 1: Calculation of present value of the $10,000 five years from now is as follow:
{eq}\begin{align*}{\rm\text{PV}} &= \frac{{{\rm{FV}}}}{{{{\left( {1 + {\rm\text{r}}} \right)}^{\rm\text{n}}}}}\\ &= \frac{{\$ 10,000}}{{{{\left( {1 + 0.12} \right)}^5}}}\\ &= \frac{{\$ 10,000}}{{1.76234}}\\ &= \$ 5674.27\end{align*} {/eq}
Where:
PV is the present value
FV is the future value = $10,000
r is the cost of capital = 12% or 0.12
n is the number of years = 5
Step 2: Calculate the future value of the $5674.27 three years from now:
{eq}\begin{align*}{\rm\text{PV}} &= \frac{{{\rm\text{FV}}}}{{{{\left( {1 + {\rm\text{r}}} \right)}^{\rm\text{n}}}}}\\{\rm\text{FV}} &= {\rm\text{PV}} \times {\left( {1 + {\rm\text{r}}} \right)^{\rm\text{n}}}\\ &= \$ 5674.27 \times {\left( {1 + 0.12} \right)^3}\\ &= \$ 7972\end{align*} {/eq}
Therefore, the value of the $10,000 three years from now, assuming a cost of capital of 12% per year, is $7972.
So, the answer is option
B
.","Cost of Capital: When an investor invests in a project, he is liable for getting a return from the project. Hence, that return is the project's cost of capital. It is a good technique to check the feasibility of a project.",,,B
5,"Expected cash dividends are $2, the dividend yield is 6%, flotation costs are 3% of price, and the growth rate is 4%.",12.29%,11.19%,10.19%,9.94%,C,"The correct answer is
c. 10.19%.
Given information:
Expected dividend (D1) = $2
Dividend yield = 6%
Flotation costs = 3%
Growth rate (g) = 4%
Step 1: Estimate the current price of stock (P0):
{eq}\text{P0} = \displaystyle \frac{\text{D1}}{\text{Dividend yield}} \\ \text{P0} = \displaystyle \frac{\$2}{6\%} \\ \text{P0} = \displaystyle \$33.33 {/eq}
Step 2: Estimate the cost of common equity:
{eq}\text{Cost of common equity} = \displaystyle \frac{\text{D1}}{\text{P0} \times (1 - \text{Flotation cost})} + \text{g} \\ \text{Cost of common equity} = \displaystyle \frac{\$2}{\$33.33 \times (1 - 3\%) } + 4\% \\ \text{Cost of common equity} = 10.19\% {/eq}",Cost Of Common Equity: The cost of common equity is one of the main financing cost components to estimate a company's average cost of capital. The cost of common equity is usually greater than the cost of long-term debt dye to higher flotation costs.,,,C
6,"If a required rate of return increases, what is the impact on the following?",Present value of an annuity,Future value of an annuity,The market value of a bond,,A,"a. To estimate the present value of an annuity, all payments are discounted to today at the required rate of return. Thus, an increase in the required rate of return will lower the presets value of an annuity.
b. An increase in the required rate of return will raise the compounding factor associated with each payment. Briefly, the future value of an annuity will increase accordingly.
c. The market value of a bond should reflect its fair value, which is the present value of all expected coupons and par value. The required rate of return and the bond's present value have an inverse relationship, which causes a decrease in the market value of a bond in this case.","Required Rate Of Return: The required rate of return on investment can be determined as the investor's opportunity cost since the investor must give n up other available investments. Generally, the required rate of return has a direct relationship with the investment's risk level. With that being said, if an investment become riskier, its corresponding required rate of return should increase to account for a risk premium.",,,A
7,"If the expected return were above the required return, investors would buy an asset driving its price up and its expected return down.",True,False,,,A,"The statement is
TRUE.
If the expected return exceeds the required rate of return, it indicates that the asset is profitable. Thus, it is relevant to execute a purchase decision. Consequently, the price of the asset will increase due to a rise in its demand. Simultaneously, the expected rate of return will approach to the required rate of return since the price of an asset and an associaed rate of retunr have an inverse relaitonship.","Required Rate Of Return: Theoretically, a required rate of return on investment should be considered as a minimum percentage return that is to accept a project. This required rate of return can be estimated by evaluating the project's forecasted cash flows.",,,A
8,"If the risk-free rate is 10.1 percent and the market risk premium is 4.2 percent, what is the required return for the market?",4.2 percent.,5.9 percent.,14.3 percent.,10.1 percent.,C,"The correct answer is
C. 14.3 percent.
The required rate for the market can be determined using the Capital Asset Pricing Model (CAPM). CAPM utilizes the systematic risk or beta of a stock to estimate the returns required from an investment in that stock. However, the market beta will always be one since it reflects the market index employed in the model.
Given information:
Risk-free rate: 10.1%
Market-risk premium: 4.2%
{eq}\begin{aligned} \text{Required return for the market} &=\text{Risk-free rate}+\left( \text{Beta}\times \text{Market risk premium} \right) \\ &=10.1\%+1\times 4.2\% \\ &=10.1\%+4.2\% \\ &=14.3\% \end{aligned} {/eq}",Market Index: A market index is a portfolio of investments that exhibits close correlations with the overall financial market. It serves as a representation or proxy for the vast financial market.,,,C
9,"If the risk-free rate is 8.5 percent and the market risk premium is 3.0 percent, what is the required return for the market?",8.5 percent.,3.0 percent.,5.5 percent.,11.5 percent.,D,"The correct answer is
d. 11.5 percent.
Given information:
Risk-free rate: 8.5%
Market risk premium: 3.0%
Determine the required return for the market as follows:
{eq}\begin{aligned} \text{Market risk premium} &=\text{Required return for the market}-\text{Risk-free rate} \\ 8.5\% &=x-3\% \\ x &=8.5\%+3\% \\ &=11.5\% \end{aligned} {/eq}
The market risk premium is the additional return that investors require because they are not choosing a risk-free investment. The risk premium denotes the compensation for taking on risk. It is expressed as the difference between the market rate and the risk-free rate.
Note: 'x' denotes the required return for the market.","Capital Asset Pricing Model: The capital asset pricing model uses inputs such as the risk-free rate, market risk premium, and the respective beta coefficient to determine a fair return that the security must provide.",,,D
10,"Internet Corporation has an EBIT of $1 million, 30% debt in their capital structure, and total capital of $10 million. Their tax rate is 35%. What is their return on capital employed (ROCE)?",6.5%,10.0%,33.33%,21.67%,B,"The correct answer is
option b. 10.0%.
Given information:
EBIT = $1,000,000
Debt weightage = 30%
Total Capital = $10,000,000
Tax rate = 35%
Calculate the return on capital employed by dividing the earnings before interest and taxes by the total capital.
{eq}\begin{aligned} \text{Return on Capital Employed} &=\frac{\text{Earnings Before Interest and Taxes}}{\text{Total Capital Employed}} \\ &=\frac{\$1,000,000}{\$10,000,000} \\ &=10\% \end{aligned} {/eq}
The return on capital employed is 10%.",Return on Capital Employed: The overall return that the firm has been able to generate on the amount of total capital invested in the business is known as the return on capital employed. It allows for comparing the overall performance of the firm against that of its peers.,,,B
